SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC
CCC(C)C(/N=C(\O)C(N)Cc1ccc(OS(=O)(=O)O)cc1)/C(O)=N/C(Cc1ccc(OS(=O)(=O)O)cc1)/C(O)=N/C(/C(O)=N/C(CCC(=N)O)C(=O)O)C(C)O	7.896575116564417	1.120137648926413	0.39694517950155966	2.24	0.13	0.055	1.761	0.177	5	11	0	0	0	28.335789795842093	0.30167901406941655
CCCCCCCC/C=C\CCCCCCCC(=O)NC(CO[P@](=O)([O-])OCC[N+](C)(C)C)C(O)/C=C/CCCCCCCCCCCCC	7.539761595307918	0.4662863040164177	0.6825396482308554	2.13					1	2	0	0	0	31.31630321705534	0.0
CC(C)=CCC/C(C)=C/CC/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(\C)CC/C=C(\C)CCC=C(C)C	7.136075927927929	-0.40229885057471265	1.0668103448275856	2.25	0.122	0.051	0.196	0.033	0	0	0	0	0	154.30165349258058	0.0
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C	7.498732718644067	0.10734456358190815	0.676681593198726	2.24	0.154	0.033	0.518	0.064	2	7	0	1	0	15.533486938863138	1.9944462234592246
CCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OCC[N+](C)(C)C)C(O)CCCCCCCCCCCCCCC	7.539632022346368	0.3748468405288916	0.6742131574073187	2.13					1	2	0	0	0	19.16426300338758	0.0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O	7.346749485714286	0.06387858173572446	0.4762736319177119	2.23	0.269	0.149	1.147	0.078	0	0	0	0	0	12.990104268152233	3.1652939316158575
O=C(O)CC1NC(=O)C(Cc2ccccc2)NC1=O	7.856746382978723	-0.29296095753776	0.44946438289972473	2.24	0.343	0.142	3.189	0.101	2	4	0	0	0	10.633577208012662	0.930217204165617
NCCCC(N)C(=O)O	7.861300363636364	0.46518607442977183	0.47857185417798725	2.36	0.534	0.125	4.781	0.136	0	2	0	0	0	0.0	0.0
CC/C=C\C#CC(O)c1ccc(/C=C\C(=O)OC)o1	7.876285714285715	0.5609183673469387	0.9702746930589019	2.21	0.377	0.073	1.396	0.066	0	0	1	0	0	16.577731591511338	0.7845042307046277
CN(C)CCC=C1c2ccccc2COc2ccccc21	7.277699708333333	0.061493018259935875	1.582858334507119	2.22	0.284	0.118	0.514	0.069	0	1	0	0	0	67.53584328227001	4.719461451247167
