idx_together;idx_separated;SMILES;Index;Binary_Characterization;ID;subset;COMPOUND_KEY;Characterization
63;63;Cc1occc(=O)c1/C=C/O;64;0;O1C=CC(=O)C(\C=C\O)=C1C;training;;
64;64;COc1cc(OC)c2c(=O)c(-c3ccccc3)c(C)oc2c1OC;65;0;O1c2c(C(=O)C(c3ccccc3)=C1C)c(OC)cc(OC)c2OC;training;;
65;65;C=C1CC[C@H]([C@H]2CC(=O)OC2=O)C(=O)CC[C@H]2[C@H]1CC2(C)C;66;1;O1C(=O)[C@H](CC1=O)[C@H]1CCC([C@H]2[C@H](CCC1=O)C(C2)(C)C)=C;training;;
66;66;CCCc1occc(=O)c1/C=C/O;67;0;O1C=CC(=O)C(\C=C\O)=C1CCC;training;;
67;67;Oc1ccnc(S)n1;68;0;Sc1nc(O)ccn1;training;;
68;68;COc1ccc(-c2cc(=O)c3ccccc3o2)cc1OC;69;0;O1c2c(cccc2)C(=O)C=C1c1cc(OC)c(OC)cc1;training;;
69;69;c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1;70;0;[nH]1cc(c2c1cccc2)Cc1c2c([nH]c1)cccc2;training;;
70;70;CCOc1cccc(C(=O)c2ccc(O)c(O)c2O)c1;71;0;O(CC)c1cc(ccc1)C(=O)c1ccc(O)c(O)c1O;training;;
71;71;CC1(C)[C@@H]2C[C@H](O)[C@@](C)(O)C[C@H]21;72;0;O[C@]1(C[C@@H]2[C@@H](C[C@@H]1O)C2(C)C)C;training;;
72;72;C=C[C@@H](C1=CC(=O)C(OC)=C(OC)C1=O)c1ccccc1;73;0;O(C)C=1C(=O)C(=CC(=O)C=1OC)[C@H](C=C)c1ccccc1;training;;
73;73;COc1ccc2oc(-c3ccccc3)c(OC)c(=O)c2c1;74;0;O1c2c(cc(OC)cc2)C(=O)C(OC)=C1c1ccccc1;training;;
74;74;O=c1c(O)c(-c2ccccc2)oc2cc(O)ccc12;75;0;O1c2c(ccc(O)c2)C(=O)C(O)=C1c1ccccc1;training;;
75;75;COc1ccc2c(=O)c(OC)c(-c3ccccc3)oc2c1;76;0;O1c2c(ccc(OC)c2)C(=O)C(OC)=C1c1ccccc1;training;;
76;76;CC1(C)C[C@H]2[C@H]1CC[C@@]1(C)O[C@]2(C)CC[C@@H]1O;77;0;O1[C@@]2(CC[C@@H]3[C@H](CC3(C)C)[C@]1(CC[C@@H]2O)C)C;training;;
77;77;CC1(C)C[C@H]2[C@H]1CC[C@@]1(C)O[C@]2(C)CCC1=O;78;0;O1[C@@]2(CC[C@@H]3[C@H](CC3(C)C)[C@]1(CCC2=O)C)C;training;;
78;78;CC(=O)O[C@H]1CC[C@]2(C)[C@@H](CC[C@@H]3[C@H]4CC=C(C(C)=O)[C@@]4(C)C(=O)C[C@H]32)C1;79;0;O=C1C[C@@H]2[C@@H]([C@H]3CC=C(C(=O)C)[C@@]13C)CC[C@H]1C[C@@H](OC(=O)C)CC[C@]12C;training;;
79;79;C=C1[C@H]2C[C@@H](C[C@@H]1N)C2(C)C;80;0;N[C@H]1C[C@@H]2C[C@H](C1=C)C2(C)C;training;;
80;80;NC(=O)c1cccc(N)c1;81;0;O=C(N)c1cc(N)ccc1;training;;
81;81;COC(=O)C[C@@H]1C(C)(C)[C@@]2(Cl)O[C@]34C[C@H]2C(=O)[C@@]1(C)C3CC[C@]1(C)C4=CC(=O)O[C@H]1c1ccoc1;82;0;Cl[C@@]12O[C@]34[C@H](CC[C@]5(C3=CC(O[C@H]5c3ccoc3)=O)C)[C@@](C)([C@@H](CC(OC)=O)C1(C)C)C(=O)[C@@H]2C4;training;;
82;82;CC(=O)OC1CC(O)C(C)(C)C2C[C@@H](OC(C)=O)[C@@]3(C)[C@@H](CC[C@]4(C)[C@@H](c5ccoc5)OC(=O)[C@H]5O[C@@]534)[C@@]12C;83;0;O1[C@H]([C@]2([C@]3(O[C@H]3C1=O)[C@@]1([C@H](CC2)[C@@]2([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@H](O)C[C@@H]2OC(=O)C)C)C)C)c1ccoc1;training;;
83;83;CC(=O)O[C@H]1CC[C@@]2(C)[C@H]3CC[C@@]4(C)C(=CC(=O)O[C@@H]4c4ccoc4)[C@@]3(C)[C@H](OC(C)=O)C[C@H]2C1(C)C;84;1;O1[C@@H]([C@@]2(C(=CC1=O)[C@@]1([C@H](CC2)[C@]2([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@@H](OC(=O)C)CC2)C)C)C)c1ccoc1;training;;
84;84;COC(=O)C[C@H]1C(C)(C)[C@@H](O)[C@@H]2CC3=C4C=C(OC)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@@H]3[C@@]1(C)C2=O;85;1;O1[C@H]([C@@]2(C(C=C1OC)=C1[C@H](CC2)[C@]2(C)[C@@H](CC(OC)=O)C(C)(C)[C@@H](O)[C@H](C1)C2=O)C)c1ccoc1;training;;
85;85;COc1ccc2c(c1)OC[C@@H](Cc1ccc(OC)c(OC)c1)[C@@H]2O;86;0;O1C[C@@H](Cc2cc(OC)c(OC)cc2)[C@H](O)c2c1cc(OC)cc2;training;;
86;86;COc1ccc(-c2oc3ccccc3c(=O)c2O)cc1OC;87;0;O1c2c(cccc2)C(=O)C(O)=C1c1cc(OC)c(OC)cc1;training;;
87;87;NNCc1cccc(O)c1;88;0;Oc1cc(ccc1)CNN;training;;
88;88;O=c1oc2ccccc2cc1O;89;0;O1c2c(C=C(O)C1=O)cccc2;training;;
89;89;O=c1c(O)c(-c2ccccc2)oc2ccccc12;90;0;O1c2c(cccc2)C(=O)C(O)=C1c1ccccc1;training;;
90;90;CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21;91;0;O=C1N(C)C(=O)N(c2[nH]cnc12)CC(C)C;training;;
91;91;COc1cccc(O)c1O;92;0;O(C)c1cccc(O)c1O;training;;
92;92;Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3;93;0;c12CCc3c1c(ccc2C)cc1c3ccc2c1cccc2;training;;
93;93;Cc1cc(O)c(C)c(O)c1C(=O)O;94;0;Oc1c(C(O)=O)c(cc(O)c1C)C;training;;
94;94;Cn1c(=O)[nH]c(=O)c2nc[nH]c21;95;0;O=C1NC(=O)N(c2[nH]cnc12)C;training;;
95;95;CC1(C)C[C@@]23C(=O)CC[C@H](O)[C@@]2(C)CC[C@@H]13;96;0;O=C1[C@@]23[C@@H](CC[C@]2(C)[C@@H](O)CC1)C(C3)(C)C;training;;
96;96;C[C@@H]1CC[C@@]23CC[C@@]4(C)[C@@](C=C[C@@H]5[C@@]6(C)CCC(=O)C(C)(C)[C@@H]6CC[C@]54C)(OC2=O)C3[C@H]1C;97;0;O1[C@@]23[C@@H]4[C@@](CC[C@]2(C)[C@]2([C@H](C=C3)[C@@]3([C@@H](CC2)C(C)(C)C(=O)CC3)C)C)(CC[C@@H](C)[C@@H]4C)C1=O;training;;
97;97;C[C@H]1/C(=N/O)C[C@@H]2C[C@H]1C2(C)C;98;0;O\N=C\1/C[C@@H]2C[C@H]([C@H]/1C)C2(C)C;training;;
98;98;CC(=O)c1ccc(O)c(CC=C(C)C)c1;99;0;Oc1ccc(cc1C\C=C(\C)/C)C(=O)C;training;;
99;99;CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@H](O)C=C[C@@]2(C)[C@H]2CC[C@@]3(C)C(=CC(=O)O[C@@H]3c3ccoc3)[C@]21C;100;1;O1[C@@H]([C@@]2(C(=CC1=O)[C@@]1([C@H](CC2)[C@]2([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@H](O)C=C2)C)C)C)c1ccoc1;training;;
100;100;C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(O)C(C)(C)C(CC(=O)OC)[C@@]21C;101;1;O1[C@H]([C@@]2([C@@]3(O[C@H]4C[C@H](O)C(C)(C)[C@H](CC(OC)=O)[C@]4([C@H](CC2)C3=C)C)CC1=O)C)c1ccoc1;training;;
101;101;C[C@@]12CC[C@@H](O)C[C@H]1CCc1ccccc12;102;0;O[C@@H]1CC[C@@]2([C@@H](C1)CCc1c2cccc1)C;training;;
102;102;CC(=O)O[C@H]1CC[C@@]2(C)C3=CC(=O)[C@@]4(C)[C@@H]5[C@H](C[C@H]4[C@H]3CC[C@H]2C1)O[C@]1(OC[C@H](C)C[C@H]1Br)[C@H]5C;103;0;Br[C@@H]1C[C@H](CO[C@]12O[C@@H]1[C@@H]([C@]3([C@H]([C@@H]4C(=CC3=O)[C@]3([C@H](C[C@@H](OC(=O)C)CC3)CC4)C)C1)C)[C@@H]2C)C;training;;
103;103;C=C1C2CC[C@@]3(C)[C@@H](c4ccoc4)OC(=O)C[C@@]13O[C@H]1CC(OC(C)=O)C(C)(C)C(CC(=O)OC)[C@@]21C;104;1;O1[C@H]([C@@]2([C@@]3(O[C@H]4C[C@H](OC(=O)C)C(C)(C)[C@H](CC(OC)=O)[C@]4([C@H](CC2)C3=C)C)CC1=O)C)c1ccoc1;training;;
104;104;CC(=O)O[C@H]1CC[C@]2(C)C(=CC[C@@H]3[C@H]4C[C@@H]5O[C@]6(CC[C@@H](C)CO6)[C@@H](C)[C@H]5[C@]4(C)CC[C@H]32)C1;105;0;O1C[C@@H](CC[C@]12O[C@@H]1[C@@H]([C@@H]2C)[C@]2([C@@H]([C@@H]3[C@@H](CC2)[C@]2(C(C[C@@H](OC(=O)C)CC2)=CC3)C)C1)C)C;training;;
105;105;C[C@@]12CC[C@H](Cl)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12;106;0;Cl[C@H]1CC[C@@]2([C@H](C1)CC[C@H]1[C@@H]3CCC(=O)[C@]3(CC[C@@H]12)C)C;training;;
106;106;C[C@H](C(=O)O)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@@]21C;107;0;O[C@@H]1CC2=CC[C@@H]3[C@H]4CC[C@H]([C@@H](C(O)=O)C)[C@]4(CC[C@H]3[C@@]2(CC1)C)C;training;;
107;107;CC(=O)O[C@@H]1C[C@H]2C(C)(C)[C@@H](O)CC[C@@]2(C)[C@@H]2CC[C@@]3(C)C(=CC(=O)O[C@H]3c3ccoc3)[C@]12C;108;1;O1[C@H]([C@@]2(C(=CC1=O)[C@]1([C@@H](CC2)[C@]2([C@@H](C[C@H]1OC(=O)C)C(C)(C)[C@@H](O)CC2)C)C)C)c1ccoc1;training;;
108;108;CC1(C)C(O)C=C[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312;109;1;O1[C@H]([C@@]2([C@@]3(O[C@@H]3C1=O)[C@]1([C@H](CC2)[C@@]2([C@@H](CC1=O)C(C)(C)[C@@H](O)C=C2)C)C)C)c1ccoc1;training;;
109;109;C[C@@H]1CC[C@]2(OC1)O[C@@H]1C[C@@H]3[C@H]4CC[C@@H]5C[C@@H](O)CC[C@]5(C)C4=CC[C@@]3(C)[C@H]1[C@@H]2C;110;0;O1C[C@@H](CC[C@@]12O[C@H]1[C@H]([C@@H]2C)[C@]2([C@@H]([C@@H]3C(=CC2)[C@@]2([C@@H](C[C@@H](O)CC2)CC3)C)C1)C)C;training;;
110;110;COc1cc([C@@H]2c3cc4c(cc3[C@@H](O)[C@@H]3COC(=O)[C@@H]23)OCO4)cc(OC)c1O;111;1;O1C[C@@H]2[C@H]([C@@H](c3c(cc4OCOc4c3)[C@H]2O)c2cc(OC)c(O)c(OC)c2)C1=O;training;;
111;111;O=C(/C=C/c1ccccc1)c1ccc(O)cc1;112;0;Oc1ccc(cc1)C(=O)\C=C\c1ccccc1;training;;
112;112;COc1ccc(C(=O)/C=C/c2ccccc2)cc1;113;0;O(C)c1ccc(cc1)C(=O)\C=C\c1ccccc1;training;;
113;113;COc1ccc(-c2cc(=O)c3ccccc3o2)cc1;114;0;O1c2c(cccc2)C(=O)C=C1c1ccc(OC)cc1;training;;
114;114;C=C[C@H](C1=CC(=O)C(OC)=CC1=O)c1ccc(OC)cc1;115;0;O(C)C1=CC(=O)C(=CC1=O)[C@@H](C=C)c1ccc(OC)cc1;training;;
115;115;COc1ccc(-c2cc(=O)c3ccc(OC)cc3o2)cc1;116;0;O1c2c(ccc(OC)c2)C(=O)C=C1c1ccc(OC)cc1;training;;
116;116;CC(=O)Oc1ccc(O)cc1;117;0;O(C(=O)C)c1ccc(O)cc1;training;;
117;117;[NH3+]C[C@H](CC(=O)[O-])c1ccc(Cl)s1;118;0;Clc1sc(cc1)[C@@H](CC(=O)[O-])C[NH3+];training;;
118;118;NCCc1ccccc1S(=O)(=O)F;119;0;S(F)(=O)(=O)c1ccccc1CCN;training;;
119;119;Cc1cc(O)cc(=O)o1;120;0;O1C(=CC(O)=CC1=O)C;training;;
120;120;C=C[C@H](C1=CC(=O)C(OC)=CC1=O)c1ccccc1;121;0;O(C)C1=CC(=O)C(=CC1=O)[C@@H](C=C)c1ccccc1;training;;
121;121;Cc1cc(=O)oc2c(O)c(O)ccc12;122;0;O1c2c(ccc(O)c2O)C(=CC1=O)C;training;;
122;122;Cc1cc(=O)oc2cc(O)c(O)cc12;123;0;O1c2c(cc(O)c(O)c2)C(=CC1=O)C;training;;
123;123;O=C(O)CCCN1C(=O)c2cccc3cccc(c23)C1=O;124;0;O=C1N(CCCC(O)=O)C(=O)c2c3c1cccc3ccc2;training;;
124;124;CCCCCCCCCc1ccc(O)cc1;125;0;Oc1ccc(cc1)CCCCCCCCC;training;;
