idx_together;idx_separated;SMILES;Index;Binary_Characterization;ID;subset;COMPOUND_KEY;Characterization
1578;1578;CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21;1579;0;S1c2c(N(c3c1cccc3)CCCN(C)C)cc(cc2)C(F)(F)F;training;;
1579;1579;O=c1[nH]c(=O)n([C@@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F;1580;0;FC(F)(F)C1=CN([C@H]2O[C@H](CO)[C@@H](O)C2)C(=O)NC1=O;training;;
1580;1580;C[n+]1cccc(C(=O)[O-])c1;1581;0;O=C([O-])c1ccc[n+](c1)C;training;;
1581;1581;O[C@](CCN1CCCCC1)(c1ccccc1)C1CCCCC1;1582;0;O[C@@](CCN1CCCCC1)(C1CCCCC1)c1ccccc1;training;;
1582;1582;C[C@@H]1C[C@H](Cl)CC[C@H]1C(=O)OC(C)(C)C;1583;0;Cl[C@H]1C[C@@H](C)[C@@H](CC1)C(OC(C)(C)C)=O;training;;
1583;1583;C[C@H](CN(C)C)CN1c2ccccc2Sc2ccccc21;1584;0;S1c2c(N(c3c1cccc3)C[C@@H](CN(C)C)C)cccc2;training;;
1584;1584;COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC;1585;0;O(C)c1c(OC)cc(cc1OC)C(=O)NCc1ccc(OCCN(C)C)cc1;training;;
1585;1585;C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21;1586;0;N(C[C@H](CN1c2c(CCc3c1cccc3)cccc2)C)(C)C;training;;
1586;1586;Cc1cc2cc3c(C)cc(=O)oc3c(C)c2o1;1587;0;O1c2c(cc3c(oc(c3)C)c2C)C(=CC1=O)C;training;;
1587;1587;CN(C)CCN(Cc1ccccc1)c1ccccn1;1588;0;n1ccccc1N(Cc1ccccc1)CCN(C)C;training;;
1588;1588;Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1;1589;0;n1ccccc1/C(=C/CN1CCCC1)/c1ccc(cc1)C;training;;
