SMILES	SLogP	GATS6s	PEOE_VSA6	GATS3se	VSA_EState5	EState_VSA3	ATSC3dv	ATSC8p	JGI10	JGI8	GATS1d	VSA_EState3	GATS4p	MCBO	AATSC0v	GATS8d	ATSC6se	GATS3d	GATS6Z	MINssCH2	observed	predicted
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)NC(C)c2cccc3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O	1.31	-0.14	2.16	1.71	-1.86	0.24	-1.78	-1.15	0.69	0.74	1.43	6.92	0.23	-2.37	-0.41	0.59	-0.31	1.87	0.17	-0.57	0	0
Cc1cn2cc(-c3ccc(O)c(O)c3O)nc2s1	-0.85	-0.76	-1.47	-1.0	-0.78	-0.71	0.35	-0.62	-2.42	0.84	-1.41	1.97	-1.16	1.19	-0.72	1.41	0.6	0.04	0.04	-1.24	1	0
C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(s2)COC/1	0.97	0.22	-0.78	0.72	0.86	1.09	0.46	-2.17	-1.37	-1.58	-0.68	-0.69	-0.49	-0.16	0.92	0.18	-0.45	-0.6	-0.27	0.25	0	0
OCCNc1nnc(-c2ccc(F)c(F)c2Nc2ccc(I)cc2F)o1	0.17	-0.25	-1.18	-0.6	-1.89	-1.21	1.15	0.74	0.54	0.99	-0.56	1.22	-1.07	-0.09	-0.07	0.39	1.04	-1.45	-2.02	-1.09	0	0
CCN(CC)c1ccc2cc(C(=O)O)c(=O)oc2c1	-0.95	-0.97	-1.47	-0.4	-0.8	-0.73	0.6	-0.3	-2.42	2.17	-1.19	-0.04	1.7	0.36	-0.46	2.08	0.16	0.61	-0.73	1.12	0	0
C[C@@H]1CN(c2ccc(F)cc2C(F)(F)F)CCN1S(=O)(=O)c1cccc(N2CCC(O)C2)c1	-0.25	-0.15	-1.13	-1.25	-0.62	0.59	0.53	0.46	-0.01	0.47	1.41	-0.01	1.91	-0.82	-0.55	0.29	-2.19	0.65	1.01	-0.78	1	1
c1cc2c(ncc3ncn([C@H]4CC[C@H](N5CCOCC5)CC4)c32)[nH]1	-0.67	-0.03	-1.47	0.45	-0.01	-1.05	0.03	0.51	-1.4	-0.48	-1.05	-0.92	0.68	0.47	-0.01	-0.08	-0.03	0.73	0.05	1.22	0	0
Cc1c(CO)cccc1NS(=O)(=O)c1ccc(-c2ccc(F)cc2F)cc1	0.4	0.26	-0.08	-0.24	-0.88	0.01	-0.66	-0.32	-0.08	-0.54	0.35	-0.06	1.83	0.71	0.04	-1.19	-0.94	1.44	0.92	-1.19	1	1
CN(CCc1ccccc1)[C@@H]1CCc2ncc(C(=O)C=NO)cc2C1	-0.65	-0.66	0.56	-1.14	-0.21	-0.69	-0.34	-0.46	-0.42	-0.7	-0.34	0.15	1.25	-0.13	0.54	-0.16	0.41	0.91	-0.33	1.22	1	1
CC(C)CCn1nc(CC2=CCCC2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O	-0.78	0.66	-0.01	-0.17	-0.28	0.2	1.72	-0.81	0.66	0.57	1.18	0.89	-0.88	0.33	0.05	-0.08	-0.01	-2.07	-0.06	-0.1	1	1
