SMILES;ATSC6dv;X3sol;VSA_EState3;X2sol;PEOE_VSA8;H-050;GATS1c;SLogP
CCCC(C)(C)C(C)CC;10.28125;2.840770275176028;0.0;4.047877056362576;0.0;0.0;1.7761142364252316;3.858800000000003
Cc1ccncc1;0.0;1.893846850117352;0.0;2.7431821564919865;12.393687143226153;0.0;0.9957444477575718;1.39002
CC(O)CCCCO;10.0;1.385027805014831;16.994873393801964;2.8896287658987125;6.606881964512918;2.0;1.3830619563803777;0.5298
C/N=N/C;0.0;0.5;6.722222222222222;1.0;14.09534396535438;0.0;0.6211180347480361;0.6982
CCC(=O)CCl;0.0;1.74230856264669;0.0;2.1257924416821967;6.4208216229260096;0.0;1.0076108688293117;1.2043000000000001
c1ccc(CCCc2ccccc2)cc1;21.91883454734652;4.674234614174768;0.0;5.938975349290673;0.0;0.0;0.9329333054213638;3.861900000000003
CC(C)=CCCl;0.0;1.0103629710818451;0.0;2.4325219847121646;5.880003444970339;0.0;1.005863999550921;2.1914
Brc1ccc(-c2ccc(Br)cc2)cc1;-3.1616274983278365;5.942394238613955;0.0;7.672896980430724;8.945439031664828;0.0;1.044206277485842;4.878600000000002
CC(C)OC(=O)c1ccccc1O;-66.4464;3.751916530293202;9.292987528344671;5.532428539795373;0.0;1.0;1.5173222810363245;1.9574000000000003
C1CSCCN1;0.0;2.0;3.263888888888889;2.6516504294495524;24.595220025318728;1.0;1.3996947167608536;0.32280000000000003
CN(C)c1cccc([N+](=O)[O-])c1;-44.0;3.6409468577344275;10.362785336356765;5.174799102662689;31.91546437696116;0.0;1.0813901029001791;1.6607999999999998
C1=CCCCCC1;0.0;1.75;0.0;2.474873734152916;0.0;0.0;1.1935666173743762;2.5067000000000004
CN(C)S(=O)N(C)C;38.43999999999999;3.1547005383792515;0.0;4.4433756729740645;28.19068793070876;0.0;1.720659521288651;-0.31169999999999987
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)C1(F)F;12.0;3.0033225583660816;0.0;4.263968845143928;0.0;0.0;1.5245817215010944;6.353000000000003
CN(C)c1ccccc1N(C)C;16.65306122448979;3.5874676623857797;0.0;5.1002001431305715;28.19068793070876;0.0;1.4886419611493822;1.8186
Cc1c(Br)cc(Br)cc1Br;6.3055144032921815;5.337820683493143;0.0;6.689920589617656;13.418158547497242;0.0;1.2469244006555615;4.282520000000001
CCCC(=O)c1ccc(C)cc1;-27.420118343195256;3.6092683067646765;0.0;4.785910928075162;11.984273114623004;0.0;1.1163226394585002;2.9778200000000012
CN(C)C1CCCCC1;7.810650887573966;2.592638955843123;0.0;3.6421070322115847;6.041840829147961;0.0;1.3488630628704097;1.8806999999999998
BrC1CCCCC1;0.0;2.4711971193069777;0.0;3.5596787374197127;4.827174070296812;0.0;1.2142727551870223;2.7140000000000004
CC(C)c1ccc(C(C)C)cc1;-16.0;3.7021146640918525;0.0;5.162893720863527;0.0;0.0;1.2948375810879584;3.9334000000000033
CCOC(=O)CCC(=O)OCC;40.84023668639053;2.7152140551632704;0.0;4.36504396942433;0.0;0.0;1.6225675106527628;0.8927999999999999
NCCO;0.0;0.5;7.75;1.0;6.544756405912575;3.0;1.5566107818737789;-1.0626000000000002
FC(F)(F)c1ccc(Cl)cc1Cl;-27.488230452674898;3.524923844048922;-0.19166666666666554;4.6518311158555665;5.022633313741326;0.0;1.937794087775435;4.012200000000001
CCC(=O)Nc1ccc(Cl)c(Cl)c1;-15.249770431588612;5.053962946411383;3.6005097316704466;6.12434959193412;12.10820789760957;1.0;1.6974627186881974;3.3419000000000016
c1ccc(Nc2ccc3ccccc3c2)cc1;-2.2488888888888883;6.039696651503065;5.923391859830351;7.223432399666845;11.374772549367124;1.0;1.4619360102809573;4.583400000000002
CCN(CC)c1ccc(Br)cc1;0.8642786990365323;4.353285242620968;0.0;5.413024726528933;23.249618602341126;0.0;1.5101102946128797;3.295300000000002
CCCC(=O)CC(C)C;3.4783999999999993;1.6552478622747717;0.0;3.5233959606302196;12.841643245852019;0.0;1.1502189994298642;2.401700000000001
O=C(c1ccccc1)c1ccncc1;-13.35349716446125;4.786799924056;0.0;5.655296949107127;23.520590126620146;0.0;1.0497503899816496;2.3125999999999998
C=CCC(C)C;5.333333333333333;0.8660254037844388;0.0;2.182521984712165;0.0;0.0;1.4849298352775695;2.2184999999999997
C=C1C(O)CC2(C(C)C)CC12;-17.530864197530864;4.46030810280993;9.513078703703703;5.239005789320877;0.0;1.0;1.3646378679698619;1.9695
CCCCCCCS;-1.2505144032921807;1.6338834764831844;0.0;2.664213562373095;0.0;1.0;1.3819122008276414;2.886600000000002
CCCCCCCCCC1CCCCC1;-1.480297366166875e-16;3.9406706976806576;0.0;5.414031322908343;0.0;0.0;1.492945998632724;5.707400000000006
Cc1cc(Cl)c2ccccc2n1;1.530864197530864;4.509972689707959;1.7943209876543214;5.633042248687806;11.080152209313257;0.0;1.2201824484375228;3.196620000000002
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br;0.48460905349794414;1.5606601717798212;0.0;2.560660171779821;0.0;0.0;1.6535660175019786;5.0776
CC(Br)C(Br)CBr;0.0;4.811504463833032;0.9994212962962963;4.690062627296886;14.98443778765505;0.0;0.86747738864101;2.9282000000000012
CCO[Si](OCC)OCC;-2.0497777777777793;3.1361554127640416;0.0;4.098076211353316;19.820645893538753;0.0;2.088067677774433;1.0808
CC(N)C(O)c1cccc(O)c1;-20.159999999999997;3.7720936332993666;18.5779119425548;5.134990983339634;6.041840829147961;4.0;1.4857121416710408;0.7728000000000002
CCCCC(CC)CC;-1.4244946492271122;2.12062636466832;0.0;2.8247505099002517;0.0;0.0;1.6849056560037723;3.6128000000000027
Cc1cccc2c1C=CC2;38.25;3.6831539799089894;0.0;4.263025469665263;0.0;0.0;0.9594915765962657;2.5643200000000004
O=C(O)Cc1ccccc1;-13.0;2.5294827255159547;8.366910430839003;4.1335849552667545;0.0;1.0;1.514609097763625;1.3137
COc1ccc(C(=O)c2ccccc2)cc1;16.0;5.605731817042821;0.0;6.446260740765232;11.126902983393991;0.0;1.18386147784305;2.9262000000000015
CCC/C=C/CCC;-2.666666666666668;1.4571067811865475;0.0;2.414213562373095;0.0;0.0;1.4238139469815003;3.142800000000002
Cc1ccc(N)cc1Br;-5.305642179408679;3.66510407361594;0.0;4.614373637290302;10.160105790515976;2.0;1.740416144016114;2.33972
C=C[Si](C)(Cl)Cl;0.0;2.121320343559643;0.0;6.589150429449553;0.0;0.0;2.2391477043045462;2.2612000000000005
C1CNC1;0.0;1.0;3.111111111111111;1.414213562373095;0.0;1.0;1.471587099960788;-0.02030000000000004
Cc1c(F)c(F)cc(F)c1F;36.053333333333335;1.893846850117352;0.0;2.7431821564919865;11.629818560158606;0.0;1.055555824889159;2.5514200000000002
CCOc1ccc(Br)cc1;2.393192207288853;3.4097021681628505;0.0;4.7310693732087685;4.472719515832414;0.0;1.289768594678354;2.847800000000001
Clc1ccc(Cl)c(Cl)c1Cl;0.0;5.861109361437258;1.4294444444444465;5.658399840831997;0.0;0.0;1.0671280690072253;4.3002
CCOC(=O)CCC(C)C;-60.2662721893491;2.018290630104594;0.0;3.8650439694243297;6.4208216229260096;0.0;1.6452649696210195;1.9857
CCO[Si](C)(C)C;9.48148148148148;1.5;0.0;4.7159902576697315;6.606881964512918;0.0;1.7038427664900972;1.8578000000000001
O=C=Nc1ccc(N=C=O)cc1;-27.625;3.360173345306138;0.0;4.464101615137755;0.0;0.0;1.51042099913003;1.6212
CN(C)CCN(C)C;-4.5;1.3213672050459182;0.0;3.3650439694243297;13.08951281182515;0.0;1.3529028871400632;0.10959999999999992
Oc1cccc(Cl)c1;3.9319161370443423;2.4607734017368816;9.288796296296296;3.785197641687357;5.022633313741326;1.0;1.3407426576167443;2.0456
CC(=O)CCc1ccco1;-21.58;2.6270100977117448;0.0;4.121679573467591;12.841643245852019;0.0;1.1623686985621864;1.8012000000000001
CON=O;0.0;0.5;1.9861111111111112;1.0;0.0;0.0;1.4546051134392053;0.31420000000000003
OC(c1ccccc1)c1ccccc1;-15.100591715976334;4.786799924056;9.991851851851852;5.655296949107127;0.0;1.0;1.2728468343735977;2.768300000000001
Clc1ccc(Oc2ccccc2)cc1;-12.569394851688486;4.815515146567616;0.7133441463004959;6.273884053299496;5.022633313741326;0.0;1.3550544327237695;4.1323000000000025
CCCNCC;3.390581717451523;0.9571067811865475;3.197916666666667;1.7071067811865475;0.0;1.0;1.649073826150884;1.0059
CCN(CC)CCOCCO;-10.0;2.62062636466832;8.40727308515999;3.5318572910867996;6.544756405912575;1.0;1.334452156601055;0.3371
CC=C(Cl)Cl;0.0;1.2247448713915892;0.0;2.93203126753211;0.0;0.0;1.8136240824562266;2.3253000000000004
CCC(CC)COCCC(=O)O;9.559999999999999;2.798547388496604;8.313100749559084;4.360825885205691;6.606881964512918;1.0;1.5310105793855324;1.9139000000000002
CC1CCc2ccccc2O1;1.4574669187145561;3.8018716965365384;0.0;4.722840606255543;0.0;0.0;1.2910730529034256;2.4001
CCCCCCCCC(=O)CC;0.2214532871972294;2.747400240710626;0.0;4.069862093547584;12.841643245852019;0.0;1.1750563066829578;3.7161000000000026
Cc1cc(C)on1;26.448979591836732;1.9570030804445206;3.6412037037037037;3.02339596063022;6.06636706846161;0.0;1.114983283072672;1.29144
Cc1ccc(C)c(N)c1;15.860000000000003;2.860366219491575;0.0;3.8727920134931053;5.687386274683562;2.0;1.7417049401672493;1.8856399999999998
CCCc1ccccc1O;-10.388429752066118;2.9485847042417173;9.24162037037037;3.8104957245495434;0.0;1.0;1.401933434680685;2.344700000000001
CC(F)(F)C(F)(F)F;0.0;0.0;0.0;0.7071067811865475;6.923737199690624;0.0;1.9119896075786373;2.2039
N#Cc1ccncc1;0.0;2.302095140581215;8.259814814814815;2.9122841352177486;12.393687143226153;0.0;0.9456682612355675;0.9532799999999999
Cc1ccncc1C;5.97923875432526;2.540336413777854;0.0;3.2390248187615978;12.393687143226153;0.0;1.0322052470688643;1.69844
Cc1ccc2cc(C)ccc2c1;-13.0;4.137416897884291;2.6677777777777782;5.35660780098705;0.0;0.0;0.9619634813010494;3.456640000000002
Cc1cc(Cl)nc(Cl)n1;0.0;2.885618083164127;0.5763888888888897;4.839118508681891;5.693927994848461;0.0;1.8892053800587514;2.0918200000000002
Fc1ccc(Br)cc1;0.0;2.4711971193069777;0.0;3.5596787374197127;4.472719515832414;0.0;1.1400806434679835;2.5882000000000005
CC(=O)CC1CCCCN1;-13.193599999999995;2.5294827255159547;3.3295833333333333;4.1335849552667545;12.462662452073971;1.0;1.2918192783164661;1.1076
CCCCCC(=O)Cl;-12.707807530522212;1.5293653723122376;-0.20976851851851808;3.3824280457254567;6.4208216229260096;0.0;1.4138551743735317;2.3321000000000005
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F;14.580000000000014;0.8660254037844388;0.0;2.182521984712165;0.0;0.0;1.7177716915336596;4.652200000000001
Cc1cc(O)cc(C)c1Cl;52.819123832974256;3.912480389513512;9.793765432098766;4.72359409442887;5.022633313741326;1.0;1.394686399644528;2.662440000000001
CCCCC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F;-243.84375;2.1338834764831844;0.0;4.017766952966369;0.0;0.0;1.7960076857429135;6.1205000000000025
C1C2CC2C2CC12;0.0;2.9107709396332293;0.0;3.5549753130000497;0.0;0.0;1.079235503710337;1.6622999999999999
CCC1CCCCC1C;10.666666666666664;2.813496152738635;0.0;3.4300688804185935;0.0;0.0;1.5344914548998725;3.2227000000000023
c1ccc2c(c1)ccc1ccccc12;0.22222222222222232;5.393934187227623;5.29962962962963;5.994132901755476;0.0;0.0;0.9280278535621089;3.993000000000002
c1ccc(COCc2ccccc2)cc1;3.652794292508918;4.674234614174768;0.0;5.938975349290673;0.0;0.0;1.1029727367667743;3.403400000000002
CC(=O)C(Cl)Cl;0.0;2.0;0.0;3.5430550415329507;0.0;0.0;1.1470895114466255;1.3791
CC(C)C1CCCCC1;5.333333333333331;2.592638955843123;0.0;3.6421070322115847;0.0;0.0;1.526154595115959;3.2227000000000023
O=C1CCCCC1C1CCCCC1;-16.27180899908173;4.4331539799089885;0.0;5.323685641445085;12.338727669087403;0.0;1.0645737362235779;3.3260000000000023
Cc1cccc(S)c1;12.70505401234568;2.4607734017368816;0.0;3.785197641687357;4.895483475517775;1.0;1.1253688782860998;2.2837199999999998
CCc1cnccn1;7.515625;2.302095140581215;0.0;2.9122841352177486;18.59053071483923;0.0;1.1260477158954116;1.039
Brc1ccc(Br)c2ccccc12;12.768852986502733;5.847667061074274;2.484953703703704;6.627247556587431;8.945439031664828;0.0;1.0356067399828939;4.364800000000002
C=C[Si](Cl)(Cl)Cl;0.0;2.3864853865045976;0.0;7.979315472394509;0.0;0.0;2.3792767411960636;2.3669000000000002
CC(C)C(=O)Cl;0.0;1.6666666666666665;-0.26851851851851816;2.9433756729740645;5.917906046161393;0.0;1.4551908901248667;1.4078
CCOCC;5.760000000000001;0.7071067811865475;0.0;1.3535533905932737;13.213763929025836;0.0;1.1913855531373427;1.0428000000000002
