SMILES	X0A	ATSC8p	F06[O-Cl]	nR_5_False_False_False_True	PEOE_VSA2	C-025	B06[N-F]	F06[N-F]	B06[N-Cl]	B06[N-Br]	B06[O-O]	F06[O-O]	B06[O-S]	B06[O-F]	B06[O-Cl]
O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2cccc(F)c2C(=O)N1CCc1ccccn1	0.71453876388434	2.087515370245911	0	1	14.573052889090853	3	1	1	0	0	0	0	0	1	0
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCC[C@@H]2c1ccc(C(F)(F)F)cc1-c1ccc(F)cn1	0.7083729098126142	2.8759928095070344	0	0	9.706073385399296	4	1	3	0	0	0	0	0	0	0
N#CCOc1cc(Cl)ccc1-c1nccc2cc(S(=O)(=O)N(OC(=O)C(F)(F)F)c3nccs3)ccc12	0.724170756001826	3.8149794659780016	0	0	4.9839785209472085	3	1	3	1	0	0	0	0	1	0
COc1cc(-c2cccc(C)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12	0.6975896661607773	2.4251950553284676	0	0	9.706073385399296	6	0	0	0	0	0	0	0	0	0
COc1ccc(Cl)cc1-c1n[nH]c(=O)c2cc(S(=O)(=O)Nc3ncns3)ccc12	0.7101947365282171	-2.526207824839754	0	0	9.51663204852391	3	0	0	1	0	1	2	0	0	0
O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1CCc1ncc(F)cn1	0.7145387638843401	2.2182293831802764	0	1	9.589074368143644	3	0	0	0	0	0	0	0	0	0
Cc1cccnc1CN1CCOc2ccc(-c3ccc(OC(F)(F)F)cc3)cc2C1=O	0.7099955136029482	-2.0331098243232644	0	0	9.77851570501903	4	0	0	0	0	0	0	0	0	0
CCOC(=O)C(C)(C)c1ccc2c(c1)c([C@H](C)CO)c(-c1cc(C)cc(C)c1)n2C(=O)OC(C)(C)C	0.7499797511705829	-23.571040936659678	0	0	4.794537184071822	6	0	0	0	0	0	0	0	0	0
CC(C)n1cc(CN2CCC3(CC2)CC(=O)N(c2ccc(C(=O)O)cc2)C3)c2c(C3CC3)cccc21	0.6951769105454566	-11.26191705498902	0	1	9.694446914922299	4	0	0	0	0	0	0	0	0	0
Cn1cc(-c2ccc(C(F)F)cc2)c2cc(F)c(C(=O)NS(=O)(=O)C3CC3)cc21	0.7214455438948745	-1.5976548072194043	0	0	4.794537184071822	5	0	0	0	0	0	0	0	1	0
Cn1nccc1-c1ccc2c(c1)C(=O)CC1(CCN(C(=O)N[C@H]3C[C@@H]3c3ccccc3)CC1)O2	0.6848788765773612	1.6556609984957786	0	0	9.476340119217006	3	0	0	0	0	1	1	0	0	0
Cc1ncc(-c2nc3c(-c4ccc5c(c4)[C@@]4(CCCN4C(=O)C4CC4)C(=O)N5C)ncnc3n2C)cn1	0.6884854739683554	-4.891394159398814	0	2	9.589074368143644	3	0	0	0	0	0	0	0	0	0
O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC23CCCCN2CCCC3)cc1F	0.7063764446658297	-3.5487948536405356	0	0	9.622004595302567	0	1	1	1	0	0	0	0	0	0
COc1ccncc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21	0.6983392734560053	1.7964581879819013	0	0	9.706073385399296	0	0	0	0	0	1	1	0	0	0
COc1ccccc1SC[C@H](CN[C@@H]1COc2ccccc2SC1)C(C)C	0.7060098949814332	2.101268746511873	0	0	0.0	0	0	0	0	0	0	0	0	0	0
COc1ccc(-c2cccc(C(F)(F)F)c2)cc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12	0.7083062714638737	-4.534377086674956	0	0	9.706073385399296	6	0	0	0	0	0	0	0	0	0
COc1cc(-c2cc(F)cc(F)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3nncs3)ccc12	0.7022507149269639	1.0279644631285172	0	0	9.706073385399296	5	0	0	0	0	0	0	0	0	0
COc1cc(C(=O)NS(C)(=O)=O)ccc1-c1cnc(Sc2cccc(C)c2)c(Cl)c1	0.7296180192710583	-5.911262386336106	1	0	4.794537184071822	4	0	0	0	0	0	0	1	0	1
Cn1nccc1[C@H]1CCCC[C@@H]1Oc1cc(F)c(S(=O)(=O)Nc2ccncn2)c(F)c1	0.709995513602948	-0.09456867059268714	0	0	9.403897799597273	0	1	2	0	0	1	2	0	0	0
CCOc1cc2ncc(C(N)=O)c(Nc3ccc(F)cc3F)c2cc1C1CCN(C)CC1	0.7133655677152242	-3.0646790067686975	0	0	9.77851570501903	3	0	0	0	0	0	0	0	0	0
COc1cc(-c2cc(F)cnc2OC)c(F)cc1-c1nccc2cc(S(=O)(=O)Nc3ccon3)ccc12	0.70692230517928	2.4030391047624176	0	0	9.706073385399296	5	0	0	0	0	1	1	0	0	0
CS(=O)(=O)NC(=O)c1cc(F)c(COc2ccc(Cl)c(Cl)c2)cc1F	0.7510262561203755	0.41330001964666674	0	0	4.794537184071822	2	0	0	0	0	0	0	0	1	0
O=S(=O)(Nc1ncc(F)s1)N1CCc2c(cccc2-c2ccc(C(F)(F)F)cc2C2CCNCC2)C1	0.7083729098126141	3.463161499242731	0	0	0.0	6	1	1	0	0	0	0	0	1	0
COc1ccc2ncc(F)c(CC[C@@]3(O)CO[C@@H]4[C@@H](NCc5cc6c(cn5)OCCO6)CO[C@@H]43)c2n1	0.6861137601667604	-0.8992659532396665	0	2	9.967957041894417	1	0	0	0	0	0	0	0	1	0
CC(C)(O)CC(=O)N1C[C@H]2CN(c3cccc4c3cnn4-c3ccccc3F)C(=O)[C@H]2C1	0.7068934808031446	-0.27496855123757014	0	2	9.589074368143644	1	0	0	0	0	1	1	0	0	0
Cc1ccnc(CN2CCOc3ccc(-c4ccc(OC(F)(F)F)cc4)cc3C2=O)n1	0.7099955136029481	-2.9087491428935914	0	0	4.794537184071822	3	0	0	0	0	0	0	0	0	0
[N-]=[N+]=Nc1ccc(N2CCOc3cc(S(=O)(=O)Nc4nccs4)ccc32)c(C2=CCNCC2)c1	0.6925116125771802	3.022507433904848	0	0	4.722094864452088	1	0	0	0	0	0	0	0	0	0
Cn1nccc1-c1cc(Cl)ccc1-c1cccc2cc(S(=O)(=O)Nc3ncns3)ccc12	0.6966974366271113	2.5227311791759996	0	0	9.403897799597273	5	0	0	1	0	0	0	0	0	0
Cc1cnc(CN2CCOc3ccc(-c4ccc(OC(F)(F)F)cc4)cc3C2=O)cn1	0.7099955136029481	-5.168530779572582	0	0	14.76249422596624	3	0	0	0	0	0	0	0	0	0
CC(C)COc1ncc(-c2c(F)cc(C(=O)NS(C)(=O)=O)cc2F)cc1Cl	0.7538150619332968	4.52494683769779	0	0	4.794537184071822	3	0	0	0	0	0	0	0	0	0
O=C(O)c1ccc(-c2noc(C3CCN(C(=O)NC4CC4c4ccccc4)CC3)n2)cc1	0.6899617194513666	-1.5185472853542645	0	0	0.0	3	0	0	0	0	0	0	0	0	0
CN1CC=C(c2cc(Cl)cc(F)c2-c2cccc3c2CCN(S(=O)(=O)Nc2ncc(F)s2)C3)CC1	0.7069117636931505	0.7429852163561668	0	0	0.0	5	1	1	0	0	0	0	0	1	0
Cc1nc(OC2CCN(Cc3cscn3)CC2)c2ccn(Cc3ccccc3)c2n1	0.6779429348812528	-0.9602001279135972	0	0	4.899909730850478	2	0	0	0	0	0	0	0	0	0
COc1cc(-c2cccc(F)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12	0.6975896661607773	0.6508400803146492	0	0	9.706073385399296	5	0	0	0	0	0	0	0	0	0
C[C@H]1CN(C[C@H](Cc2ccccc2)C(=O)NCC(=O)O)CC[C@@]1(C)c1cccc(O)c1	0.7236293758871538	1.2895757488659096	0	0	9.589074368143644	2	0	0	0	0	0	0	0	0	0
O=S1(=O)CCN(c2cc(C(F)(F)F)ccc2[C@H]2CCOc3cc(S(=O)(=O)Nc4ncccn4)ccc32)CC1	0.7139784543487112	-1.2142422964512314	0	0	0.0	3	0	0	0	0	0	0	0	0	0
N#Cc1cc(-c2ccc(F)cc2)ccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21	0.6973097510129606	1.7771943913506343	0	0	4.722094864452088	3	0	0	0	0	0	0	0	0	0
CC(C)(O)CC(=O)N1CC[C@H]2CN(c3cccc4c3cnn4-c3ccccc3F)C(=O)[C@H]21	0.7068934808031446	1.933856597922935	0	2	9.589074368143644	1	0	0	0	0	0	0	0	0	0
Cn1nccc1-c1cc(C(F)(F)F)ccc1-c1cn(C)c2cc(S(=O)(=O)Nc3ccncn3)ccc12	0.7129044850019621	6.267833703065462	0	0	9.403897799597273	5	1	3	0	0	0	0	0	0	0
COc1cc(C(F)(F)F)ccc1-c1nccc2cc(S(=O)(=O)Nc3nccs3)cnc12	0.7169485119779102	-0.9454854599466935	0	0	14.690051906346504	3	0	0	0	0	0	0	0	0	0
