SMILES	SLogP	PEOE_VSA8	GATS3s	GATS2c	SIC3	GATS3c	EState_VSA4	AATS1i	VSA_EState5	GATS3dv	ATSC7v	GATS3Z	GATS1Z
NC(=S)NC(N)=S	-0.9367999999999999	0.0	0.9560918737352467	0.24384934854454635	0.6745665634070153	1.454699670859008	0.0	170.5593271052273	0.0	1.0472797927461142	0.0	1.854781281790438	0.5859613428280774
CC(=O)C(=O)c1ccccc1	1.4583000000000002	12.487188691387619	0.9848886213124622	1.1540067843515665	0.8821744315721143	1.0301488642469256	0.0	140.67453912332633	-0.845555555555555	1.1098179812465527	158.19295597526607	0.9896514629948363	0.7048192771084336
CC1C(c2ccc(Cl)cc2)SC(=O)N1C(=O)NC1CCCCC1	4.980700000000004	11.064474142889287	0.694381599012832	0.5385383200564421	0.8656842258569308	1.3591329734679782	31.246737983401033	144.9199730280283	0.0	0.8565909068124341	-681.005452906877	0.8431512141280353	0.6582685478452827
COc1ccc2ccc(=O)oc2c1	1.8016	17.518958351388015	0.9257805991088083	1.0714741723662375	0.9484501704693529	1.1374011086514035	5.386224214464796	142.40210129946365	0.6822685185185187	1.1271933071740576	-351.81291257988465	1.0177837938760266	0.6371359223300969
COC1CC1	0.7952	7.109797541277533	1.4749823819591266	1.7104581166085464	0.7348571339605584	1.3729629197509507	0.0	147.08077744640002	0.0	1.4901185770750984	0.0	1.0618101545253862	1.033112582781457
CC1CCC(C)(C(=O)O)C1(C)C	2.533400000000001	0.0	0.6294598546614676	0.46657771461039405	0.7892789781753358	0.747768551602724	12.841643245852019	145.42992685151503	-0.12921296296296325	1.2474619950020822	94.43016788310103	1.120772158169699	1.101670870113493
CC(=O)OCC(COC(C)=O)(COC(C)=O)COC(C)=O	0.2251999999999994	27.694948798762496	1.312373857602699	1.0938286025019097	0.5127937302726359	1.4129062768017682	0.0	147.92314359895005	-2.248703703703703	1.453197307530501	3591.7985525314516	1.4170506912442398	0.7613174301978857
CCOC(=O)CCc1ccccc1	2.1822999999999997	6.4208216229260096	1.108137711768007	1.0669300066482506	0.8791903886243367	1.3226844971699807	6.4208216229260096	143.39589681946669	-0.11911753590325014	1.340024630541872	55.80346148891944	1.0682506053268765	0.8862523540489643
Cc1cccc2c1ccc1ccccc12	4.301420000000003	0.0	0.8148139284432213	0.9817599364663158	0.8577318640211627	0.8245124602971853	0.0	137.68878020982072	0.0	1.1619387027797576	-119.51208367761205	0.9590163934426229	0.8068965517241379
CCSC(=S)OC(CC(=O)O)C(=O)O	0.9689000000000001	0.0	1.083763909227486	0.7716075937377481	0.9022630364981915	0.9726547947332203	11.761884949391115	146.6329039893261	-1.9108612055933483	1.1048767519223428	-249.88839820369202	0.9737717245989307	0.6860294117647061
OCc1cccc2ccccc12	2.3321000000000005	0.0	0.4804089614619567	0.8633367505971273	0.8903764953402299	0.521866035680099	10.949675706161791	140.78968728727176	0.0	1.0095457159286947	373.0412124657738	0.8725283126441546	0.8502091828628925
