SMILES	AATSC1c	GATS1se	N-079	GATS7d	SIC3	SLogP_VSA2	AATSC0c	JGI7	AATSC3c	ATSC3c	observed	predicted
COc1ccc2[n-]c(S(=O)Cc3ncc(C)c(OC)c3C)nc2c1	1.0161193612406347	-0.5181871331276184	-0.2836607454425078	0.42656635596758596	-0.3012677515196167	-0.6462054832653827	0.029048195141986203	-0.08729207095553025	-0.1697614901967145	-0.32090382285457825	1.0	1.0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1	-0.041672740472808674	0.02056412894706853	1.8692515789416542	1.5452646565273194	-1.9654794911770932	-0.1684318569825299	-0.4060879648515369	1.454423825910767	-0.07543729468726061	-0.2616888682091456	0.0	0.0
CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C	0.014063515739705936	-0.026938500732883404	-0.2836607454425078	0.6187830058336936	0.34505670130989946	-0.2055288254942969	-0.45105953122671805	0.9657462686172569	-0.2595296400990014	-0.41022118358884546	0.0	1.0
CC(=O)NCCCS(=O)(=O)O	-0.6730901385342353	-1.0246639208897603	-0.2836607454425078	1.8055025376196423	0.01803586397669561	-0.5717634292196807	0.0755712754794795	-2.379938314813748	-1.1703150885054705	-0.6586014771133766	0.0	0.0
CN(C)CC[C@H](c1ccccc1)c1ccccn1	1.4576506888392637	0.490121326661762	-0.2836607454425078	-0.24680770706309133	-0.2150134457057061	-0.5892120332981461	-1.4641249729652341	-0.3453788115721793	-0.17804355726248444	-0.3321366433106265	1.0	1.0
N=C(N)NC[C@@H]1COc2ccccc2O1	-0.9083559742445746	1.1642189802432457	-0.2836607454425078	0.23444815664392823	0.35529232862257054	-0.7314273525813586	1.0400626282688483	1.2587931044452247	-0.3992582230095144	-0.41986634642375675	1.0	1.0
CNCCc1ccccn1	1.222015900305531	1.0998826566937698	-0.2836607454425078	-0.8183710121056214	0.5468599127478134	-0.9092692536884847	-1.1838673872747083	2.0021898460142666	-0.24868244568450582	-0.32038155938288737	1.0	1.0
COCCc1ccc(OC[C@@H](O)CNC(C)C)cc1	0.8168539554144921	0.7407255028476404	-0.2836607454425078	-0.37096213664514266	0.07016919344281324	-0.22497845469448058	-0.5486883988567272	0.5643040432425754	0.34956714115448007	0.06650544256594092	1.0	1.0
CCN(CC)C(=O)c1cccnc1	0.8012901936610531	-0.8434507392954486	-0.2836607454425078	-1.4167163904935072	-1.0749976958440668	-0.6332363852279489	-0.9069169089477436	2.0021898460142666	-0.2502189386713398	-0.3367150298365554	1.0	1.0
CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	0.9575782955852115	-1.3208164592779315	-0.2836607454425078	0.279359796649052	0.38047370165944155	-0.7871021498022766	-1.1873317734879651	0.651014050989898	0.10033258076783763	0.028361867623743292	1.0	1.0
CN(C)CC/C=C1/c2ccccc2COc2ccc(CC(=O)O)cc21	0.5277368057695981	-0.13204415791909804	-0.2836607454425078	1.1239267812324323	0.2765401817467806	-0.42602068991056014	-0.46767541207592944	-0.07341717467767568	-0.19683505671601803	-0.37128326635350295	1.0	1.0
