ID_all;SMILES;ID_Livertox;orig_ID_Livertox;yorig_Livertox;CAS_Livertox;NAME_Livertox;units_Livertox;smilessource_Livertox;SMILES_Livertox;desired_units_Livertox;y_Livertox;y_consensus;valid/outlier
694;CCOC(=O)/C=C(\OCC)C1C(C(=O)c2ccc(Cl)cc2)C1/C(=C/C(=O)OCC)OCC;694;;0;;693207;classBSEPsub;SMILES;CCOC(=O)/C=C(\OCC)C1C(C(=O)c2ccc(Cl)cc2)C1/C(=C/C(=O)OCC)OCC;classBSEPsub;0;0;valid
695;O=C1/C(=C/c2ccc(Cl)cc2)CNC/C1=C\c1ccc(Cl)cc1;695;;0;;685124;classBSEPsub;SMILES;O=C1/C(=C/c2ccc(Cl)cc2)CNC/C1=C\c1ccc(Cl)cc1;classBSEPsub;0;0;valid
696;COC(=O)C1=C(C(=O)Nc2cccnc2Cl)N(c2ccc(OC)cc2[N+](=O)[O-])C(c2ccc(C)cc2)=CC1c1ccc(OC)cc1OC;696;;0;;692576;classBSEPsub;SMILES;COC(=O)C1=C(C(=O)Nc2cccnc2Cl)N(c2ccc(OC)cc2[N+](=O)[O-])C(c2ccc(C)cc2)=CC1c1ccc(OC)cc1OC;classBSEPsub;0;0;valid
697;CC(=O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O;697;;0;;318800;classBSEPsub;SMILES;CC(=O)OCC1OC(n2cc(F)c(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O;classBSEPsub;0;0;valid
698;CC(=O)OC1CCC2C3CCC4(C)CC(=O)C=CC4(C)C3CCC12C;698;;0;;628995;classBSEPsub;SMILES;CC(=O)OC1CCC2C3CCC4(C)CC(=O)C=CC4(C)C3CCC12C;classBSEPsub;0;0;valid
699;COc1ccc2cc(CN3CCC(C4CCNCC4)CC3)ccc2c1;699;;0;;683791;classBSEPsub;SMILES;COc1ccc2cc(CN3CCC(C4CCNCC4)CC3)ccc2c1;classBSEPsub;0;0;valid
700;Nc1ncnc2c(C3OC(CO)C(O)C3O)n[nH]c12;700;;0;;102811;classBSEPsub;SMILES;Nc1ncnc2c(C3OC(CO)C(O)C3O)n[nH]c12;classBSEPsub;0;0;valid
701;CCC1(O)CC(OC2CC(N3CCOCC3)C(O)C(C)O2)c2c(O)c3c(c(O)c2C1O)C(=O)c1cccc(O)c1C3=O;701;;0;;619003;classBSEPsub;SMILES;CCC1(O)CC(OC2CC(N3CCOCC3)C(O)C(C)O2)c2c(O)c3c(c(O)c2C1O)C(=O)c1cccc(O)c1C3=O;classBSEPsub;0;0;valid
702;Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1;702;;0;;102816;classBSEPsub;SMILES;Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1;classBSEPsub;0;0;valid
703;CCC/C=C/C=C/C(=O)OC1/C(=C/C(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4C/C(=C/C(=O)OC)CC(/C=C/C(C)(C)C1(O)O2)O4)O3;703;;0;;339555;classBSEPsub;SMILES;CCC/C=C/C=C/C(=O)OC1/C(=C/C(=O)OC)CC2CC(C(C)O)OC(=O)CC(O)CC3CC(OC(C)=O)C(C)(C)C(O)(CC4C/C(=C/C(=O)OC)CC(/C=C/C(C)(C)C1(O)O2)O4)O3;classBSEPsub;0;0;valid
704;NC(Cc1ccc2oc3cc(=O)c4ccccc4c-3nc2c1)C(=O)O;704;;0;;643735;classBSEPsub;SMILES;NC(Cc1ccc2oc3cc(=O)c4ccccc4c-3nc2c1)C(=O)O;classBSEPsub;0;0;valid
705;CC(O)C1(O)C(O)CC(OC2c3cc4c(c(O)c3C3CC2(C)OC32C=c3cc[nH]c3=N2)C(=O)c2cccc(O)c2C4=O)OC1C;705;;0;;194617;classBSEPsub;SMILES;CC(O)C1(O)C(O)CC(OC2c3cc4c(c(O)c3C3CC2(C)OC32C=c3cc[nH]c3=N2)C(=O)c2cccc(O)c2C4=O)OC1C;classBSEPsub;0;0;valid
706;CCC1(OC(C)=O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1;706;;0;;95382;classBSEPsub;SMILES;CCC1(OC(C)=O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3ccccc3nc2-1;classBSEPsub;0;0;valid
707;COc1cccc(C2c3cc4c(cc3OC(C)(O)C2C)OCO4)c1O;707;;0;;602341;classBSEPsub;SMILES;COc1cccc(C2c3cc4c(cc3OC(C)(O)C2C)OCO4)c1O;classBSEPsub;0;0;valid
708;COc1cc(C2C=C(c3ccccc3)Oc3cc4c(cc32)OCO4)cc(OC)c1OC;708;;0;;686963;classBSEPsub;SMILES;COc1cc(C2C=C(c3ccccc3)Oc3cc4c(cc32)OCO4)cc(OC)c1OC;classBSEPsub;0;0;valid
709;CN1C(=O)c2ccccc2OC12C=Cc1c(ccc3ccccc13)O2;709;;0;;692395;classBSEPsub;SMILES;CN1C(=O)c2ccccc2OC12C=Cc1c(ccc3ccccc13)O2;classBSEPsub;0;0;valid
710;CCOC(=O)NC1=C(N2CC2)C(=O)C(NC(=O)OCC)=C(N2CC2)C1=O;710;;0;;182986;classBSEPsub;SMILES;CCOC(=O)NC1=C(N2CC2)C(=O)C(NC(=O)OCC)=C(N2CC2)C1=O;classBSEPsub;0;0;valid
