ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_avdeef;NAME_avdeef;CAS_avdeef;y_avdeef_nointraoutliers_nointeroutliers;pka_avdeef;ID_sander;NAME_sander;CAS_sander;y_sander_nointraoutliers_nointeroutliers;pka_sander;ID_liao;NAME_liao;CAS_liao;y_liao_nointraoutliers_nointeroutliers;pka_liao;ID_qtbx;NAME_qtbx;CAS_qtbx;y_qtbx_nointraoutliers_nointeroutliers;ID_settimo;NAME_settimo;CAS_settimo;y_settimo_nointraoutliers_nointeroutliers;pka_settimo;units
6363;OCc1ccc(O)c(CO)c1;9.770000228881834;3.2368779560904994e-07;valid;;;;;;4235;;;9.77;a/thermodynamic;;;;;;[4176, 4174, 4175];;2937-60-2;9.77000045776367;;;;;;pKa
6364;OCc1ccc(O)cc1;9.819999847412106;2.157918708571191e-07;valid;;;;;;2759;;;9.82;a/thermodynamic;;;;;;[4027, 4028, 4029, 4030, 4031];[nan, nan, nan, nan, nan];623-05-2;9.81999969482421;;;;;;pKa
6365;OCc1cccc(CO)c1O;9.659999923706055;1.0789593228837464e-07;valid;;;;;;4267;;;9.66;a/thermodynamic;;;;;;[4440, 4441, 4442];;2937-59-9;9.65999984741211;;;;;;pKa
6366;OCc1cccc(O)c1;9.829999961853025;5.394796991240922e-08;valid;;;;;;2762;;;9.83;a1/thermodynamic;;;;;;[4000, 4001, 4002, 3999];;620-24-6;9.82999992370605;;;;;;pKa
6367;OCc1ccccc1O;9.896000061035155;0.03394103918021074;valid;;;;;;2760;;;9.92;a1/apparent;;;;;;[3968, 3969, 3695, 3696, 3967];[nan, nan, nan, nan, nan];90-01-7;9.87200012207031;;;;;;pKa
6368;OCc1ccccn1;4.67400005340576;0.0197990654003735;valid;;;;;;283;;;4.66;a1/apparent;;;;;;[16000, 16001, 17899, 17900, 15775];[nan, nan, nan, nan, nan];586-98-1;4.68800010681152;;;;;;pKa
6369;OCc1cccnc1;4.9666666984558105;0.04714040712246538;valid;;;;;;279;;;5.0;a1/apparent;;;;;;[15529, 15835, 15836];;100-55-0;4.93333339691162;;;;;;pKa
6370;OCc1ccncc1;5.3833332824707;0.03771243359390849;valid;;;;;;286;;;5.41;a1/apparent;;;;;;[14706, 14499, 14707];;586-95-8;5.3566665649414;;;;;;pKa
6371;OCn1cnc2ccccc21;5.440000028610225;4.0460968013752166e-08;valid;;;;;;3856;;;5.44;a/apparent;;;;;;14416;;19541-99-2;5.44000005722045;;;;;;pKa
6372;ON=C(c1ccccc1)c1ccccc1;11.3000000953674;1.348698695137685e-07;valid;;;;;;7091;;;11.3;apparent;;;;;;[1456, 1454, 1455];;574-66-3;11.3000001907348;;;;;;pKa
6373;ONc1cc[n+](O)c2ccccc12;3.89;;valid;;;;;;3325;;;3.89;a1/apparent;;;;;;;;;;;;;;;pKa
6374;ONc1ccc(Cl)cc1;2.5799999618530247;5.394796959839073e-08;valid;;;;;;3132;;;2.58;b1/thermodynamic;;;;;;25200;;823-86-9;2.57999992370605;;;;;;pKa
6375;ONc1ccc(O)cc1;;;outlier;;;;;;3062;;;;b1/thermodynamic;;;;;;19036;;3505-87-1;;;;;;;pKa
6376;ONc1ccnc2ccccc12;6.76;;valid;;;;;;1089;;;6.76;a1/apparent;;;;;;;;;;;;;;;pKa
6377;O[C@@H]1[C@@H](n2cnc3ccccc32)OC[C@@H](O)[C@H]1O;4.184999895095825;0.049497326326151316;valid;;;;;;5524;;;4.15;a/apparent;;;;;;18738;;No CAS number;4.21999979019165;;;;;;pKa
6378;O[C@H]1CO[C@H](n2cnc3ccccc32)[C@@H](O)[C@@H]1O;3.92;;valid;;;;;;5523;;;3.92;a/apparent;;;;;;;;;;;;;;;pKa
6379;O[C@H]1CO[C@H](n2cnc3cncnc32)[C@@H](O)[C@H]1O;1.8;;valid;;;;;;5510;;;1.8;a/apparent;;;;;;;;;;;;;;;pKa
6380;O[n+]1c2ccccc2cc2ccccc21;1.37;;valid;;;;;;7205;;;1.37;a/thermodynamic;;;;;;;;;;;;;;;pKa
6381;O[n+]1c2ccccc2nc2ccccc21;1.12;;valid;;;;;;7186;;;1.12;a/thermodynamic;;;;;;;;;;;;;;;pKa
6382;O[n+]1ccc(OCc2ccccc2)cc1;1.99;;valid;;;;;;7071;;;1.99;a/apparent;;;;;;;;;;;;;;;pKa
6383;O[n+]1ccccc1;0.77;;valid;;;;;;7892;;;0.77;a/apparent;;;;;;;;;;;;;;;pKa
6384;Oc1[nH+]ccc2cccnc12;2.64;;valid;;;;;;3879;;;2.64;a1/apparent;;;;;;;;;;;;;;;pKa
6385;Oc1[nH+]cnc2ccccc12;2.12;;valid;;;;;;3883;;;2.12;a1/apparent;;;;;;;;;;;;;;;pKa
6386;Oc1[nH+]ncc2ccccc12;-2.0;;valid;;;;;;3875;;;-2.0;a1/apparent;;;;;;;;;;;;;;;pKa
6387;Oc1[nH]c2ccccc2[nH+]1;-1.7;;valid;;;;;;2020;;;-1.7;a1/apparent;;;;;;;;;;;;;;;pKa
6388;Oc1c(Br)cccc1Br;6.626250016689298;0.037123129614525394;valid;;;;;;2818;;;6.6;apparent;;;;;;[11912, 11913, 11914, 12046];;608-33-3;6.652500033378596;;;;;;pKa
6389;Oc1c(C(Nc2nc3ccccc3s2)c2ccccn2)ccc2cccnc12;10.94;;valid;;;;;;4760;;;10.94;a1/apparent;;;;;;;;;;;;;;;pKa
6390;Oc1c(Cc2ccccc2)c(-c2ccccc2)nn1-c1ccccc1;7.6;;valid;;;;;;6355;;;7.6;a/apparent;;;;;;;;;;;;;;;pKa
6391;Oc1c(Cl)c(Cl)cc(Cl)c1C[NH+]1CCOCC1;4.915;;valid;;;;;;6173;;;4.915;a1/apparent;;;;;;;;;;;;;;;pKa
6392;Oc1c(Cl)cc(Cl)c(Cl)c1C[NH+]1CCCCC1;5.06;;valid;;;;;;6180;;;5.06;a1/apparent;;;;;;;;;;;;;;;pKa
6393;Oc1c(Cl)cc(Cl)c(Cl)c1C[NH+]1CCOCC1;4.84;;valid;;;;;;6170;;;4.84;a1/apparent;;;;;;;;;;;;;;;pKa
6394;Oc1c(Cl)cc(Cl)cc1C[NH+]1CCCCC1;5.97;;valid;;;;;;5149;;;5.97;a1/apparent;;;;;;;;;;;;;;;pKa
6395;Oc1c(Cl)cc(Cl)cc1C[NH+]1CCOCC1;5.67;;valid;;;;;;5135;;;5.67;a1/apparent;;;;;;;;;;;;;;;pKa
6396;Oc1c(Cl)ccc(Cl)c1Cl;6.066666660308837;0.0754247323178947;valid;;;;;;1452;;;6.12;thermodynamic;;;;;;[12978, 12979, 13646];;933-75-5;6.013333320617673;;;;;;pKa
