ID_all;SMILES;y_consensus;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous
38;C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C/C=C1/C(=O)OCC1O;0.0;valid;[1745, 748, 2742];;;0.0;;;;
39;C=C1CCC2C(CC2(C)C)C(=C)CCC1=NO;0.0;valid;[2041, 1044, 47];;;0.0;;;;
40;C=C1CCC2C(CC2(C)C)C(=O)CCC1O;0.0;valid;[552, 2546, 1549];;;0.0;;;;
41;C=CC(C)(O)CCC1C(=C)CC(O)C2C(C)(C)CCCC12C;0.0;valid;[2456, 1459, 462];;;0.0;;;;
42;C=CC1(C)CC(=O)C2(O)C(C)(O1)C(OC(C)=O)C(O)C1C(C)(C)CCC(O)C12C;0.0;valid;[1682, 685, 2679];;;0.0;;;;
43;C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1;0.0;valid;[1553, 556, 2550];;;0.0;;;;
44;C=CC1=C(C)C(Cc2[nH]c(Cc3[nH]c(C=c4[nH]c(O)c(C)c4=CC)c(C)c3C=CC(=O)O)c(CCC(=O)O)c2C)=NC1=O;1.0;valid;[714, 2708, 1711];;;1.0;;;;
45;C=CC1CN2CCC1CC2C(OC(=O)OCC)c1ccnc2ccc(OC)cc12;0.0;valid;[1290, 293, 2287];;;0.0;;;;
46;C=CC1C[N+]2(C)CCC1CC2C(O)c1ccnc2ccc(OC)cc12;0.0;valid;[808, 2802, 1805];;;0.0;;;;
47;C=CCC1=CC(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(/C(C)=C/C3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC;1.0;valid;[2121, 1124, 127];;;1.0;;;;
48;C=CCSCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1;0.0;valid;[1074, 77, 2071];;;0.0;;;;
49;C=CCSCC=C;0.0;valid;[281, 2275, 1278];;;0.0;;;;
50;C=NC(C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O)c1ccccc1;0.0;valid;[769, 2763, 1766];;;0.0;;;;
51;C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)O)CCC3(C)CCC12C;0.0;valid;[1730, 733, 2727];;;0.0;;;;
52;C=c1c(O)c(O)cc2c1=CC=C1C2(C)CCC2(C)C3CC(C)(C(=O)OC)CCC3(C)CCC12C;0.0;valid;[114, 2108, 1111];;;0.0;;;;
53;CC#CC1(O)CCC2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)CC21C;1.0;valid;[1177, 180, 2174];;;1.0;;;;
54;CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C;0.0;valid;[1424, 427, 2421];;;0.0;;;;
55;CC(=O)C1CCC2=C3CC(=O)C4CC(=O)CCC4(C)C3CCC21C;0.0;valid;[40, 2034, 1037];;;0.0;;;;
56;CC(=O)C1CCC2C3CC(C)=C4CC(=O)CCC4(C)C3C(O)CC12C;0.0;valid;[2761, 1764, 767];;;0.0;;;;
