ID_all;SMILES;ID_DeepPK;orig_ID_DeepPK;yorig_DeepPK;CAS_DeepPK;NAME_DeepPK;units_DeepPK;smilessource_DeepPK;SMILES_DeepPK;desired_units_DeepPK;y_DeepPK;ID_Metrabase;orig_ID_Metrabase;yorig_Metrabase;CAS_Metrabase;NAME_Metrabase;units_Metrabase;smilessource_Metrabase;SMILES_Metrabase;desired_units_Metrabase;y_Metrabase;comparison_DeepPK_Metrabase;onlyequal_DeepPK_Metrabase;y_Metrabase_nonambiguous;y_DeepPK_nonambiguous;y_consensus;valid/outlier
31;C=C1C2=CC(=O)OC(c3ccoc3)C2(C)CCC1C1(C)C=CC(=O)C(C)(C)C1CC(=O)OC;[1937, 940, 2934];940.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1C2=CC(=O)OC(c3ccoc3)C2(C)CCC1C1(C)C=CC(=O)C(C)(C)C1CC(=O)OC;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
32;C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(=O)C(C)(C)C(C(O)C(=O)OC)C12C;[1969, 972, 2966];972.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(=O)C(C)(C)C(C(O)C(=O)OC)C12C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
33;C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C;[1672, 675, 2669];675.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(O)C(C)(C)C(CC(=O)OC)C12C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
34;C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(OC(C)=O)C(C)(C)C(CC(=O)OC)C12C;[2944, 1947, 950];950.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(OC(C)=O)C(C)(C)C(CC(=O)OC)C12C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
35;C=C1C2CCC3C4(C)CC(OC5OC(CO)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C5OC(=O)CC(C)C)CC(C(=O)O)C4CCC3(C2)C1O;[48, 2042, 1045];48.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1C2CCC3C4(C)CC(OC5OC(CO)C(OS(=O)(=O)O)C(OS(=O)(=O)O)C5OC(=O)CC(C)C)CC(C(=O)O)C4CCC3(C2)C1O;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
36;C=C1CC2OC2(C)CCC2C1CC2(C)C;[1728, 731, 2725];731.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1CC2OC2(C)CCC2C1CC2(C)C;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
37;C=C1CCC(O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)/C=C/C(C)C(C)C;[744, 2738, 1741];744.0;1.0;;;classOATP1b3sub;smiles_standarized;C=C1CCC(O)C/C1=C/C=C1\CCCC2(C)C1CCC2C(C)/C=C/C(C)C(C)C;classOATP1b3sub;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
38;C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C/C=C1/C(=O)OCC1O;[1745, 748, 2742];748.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1CCC2C(C)(CO)C(O)CCC2(C)C1C/C=C1/C(=O)OCC1O;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
39;C=C1CCC2C(CC2(C)C)C(=C)CCC1=NO;[2041, 1044, 47];47.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1CCC2C(CC2(C)C)C(=C)CCC1=NO;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
40;C=C1CCC2C(CC2(C)C)C(=O)CCC1O;[552, 2546, 1549];552.0;0.0;;;classOATP1b3sub;smiles_standarized;C=C1CCC2C(CC2(C)C)C(=O)CCC1O;classOATP1b3sub;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
