ID_all;SMILES;ID_avdeef;orig_ID_avdeef;yorig_avdeef;CAS_avdeef;NAME_avdeef;units_avdeef;smilessource_avdeef;pka_avdeef;SMILES_avdeef;desired_units_avdeef;y_avdeef;ID_sander;orig_ID_sander;yorig_sander;CAS_sander;NAME_sander;units_sander;smilessource_sander;pka_sander;SMILES_sander;desired_units_sander;y_sander;ID_liao;orig_ID_liao;yorig_liao;CAS_liao;NAME_liao;units_liao;smilessource_liao;pka_liao;SMILES_liao;desired_units_liao;y_liao;ID_qtbx;orig_ID_qtbx;yorig_qtbx;CAS_qtbx;NAME_qtbx;units_qtbx;smilessource_qtbx;SMILES_qtbx;desired_units_qtbx;y_qtbx;ID_settimo;orig_ID_settimo;yorig_settimo;CAS_settimo;NAME_settimo;units_settimo;smilessource_settimo;pka_settimo;SMILES_settimo;desired_units_settimo;y_settimo
1241;CCC(C)(C)NC1CCCCC1;;;;;;;;;;;;757;dcN@@@rQRJHkKmUUUP@@;11.2;;;pKa;Smiles;a/thermodynamic;CCC(C)(C)NC1CCCCC1;pKa;11.2;;;;;;;;;;;;1574;5843;11.1999998092651;No CAS number;;pKa;SMILES;CCC(C)(C)NC1CCCCC1;pKa;11.1999998092651;;;;;;;;;;;
1242;CCC(C)(C)Nc1ccccc1;;;;;;;;;;;;753;dcN@@@rQQRIHsmATD@@@;6.55;;;pKa;Smiles;a/apparent;CCC(C)(C)Nc1ccccc1;pKa;6.55;;;;;;;;;;;;[11761, 11743, 9975];[3648, 14387];7.05333344141642;['19088-50-7', 'Invalid CAS number: 5-63-1'];;pKa;SMILES;CCC(C)(C)Nc1ccccc1;pKa;7.05333344141642;;;;;;;;;;;
1243;CCC(C)(CC)Nc1ccccc1;;;;;;;;;;;;3601;dkn@@@RfZU^ShJ`h@@;6.32;;;pKa;Smiles;a/thermodynamic;CCC(C)(CC)Nc1ccccc1;pKa;6.32;;;;;;;;;;;;[12664, 12561, 12571, 12638];[14378, 5844];6.320000171661374;['5-61-8', '104665-99-8'];;pKa;SMILES;CCC(C)(CC)Nc1ccccc1;pKa;6.320000171661374;;;;;;;;;;;
1244;CCC(C)(N)C(=O)[O-];;;;;;;;;;;;463;dazDBBADyInmjj@@;9.98;;;pKa;Smiles;a2/apparent;CCC(C)(N)C(=O)[O-];pKa;9.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1245;CCC(C)(N)CC;;;;;;;;;;;;7677;gNx@@dtmUP@;10.91;;;pKa;Smiles;a/apparent;CCC(C)(N)CC;pKa;10.91;;;;;;;;;;;;27495;13488;1.62999999523162;Invalid CAS number: 4-30-9;;pKa;SMILES;CCC(C)(N)CC;pKa;1.62999999523162;;;;;;;;;;;
1246;CCC(C)(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1;;;;;;;;;;;;6439;fjmA`@@HEdTtTTbVqTRQgYJuPUAD@@@@@;3.41;;;pKa;Smiles;a1/thermodynamic;CCC(C)(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1;pKa;3.41;;;;;;;;;;;;22234;5848;3.41000008583068;93371-56-3;;pKa;SMILES;CCC(C)(O)C(C(=O)O)c1ccc(-c2ccccc2)cc1;pKa;3.41000008583068;;;;;;;;;;;
1247;CCC(C)(O)c1cnc(CC(C)C)c(O)[n+]1[O-];;;;;;;;;;;;6249;fhqQ`BDL@SRIIrSLw_S[APPQUUP@@;5.02;;;pKa;Smiles;a/apparent;CCC(C)(O)c1cnc(CC(C)C)c(O)[n+]1[O-];pKa;5.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1248;CCC(C)C(=O)CCN1CCOCC1;;;;;;;;;;;;2187;dg^D@ABtfY_eSmjjjj`@;7.07;;;pKa;Smiles;a1/apparent;CCC(C)C(=O)CCN1CCOCC1;pKa;7.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1249;CCC(C)C(N)C(=O)[O-];;;;;;;;;;;;2680;diFDBBADyInyZjjLH@;9.62;;;pKa;Smiles;a1/apparent;CCC(C)C(N)C(=O)[O-];pKa;9.62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1250;CCC(C)C([NH3+])C(=O)O;;;;;;;;;;;;2669;diFDBBABeInyZjjLH@;2.26;;;pKa;Smiles;a1/apparent;CCC(C)C([NH3+])C(=O)O;pKa;2.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1251;CCC(C)CC(=O)O;;;;;;;;;;;;352;daxD@@QImejj@@;4.84;;;pKa;Smiles;apparent;CCC(C)CC(=O)O;pKa;4.84;;;;;;;;;;;;[16105, 16068];347;4.83500003814697;105-43-1;;pKa;SMILES;CCC(C)CC(=O)O;pKa;4.83500003814697;;;;;;;;;;;
1252;CCC(C)CC([NH3+])C(=O)O;;;;;;;;;;;;1904;defDBBABeInvVjjhp`@;3.25;;;pKa;Smiles;a1/apparent;CCC(C)CC([NH3+])C(=O)O;pKa;3.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1253;CCC(C)N;;;;;;;;;;;;7543;gJX@@dsU@@;10.56;;;pKa;Smiles;a/thermodynamic;CCC(C)N;pKa;10.56;;;;;;;;;;;;2485;4760;10.5600004196167;33966-50-6;;pKa;SMILES;CCC(C)N;pKa;10.5600004196167;;;;;;;;;;;
1254;CCC(C)N(C)C;;;;;;;;;;;;7688;gNx@AddTMUP@;10.4;;;pKa;Smiles;b/apparent;CCC(C)N(C)C;pKa;10.4;;;;;;;;;;;;27634;14594;1.57000005245208;921-04-0;;pKa;SMILES;CCC(C)N(C)C;pKa;1.57000005245208;;;;;;;;;;;
1255;CCC(C)N(C)c1ccccc1;;;;;;;;;;;;750;dcN@@@RifuyvhJB@@@;6.03;;;pKa;Smiles;a/apparent;CCC(C)N(C)c1ccccc1;pKa;6.03;;;;;;;;;;;;12663;14361;6.30000019073486;Invalid CAS number: 5-59-9;;pKa;SMILES;CCC(C)N(C)c1ccccc1;pKa;6.30000019073486;;;;;;;;;;;
1256;CCC(C)NC(C#N)=C(C#N)C#N;;;;;;;;;;;;3190;dkL`@@q]RVVYWijkx@@;6.35;;;pKa;Smiles;a1/apparent;CCC(C)NC(C#N)=C(C#N)C#N;pKa;6.35;;;;;;;;;;;;12542;5854;6.34999990463256;No CAS number;;pKa;SMILES;CCC(C)NC(C#N)=C(C#N)C#N;pKa;6.34999990463256;;;;;;;;;;;
1257;CCC(C)NC(C)C;;;;;;;;;;;;425;daz@@@RfYjj`@;11.0;;;pKa;Smiles;b/apparent;CCC(C)NC(C)C;pKa;11.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1258;CCC(C)NC(C)CC;;;;;;;;;;;;2633;diF@@@RfYzjj@@;10.94;;;pKa;Smiles;b/apparent;CCC(C)NC(C)CC;pKa;10.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1259;CCC(C)NCC(C)C;;;;;;;;;;;;2632;diF@@@RfWjjj@@;10.77;;;pKa;Smiles;b/apparent;CCC(C)NCC(C)C;pKa;10.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
