ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_Potts;NAME_Potts;CAS_Potts;y_Potts_nointraoutliers_nointeroutliers;ID_Khajeh;NAME_Khajeh;CAS_Khajeh;y_Khajeh_nointraoutliers_nointeroutliers;units
45;CC(O)COC(=O)c1cccnc1;-4.23;;valid;191;;61379-44-0;-4.23;;;;;logcm/h
46;CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1;-4.69;0.0;valid;192;;76-25-5;-4.69;218;triamcinolone acetonide;;-4.69;logcm/h
47;CC1CO1;-3.05;0.0;valid;198;;75-56-9;-3.05;201;Propylene oxide;;-3.05;logcm/h
48;CC1OC(OC2CC(O)C3(CO)C4C(O)CC5(C)C(c6coc(O)c6)CCC5(O)C4CCC3(O)C2)C(O)C(O)C1O;-6.02062;;valid;10;;36-06-6;-6.02062;;;;;logcm/h
49;CC=O;-3.15;0.0;valid;199;;75-07-0;-3.15;241;Acetaldehyde ;;-3.15;logcm/h
50;CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1;-2.04435;;valid;52;;56030-54-7;-2.04435;;;;;logcm/h
51;CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1;-2.212895;0.05247439423185361;valid;18;;437-38-7;-2.17579;126;Fentanyl ;;-2.25;logcm/h
52;CCC(=O)O;-2.94;0.0;valid;203;;79-09-4;-2.94;197;Propionic acid ;;-2.94;logcm/h
53;CCC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C;-2.47;;valid;200;;6677-98-1;-2.47;;;;;logcm/h
54;CCC(C)=O;-2.724335;0.3191385035529245;valid;16;;78-93-3;-2.49867;230;2-butanone ;;-2.95;logcm/h
55;CCC(C)C1(CC)C(=O)NC(=O)NC1=O;-3.71;;valid;201;;125-40-6;-3.71;;;;;logcm/h
56;CCC(CO)c1ccccc1;-1.19;;valid;202;;2035-94-1;-1.19;;;;;logcm/h
57;CCC1(C2=CCCCC2)C(=O)NC(=O)NC1=O;-3.090925;0.0013081475451952043;valid;145;;52-31-3;-3.09185;96;cyclobarbitone;;-3.09;logcm/h
58;CCC1(CC)C(=O)NC(=O)NC1=O;-3.922935;0.01306026224851568;valid;76;;57-44-3;-3.93217;246;barbital ;;-3.9137;logcm/h
59;CCC1(CCC(C)C)C(=O)NC(=O)NC1=O;-2.63001;0.014127993488107454;valid;88;;57-43-2;-2.62002;69;amylobarbital;;-2.64;logcm/h
60;CCC1(c2ccccc2)C(=O)NC(=O)NC1=O;-3.3361400000000003;0.019600999974491076;valid;75;;50-06-6;-3.32228;189;phenobarbital;;-3.35;logcm/h
61;CCCC(=O)O;-2.84505;0.19098954159848666;valid;106;;107-92-6;-2.9801;248;butyric acid;;-2.71;logcm/h
62;CCCC(C)(O)c1ccccc1;-0.97;;valid;205;;4383-18-0;-0.97;;;;;logcm/h
