ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;yorig_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;units_ChEMBL;smilessource_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;ID_CtoxPred;orig_ID_CtoxPred;yorig_CtoxPred;CAS_CtoxPred;NAME_CtoxPred;units_CtoxPred;smilessource_CtoxPred;SMILES_CtoxPred;desired_units_CtoxPred;y_CtoxPred;comparison_ChEMBL_CtoxPred;onlyequal_ChEMBL_CtoxPred;y_CtoxPred_nonambiguous;y_ChEMBL_nonambiguous;y_consensus;valid/outlier
21;CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;63;108;1.0;;CHEMBL247828;classCavinh;SMILES;CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;337.0;JDORNNHHHQXMCA-NHCUHLMSSA-N;1.0;;;classCavinh;SMILES;CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
22;CC(C)NC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;168;265;1.0;;CHEMBL3923714;classCavinh;SMILES;CC(C)NC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;classCavinh;1.0;425.0;PFELFOCPWCQJBE-UHFFFAOYSA-N;1.0;;;classCavinh;SMILES;CC(C)NC(=O)N1N=C(c2ccc(Br)cc2)CC1c1ccc(F)cc1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
23;CC(C)NCC(O)COc1cccc2ccccc12;4;5;0.0;;CHEMBL27;classCavinh;SMILES;CC(C)NCC(O)COc1cccc2ccccc12;classCavinh;0.0;202.0;AQHHHDLHHXJYJD-UHFFFAOYSA-N;0.0;;CHEMBL27;classCavinh;SMILES;CC(C)NCC(O)COc1cccc2ccccc12;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
24;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;5;6;0.0;;CHEMBL471;classCavinh;SMILES;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;classCavinh;0.0;73.0;ZBMZVLHSJCTVON-UHFFFAOYSA-N;0.0;;CHEMBL471;classCavinh;SMILES;CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1;classCavinh;0.0;0;0.0;0.0;0.0;0.0;valid
25;CC(C)OCc1ccccc1CNC(=O)c1c2c(c(Cl)n1C)CC(C)(C)CC2;200;323;1.0;;CHEMBL4202587;classCavinh;SMILES;CC(C)OCc1ccccc1CNC(=O)c1c2c(c(Cl)n1C)CC(C)(C)CC2;classCavinh;1.0;443.0;MXPIHVJVTXGYGQ-UHFFFAOYSA-N;1.0;;;classCavinh;SMILES;CC(C)OCc1ccccc1CNC(=O)c1c2c(c(Cl)n1C)CC(C)(C)CC2;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
26;CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1;146;234;1.0;;CHEMBL4096195;classCavinh;SMILES;CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1;classCavinh;1.0;137.0;DDAGGHIDQSHQBU-VSGBNLITSA-N;1.0;;CHEMBL4096195;classCavinh;SMILES;CC(C)[C@@]1(C(=O)O)CC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
27;CC1=C(C(=O)OCCCCCCCCCC[N+](C)(C)C)C(c2cccc3nonc23)C(C(=O)OC(C)C)=C(C)N1;97;154;1.0;;CHEMBL3436049;classCavinh;SMILES;CC1=C(C(=O)OCCCCCCCCCC[N+](C)(C)C)C(c2cccc3nonc23)C(C(=O)OC(C)C)=C(C)N1;classCavinh;1.0;;;;;;;;;;;1;1.0;;1.0;1.0;valid
28;CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;197;315;1.0;;CHEMBL3973610;classCavinh;SMILES;CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;classCavinh;1.0;432.0;FSXQKPHYXXIDGN-UHFFFAOYSA-N;1.0;;;classCavinh;SMILES;CC1CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
29;CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1;198;319;0.0;;CHEMBL1005;classCavinh;SMILES;CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1;classCavinh;0.0;;;;;;;;;;;0;0.0;;0.0;0.0;valid
30;CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc21;61;103;1.0;;CHEMBL3609824;classCavinh;SMILES;CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc21;classCavinh;1.0;168.0;YRBFVPQLCITKOD-JQTYSHOSSA-N;1.0;;CHEMBL3609824;classCavinh;SMILES;CCCC[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)COC)[C@@H](C(C)C)c2ccc(F)cc21;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
31;CCCN(C1CCN(Cc2c(OC)cccc2OC)CC1)S(=O)(=O)c1cccc(C(F)(F)F)c1;52;79;1.0;;CHEMBL2180891;classCavinh;SMILES;CCCN(C1CCN(Cc2c(OC)cccc2OC)CC1)S(=O)(=O)c1cccc(C(F)(F)F)c1;classCavinh;1.0;367.0;MIIPDAAENRAYGU-UHFFFAOYSA-N;1.0;;;classCavinh;SMILES;CCCN(C1CCN(Cc2c(OC)cccc2OC)CC1)S(=O)(=O)c1cccc(C(F)(F)F)c1;classCavinh;1.0;1;1.0;1.0;1.0;1.0;valid
