ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;y_original_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;orig_UNITS_ChEMBL;smilessource_ChEMBL;yorig_ChEMBL;units_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;zscore_ChEMBL;zscore_ChEMBL_thres;y_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers_thres;y_consensus;valid/outlier
1809;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2cc(N)c(O)c(c2)-c2cc1ccc2O;7433;CHEMBL1784530;8.0;;;ug.mL-1;Smiles;8927.614898403743;nM;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2cc(N)c(O)c(c2)-c2cc1ccc2O;nM;8927.614898403743;-0.15577499952811244;0;8927.614898403743;-0.30754595255576705;0;8927.614898403743;valid
1810;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2OCCN;1706;CHEMBL2430749;0.1;;;ug.mL-1;Smiles;108.207542065682;nM;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2OCCN;nM;108.207542065682;-0.17628434288259281;0;108.207542065682;-0.3712272929437931;0;108.207542065682;valid
1811;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2OCCO;13405;CHEMBL2429877;1.0;;;ug.mL-1;Smiles;1080.924493100459;nM;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2OCCO;nM;1080.924493100459;-0.17402231039793173;0;1080.924493100459;-0.36420370090894594;0;1080.924493100459;valid
1812;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2OP(=O)(O)O;10523;CHEMBL2430747;0.3;;;ug.mL-1;Smiles;312.1553284914573;nM;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)O)Cc2ccc(O)c(c2)-c2cc1ccc2OP(=O)(O)O;nM;312.1553284914573;-0.17581006666320642;0;312.1553284914573;-0.3697546692306555;0;312.1553284914573;valid
1813;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)NCC=O)Cc2ccc(O)c(c2)-c2cc1ccc2O;1680;CHEMBL2430746;32.0;;;ug.mL-1;Smiles;34182.15456529379;nM;CCCCCCCCCCCCCCCC(=O)N(C)[C@H](CO)C(=O)N[C@H](C)C(=O)NCC(=O)N(C)[C@@H]1C(=O)N[C@@H](C)C(=O)N[C@H](CC(=O)NCC=O)Cc2ccc(O)c(c2)-c2cc1ccc2O;nM;34182.15456529379;-0.09704610717058176;0;34182.15456529379;-0.1251932306674455;0;34182.15456529379;valid
1814;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CCC1=O;1478;CHEMBL3425767;0.6;;;nM;Smiles;0.6;nM;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CCC1=O;nM;0.6;-0.1765345819223136;0;0.6;-0.3720042830790406;0;0.6;valid
1815;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;10877;CHEMBL3425766;0.6;;;nM;Smiles;0.6;nM;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;nM;0.6;-0.1765345819223136;0;0.6;-0.3720042830790406;0;0.6;valid
1816;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;9231;CHEMBL3425677;3.0;;;nM;Smiles;3.0;nM;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;nM;3.0;-0.1765290007735967;0;3.0;-0.3719869536587342;0;3.0;valid
1817;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;11143;CHEMBL3425676;3.0;;;nM;Smiles;3.0;nM;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCCN)C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;nM;3.0;-0.1765290007735967;0;3.0;-0.3719869536587342;0;3.0;valid
1818;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;7164;CHEMBL3425674;1.0;;;nM;Smiles;1.0;nM;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;nM;1.0;-0.1765336517308608;0;1.0;-0.37200139484232286;0;1.0;valid
1819;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;7163;CHEMBL3425675;13.0;;;nM;Smiles;13.0;nM;CCCCCCCCCCCCCCCC(=O)N(CC(N)=O)C[C@H](CCCCN)NC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CN(C(=O)CCc2ccccc2)C[C@H](CCCCN)NC(=O)CCC1=O;nM;13.0;-0.17650574598727625;0;13.0;-0.37191474774079086;0;13.0;valid
1820;CCCCCCCCCCCCCCCC(=O)N(CCNC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)[C@H](CCCCN)N(C(=O)CCc2ccccc2)CCNC(=O)[C@H](CCCCN)N(C(=O)CCc2ccccc2)CCNC(=O)[C@H](CCCCN)N(C(=O)CCc2ccccc2)CCNC(=O)CCC1=O)[C@@H](CCCCN)C(N)=O;15321;CHEMBL5439039;0.6;;;nM;Smiles;0.6;nM;CCCCCCCCCCCCCCCC(=O)N(CCNC(=O)CN1C[C@H](Cc2ccccc2)NC(=O)[C@H](CCCCN)N(C(=O)CCc2ccccc2)CCNC(=O)[C@H](CCCCN)N(C(=O)CCc2ccccc2)CCNC(=O)[C@H](CCCCN)N(C(=O)CCc2ccccc2)CCNC(=O)CCC1=O)[C@@H](CCCCN)C(N)=O;nM;0.6;-0.1765345819223136;0;0.6;-0.3720042830790406;0;0.6;valid
1821;CCCCCCCCCCCCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;15548;CHEMBL575171;512.0;;;ug.mL-1;Smiles;898620.8276438233;nM;CCCCCCCCCCCCCCCC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1;nM;898620.8276438233;1.9131875557884128;0;898620.8276438233;6.116565558864685;1;898620.8276438233;valid
