ID_all;SMILES;ID_ChEMBL;orig_ID_ChEMBL;yorig_ChEMBL;CAS_ChEMBL;NAME_ChEMBL;units_ChEMBL;smilessource_ChEMBL;SMILES_ChEMBL;desired_units_ChEMBL;y_ChEMBL;zscore_ChEMBL;zscore_ChEMBL_thres;y_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers;zscore_ChEMBL_nointraoutliers_thres;y_consensus;valid/outlier
26;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCC3)c2ncccc2c1;54;;23000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCC3)c2ncccc2c1;nM;23000.0;1.4005555895995825;0;23000.0;1.8421480274056172;0;23000.0;valid
27;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCC3)c2ncccc2c1;55;;26000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCC3)c2ncccc2c1;nM;26000.0;1.6647713091698315;0;26000.0;2.1673618507229695;0;26000.0;valid
28;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCCC3)c2ncccc2c1;56;;6000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](C(C)C)NC23CCCCCC3)c2ncccc2c1;nM;6000.0;-0.09666682129849644;0;6000.0;-0.0007303047260460049;0;6000.0;valid
29;COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCC(C)CC3)c2ncccc2c1;57;;23000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCC(C)CC3)c2ncccc2c1;nM;23000.0;1.4005555895995825;0;23000.0;1.8421480274056172;0;23000.0;valid
30;COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCCCCC3)c2ncccc2c1;58;;1900.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](C)NC23CCCCCC3)c2ncccc2c1;nM;1900.0;-0.45776163804450365;0;1900.0;-0.4451891965930942;0;1900.0;valid
31;COc1cc(NC(C)CCCN2C(=O)[C@H](CC(C)C)NC23CCCCCC3)c2ncccc2c1;59;;4100.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](CC(C)C)NC23CCCCCC3)c2ncccc2c1;nM;4100.0;-0.2640034436929876;0;4100.0;-0.20669905949370249;0;4100.0;valid
32;COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC2(C)C)c2ncccc2c1;60;;32000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC2(C)C)c2ncccc2c1;nM;32000.0;2.19320274831033;0;32000.0;2.817789497357674;0;32000.0;valid
33;COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC23CCCC3)c2ncccc2c1;61;;12000.0;;;nM;Smiles;COc1cc(NC(C)CCCN2C(=O)[C@H](Cc3ccccc3)NC23CCCC3)c2ncccc2c1;nM;12000.0;0.43176461784200193;0;12000.0;0.6496973419086587;0;12000.0;valid
34;Cc1cc(C(=N)N)cc(C)c1OCCN(CCOc1c(C)cc(C(=N)N)cc1C)S(=O)(=O)c1ccccc1;10;;1519.0;;;nM;Smiles;Cc1cc(C(=N)N)cc(C)c1OCCN(CCOc1c(C)cc(C(=N)N)cc1C)S(=O)(=O)c1ccccc1;nM;1519.0;-0.4913170344299253;0;1519.0;-0.4864913521543979;0;1519.0;valid
35;Cc1cc(C(=N)N)cc(C)c1OCCOCCOc1c(C)cc(C(=N)N)cc1C;11;;175.0;;;nM;Smiles;Cc1cc(C(=N)N)cc(C)c1OCCOCCOc1c(C)cc(C(=N)N)cc1C;nM;175.0;-0.6096856767973969;0;175.0;-0.6321871450005717;0;175.0;valid
36;N=C(N)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;20;;9150.0;;;nM;Smiles;N=C(N)c1ccc(C(=O)NCCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;nM;9150.0;0.18075968425026523;0;9150.0;0.34074420975717395;0;9150.0;valid
37;N=C(N)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;21;;14330.0;;;nM;Smiles;N=C(N)c1ccc(C(=O)NCCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;nM;14330.0;0.6369721600415622;0;14330.0;0.902280078018469;0;14330.0;valid
38;N=C(N)c1ccc(C(=O)NCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;22;;3580.0;;;nM;Smiles;N=C(N)c1ccc(C(=O)NCCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;nM;3580.0;-0.3098008350851641;0;3580.0;-0.26306945553537686;0;3580.0;valid
39;N=C(N)c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;23;;2990.0;;;nM;Smiles;N=C(N)c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=N)N)cc2)cc1;nM;2990.0;-0.3617632599339798;0;2990.0;-0.32702817412112284;0;2990.0;valid
40;N=C(N)c1ccc(CN2CCN(Cc3ccc(C(=N)N)cc3)CC2)cc1;18;;109.0;;;nM;Smiles;N=C(N)c1ccc(CN2CCN(Cc3ccc(C(=N)N)cc3)CC2)cc1;nM;109.0;-0.6154984226279424;0;109.0;-0.6393418491135535;0;109.0;valid
41;N=C(N)c1ccc(COc2ccccc2OCc2ccc(C(=N)N)cc2)cc1;[85, 86];;1500.0;;;nM;Smiles;N=C(N)c1ccc(COc2ccccc2OCc2ccc(C(=N)N)cc2)cc1;nM;1500.0;-0.49299040065387023;0;1500.0;-0.4885510397020745;0;1500.0;valid
42;N=C(N)c1ccc(N2CCCN(c3ccc(C(=N)N)cc3)CC2)cc1;87;;2000.0;;;nM;Smiles;N=C(N)c1ccc(N2CCCN(c3ccc(C(=N)N)cc3)CC2)cc1;nM;2000.0;-0.448954447392162;0;2000.0;-0.4343487358158491;0;2000.0;valid
43;N=C(N)c1ccc(N2CCN(c3ccc(C(=N)N)cc3)CC2)cc1;88;;2600.0;;;nM;Smiles;N=C(N)c1ccc(N2CCN(c3ccc(C(=N)N)cc3)CC2)cc1;nM;2600.0;-0.3961113034781122;0;2600.0;-0.3693059711523786;0;2600.0;valid
44;N=C(N)c1ccc(NC(=O)CCC(=O)Nc2ccc(C(=N)N)cc2)cc1;94;;442.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;442.0;-0.5861704777556448;0;442.0;-0.6032431147253274;0;442.0;valid
45;N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;[98, 99, 100];;2.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;2.0;-0.624922116625948;0;2.0;-0.6509411421452057;0;2.0;valid
46;N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2cccc(C(=N)N)c2)cc1;101;;2270.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCCCC(=O)Nc2cccc(C(=N)N)c2)cc1;nM;2270.0;-0.4251750326308396;0;2270.0;-0.4050794917172874;0;2270.0;valid
47;N=C(N)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;102;;2370.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;2370.0;-0.41636784197849797;0;2370.0;-0.3942390309400423;0;2370.0;valid
48;N=C(N)c1ccc(NC(=O)CCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;103;;1950.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;1950.0;-0.45335804271833285;0;1950.0;-0.43976896620447165;0;1950.0;valid
49;N=C(N)c1ccc(NC(=O)CCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;104;;2440.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;2440.0;-0.4102028085218588;0;2440.0;-0.38665070839597077;0;2440.0;valid
50;N=C(N)c1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;105;;4280.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;4280.0;-0.24815050051877263;0;4280.0;-0.18718623009466134;0;4280.0;valid
51;N=C(N)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;106;;3070.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CCCCCCCCCCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;3070.0;-0.3547175074121065;0;3070.0;-0.3183558054993268;0;3070.0;valid
52;N=C(N)c1ccc(NC(=O)COCC(=O)Nc2ccc(C(=N)N)cc2)cc1;24;;146.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)COCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;146.0;-0.612239762086576;0;146.0;-0.6353308786259728;0;146.0;valid
53;N=C(N)c1ccc(NC(=O)CSCC(=O)Nc2ccc(C(=N)N)cc2)cc1;25;;568.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)CSCC(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;568.0;-0.5750734175336943;0;568.0;-0.5895841341459986;0;568.0;valid
54;N=C(N)c1ccc(NC(=O)[C@H]2C[C@H]2C(=O)Nc2ccc(C(=N)N)cc2)cc1;89;;5300.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)[C@H]2C[C@H]2C(=O)Nc2ccc(C(=N)N)cc2)cc1;nM;5300.0;-0.15831715586488793;0;5300.0;-0.07661353016676155;0;5300.0;valid
55;N=C(N)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1;[90, 91];;22800.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=N)N)cc3)cc2)cc1;nM;22800.0;1.382941208294899;0;22800.0;1.820467105851127;0;22800.0;valid
56;N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)c2)cc1;[92, 93];;1200.0;;;nM;Smiles;N=C(N)c1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C(=N)N)cc3)c2)cc1;nM;1200.0;-0.5194119726108951;0;1200.0;-0.5210724220338098;0;1200.0;valid
57;N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2)cc1;26;;1110.0;;;nM;Smiles;N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2)cc1;nM;1110.0;-0.5273384441980026;0;1110.0;-0.5308288367333303;0;1110.0;valid
58;N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;27;;62.0;;;nM;Smiles;N=C(N)c1ccc(NCCOCCNc2ccc(C(=N)N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1;nM;62.0;-0.619637802234543;0;62.0;-0.6444368656788587;0;62.0;valid
59;N=C(N)c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C(=N)N)cc3)cc2)cc1;[107, 108];;13400.0;;;nM;Smiles;N=C(N)c1ccc(OC(=O)c2ccc(C(=O)Oc3ccc(C(=N)N)cc3)cc2)cc1;nM;13400.0;0.555065286974785;0;13400.0;0.8014637927900897;0;13400.0;valid
60;N=C(N)c1ccc(OCC2=CC=CC(COc3ccc(C(=N)N)cc3)C2)cc1;109;;2600.0;;;nM;Smiles;N=C(N)c1ccc(OCC2=CC=CC(COc3ccc(C(=N)N)cc3)C2)cc1;nM;2600.0;-0.3961113034781122;0;2600.0;-0.3693059711523786;0;2600.0;valid
