ID_all;SMILES;y_consensus;y_consensus_sd;valid/outlier;ID_DeepPK;NAME_DeepPK;CAS_DeepPK;y_DeepPK_nointraoutliers_nointeroutliers;ID_DSSTOX;NAME_DSSTOX;CAS_DSSTOX;y_DSSTOX_nointraoutliers_nointeroutliers;units
1519;CC[C@H](OC(C)=O)C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1;0.6020599913279624;;valid;;;;;670.0;15130.0;;0.6020599913279624;logmg/kg/day
1520;CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C;0.22271647114758325;;valid;;;;;671.0;200742.0;;0.22271647114758325;logmg/kg/day
1521;CN1CC[C@]23CCCC[C@H]2[C@H]1Cc1ccc(O)cc13;-0.8239087409443188;;valid;;;;;672.0;5359272.0;;-0.8239087409443188;logmg/kg/day
1522;N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O;-2.0793549985932125;;valid;;;;;673.0;5819.0;;-2.0793549985932125;logmg/kg/day
1523;CCC[C@@H]1C[C@@H](C(=O)N[C@H]([C@@H](C)O)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1;1.5224442335063197;;valid;;;;;674.0;3000540.0;;1.5224442335063197;logmg/kg/day
1524;N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O;-2.7772835288524167;;valid;;;;;675.0;5920.0;;-2.7772835288524167;logmg/kg/day
1525;CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1;-1.0793549985932125;;valid;;;;;676.0;28864.0;;-1.0793549985932125;logmg/kg/day
1526;NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)C[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O;1.2227164711475833;;valid;;;;;677.0;72394.0;;1.2227164711475833;logmg/kg/day
1527;CN1[C@H](C[C@H](O)c2ccccc2)CCC[C@@H]1CC(=O)c1ccccc1;-0.7772835288524167;;valid;;;;;678.0;101616.0;;-0.7772835288524167;logmg/kg/day
1528;N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1;0.8241258339165489;;valid;;;;;682.0;5284584.0;;0.8241258339165489;logmg/kg/day
1529;O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O;-0.7772835288524167;;valid;;;;;684.0;3958.0;;-0.7772835288524167;logmg/kg/day
1530;CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21;0.12385164096708581;;valid;;;;;687.0;53232.0;;0.12385164096708581;logmg/kg/day
1531;CCN(CC)C(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1;-1.9030899869919435;;valid;;;;;690.0;5761.0;;-1.9030899869919435;logmg/kg/day
1532;NCCCC[C@H](N)C(=O)O;2.0;;valid;;;;;691.0;5962.0;;2.0;logmg/kg/day
1533;OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O;2.0;;valid;;;;;692.0;6255.0;;2.0;logmg/kg/day
1534;OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;2.9995654882259823;;valid;;;;;694.0;6251.0;;2.9995654882259823;logmg/kg/day
1535;O[C@H](CNCCCl)[C@@H](O)[C@H](O)[C@H](O)CNCCCl;0.5224442335063199;;valid;;;;;695.0;3033867.0;;0.5224442335063199;logmg/kg/day
1536;CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO;2.0;;valid;;;;;703.0;8567.0;;2.0;logmg/kg/day
1537;N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O;-1.0;;valid;;;;;705.0;460612.0;;-1.0;logmg/kg/day
