ID_all;SMILES;y_consensus;valid/outlier;NAME_DeepPK;CAS_DeepPK
25;C=CC(Cl)=C(C(Cl)=CC)c1c(=O)ncn2nc(Sc3ccc(F)cc3F)ccc12;1.0;valid;;
26;C=CC1=C(C(=O)O)N2C(=O)C(=NC(=O)C(NOCC(=O)O)c3csc(N)n3)[C@H]2SC1;0.0;valid;;
27;C=CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)[C@H]2SC1;0.0;valid;;
28;C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5;0.0;valid;;
29;C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2/C(=N\N=C2\CC[C@@]4(O)[C@H]6Cc7ccc(O)c8c7[C@@]4(CCN6CC=C)[C@H]2O8)CC[C@@]3(O)[C@H]1C5;1.0;valid;;
30;C=CCc1ccc2c(c1)OCO2;0.0;valid;;
31;C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12;1.0;valid;;
32;CC#C[C@]1(O)CC[C@H]2C3=C(C4=C(CC3)CC(=O)CC4)C(c3ccc(N(C)C)cc3)C[C@@]21C;0.0;valid;;
33;CC(=C/c1ccccc1)/C=C1/SC(=S)N(CC(=O)O)C1=O;1.0;valid;;
34;CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C;0.0;valid;;
35;CC(=O)CC(C)=O;0.0;valid;;
36;CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O;0.0;valid;;
37;CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN;0.0;valid;;
38;CC(=O)NC(CS)C(=O)O;0.0;valid;;
39;CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1;0.0;valid;;
40;CC(=O)NS(=O)(=O)c1ccc(N)cc1;0.0;valid;;
41;CC(=O)Nc1ccc(O)cc1;0.0;valid;;
42;CC(=O)Nc1ccc2c(c1)Cc1ccccc1-2;0.0;valid;;
43;CC(=O)Nc1cccc(O)c1;0.0;valid;;
44;CC(=O)O;0.0;valid;;
