ID_all;SMILES;ID_chEMBL;orig_ID_chEMBL;yorig_chEMBL;CAS_chEMBL;NAME_chEMBL;units_chEMBL;smilessource_chEMBL;SMILES_chEMBL;desired_units_chEMBL;y_chEMBL;ID_CtoxPred;orig_ID_CtoxPred;yorig_CtoxPred;CAS_CtoxPred;NAME_CtoxPred;units_CtoxPred;smilessource_CtoxPred;SMILES_CtoxPred;desired_units_CtoxPred;y_CtoxPred;comparison_chEMBL_CtoxPred;onlyequal_chEMBL_CtoxPred;y_chEMBL_nonambiguous;y_CtoxPred_nonambiguous;y_consensus;valid/outlier
1587;Cc1c(Cl)cccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;;;;;;;;;;;802;;1.0;;;classNavinh;SMILES;Cc1c(Cl)cccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1588;Cc1c(F)cccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;;;;;;;;;;;1624;;1.0;;;classNavinh;SMILES;Cc1c(F)cccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21;classNavinh;1.0;1;1.0;;1.0;1.0;valid
1589;Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(=O)n(C)n2)C3=O)ccc2c1COC2=O;;;;;;;;;;;1701;;0.0;;;classNavinh;SMILES;Cc1c([C@@H](O)CN2CCC3(CC2)CCN(c2ccc(=O)n(C)n2)C3=O)ccc2c1COC2=O;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1590;Cc1c([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ccc2c1COC2=O;;;;;;;;;;;632;;0.0;;;classNavinh;SMILES;Cc1c([C@@H](O)CN2CCN(C[C@H](O)c3ccc4c(c3C)COC4=O)CC2)ccc2c1COC2=O;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1591;Cc1c([C@@H]2CN3CCN(C(=O)Cc4ccc(-n5cnnn5)cn4)C[C@H]3CO2)ccc(F)c1C#N;;;;;;;;;;;1676;;0.0;;;classNavinh;SMILES;Cc1c([C@@H]2CN3CCN(C(=O)Cc4ccc(-n5cnnn5)cn4)C[C@H]3CO2)ccc(F)c1C#N;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1592;Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn(C)c3C(=O)NOC(C)(C)C)cc2)n[nH]1;;;;;;;;;;;1761;;0.0;;;classNavinh;SMILES;Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn(C)c3C(=O)NOC(C)(C)C)cc2)n[nH]1;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1593;Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn(C)c3S(N)(=O)=O)cc2)n[nH]1;;;;;;;;;;;1760;;0.0;;;classNavinh;SMILES;Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn(C)c3S(N)(=O)=O)cc2)n[nH]1;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1594;Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn4c3C(=O)NCC4)cc2)n[nH]1;;;;;;;;;;;40;;0.0;;;classNavinh;SMILES;Cc1cc(-c2ccc(C(=O)[C@@H]3CCCC[C@H]3C(=O)Nc3cnn4c3C(=O)NCC4)cc2)n[nH]1;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1595;Cc1cc(-c2cccc(F)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12;;;;;;;;;;;577;;0.0;;;classNavinh;SMILES;Cc1cc(-c2cccc(F)c2)ccc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12;classNavinh;0.0;0;0.0;;0.0;0.0;valid
1596;Cc1cc(C#N)ccc1-c1cn(C)c2cc(S(=O)(=O)Nc3ncns3)ccc12;;;;;;;;;;;599;;1.0;;;classNavinh;SMILES;Cc1cc(C#N)ccc1-c1cn(C)c2cc(S(=O)(=O)Nc3ncns3)ccc12;classNavinh;1.0;1;1.0;;1.0;1.0;valid
