ID_all;SMILES;y_consensus;valid/outlier;ID_Bocci;NAME_Bocci;CAS_Bocci;y_Bocci_nonambiguous;ID_Metrabase;NAME_Metrabase;CAS_Metrabase;y_Metrabase_nonambiguous;ID_Sedykh;NAME_Sedykh;CAS_Sedykh;y_Sedykh_nonambiguous;ID_Livertox;NAME_Livertox;CAS_Livertox;y_Livertox_nonambiguous
29;CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1;0.0;valid;29.0;Albendazole;;0.0;397.0;Albendazole;;0.0;;;;;1518.0;mol_0066;;0.0
30;CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1;1.0;valid;30.0;Albendazole-sulphoxide;;1.0;;;;;;;;;;;;
31;C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C=O)[C@@H](C(=O)CO)CC[C@@H]12;0.0;valid;31.0;Aldosterone;;0.0;158.0;Aldosterone;;0.0;;;;;;;;
32;C/C=C(\N)C(=O)O;0.0;valid;32.0;amino BPU;;0.0;;;;;;;;;;;;
33;CN(C)CCN1C(=O)c2cccc3cc(N)cc(c23)C1=O;0.0;valid;33.0;Amonafide L-malate;;0.0;246.0;Amonafide;;0.0;;;;;350.0;308847;;0.0
34;CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1;0.0;valid;34.0;Amprenavir;;0.0;;;;;;;;;;;;
35;Cc1ccncc1Nc1ncccc1C(=O)Nc1ccc(C2(C#N)CCCC2)cc1;1.0;valid;35.0;Apatinib;;1.0;43.0;3-Pyridinecarboxamide, N-[4-(1-cyanocyclopentyl)phenyl]-2-[(4-pyridinylmethyl)amino]-;;1.0;;;;;1397.0;mol_0442;;1.0
36;O=C(O)[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O;1.0;valid;36.0;Apigenin glucuronide;;1.0;;;;;;;;;;;;
37;O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21;0.0;valid;37.0;Arcyriaflavin A;;0.0;179.0;Arcyriaflavin A;;0.0;;;;;1427.0;mol_0126;;0.0
38;CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O;1.0;valid;38.0;Atorvastatin;;1.0;;;;;;;;;;;;
39;CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1;1.0;valid;39.0;Axitinib;;1.0;;;;;;;;;;;;
40;CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCNC(=O)c2ccc(N=[N+]=[N-])cc2)C1c1ccccc1C(F)(F)F;1.0;valid;40.0;Azidopine;;1.0;;;;;;;;;;;;
41;Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COP(=O)(O)O)O2)c(=O)[nH]c1=O;1.0;valid;41.0;AZT5' monophosphate;;1.0;27.0;Azidothymidine monophosphate;;1.0;;;;;;;;
42;CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1;1.0;valid;42.0;Barasertib-hQPA;;1.0;54.0;barasertib-hQPA;;1.0;;;;;1238.0;mol_0447;;1.0
43;O=C1c2ccccc2-c2nn(CCNCCO)c3ccc(NCCNCCO)c1c23;1.0;valid;43.0;BBR 3390;;1.0;323.0;BBR 3390;;1.0;14.0;BBR 3390;225918898.0;1.0;1436.0;mol_0497;;1.0
44;O=C(O)CCc1cc2c(cc1O)Oc1cc(O)c(CCC(=O)O)cc1C21OC(=O)c2cc(C(=O)O)ccc21;0.0;valid;44.0;BCECF;;0.0;86.0;BCECF;;0.0;;;;;1326.0;mol_0190;;0.0
45;CC(=O)OCOC(=O)CCc1cc2c(cc1OCOC(C)=O)Oc1cc(OCOC(C)=O)c(CCC(=O)OCOC(C)=O)cc1C21OC(=O)c2cc(C(=O)OCOC(C)=O)ccc21;1.0;valid;45.0;BCECF_AM;;1.0;281.0;BCECF-AM;;1.0;;;;;1327.0;mol_0450;;1.0
46;CCN(CC)CCN1C(=O)c2c(c3c4cccc(Cl)c4n([C@@H]4O[C@H](CO)[C@@H](OC)[C@H](O)[C@H]4O)c3c3[nH]c4c(Cl)cccc4c23)C1=O;1.0;valid;46.0;Becatecarin;;1.0;279.0;Becatecarin;;1.0;;;;;;;;
47;CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C;1.0;valid;47.0;Beclomethasone dipropionate;;1.0;;;;;;;;;;;;
48;COC[C@H]1CN(c2ccc(OCC[C@@H](O)C(F)(F)F)cc2)C(=O)O1;1.0;valid;48.0;Befloxatone;;1.0;224.0;Befloxatone;;1.0;;;;;;;;
49;O=S(=O)(O)Oc1ccc2ccc3c4ccccc4cc4ccc1c2c43;1.0;valid;49.0;Benzo(a)pyrene-3-sulfate;;1.0;14.0;Benzo[a]pyrene-3-sulfate;;1.0;;;;;1525.0;mol_0341;;1.0
50;O=C(O)[C@H]1O[C@@H](Oc2ccc3ccc4c5ccccc5cc5ccc2c3c54)[C@H](O)[C@@H](O)[C@@H]1O;1.0;valid;50.0;Benzo[a]pyrene-3-glucuronide;;1.0;405.0;BP-3-Glucuronide;;1.0;;;;;;;;
