ID_all;SMILES;y_consensus;valid/outlier;ID_ChEMBL;NAME_ChEMBL;CAS_ChEMBL;y_ChEMBL_nonambiguous;ID_CtoxPred;NAME_CtoxPred;CAS_CtoxPred;y_CtoxPred_nonambiguous
67;COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@H]2CCN(Cc3ccccc3)C2)[C@H]1c1cccc([N+](=O)[O-])c1;1.0;valid;[115, 195];;;1.0;186.0;CHEMBL2103761;;1.0
68;COC(c1ccccc1)(c1ccccc1)[C@H](Oc1nc(C)cc(C)n1)C(=O)O;0.0;valid;29;;;0.0;154.0;CHEMBL1111;;0.0
69;COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CC(C)(C)c2cc(F)ccc2[C@@H]1C(C)C;1.0;valid;180;;;1.0;192.0;CHEMBL3609823;;1.0
70;COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;1.0;valid;177;;;1.0;397.0;;;1.0
71;COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1;1.0;valid;94;;;1.0;203.0;CHEMBL1428;;1.0
72;COCCOc1ccc(C2(CCO)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1;1.0;valid;131;;;1.0;125.0;CHEMBL3969496;;1.0
73;COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1;0.0;valid;41;;;0.0;485.0;;;0.0
74;CO[C@@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c2ccc(F)cc21;1.0;valid;50;;;1.0;392.0;;;1.0
75;CO[C@H]1C[C@@](CCN(C)CCCc2nc3ccccc3[nH]2)(OC(=O)C(C)C)[C@@H](C(C)C)c2ccc(F)cc21;1.0;valid;75;;;1.0;389.0;;;1.0
76;CO[C@H]1C[C@H](Oc2cc(F)c(F)c(-c3ccc4c(c3)CC[C@H](CCC(=O)O)O4)n2)C1;0.0;valid;182;;;0.0;118.0;CHEMBL3980898;;0.0
77;CO[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12;1.0;valid;185;;;1.0;184.0;CHEMBL3609820;;1.0
78;COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12;0.0;valid;[144, 209];;;0.0;26.0;CHEMBL32;;0.0
79;COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC;1.0;valid;118;;;1.0;;;;
80;COc1cc(CCC(C)=O)ccc1O;0.0;valid;49;;;0.0;;;;
81;COc1cc(F)c(-c2ccc(C(=O)O)cc2C)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12;0.0;valid;202;;;0.0;;;;
82;COc1cc(F)c(-c2ccc(C(=O)O)cc2C)cc1-c1ccc(F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12;0.0;valid;54;;;0.0;;;;
83;COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC;0.0;valid;8;;;0.0;145.0;CHEMBL709;;0.0
84;COc1ccc(-c2ccc(C(=O)O)cc2C)cc1-c1cnc(N(C)C)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12;0.0;valid;124;;;0.0;;;;
85;COc1ccc(C2=NN(C(=O)Nc3ccc(Cl)cc3)[C@](CCO)(c3cccnc3)C2)cc1;1.0;valid;100;;;1.0;431.0;;;1.0
86;COc1ccc(CCC(=O)O)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12;1.0;valid;125;;;1.0;;;;
87;COc1ccc(CCN(C)C2CCCC(C(C#N)(c3ccc(OC)c(OC)c3)C(C)C)C2)cc1OC;1.0;valid;[114, 60, 46, 15];;;1.0;129.0;CHEMBL138302;;1.0
88;COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC;1.0;valid;172;;;1.0;46.0;CHEMBL51149;;1.0
89;COc1ccc(CCNC2CCCC(C(C#N)(c3ccc(OC)c(OC)c3)C(C)C)C2)cc1OC;1.0;valid;[57, 145, 12, 22];;;1.0;107.0;CHEMBL343771;;1.0
90;COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1;;outlier;153;;;;24.0;CHEMBL23;;
91;COc1ccc([C@H]2C[C@H](C(=O)O)C2)cc1-c1ccc(C(F)(F)F)cc1[C@@H]1CC[C@H]2[C@@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)OC(=O)N12;1.0;valid;203;;;1.0;;;;
