SMILES	AATS7se	AATSC2dv	GATS2se	BELpe-1	HATS0u	HATS5v	HATS0s	R1m+	F02[N-O]	F03[C-N]	B03[O-O]	F04[N-N]	B07[N-F]	EState_VSA8	SaasC	observed	predicted
C[C@H](Nc1cc(-c2nc([S@@](C)=O)[nH]c2-c2ccc(F)cc2)ccn1)c1ccccc1	0.15	0.15	-0.61	-0.1	-0.38	-0.52	0.02	1.56	-0.49	2.58	-0.57	-0.31	6.14	0.77	1.51	1	1
CN1/C(=C(/O)Nc2ccccn2)C(=O)c2sccc2S1(=O)=O	1.03	1.13	-0.73	0.46	0.15	1.49	0.49	0.88	2.12	0.88	-0.57	-0.31	-0.16	-0.51	-0.51	0	1
CCC(C)C(/N=C(\O)C(N)Cc1ccc(OS(=O)(=O)O)cc1)/C(O)=N/C(Cc1ccc(OS(=O)(=O)O)cc1)/C(O)=N/C(/C(O)=N/C(CCC(=N)O)C(=O)O)C(C)O	0.61	1.54	-1.43	-0.1	-0.86	-0.99	-0.05	0.66	3.86	1.85	-0.57	-0.31	-0.16	0.28	-0.53	0	0
CCCCCCCC/C=C\CCCCCCCC(=O)NC(CO[P@](=O)([O-])OCC[N+](C)(C)C)C(O)/C=C/CCCCCCCCCCCCC	-0.16	0.35	-0.5	-2.15	-0.29	-0.75	-0.27	-0.27	0.38	-0.34	-0.57	-0.31	-0.16	0.41	-0.66	0	0
CC(C)=CCC/C(C)=C/CC/C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(\C)CC/C=C(\C)CCC=C(C)C	-1.02	-1.24	0.74	0.09	-0.89	-1.25	-0.59	-1.03	-0.49	-0.83	-0.57	-0.31	-0.16	5.8	-0.66	0	0
Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C	-0.24	-0.31	-0.52	-0.1	-0.8	-1.27	-0.51	-0.75	1.25	0.88	-0.57	1.13	-0.16	-0.28	0.23	1	1
CCCCCCCCCCCCCCCC(=O)NC(COP(=O)(O)OCC[N+](C)(C)C)C(O)CCCCCCCCCCCCCCC	-0.16	0.18	-0.53	-2.15	-0.23	-0.37	0.03	0.25	0.38	-0.34	-0.57	-0.31	-0.16	-0.12	-0.66	0	1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O	-0.57	-0.39	-1.17	-0.28	-0.24	0.57	-0.3	-0.46	-0.49	-0.83	-0.57	-0.31	-0.16	-0.39	0.76	1	1
O=C(O)CC1NC(=O)C(Cc2ccccc2)NC1=O	0.52	-1.04	-1.26	-0.1	0.12	0.37	0.23	-0.28	1.25	0.14	-0.57	-0.31	-0.16	-0.49	-0.24	0	0
NCCCC(N)C(=O)O	0.53	0.35	-1.16	2.14	0.98	0.13	0.78	0.33	-0.49	-0.34	-0.57	-0.31	-0.16	-0.96	-0.66	0	0
CC/C=C\C#CC(O)c1ccc(/C=C\C(=O)OC)o1	0.56	0.52	0.43	-0.66	0.22	-0.67	-0.06	-0.39	-0.49	-0.83	1.76	-0.31	-0.16	-0.23	-0.31	0	0
CN(C)CCC=C1c2ccccc2COc2ccccc21	-0.72	-0.39	2.41	-0.47	-0.15	-0.21	-0.49	-0.69	-0.49	-0.59	-0.57	-0.31	-0.16	2.0	1.46	1	1
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1	1.05	0.83	-1.15	-0.1	-0.53	-0.83	-0.13	0.72	3.86	1.36	-0.57	1.13	-0.16	0.15	0.16	1	1
NC(CC(O)/C(O)=N/C1OCC=C1CO)C(=O)O	0.81	-0.68	0.09	0.84	0.13	-0.12	0.46	0.04	1.25	0.39	1.76	-0.31	-0.16	-0.74	-0.66	0	0
