SMILES	GATS2Z	ATSC0c	SLogP_VSA2	F02(O-O)	GATS2v	GATS1se	ATSC1se	ATSC7c	GATS2se	ATSC1dv	MINssCH2	VSA_EState2	AATS4s	EState_VSA5	ZMIC1	observed	predicted
O=C(O)P(=O)(O)O	1.71696	0.10817	-0.76404	2.07038	2.09152	4.49391	-2.90108	0.1418	-0.39034	-2.18369	-0.92256	0.34855	2.13102	-0.921	-1.3133	0	0
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1	0.75394	-0.49979	-0.24303	0.09362	1.07702	-0.62736	0.24133	-0.02418	-0.29081	-0.45055	-0.20127	-0.36484	-0.83283	-0.921	-0.36325	1	1
CCC1(c2cccc(O)c2)CCCCN(C)C1	1.01882	-0.8135	-0.43964	-0.5653	0.23246	1.05288	0.48457	0.00618	0.39851	-0.3417	1.61521	-0.9743	-1.17001	1.33646	-0.60874	0	0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1	0.28761	-1.05712	-0.9626	-0.5653	-0.3423	-1.19709	0.85085	0.36127	0.08477	-0.76865	0.76208	-0.87961	0.05713	-0.46568	0.13819	1	1
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1	-0.52965	-0.45651	-0.21028	0.75254	0.02809	-1.36143	0.98826	1.73678	-1.10699	-0.88916	0.31836	-0.46723	0.54314	1.13497	-0.52696	1	1
CC(NC(=NC#N)Nc1ccncc1)C(C)(C)C	-0.50932	-0.75996	-0.88708	-0.5653	-0.2436	0.95296	0.3975	0.25599	-0.77825	0.24874	0.43125	-0.65889	-0.83458	-0.921	-0.89883	1	1
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2C=O	-0.56823	2.29306	0.90241	0.75254	0.80132	0.40975	-2.01317	-1.47373	-0.94255	-0.10494	-1.44656	2.82219	0.63643	0.30468	0.27748	0	0
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1	-0.10377	-0.26039	0.82476	-0.5653	-0.43427	-1.03532	0.05199	0.24401	-0.62736	0.1137	-0.25936	-0.60283	-0.56714	0.79848	1.04602	0	0
CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O	0.23987	0.51289	0.17395	0.75254	0.84856	-0.44175	0.06817	-1.26806	-0.64784	0.35726	-1.51465	1.19712	-0.18164	-0.5684	0.68573	0	0
CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O	0.75804	-1.04363	-0.88679	-0.5653	1.05601	-0.585	0.39451	0.21773	-0.70967	-0.37103	0.92433	-0.42126	-1.13614	1.32823	-0.33492	0	0
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	-0.41419	-0.53616	-1.00306	0.09362	-0.18551	-1.28605	1.13947	-1.05311	-0.72339	-1.07507	0.74745	-1.11314	1.00173	1.2617	-0.63878	1	1
CCO	1.88176	-1.28248	-1.06635	-0.5653	2.46175	1.40521	0.3101	0.1418	0.64871	-1.33583	-0.12909	-1.12022	-1.88448	-0.921	-2.19211	1	1
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nc(C)c(CC(=O)O)s3)CSC12)c1csc(N)n1	0.81684	1.89719	1.41135	0.75254	-0.61523	0.10245	-1.09766	-0.23143	-0.61743	0.68241	-0.90969	2.7124	0.44919	2.83897	0.12978	0	0
COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1	-0.49721	-0.67842	-0.63074	0.09362	-1.1487	-0.8188	0.4824	0.36792	0.25428	-0.46832	0.89976	-0.16909	-0.53948	0.34194	-0.46874	1	1
CC(=O)NCCCS(=O)(=O)O	0.96724	-0.69518	-0.40455	1.41146	1.83791	-1.04615	0.66362	1.05546	-1.18219	-1.51164	-1.27727	-0.50528	0.13772	-0.42276	-1.2991	0	0
CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC	0.61853	0.06854	0.49957	0.09362	-0.08015	-0.81921	0.7135	-0.10929	0.08596	-0.08047	-0.81364	-0.22554	0.30904	0.96195	-0.4816	1	1
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1	0.04796	0.30528	0.49051	0.09362	-0.22877	-0.50479	-0.11396	0.32666	0.1115	0.38868	-0.14547	0.45246	-0.00852	0.36638	-0.36534	1	1
CCCCC1C(=O)C(=O)N(c2ccccc2)N1c1ccccc1	0.05712	-0.76594	-0.86168	-0.5653	0.76714	-1.56163	0.92867	0.10656	-0.50514	0.34199	0.74878	0.38894	-0.27503	-0.56055	0.58131	1	1
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1	1.90382	-1.02378	-0.45674	-0.5653	1.5833	1.02134	0.52486	0.09349	0.71751	-0.45924	1.17906	-0.96681	-1.0249	3.71731	0.63382	1	0
CCn1cc(C(=O)O)c(=O)c2cnc(N3CCNCC3)nc21	-0.43179	0.26153	0.29644	0.09362	-0.91172	0.07616	-0.27211	-0.98029	-0.3729	0.44696	0.4282	0.9319	0.99768	-0.02914	-0.45327	1	1
CCNCC(O)c1cccc(O)c1	0.94703	-0.48518	-0.67226	-0.5653	1.11869	1.47132	-0.04941	0.01727	0.203	-0.92511	0.40973	-1.12022	-0.43091	-0.921	-1.09859	1	1
COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(=O)O)c(C)c1C	-0.64283	-0.28657	-0.84626	0.09362	-1.12297	-0.08914	0.38843	-0.07049	-0.3216	0.74101	1.00494	-0.48655	-0.54825	0.71729	0.57746	1	1
CC(C)(C)NCC(O)COc1ccccc1C1CCCC1	1.07407	-0.57118	-0.44788	-0.5653	0.98298	0.92463	0.39872	0.09554	0.77865	-0.15298	0.0549	-1.12022	-1.14323	1.32754	-0.38337	1	0
Cc1nc(C)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2	-0.90403	-0.68946	-0.22351	-0.5653	-0.76604	-1.33713	1.3739	-0.10334	-0.80344	1.13884	0.34195	0.29105	-0.13567	-0.921	0.37523	1	1
CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O	0.57817	0.06472	0.86179	0.09362	0.12643	-0.41962	0.21221	-0.57132	-0.73746	0.19892	1.3928	0.79486	-0.55572	1.27979	-0.43287	0	0
COC12CCC3(CC1C(C)(O)C(C)(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5	-0.12837	0.23897	0.53006	-0.5653	-0.51567	0.47676	0.30792	-0.95443	0.47038	1.69945	1.21348	-0.95088	-0.89555	1.27476	0.45625	0	0
NC(C(=O)O)C(O)c1ccc(O)c(O)c1	-0.82111	0.90502	-0.36164	0.09362	1.12326	1.66078	-1.66696	0.45955	-0.47333	-1.38135	0.00426	-0.49185	1.72576	-0.48446	-0.88303	1	1
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21	0.44695	0.07463	-0.26235	0.75254	1.19147	-0.42634	0.38156	0.94547	-0.49711	0.74608	-0.44088	0.3331	-0.55733	-0.51995	0.45778	0	0
CCOc1ccc(NC(C)=O)cc1	-0.11032	-0.72633	-1.03912	-0.5653	0.23005	-0.19432	0.3992	0.63813	0.3087	-0.25733	0.69242	-0.4791	-0.33136	-0.42276	-1.14464	0	1
O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O	0.87601	0.10181	-0.63815	3.38822	0.5146	2.41336	-3.37021	-0.86238	-1.25622	-3.10103	-1.28935	1.03546	4.99412	0.82516	0.24376	0	0
CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)c3ccccc3)C(=O)N2C1C(=O)O	0.12577	1.28566	1.25729	0.09362	-0.06013	-0.33943	-0.79524	-0.97131	-1.12698	0.36308	-0.28258	2.73076	0.77317	0.278	0.53585	0	0
O=S(=O)(O)OC1C(O)COC(OC2COC(O)C(OS(=O)(=O)O)C2OS(=O)(=O)O)C1OS(=O)(=O)O	-0.80242	2.47216	2.76936	16.5666	0.0823	0.79224	-3.47207	0.83119	-0.39849	-4.8828	-2.6018	-1.12022	0.81685	-0.921	3.14296	0	0
COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O	0.25511	3.10255	1.68115	2.07038	-0.8843	0.64257	-1.85749	1.02598	1.0181	0.78425	-0.57825	-0.31682	0.02774	0.10225	1.34395	1	1
NS(=O)(=O)c1cc(Cl)cc(NCc2ccco2)c1C(=O)O	-0.31267	0.29448	-0.80178	0.75254	-0.48601	-0.27081	-0.26585	1.49459	-0.4795	-1.47286	-0.30397	-0.47295	0.99893	-0.03376	-0.60972	1	1
COc1cc(NS(=O)(=O)c2ccc(N)cc2)nc(OC)n1	-0.09839	0.31303	-0.35592	0.09362	-1.56853	-0.16261	0.1499	-0.06195	0.12355	-0.75913	0.82466	-0.6496	1.21923	2.28496	-0.31609	1	1
CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21	-0.74274	0.97956	0.22585	2.7293	-1.07814	-0.64095	0.41431	-0.70448	-0.4765	0.29923	-0.42125	0.60001	1.41042	1.4034	0.33721	0	0
NC1C(O)OC(CO)C(O)C1O	0.88185	0.16845	0.49662	0.09362	2.39018	2.04133	-1.79893	0.17989	0.72936	-1.59156	-1.59996	-1.12022	1.30914	-0.921	-0.80508	0	0
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1	-0.4933	-0.54492	-0.89137	0.09362	0.23839	-0.90863	0.28053	0.60275	-1.28282	-0.53368	-0.48355	0.27286	0.57398	-0.921	0.08422	1	1
CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1	0.2463	-0.34512	0.34373	-0.5653	-0.43748	0.36873	0.11781	-0.18786	0.15467	0.001	-0.72572	-0.03017	-0.56039	0.66834	-0.80141	1	0
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	0.75042	-0.26997	-0.03758	0.09362	0.88964	-0.12264	-0.1116	-0.11399	-0.17374	-0.54468	0.014	-0.35369	-0.50898	-0.921	-0.46256	1	1
