SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]
O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OC[C@@H](Cc1ccccc1)[C@@H]2O	-0.691	0	1	-3.757320403015764	-0.5979555555555555	-0.5437451832771291	-0.05837205774793735	2.22	9.408	0.57	0.21	-2.635	-1.141	0.22058823529411764	1	1
CNC(=N)N	-0.321	1	0	0.0		-0.9159272310269688	-0.46673627655906214	2.44	5.151	0.315	0.136	-0.27	-0.249	0.375	0	0
NCCCC(=O)NC(Cc1c[nH]cn1)C(=O)O	-1.596	0	2	-0.5234154175189614	-1.2566880930517295	-0.6459515150379445	-0.18912999382407092	2.33	7.233	0.446	0.192	-1.324	-0.387	0.20588235294117646	1	1
CC1CC[C@]2(OC1)OC1CC3C4CCC5CC(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)C[C@]5(C)C4CC[C@]3(C)C1C2C	-3.932	0	0	7.255486368816753	0.24025406076688124	-0.44813435568741816	-0.10348683817278342	2.29	6.906	0.476	0.098	-2.81	-4.64	0.25000000000000006	1	1
O=P1(N(CCCl)CCCl)NCCCO1	-0.468	0	0	0.3732553142617943	-6.064605628220371	-0.8616422576271153	-0.23557150052149065	2.13	3.788	0.57	0.263	0.276	0.087	0.21428571428571425	1	0
COC1OC[C@@]2(O)C(OC(C)=O)C3CC(C)(C)CC3[C@@]3(C)C[C@]132	-0.951	1	1	-5.845452130037401	-1.231724062173889	-0.47724917361691477	-0.03079024085215962	2.31	5.392	0.431	0.226	-1.921	-1.356	0.34615384615384615	1	0
COc1cc2c(Nc3c(Cl)ccc4c3OCO4)ncnc2cc1OCCCN1CCCCC1	-0.805	1	0	2.4634135770370222	-0.0784587813620072	-0.4013787432363552	-0.04946886039459925	2.23	5.812	0.349	0.145	-2.54	-1.788	0.13513513513513514	1	1
CC(C)C(N)C(=O)NC(CC(N)=O)C(=O)O	-1.308	0	3	-0.6245999084391567	-2.3369524118187215	-0.7365105305326455	-0.18627629253981948	2.35	8.158	0.497	0.197	-0.74	-0.512	0.3333333333333333	1	0
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@@H]1C=CO[C@H]1O2	0.149	1	1	-2.3695542983797657	-0.04923293455313055	-0.40012781262478264	-0.06115572824416983	2.21	6.418	0.384	0.329	-2.639	-1.107	0.14814814814814814	1	0
OC[C@H]1O[C@@H](n2cnc3c2N=CNC[C@H]3O)C[C@@H]1O	-0.921	0	0	-1.1777664255645086	-0.1723299319727892	-0.4937966257423881	-0.22557865338416516	2.33	7.382	0.422	0.232	-1.985	-1.201	0.16666666666666666	0	0
C=C(C(=O)O)C1CC[C@]2(C)C=CC(=O)C(C)=C2C1	-0.598	0	1	4.612184036911658	-1.8412698412698414	-0.6774432924300953	-0.046504495210384605	2.25	6.606	0.501	0.278	-0.654	-1.196	0.28947368421052627	1	0
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	-1.727	0	1	9.396676562674127	-3.480586503395898	-0.48162861423506054	-0.021573095129185777	2.24	6.168	0.467	0.182	-1.722	-1.008	0.2115384615384615	0	1
CC(=O)NC(CSC(F)(F)C(OCF)C(F)F)C(=O)O	0.287	0	2	-1.4974914231308742	-2.069494912790698	-0.5858566629347446	-0.11951667693745457	2.36	8.821	0.483	0.246	-0.842	-0.233	0.3421052631578947	1	1
C=C[C@@]1(C)CCC(=O)O1	-0.776	0	1	0.7801810292804868		-0.6660397787224646	-0.007008152463893653	2.3	6.168	0.531	0.244	-0.483	-0.357	0.3888888888888889	1	0
CC(C=O)C1CC[C@@]2(C)C3CC=C4C(CCC(OC5OC(COC6OC(CO)C(O)C(O)C6O)C(O)C(O)C5O)C4(C)C)[C@@]3(C)CC[C@]12C	-0.729	0	0	-0.626968094420087	-0.17227554703124442	-0.43302274778269356	-0.09563751768055088	2.26	6.621	0.488	0.109	-2.281	-3.018	0.2685185185185185	1	1
CC1C2C3CCC4[C@]5(C)CCC(=O)C(C)(C)C5CC[C@]4(C)[C@]3(C)CC[C@@]2(C)CC[C@]1(C)O	-3.045	0	0	2.5605024212509164	0.33114754098360655	-0.43390090271184384	-0.02137449182088796	2.28	4.599	0.5	0.175	0.074	-1.611	0.36111111111111105	0	1
O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1	-1.227	0	1	-6.33348020436391	5.400061218243037	-0.8327643149571359	-0.3559013942999765	2.13	8.729	0.553	0.226	-0.742	-0.102	0.30952380952380953	1	0
CNC(=O)Cc1ccc2ccn(C3CCN(CCc4ccccc4F)CC3)c2c1	-2.468	1	1	-3.490098277242186	-0.8670786277434478	-0.3849604124428532	-0.007904100817151398	2.22	5.656	0.394	0.153	-2.197	-1.634	0.171875	0	1
CN1[C@H]2CC[C@@H]1C[C@H](NC(=O)c1cc(Cl)cc3c1OC(C)(C)C3)C2	-1.29	1	1	-1.7695506853818173	-2.440640154724804	-0.45698858408487564	-0.013741590272537917	2.24	4.48	0.385	0.18	-1.23	-0.795	0.2777777777777777	0	1
O=C(O)CNC(=O)c1cccc(Cl)c1	-0.798	0	2	-0.5509856237054473	8.153846153846153	-0.7079757875442158	-0.13924357046527483	2.24	7.356	0.443	0.292	-0.644	-0.223	0.24999999999999994	1	0
CC(=O)NCCC=O	-0.434	0	1	-0.244102055972616		-0.565291300438489	-0.06210253089319249	2.39	6.307	0.51	0.191	-0.591	-0.306	0.21428571428571425	0	0
CC[C@@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21	-1.771	4	0	-4.331966038909295	0.19080576759966084	-0.28753280018151844	0.010482541201441273	2.23	5.759	0.392	0.142	-1.45	-2.228	0.17948717948717952	0	1
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCO	-2.436	0	1	0.049562179315155164	-0.10223698978741366	-0.5140393831901714	-0.04639522677203181	2.28	5.1	0.444	0.09	-1.142	-0.868	0.06818181818181819	0	1
CCOc1ccc2cc(C#N)c(=O)oc2c1	0.436	0	1	0.39147016780494476	-1.7084235294117642	-0.447965824252004	-0.04342032725270187	2.22	6.249	0.447	0.315	-1.324	-0.696	0.20588235294117646	1	1
CC(C)(C)NC(=O)[C@@H]1CC[C@@H]2[C@H]3CC[C@@H]4NC(=O)C=C[C@@]4(C)[C@@H]3CC[C@@]12C	-1.616	0	2	3.132041386428815	1.5925263576220867	-0.6848443420170506	-0.017657804165309512	2.28	4.888	0.486	0.18	-0.812	-1.741	0.31666666666666676	0	1
CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1	-1.359	0	0	-0.6570242805610211	0.394285714285714	-0.8985494165478365	0.03754586706180888	2.24	5.578	0.586	0.233	-0.298	-0.249	0.2941176470588235	1	1
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	-2.676	0	1	3.245406364857308	-0.5552160789221824	-0.5729121014104124	-0.07244045499940678	2.29	6.176	0.596	0.176	-1.01	-1.646	0.2741935483870967	1	1
COc1ccc2c3c([nH]c2c1)C(C)=NCC3	-0.609	1	0	-0.19616697110972425	-3.5705263157894738	-0.3571996730663325	-0.025518559467217084	2.22	4.16	0.331	0.297	-1.547	-0.735	0.16666666666666669	0	0
C=C1C=CC(C(C)CC(O)C=C(C)C)CC1	-0.591	0	0	3.3043418518703613	1.0641438356164383	-0.4222453993277914	-0.06382293231089195	2.26	4.661	0.389	0.174	-0.279	-0.897	0.28125	0	1
CCCCCCCCCCCCC#CCCCC(=O)O	-2.635	0	1	-0.2857211096778461	-0.0851063829787234	-0.6294758909253144	-0.04088037412357037	2.22	5.919	0.503	0.099	-0.491	-0.764	0.07894736842105263	1	1
CC(C)[C@]12CC[C@](C)(CC1)O2	-1.24	0	0	0.5731366219268232		-0.4226360471064278	0.05338798849329221	2.32	3.591	0.414	0.224	-0.805	-0.573	0.4166666666666667	0	0
CC(C)CC(NC(=O)C(N)CCC(N)=O)C(=O)O	-0.664	0	3	-0.9615172348992626	-0.725869572023418	-0.7477915816496387	-0.15379990024491105	2.35	7.93	0.515	0.165	-0.998	-0.342	0.32352941176470584	1	1
CC1=C(C(C)CO)C[C@@]2(O)[C@]3(C)CC(=O)O[C@]4(C(O)C(C)CC[C@@]34O)[C@@]12O	-0.917	0	1	-3.3105221427957736	1.4325324322377428	-0.5144946251733977	-0.12740366022758956	2.27	6.524	0.404	0.25	-1.673	-2.197	0.31666666666666676	1	0
CN1CCN(CCCN2c3ccccc3Sc3ccccc32)CC1	-0.884	1	0	-3.545796388352625	0.5497177594442031	-0.16409952027240204	0.11850048990225197	2.23	5.043	0.382	0.185	-1.583	-0.918	0.12962962962962962	0	1
CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CC[C@]4(C)C3CC(O)[C@]12C	-2.823	0	0	3.2252376174824064	0.3642297215682891	-0.4594773013549397	-0.08591828595492301	2.29	5.189	0.474	0.146	-1.352	-2.086	0.2647058823529412	0	1
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)OCC3OC(O)C(O)C(O)C3O)n2C1	-2.686	0	1	-3.085900621321177	-0.5358963044677331	-0.45331825208892274	-0.10427663649091592	2.23	6.79	0.394	0.145	-2.658	-1.647	0.21428571428571427	1	1
C=C(CCC=C(C)C)C1CCC=C(CCC=C(C)C)C1	-1.774	0	0	2.8584831759024847	-0.04023668639053271	0.06497709530670508	-2.247675999849146e-14	2.27	4.219	0.403	0.129	-0.478	-1.009	0.22500000000000003	0	1
CNc1ccc(C(=O)OC2C[C@@]3(C)CC[C@]4(C)[C@@]5(C)CCC6[C@@](C)(CCC(OC7OCC(OC8OC(CO)C(O)C(O)C8O)C(O)C7OC7OC(CO)C(O)C(O)C7O)[C@@]6(C)CO)C5CC5O[C@@]54[C@]3(O)C[C@]2(C)C=O)cc1	-5.617	1	1	4.012378819819752	-0.04520722370173099	-0.44812410709450523	-0.11612781645737509	2.24	7.577	0.468	0.079	-4.472	-5.341	0.2790697674418605	1	1
