ID;NAME;CAS;CAS.Checksum;DSSTox.GSID;SMILES;All.Compound.Names;logMA;logMA.Reference;logP;logP.Reference;logPwa;logPwa.Reference;MW;MW.Reference;pKa_Accept;pKa_Accept.Reference;pKa_Donor;pKa_Donor.Reference;All.Species;DSSTox.GSID.Reference;Human.Clint;Human.Clint.pValue;Human.Clint.pValue.Reference;Human.Clint.Reference;Human.Fgutabs;Human.Fgutabs.Reference;Human.Funbound.plasma;Human.Funbound.plasma.Reference;Human.Rblood2plasma;Human.Rblood2plasma.Reference;Rat.Clint;Rat.Clint.pValue;Rat.Clint.pValue.Reference;Rat.Clint.Reference;Rat.Fgutabs;Rat.Fgutabs.Reference;Rat.Funbound.plasma;Rat.Funbound.plasma.Reference;Rat.Rblood2plasma;Rat.Rblood2plasma.Reference;SMILES.desalt.Reference;smiles_source;orig_ID;experimental_column;UNITS
236;Vinclozolin;50471-44-8;True;22361.0;O=C1N(C(=O)OC1(C)C=C)c2cc(Cl)cc(Cl)c2;Vinclozolin;;;3.1;EPISuite;5.655478605831669;EPISuite;286.1108;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;18.34;0.00011;Wetmore 2012;Wetmore 2012;;;0.593586;Wetmore 2012;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
237;Zoxamide;156052-68-5;True;32581.0;Clc1cc(cc(Cl)c1C)C(=O)NC(C)(CC)C(=O)CCl;Zoxamide;;;4.64;TNO;8.496821629252608;EPISuite;336.65;TNO;;TNO;;TNO;Human|Rat;DSSTox;4.18565033181829;0.299070611929815;Wetmore 2012;Wetmore 2012;;;0.010310358321272;Wetmore 2012;0.67176537024869;TNO;41.26;9e-05;Wetmore 2013;Wetmore 2013;;;0.053879891997668;Wetmore 2013;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
238;N-phenyl-1,4-benzenediamine;101-54-2;True;25895.0;Nc2ccc(Nc1ccccc1)cc2;N-phenyl-1,4-benzenediamine;;;1.82;EPISuite;7.44613052168122;EPISuite;184.2371;DSSTox;5.4,0.51;Strope 2015;;Strope 2015;Human;DSSTox;15.586;0.0001;Wetmore 2015;Wetmore 2015;;;0.143351;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
239;4,4'-methylenebis(n,n-dimethylaniline);101-61-1;True;20869.0;CN(C)c2ccc(Cc1ccc(cc1)N(C)C)cc2;4,4'-methylenebis(n,n-dimethylaniline);;;4.37;EPISuite;4.931869477598726;EPISuite;254.37;DSSTox;5.44,4.83;Strope 2015;;Strope 2015;Human;DSSTox;18.846;0.0001;Wetmore 2015;Wetmore 2015;;;0.001109;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
240;4,4'-oxydianiline;101-80-4;True;21094.0;Nc1ccc(cc1)Oc2ccc(N)cc2;4,4'-oxydianiline;;;1.36;EPISuite;8.848076538713109;EPISuite;200.2365;DSSTox;4.64,3.76;Strope 2015;;Strope 2015;Human;DSSTox;0.0;0.0096;Wetmore 2015;Wetmore 2015;;;0.328437;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
241;2-benzylideneoctanal;101-86-0;True;26684.0;O=CC(CCCCCC)=Cc1ccccc1;2-benzylideneoctanal|2-benzylideneoctanal #2;;;4.82;EPISuite;3.059384143844347;EPISuite;216.3187;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;14.364;0.0001;Wetmore 2015;Wetmore 2015;;;0.009805000000000001;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
242;1,3-diphenylguanidine;102-06-7;True;25178.0;N=C(Nc1ccccc1)Nc2ccccc2;1,3-diphenylguanidine;;;2.89;EPISuite;9.163417762023059;EPISuite;211.2624;DSSTox;9.38;Strope 2015;;Strope 2015;Human;DSSTox;0.0;0.0144;Wetmore 2015;Wetmore 2015;;;0.7844289999999999;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
243;N-ethyl-3-methylaniline;102-27-2;True;21848.0;CCNc1cc(C)ccc1;N-ethyl-3-methylaniline;;;2.66;EPISuite;3.228740237366933;EPISuite;135.2062;DSSTox;5.02;Strope 2015;;Strope 2015;Human;DSSTox;13.118;0.0001;Wetmore 2015;Wetmore 2015;;;0.141356;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
244;Heptachlor epoxide, isomer b;1024-57-3;True;24126.0;ClC3=C(Cl)C4(Cl)C2C(C1OC1C2Cl)C3(Cl)C4(Cl)Cl;Heptachlor epoxide, isomer b|Heptachlor epoxide;;;4.98;EPISuite;2.752120797897797;EPISuite;389.3171;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;;0.458;Wetmore 2015;Wetmore 2015;;;0.010676000000000001;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
245;Di(2-ethylhexyl)adipate;103-23-1;True;20606.0;O=C(CCCCC(=O)OCC(CC)CCCC)OCC(CCCC)CC;Di(2-ethylhexyl)adipate|Di(2-ethylhexyl) adipate;;;8.12;EPISuite;4.2168036131450215;EPISuite;370.5665;DSSTox;;Strope 2015;;Strope 2015;Human;DSSTox;13.556;0.0001;Wetmore 2015;Wetmore 2015;;;0.038614;Wetmore 2015;;;;;;;;;;;;;DSSTox;SMILES.desalt;;Human.Funbound.plasma;ratioFU
