ID;orig_ID;SMILES;Property;smiles_source;experimental_column;UNITS
79;hERG080;CCC(C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)OC(C)=O;1;Smiles;Property;classhERGinh
80;hERG081;CC(N(C(C)C)CCC(c1c(O)ccc(C)c1)c2ccccc2)C;1;Smiles;Property;classhERGinh
81;hERG082;COc1ccc(CN(c2ncccc2)CCN(C)C)cc1;1;Smiles;Property;classhERGinh
82;hERG083;CCN(CCCC(Nc1c(c2ncc1)ccc(Cl)c2)C)CC;1;Smiles;Property;classhERGinh
83;hERG084;Brc1cc(c2cc1)OC(C(NC3CCN(Cc4cc(c5cc4)OCO5)CC3)=O)=CC2=O;1;Smiles;Property;classhERGinh
84;hERG085;C(N1CC(C2(CCCC2)C3C1)CN(CC4CC4)C3)C5CC5;1;Smiles;Property;classhERGinh
85;hERG086;FC1C(c2c(c3[nH]c2C(CC=CN4)=C4)ccc(F)c3)CNCC1;1;Smiles;Property;classhERGinh
86;hERG087;COc1c(OC)c(c2cc1)C(Cc3ccccc3)N4C(c(c5CC4)cc(OC)c(OC)c5)C2;1;Smiles;Property;classhERGinh
87;hERG088;OC(c1c(c2nc(C(F)(F)F)c1)cccc2C(F)(F)F)C3NCCCC3;1;Smiles;Property;classhERGinh
88;hERG089;COc1c(OC)cc(c2c1)C(Cc3ccc(Oc4c(O)ccc(CC5c(c6CCN5C)cc(OC)c(OC)c6)c4)cc3)N(C)CC2;1;Smiles;Property;classhERGinh
89;hERG090;CC(CN1CC(CNC(C(C(N2C(N)=C3Cl)NC(C)=C2)=C3)=O)CCC1)C;1;Smiles;Property;classhERGinh
90;hERG091;OC(c1ccc(F)cc1)CCCN2CCC(c3ccc(Cl)cc3)(O)CC2;1;Smiles;Property;classhERGinh
91;hERG092;CC(C(Cc1ccc(Cl)cc1)(O)C)CN(C)C;1;Smiles;Property;classhERGinh
