ID;orig_ID;idx_separated;SMILES;Index;Binary_Characterization;old_ID;subset;NAME;Characterization;smiles_source;experimental_column;UNITS
1430;1430;1430;CN1[C@H]2C[C@@H]3C[C@H]1[C@@H](O3)[C@@H]2O;1431.0;0;O1[C@@H]2[C@H]3[N@]([C@H](C[C@@H]1C3)[C@H]2O)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1431;1431;1431;Cc1ncc([N+](=O)[O-])n1C[C@H](C)O;1432.0;0;O[C@H](Cn1c(ncc1[N+](=O)[O-])C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1432;1432;1432;O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31;1433.0;0;O1[C@]23[C@@H]4N([C@H](C=CC2=CC1=O)C3)CCCC4;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1433;1433;1433;CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@]43O)O[C@@H](C)[C@@H]1O;1434.0;0;O1[C@@H]2C[C@@]3(O[C@@H]([C@H](CC3)C)C3CCCCC3)O[C@H](C\C=C(/C)\[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC)C3)[C@H](\C=C\C=C\3/CO[C@H]\4[C@]/3(O)[C@@H](C=C(C)/C/4=N/O)C1=O)C)C2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1434;1434;1434;C/C=C(/C)C(=O)O[C@@H]1Cc2c(ccc3ccc(=O)oc23)OC1(C)C;1435.0;0;O1c2c(C[C@@H](OC(=O)\C(=C/C)\C)C1(C)C)c1OC(=O)C=Cc1cc2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1435;1435;1435;CC1CCC(NC(=O)N(CCCl)N=O)CC1;1436.0;0;ClCCN(N=O)C(=O)NC1CCC(CC1)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1436;1436;1436;CC(=O)O[C@@H]1CC[C@@]2(O)C[C@]1(C)CC[C@@H]1[C@@H]2CC1(C)C;1437.0;0;O(C(=O)C)[C@@H]1CC[C@]2(O)[C@@H]3[C@@H](CC[C@]1(C2)C)C(C3)(C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1437;1437;1437;O=C(O)c1cc(O)c2c(c1)[C@@H]([C@H]1c3cc(C(=O)O)cc(O)c3C(=O)c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cccc31)c1cccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O;1438.0;0;O1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1Oc1c2c(ccc1)[C@H](c1c(C2=O)c(O)cc(c1)C(O)=O)[C@@H]1c2c(C(=O)c3c1cccc3O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c(O)cc(c2)C(O)=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1438;1438;1438;CC(=O)Oc1c(-c2ccccc2)oc2c(CC=C(C)C)c3c(c(OC(C)=O)c2c1=O)C=CC(C)(C)O3;1439.0;0;O1c2c(C(=O)C(OC(=O)C)=C1c1ccccc1)c(OC(=O)C)c1c(OC(C=C1)(C)C)c2C\C=C(\C)/C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1439;1439;1439;CC(C)=CCc1c2c(c(O)c3c(=O)c(O)c(-c4ccccc4)oc13)C=CC(C)(C)O2;1440.0;0;O1c2c(C(=O)C(O)=C1c1ccccc1)c(O)c1c(OC(C=C1)(C)C)c2C\C=C(\C)/C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1440;1440;1440;CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21;1441.0;0;Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2c1cccc2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1441;1441;1441;O=C(O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1;1442.0;0;O[C@H]1[C@H](O)CC(=C[C@H]1O)C(O)=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1442;1442;1442;CC(C)C[C@@H](N(C)C)C1(c2ccc(Cl)cc2)CCC1;1443.0;0;Clc1ccc(cc1)C1(CCC1)[C@H](N(C)C)CC(C)C;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1443;1443;1443;COc1cc([C@H]2Oc3cc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)ccc3O[C@@H]2CO)ccc1O;1444.0;1;O1c2c(C(=O)[C@H](O)[C@H]1c1cc3O[C@@H]([C@H](Oc3cc1)CO)c1cc(OC)c(O)cc1)c(O)cc(O)c2;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1444;1444;1444;CCNc1nc(Cl)nc(NCC)n1;1445.0;0;Clc1nc(nc(n1)NCC)NCC;training;;;SMILES;Binary_Characterization;classOATP1B3inh
1445;1445;1445;COc1cc(/C=C/C(=O)O)cc(OC)c1OC;1446.0;0;O(C)c1c(OC)cc(cc1OC)\C=C\C(O)=O;training;;;SMILES;Binary_Characterization;classOATP1B3inh
