ID;NAME;SMILES;Property;smiles_source;orig_ID;experimental_column;UNITS
23;pgps024;c1c(C[C@@H]2N(C([C@@H](NC([C@@H](NC([C@@H]3N(C([C@@H](Cc4ccc(cc4)Oc5cc(ccc5O)C3)N(C)C(=O)[C@@H](C)NC2=O)=O)C)=O)C)=O)C)=O)C)ccc(OC)c1;1;Smiles;;Property;classPsub
24;pgps025;c1c(C(O[C@@H]2[C@@](C[C@@H]3OC([C@@H]([C@@H](NC(c4ccccc4)=O)c5ccccc5)O)=O)(O)C(C)(C)C(=C3C)[C@@H](OC(C)=O)C(=O)[C@@](C)([C@@H](O)C[C@@H]6[C@@]7(CO6)OC(C)=O)[C@@H]27)=O)cccc1;1;Smiles;;Property;classPsub
25;pgps026;C1C([C@@H]2[C@@]3([C@]([C@@H]([C@H]4C[C@H]3O)CC[C@@H]5[C@@]4(CC[C@H](O[C@@H]6O[C@H](C)[C@@H](O[C@H]7C[C@H](O)[C@H](O[C@@H]8O[C@H](C)[C@@H](O)[C@@H](O)C8)[C@@H](C)O7)[C@@H](O)C6)C5)C)(O)CC2)C)=CC(=O)O1;1;Smiles;;Property;classPsub
26;pgps027;CC(CC(c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1)(C)C)(C)C;1;Smiles;;Property;classPsub
27;pgps028;c1c(c2c([C@@](c3c(cc(N([C@@H]4C5(CC6)[C@H](N67)[C@](C=CC7)(CC)[C@@H](OC(C)=O)[C@@]4(C(OC)=O)O)C)c5c3)OC)(C(OC)=O)C[C@@H](CN8C2)C=C(CC)C8)[nH]9)c9ccc1;1;Smiles;;Property;classPsub
28;pgps029;C([C@]1(CC)[C@H]([C@](c2c(cc(OC)c([C@]3(c([nH]c4c5cccc4)c5CCN(C[C@H]6C3)C[C@](CC)(O)C6)C(OC)=O)c2)N7C)(CC8)[C@@H]7[C@](C(N)=O)(O)[C@@H]1O)N8C9)=C9;1;Smiles;;Property;classPsub
29;pgps030;c1c(C(O[C@@H]2[C@@](C[C@@H]3OC([C@@H]([C@@H](NC(c4ccccc4)=O)c5ccccc5)O)=O)(O)C(C)(C)C(=C3C)[C@@H](OC(C)=O)C(=O)[C@@](C)([C@@H](O)[C@H](O)[C@@H]6[C@@]7(CO6)OC(C)=O)[C@@H]27)=O)cccc1;1;Smiles;;Property;classPsub
30;pgps031;O=C(OCOC(CN(Cc1c(cc(Oc(cc(OC(C)=O)c(CN(CC(OCOC(C)=O)=O)CC(OCOC(C)=O)=O)c2)c2C34OC(=O)c5c3cccc5)c4c1)OC(C)=O)CC(OCOC(C)=O)=O)=O)C;1;Smiles;;Property;classPsub
31;pgps032;[C@@]1(CC[C@@H]2O[C@H](C(=C)C2)CC[C@@H]3O[C@@H](C(=C)[C@H](C)C3)C[C@H]4[C@@H]([C@@H](OC)[C@@H](C[C@@H](CN)O)O4)CC(=O)C5)(O[C@@H]([C@@H](O[C@@H]5CC6)[C@H]67)[C@H]8[C@@H](O7)[C@H]([C@@H]9O8)O1)C9;1;Smiles;;Property;classPsub
32;pgps033;O[C@H]1[C@@](C)(O[C@H]2[C@@H](O)[C@@H]1N(C)C)c(cc(O)c3c4C(=O)c5c(c(O)c6c([C@@H](C(OC)=O)[C@@](C)(O)C[C@@H]6O[C@@H]7O[C@H]([C@H](OC)[C@](OC)(C)[C@H]7OC)C)c5)C3=O)c4O2;1;Smiles;;Property;classPsub
