SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v	observed	predicted
CCCCCc1c2c(cc(O)c1C(=O)O)OC(=O)c1c(cc(OC)cc1C(=O)CCCC)O2	0.92	0.22	1.67	-0.01	-0.43	-2.03	0.29	0.79	-0.42	0.2	-0.13	-0.09	0.84	-0.08	-1.52	1	1
C=C1CCC(=O)[C@@H](C)CC[C@H]2[C@H]1CC2(C)C	0.31	0.21	-1.09	-0.66	-0.5	0.94	0.33	-0.64	-0.56	-1.29	-1.01	0.41	0.18	-0.48	1.33	1	1
Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)[C@H]2c1c(O)cc(O)c2c1O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2	0.14	-1.17	0.58	5.18	0.68	-1.15	-0.75	3.06	-0.72	2.65	1.57	-0.36	0.12	-0.14	-0.52	0	1
COc1ccc(CCC(=O)c2c(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](O)[C@H]3O)cc2O)cc1O	-1.8	-0.92	0.37	2.26	0.94	-0.55	-1.81	2.77	0.25	0.99	0.48	0.51	-1.55	0.68	-0.38	0	0
CC[C@H](C)C(=O)O[C@@H]1[C@@H]2CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@](C)(C2=O)[C@@H](CC(=O)OC)C1(C)C	1.0	0.81	1.46	-0.66	0.76	0.46	0.38	0.13	0.21	0.37	0.16	-0.45	0.09	-0.45	2.1	0	0
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	1.06	2.53	0.41	-0.34	-0.49	0.58	0.68	-0.21	-0.02	0.59	1.03	1.03	0.76	-0.94	1.14	1	1
CC1(C)O[C@@H]2C[C@H]3[C@H]4CCC5=CC(=O)CC[C@@]5(C)[C@]4(F)[C@@H](O)C[C@@]3(C)[C@]2(C(=O)CCl)O1	0.27	-0.36	0.35	-0.34	-0.39	-0.05	-1.26	-0.65	0.37	-0.17	0.03	-1.07	-1.07	-0.17	0.14	0	0
O=C(/C=C/C(=O)Oc1ccccc1C(=O)O)Oc1ccccc1C(=O)O	-0.42	-0.15	-0.08	-0.01	-0.31	0.37	-0.77	0.43	-1.0	0.07	-0.42	0.81	-0.31	0.84	0.39	0	0
CC1(C)C(O)CC(O)[C@@]2(C)C1C[C@@H](O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	-0.09	0.28	-0.37	0.31	0.93	-0.05	0.44	-0.27	-0.1	-0.09	-0.15	-1.15	0.17	-0.39	1.07	0	0
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	-0.67	-0.62	-0.75	0.96	0.59	-0.02	1.25	0.52	-0.51	-0.08	-0.16	-0.24	1.48	-0.44	-0.49	1	1
CC1(C)C(O)CC(O)[C@@]2(C)C1CC(=O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	-0.01	-0.01	0.39	-0.01	0.9	-0.07	0.43	0.1	-0.02	-0.02	-0.15	-1.15	0.17	-0.47	1.1	0	0
CC(C)C1=C(C(=O)c2ccccc2)C(c2ccccc2)=C(c2ccc(F)cc2)[N@@H+]1CC[C@@H](O)C[C@@H](O)CC(=O)[O-]	-0.07	1.95	0.38	-0.01	-0.9	0.01	-0.83	-0.28	-1.0	0.37	0.12	-0.02	-0.85	0.02	-1.44	1	1
COC(=O)c1c(C)c2c(c(C)c1O)OC(=O)c1c(C)c(Cl)c(O)c(Cl)c1O2	0.49	-0.2	1.87	-0.01	-1.12	-0.45	-1.7	0.38	-0.08	-0.03	0.14	-0.01	-1.1	-0.4	-0.86	1	1
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1	-0.4	-0.68	-0.36	-0.66	0.31	0.06	-0.58	-1.01	-2.31	-1.08	-0.67	1.5	-0.45	-0.52	0.36	0	0
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1-c1c([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc(O)c(O)c1O)c1cc(O)c(O)c(O)c1	0.1	-1.17	0.64	3.88	-0.09	-0.17	-0.03	1.57	-0.65	2.01	1.04	-0.09	0.77	-0.32	-0.45	1	1
O=C(O)CN(CC(=O)O)Cc1cc2c(-c3ccccc3C(=O)O)c3cc(CN(CC(=O)O)CC(=O)O)c(=O)cc-3oc2cc1O	-0.51	-0.41	2.7	1.29	0.01	-0.89	-4.21	0.08	-0.82	1.33	0.52	-0.18	-3.31	0.6	-0.65	0	0
C=C1CC[C@H]([C@H]2CC(=O)OC2=O)C(=O)CC[C@H]2[C@H]1CC2(C)C	-0.06	-0.08	-0.03	-0.66	-0.03	0.1	0.76	-0.64	-1.2	-0.69	-0.69	-0.07	0.79	-0.51	0.58	1	0
CO[C@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@H](O)[C@H](C)O3)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)[C@@H](O[C@H]2CC[C@H](N(C)C)[C@@H](C)O2)/C=C/C=C/C[C@H](C)OC(=O)C[C@H]1O	-0.35	0.14	0.42	0.64	0.98	-2.51	-1.17	1.33	1.24	1.26	1.15	0.4	-1.33	0.72	-2.14	0	0
Cc1onc(-c2c(Cl)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H]1SC(C)(C)[C@@H]2C(=O)O	-0.0	0.27	-0.42	-0.34	0.59	0.2	-0.16	1.18	-0.19	-0.05	0.48	-0.64	-0.55	-0.2	0.37	1	1
CC(=O)O[C@H]1CC[C@]2(C)C(=CC[C@@H]3[C@H]4C[C@@H]5O[C@]6(CC[C@@H](C)CO6)[C@@H](C)[C@H]5[C@]4(C)CC[C@H]32)C1	1.21	0.48	-0.04	-0.66	1.48	0.42	0.08	-0.62	0.26	-0.46	-0.23	-0.74	0.06	-0.13	0.29	0	0
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21	0.14	0.61	-0.75	-0.01	-1.17	0.4	-0.11	-0.28	-0.87	-0.42	-0.62	-0.39	-0.3	-0.01	0.04	1	1
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	0.07	-0.3	0.69	0.31	0.84	0.14	0.45	-1.01	-1.09	-0.38	0.12	-0.24	0.6	-1.56	0.59	1	1
CC1(C)C(=O)CC[C@@]2(C)[C@H]3CC[C@@]4(C)C(=CC(=O)O[C@@H]4c4ccoc4)[C@@]3(C)[C@H](O)C[C@@H]12	0.71	0.28	-0.05	-0.34	1.67	0.31	0.57	-0.26	-0.29	-0.28	-0.29	-0.69	0.51	-0.29	1.35	1	1
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)ccc(O)c2C3=O)[C@H]1C(=O)OC	-0.53	-0.88	1.08	0.96	-0.54	-1.96	0.76	0.46	-0.3	0.81	0.34	-0.42	-0.58	-0.07	-0.35	0	0
Nc1nc2c(ncn2[C@@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1	-1.93	-1.17	0.37	-0.01	-0.43	-0.3	-0.52	-0.23	-0.48	-0.53	-0.74	-0.08	-0.57	0.41	-0.29	0	0
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12	0.65	0.14	0.87	-0.66	0.75	0.71	0.31	-0.66	-0.72	-0.49	-0.16	-0.82	0.33	-0.34	-0.92	0	0
Nc1ccc(S(=O)(=O)Nc2nccs2)cc1	-0.67	-1.17	-1.15	-0.66	-0.22	0.27	-0.19	-1.01	-1.3	-0.95	-0.48	0.91	-0.23	-0.91	0.1	0	0
COc1c2c(c(CC=C(C)C)c3oc(=O)c(-c4ccc(O)cc4)c(O)c13)OC(C)(C)C=C2	0.93	-0.17	-0.08	-0.01	-1.61	-2.04	-0.15	1.51	-0.07	0.03	-0.23	-0.36	-0.53	-0.51	-2.8	1	1
COC(=O)/C(C)=C\C[C@]12OC(C)(C)[C@H]3C[C@H](C=C4C(=O)c5c(OC)c6c(c(CC=C(C)C)c5O[C@@]431)O[C@@](C)(CCC=C(C)C)C=C6)C2=O	1.75	0.32	-0.01	-0.66	0.18	-4.65	-0.02	0.8	1.22	0.77	0.48	-0.81	-0.18	-0.33	-2.84	0	0
O=C(CCCCCCCCCCCCC1CCCC1)Nc1ccc(S(=O)(=O)c2ccc(NC(=O)CCCCCCCCCCCCC3CCCC3)cc2)cc1	4.32	6.37	-0.14	-0.66	0.03	0.31	-0.04	-1.01	-0.48	0.1	0.93	1.49	-0.03	-0.76	0.54	0	0
COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O	-0.22	-0.41	-0.37	-0.34	-0.32	-0.22	-0.41	-1.01	0.39	-0.56	-0.53	-0.43	-0.55	0.32	0.65	0	0
COC(=O)C[C@H]1C(C)(C)C(=O)[C@H]2CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@]1(C)C2=O	0.46	0.22	0.74	-0.66	1.21	0.68	0.64	0.11	0.09	0.13	-0.12	-0.58	0.5	-0.59	1.52	0	1
CC[C@@H](C)C(=O)O[C@H]1[C@H](O)[C@H]2[C@H](CN3C[C@H](C)CC[C@H]3[C@@]2(C)O)[C@@H]2C[C@]34O[C@]5(O)[C@@H](OC(=O)[C@@](C)(O)[C@@H](C)O)CC[C@@]3(C)[C@@H]5[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]4[C@@]21O	-1.04	-0.01	0.08	1.29	2.17	-2.94	-0.28	0.12	0.22	1.41	1.08	-0.93	0.72	-0.06	-0.17	0	0
CC[C@@H](C(=O)[C@@H](C)[C@@H](O)[C@H](C)[C@@H]1O[C@@H]([C@@H](CC)C(=O)O)CC[C@@H]1C)[C@H]1O[C@@]2(C=C[C@@H](O)[C@]3(CC[C@@](C)([C@H]4CC[C@](O)(CC)[C@H](C)O4)O3)O2)[C@H](C)C[C@@H]1C	1.18	1.15	1.07	0.64	0.16	0.52	-0.71	-0.26	0.03	0.69	0.79	0.12	-0.77	0.23	-0.63	1	1
CC1(C)C(=O)C2OC2[C@@]2(C)C1C[C@@H](O)[C@@]1(C)[C@H]2CC[C@]2(C)[C@@H](c3ccoc3)OC(=O)[C@H]3O[C@@]312	-0.0	0.28	1.03	-0.34	1.5	0.12	0.24	0.12	0.27	0.04	-0.15	-1.36	-0.35	0.01	1.37	1	1
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC	0.38	-1.17	0.33	-0.66	-1.13	-0.32	0.33	0.13	1.5	0.79	0.37	-0.28	0.77	0.26	0.8	0	0
CC[C@@H](C(=O)[C@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@@H]1O[C@@](CC)([C@@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C	1.04	1.08	1.75	0.64	-0.39	0.14	-0.64	0.08	-0.54	0.14	0.25	0.45	-1.0	0.25	-0.39	1	1
CC[C@@]1(O)C[C@H](O[C@H]2C[C@H](N(C)C)[C@H](O[C@H]3C[C@H](O)[C@H](O[C@H]4CCC(=O)[C@H](C)O4)[C@H](C)O3)[C@H](C)O2)c2c(cc3c(c2O)C(=O)c2c(O)cccc2C3=O)[C@H]1C(=O)OC	-0.02	-0.37	2.82	0.64	-0.85	-0.89	0.4	1.26	0.28	1.72	1.1	-0.25	-0.59	0.18	-0.33	0	0
N=C1NCC[C@H]([C@@H]2NC(=O)/C(=C\NC(N)=O)NC(=O)[C@@H](CNC(=O)C[C@@H](N)CCCN)NC(=O)[C@@H](CO)NC(=O)[C@H](N)CNC2=O)N1	-4.44	-1.17	0.08	-0.34	-0.47	-0.95	1.77	0.89	-0.29	0.98	0.63	1.19	1.46	-0.6	-0.0	0	0
COC[C@@]12CN(C=O)[C@H]3[C@@H]4[C@H](OC)[C@@H]1[C@]3([C@@H](OC)C[C@H]2O)[C@H]1C[C@]2(O)[C@H](OC(=O)c3ccccc3)[C@H]1[C@@]4(OC(C)=O)[C@@H](O)[C@@H]2OC	-1.36	-0.41	0.45	0.31	-1.08	0.49	-0.18	0.51	0.79	0.96	0.53	-1.46	-0.45	0.02	-0.11	0	0
