SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v	observed	predicted
O=c1c(O)c(-c2ccccc2)oc2ccc3occc3c12	0.28	0.1	-0.75	-0.34	-0.31	0.25	0.01	-0.3	0.36	-0.49	-0.74	-0.15	0.12	0.49	0.11	0	0
Cc1c(O)cccc1C(=O)N[C@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C	0.61	0.66	0.31	-0.01	0.09	0.66	-0.13	-0.65	-0.2	-0.08	0.32	0.54	-0.07	0.53	0.95	1	1
Cc1cc(=O)c2c(O)c3c(cc2o1)OC[C@H](C)CC3	-0.18	-0.88	-0.45	-0.34	-0.54	-0.02	-0.6	0.79	-0.14	-0.71	-0.81	-0.04	-0.44	0.59	-0.45	0	0
CS(=O)(=O)OCCCCOS(C)(=O)=O	-1.38	-1.17	-0.65	-0.66	-0.24	-0.12	-0.44	-1.01	-0.35	-0.91	-0.47	2.8	-0.26	-0.05	0.79	0	0
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl	0.6	0.29	-0.18	-0.66	-0.34	0.16	-0.14	-0.69	-0.16	-0.97	0.4	0.99	-0.38	0.06	-0.26	0	0
Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cnc2n1	-1.17	-1.17	0.71	-0.01	-0.32	0.21	0.1	-0.63	-0.92	0.27	-0.15	0.73	0.06	0.15	0.16	0	0
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(=O)c2c(O)c(O)cc([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)c2c1)c1cc(O)c(O)c(O)c1	-0.01	-1.17	2.37	2.91	-0.22	0.45	0.62	1.57	-0.64	1.77	0.86	-0.1	0.87	-0.08	-0.48	0	1
C=C1C/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C	0.44	0.41	-1.44	-0.66	-0.94	0.68	0.2	-1.01	0.35	-1.44	-1.12	0.16	0.13	-0.82	1.05	0	0
C=C1C[C@@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C	0.13	-0.08	-1.11	-0.66	-0.91	0.81	0.16	-1.01	0.19	-1.3	-1.05	-0.45	0.11	-0.72	1.08	0	0
CN(C)CCN(Cc1ccccc1)c1ccccn1	-0.22	0.36	-1.44	-0.66	-0.72	-0.06	0.14	-0.64	3.54	-1.04	-0.89	1.2	0.06	-0.34	-1.05	0	0
COc1cc(C)c(C(=O)Oc2cc(C)c(O)c(C(=O)O)c2C)c(O)c1C=O	-0.18	-1.17	0.92	0.31	-0.33	-0.77	-2.27	1.16	-0.6	0.05	-0.37	0.16	-2.03	2.07	-0.77	1	1
COC(=O)[C@@H](O)[C@H]1C(C)(C)[C@@H](OC(C)=O)[C@@H]2CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@]1(C)C2=O	0.19	0.22	0.01	-0.34	0.84	0.07	0.33	0.13	0.22	0.43	0.11	-0.73	0.21	-0.11	1.44	0	1
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1	0.64	1.45	-1.44	-0.66	0.74	-0.58	0.08	-1.01	3.56	-0.81	-0.54	0.92	-0.04	0.23	-0.65	0	0
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	-1.32	-1.17	1.38	0.64	-0.46	-0.96	1.49	-0.28	-0.09	-0.01	-0.17	0.03	1.18	-0.52	-1.36	1	1
CC(C)C1=CC2=CC[C@H]3[C@@](C)(CCC[C@]3(C)C(=O)O)[C@@H]2CC1	0.79	0.71	-0.76	-0.34	0.69	0.23	0.06	-1.01	-1.6	-0.99	-0.74	-0.26	0.08	0.07	-0.31	1	1
CC[C@H](c1ccc(O)cc1)[C@H](CC)c1ccc(O)cc1	0.62	0.43	-1.44	-0.01	-0.61	0.35	0.15	-0.28	-1.59	-0.99	-0.83	0.75	0.22	-0.22	0.18	1	1
COC(=O)c1c(OC)cc2c(c1C)Oc1c(Cl)c(OC(C)=O)c(Cl)c(C)c1C(=O)O2	0.57	-0.2	2.23	-0.66	-1.86	-0.65	-1.47	0.38	0.74	0.24	0.29	-0.17	-0.4	-0.09	0.6	0	0
COC(=O)C[C@H]1C(C)(C)[C@@H](OC(C)=O)[C@@H]2[C@@H](OC(C)=O)[C@@]34O[C@@]2(O)[C@]1(C)[C@H]3CC[C@@]1(C)C4=CC(=O)O[C@H]1c1ccoc1	0.07	-0.01	-1.06	-0.34	-0.54	0.55	0.67	0.51	0.06	0.8	0.33	-1.26	0.36	-0.67	-0.03	1	1
CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O	0.94	0.35	0.02	-0.66	0.27	0.15	-0.11	1.79	1.82	0.79	1.05	0.22	-0.01	-0.74	-0.71	0	0
NC(N)=O	-1.66	-1.17	-1.44	-0.66	-0.06	0.28	0.1	-1.01	-3.09	-1.55	-1.47	-7.48	0.11	-5.46	0.08	0	0
CC(=O)O[C@@H]1CC2C(C)(C)CCC(=O)[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@]21C	0.62	0.28	0.31	-0.66	1.53	0.57	0.32	0.49	0.23	0.11	-0.07	-1.23	0.14	-0.35	-0.56	0	0
C[C@H]1O[C@H](O[C@@H]2[C@@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)CC[C@@]6(C(=O)O)CC[C@@]45C)[C@]3(C)CO)OC[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O	0.12	1.06	1.36	1.61	0.73	1.0	0.21	1.32	-0.07	0.78	0.82	-0.42	1.12	-0.36	0.06	0	1
CC1(C)[C@H](O)C=C[C@]2(C)[C@@H]1CC(=O)O[C@@]1(C)C3=CC(=O)O[C@@H](c4ccoc4)[C@]3(C)CC[C@@H]21	0.51	0.5	0.34	-0.34	1.51	0.54	0.44	-0.27	-0.22	-0.1	-0.22	-0.68	0.5	-0.03	2.17	0	1
COc1cc2c(cc1OC)[C@@H]1C(=O)c3ccc4oc(C(C)C)cc4c3O[C@@H]1CO2	0.59	-0.59	-0.34	-0.66	-0.99	-0.19	-0.01	1.25	1.47	-0.04	-0.35	-0.43	0.1	0.07	-0.08	0	0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	-0.56	-0.01	0.45	0.96	2.57	-1.24	0.63	0.88	0.84	0.85	0.78	0.5	-0.31	0.28	-0.31	0	0
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	1.63	2.06	-1.07	-0.34	0.51	-0.41	0.19	-1.01	-0.64	-0.96	-0.48	-0.2	0.21	-0.29	0.01	0	1
COc1cc2c(cc1OC)[C@@H]1C(=O)c3c(cc4c(c3O)C=CC(C)(C)O4)O[C@H]1CO2	0.2	-1.17	-0.02	-0.34	-0.21	-0.49	-0.48	1.97	1.0	0.09	-0.28	-0.46	-0.36	0.3	-0.2	0	0
C[C@H](C(=O)O)c1ccc(C(=O)c2cccs2)cc1	-0.02	0.1	-1.09	-0.34	-0.1	0.07	-0.36	-1.01	-0.9	-0.85	-0.65	1.07	-0.29	0.47	0.14	0	0
CCC(=O)OCC(=O)[C@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(Cl)[C@@H](O)C[C@]21C	0.35	0.77	1.13	-0.34	0.6	0.03	0.29	-1.01	0.15	0.06	0.24	-0.59	-0.11	0.5	0.48	1	1
C/C=C(\C)C(=O)O[C@@H]1[C@@H]2C=C3[C@H]4CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@](C)(C2=O)[C@@H]([C@H](O)C(=O)OC)C1(C)C	0.51	0.73	0.36	-0.34	1.22	0.24	-0.02	0.13	0.27	0.53	0.23	-0.49	-0.19	-0.01	2.44	0	1
CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3[C@H]([NH+](C)C)C([O-])=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O	-2.23	-0.93	0.34	0.31	-0.67	-0.02	-1.6	0.11	-0.42	0.23	-0.12	-0.72	-0.17	0.83	1.79	0	0
CC[C@@H](C)C(=O)c1c(O)c(C)c2oc3c(C)c(O)c(C(=O)[C@H](C)CC)c(O)c3c2c1O	0.9	-0.01	1.21	0.64	-1.92	-0.74	-0.85	1.87	-0.95	-0.01	-0.24	-0.09	-0.89	0.22	0.5	1	1
CC1(C)[C@@H](O[C@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12	-0.38	0.81	0.62	1.93	1.22	0.75	1.97	1.32	-0.41	1.48	1.13	-0.44	3.5	-0.45	-0.27	1	1
CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O	-0.32	-0.08	-0.34	0.31	-0.53	1.13	-0.86	-0.64	-1.1	0.18	0.14	0.53	-0.87	-0.81	-0.98	1	1
Cc1c(O)c(C(=O)CC(C)C)c2oc3c(C(=O)CC(C)C)c(O)c(C)c(O)c3c2c1O	0.9	-0.01	3.39	0.64	-1.67	-1.72	-1.76	1.16	-0.99	-0.01	-0.24	-0.41	-1.66	0.96	-3.03	0	1
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(O[C@H]4O[C@H](CO[C@@H]5O[C@@H](C)[C@H](O)[C@@H](O)[C@H]5O)[C@@H](O)[C@H](O)[C@H]4O)cc3o2)cc1	-1.58	-1.17	0.25	1.61	0.53	-1.1	-0.99	3.14	0.84	1.15	0.52	0.34	-0.61	0.27	-0.69	0	0
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O	0.21	2.21	0.68	0.31	-0.02	1.85	0.78	0.51	0.39	1.91	1.23	-0.41	0.79	-0.13	1.79	1	1
[NH3+]C1(C(=O)[O-])CC1	-2.25	-1.17	-1.44	-0.66	-0.06	0.28	0.1	-0.28	-1.97	-1.33	-1.34	1.63	0.11	-3.16	0.08	0	0
CNC[C@H](O)c1cccc(O)c1	-1.01	-0.66	-1.1	-0.01	-0.32	0.38	0.21	-0.65	-0.31	-1.25	-1.14	1.53	0.17	0.55	-0.02	0	0
C=C1[C@H]2CC[C@H]3[C@]4(C)C[C@H](O[C@H]5O[C@@H](CO)[C@H](OS(=O)(=O)O)[C@@H](OS(=O)(=O)O)[C@@H]5OC(=O)CC(C)C)C[C@@H](C(=O)O)[C@H]4CC[C@@]3(C2)[C@H]1O	-0.61	-0.02	1.14	0.96	1.16	-0.48	0.92	-0.23	-0.89	1.13	1.2	-0.63	3.71	-0.71	0.32	0	0
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl	0.17	-1.17	-1.44	-0.66	-0.06	0.28	0.1	-1.01	0.65	-1.6	0.43	1.53	0.16	1.93	0.08	0	0
O=C(Cc1cccs1)N[C@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@@H]12	-1.4	-0.66	-0.36	-0.66	0.1	0.02	0.25	-0.29	-0.62	-0.21	0.06	-0.09	0.78	-0.76	0.13	1	0
CNC(C)(C)Cc1ccccc1	-0.39	0.1	-1.11	-0.66	-0.58	0.39	0.15	-1.01	1.44	-1.44	-1.19	2.08	0.14	-0.94	0.33	0	0
O=C(O)c1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O	-0.77	-1.17	0.23	0.64	-0.26	0.07	0.39	0.09	-1.48	-0.18	-0.61	-0.37	0.37	0.71	0.5	0	0
COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C	0.4	3.11	-0.27	-0.34	-0.04	1.32	0.72	-0.24	0.03	0.87	0.66	0.82	0.41	0.57	3.58	1	1
C[C@@]12CC[C@@H](OS(=O)(=O)O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)C(=O)CC[C@@H]12	0.23	-0.59	-0.42	-0.34	1.16	1.03	-0.04	-0.64	-2.0	-0.65	-0.29	-0.48	0.15	-1.14	0.19	1	1
O=[N+]([O-])/N=C1\NCCN1Cc1ccc(Cl)cc1	-0.76	-0.17	-1.44	-0.66	-0.64	0.36	-0.13	-0.69	0.72	-0.79	-0.62	0.84	-0.2	-2.21	0.23	0	0
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	0.46	0.82	-1.06	-0.34	-0.12	0.38	0.32	-1.01	-0.97	-0.88	-0.31	0.68	0.23	-1.07	0.03	0	1
COc1ccc2c(c1)CC[C@H]1[C@H]2CC[C@@]2(C)[C@H](O)[C@H](O)C[C@@H]12	-0.13	-0.62	-1.12	-0.01	0.28	0.19	-0.13	-0.65	0.03	-0.87	-0.71	-0.29	0.01	-0.36	-0.27	0	0
CC[C@H]1OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O	-0.4	-0.01	1.92	0.64	2.33	-1.63	-0.25	0.91	1.36	1.15	1.12	0.28	-1.1	0.37	-0.85	0	1
COc1cc2nc(N3CCN(C(=O)[C@@H]4COc5ccccc5O4)CC3)nc(N)c2cc1OC	-0.59	-0.66	-0.69	-0.66	-0.76	0.05	-0.33	-0.22	1.66	0.2	-0.15	0.19	-0.43	0.65	-0.1	0	0
CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1	0.91	1.64	-1.04	-0.34	1.68	0.98	-0.08	-1.01	-0.39	-1.12	-0.81	1.37	0.01	0.31	1.16	1	1
C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4	-0.32	-0.59	-0.37	-0.66	-0.43	1.52	-0.03	-1.01	0.47	-0.68	-0.74	-0.69	-0.79	0.46	1.25	0	0
COc1cc(N)c(Cl)cc1C(=O)NC1CCN(Cc2ccccc2)CC1	0.04	0.59	-0.72	-0.66	-0.98	0.34	-0.18	-0.65	0.75	-0.61	-0.27	0.86	0.56	-1.37	-0.26	0	0
CC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	1.13	1.39	-0.76	-0.66	1.65	1.29	-0.0	-0.59	0.22	-0.87	-0.66	1.48	0.05	-0.14	1.58	1	1
CC(=O)O[C@@H]1CC[C@@]23C(=O)O[C@@]45CCC(C6=CC(=O)OC6)[C@]4(C)CC[C@@H]2[C@H]5CC[C@@]3(O)C1	-0.15	-0.88	1.39	-0.34	1.43	0.5	-1.12	0.5	-0.38	-0.04	-0.19	-1.13	-1.11	0.35	-0.38	0	0
Cc1cc(O)c(C=O)c2c1C(=O)Oc1c(C)c(O)c3c(c1O2)[C@@H](O)OC3=O	-0.47	-1.17	1.6	0.31	-0.72	-0.81	-1.42	0.43	-0.58	0.24	-0.35	-0.56	-1.59	1.43	-1.62	1	1
CCCCOc1ccc(OCCCN2CCOCC2)cc1	-0.1	-0.61	-1.44	-0.66	-0.1	-0.03	0.17	-0.28	2.27	-0.88	-0.74	1.76	0.5	-0.76	-0.25	0	0
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1	-0.93	-1.17	-0.79	-0.66	-0.14	0.22	-0.21	-1.01	-1.37	-0.81	-0.66	1.0	-0.28	0.34	-0.08	0	0
CC(=O)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@@]4(C)[C@@H]3CC[C@]12C	0.52	-0.1	-0.75	-0.34	1.19	0.13	-0.07	-0.64	-0.93	-0.99	-0.7	-0.61	0.03	-0.09	0.44	0	0
CCCc1[nH+]c2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1	0.84	1.66	-1.11	-0.66	-1.1	0.45	0.1	-0.22	-0.72	0.2	-0.02	-0.2	-0.09	0.24	-0.58	1	1
COc1c(C(C)C)oc2cc3oc(=O)ccc3cc12	0.18	-0.59	-0.75	-0.66	-1.12	-0.18	-0.18	0.07	0.77	-0.64	-0.81	-0.22	-0.65	1.62	-0.31	0	0
Cc1ccc(N(CC(=O)O)CC(=O)O)c(OCCOc2cc(-c3c4cc(Cl)c(=O)cc-4oc4cc(O)c(Cl)cc34)ccc2N(CC(=O)O)CC(=O)O)c1	0.82	0.31	2.36	0.96	-0.19	1.27	-1.76	3.32	0.08	1.64	1.39	-0.02	-2.09	-0.96	2.08	1	1
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	0.91	-0.3	-1.07	-0.01	0.95	0.22	0.47	-1.01	-1.69	-0.87	-0.5	-0.42	0.4	-0.58	0.11	0	0
CC(=O)NCc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I	-0.17	-1.17	-0.0	-0.34	-1.71	0.34	0.07	-1.01	-1.14	-0.59	8.34	0.16	0.43	0.79	-0.06	0	0
CC1(C)[C@@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@@H]1CC[C@@]1(C)[C@@H]2C(=O)C=C2[C@@H]3C[C@@](C)(C(=O)O)CC[C@]3(C)CC[C@]21C	1.43	0.81	2.74	-0.01	0.38	0.93	1.42	-0.62	-1.41	0.14	0.18	-0.58	1.61	-0.43	0.27	1	1
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	0.13	0.62	-1.1	-0.66	0.24	-0.5	0.12	0.15	1.88	-0.26	0.04	0.75	0.46	-0.44	0.13	1	1
CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21	0.81	-0.17	-1.44	-0.66	-0.16	-0.67	0.2	-1.01	1.46	-0.38	-0.32	-0.0	0.72	-0.17	-0.7	0	0
C[C@@H]1C(=O)O[C@H]2[C@H](O)[C@@]34[C@@H]5OC(=O)[C@@]3(O[C@@H]3OC(=O)[C@H](O)[C@]34[C@H](C(C)(C)C)[C@H]5O)[C@@]12O	-2.22	-0.3	-1.44	0.64	-0.27	1.29	0.52	-0.23	0.06	0.35	-0.12	-1.93	0.59	0.63	0.22	0	0
C[C@H]1C(=O)CC[C@@H]2[C@@]1(C)CC[C@H]1[C@]2(C)CC[C@]2(C)[C@@H]3CC(C)(C)CC[C@]3(C)CC[C@]12C	2.07	1.15	-0.76	-0.66	-1.17	0.23	0.05	-0.64	-0.79	-0.9	-0.4	-0.69	0.02	-0.09	0.41	0	0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O	-0.14	1.37	0.05	-0.01	-0.18	0.48	0.19	-0.63	0.69	0.28	0.31	0.37	-0.03	0.44	0.0	0	1
C[NH2+][C@H](Cc1c[nH]c2ccccc12)C(=O)[O-]	-1.66	-0.41	-1.44	-0.66	-0.26	0.44	-0.29	-0.63	-0.93	-0.93	-0.96	0.56	-0.1	0.19	0.06	0	0
CCOC(=O)CCC(=O)O[C@H]1[C@H](O[C@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C	-0.21	-0.01	0.88	0.64	2.67	-1.23	2.15	0.49	0.81	1.49	1.24	0.55	1.54	0.13	-0.65	1	1
CC(=O)c1cc2c(cc1O)OC(C)(C)C=C2	-0.17	-0.91	-0.41	-0.34	-0.44	-0.02	-0.19	0.08	-0.43	-0.92	-0.96	0.24	-0.11	0.43	0.26	0	0
CCCCC(=O)O[C@@]1(C(=O)CO)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C	0.17	0.46	0.03	-0.01	-0.09	-0.13	-1.23	-0.59	0.09	0.02	-0.09	-0.75	-0.99	0.65	-0.23	1	1
CN(C)CCOC(=O)COc1ccc(Cl)cc1	-0.55	-0.68	-0.69	-0.66	0.08	0.33	0.06	-0.23	2.37	-0.92	-0.63	2.2	0.11	-2.24	0.5	0	0
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C	0.12	-0.39	-0.01	-0.34	0.03	0.18	-0.66	-1.01	0.36	0.28	0.02	-0.97	-0.62	0.35	0.27	0	0
CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]21	-1.56	-0.68	-0.06	-0.34	0.15	0.16	-0.98	-0.31	0.34	0.1	0.47	-0.18	-1.13	0.32	-0.17	0	0
CCn1cc(C(=O)[O-])c(=O)c2cc(F)c(N3CC[NH2+]CC3)nc21	-1.94	-1.17	-0.43	-0.66	-0.9	0.0	0.06	-0.65	-0.31	-0.26	-0.58	0.02	0.18	-0.21	-0.66	0	0
CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1	1.63	1.46	-0.03	-0.34	-0.06	-0.07	-1.87	-0.29	-0.46	0.76	0.55	0.2	-1.99	-0.0	-0.59	1	1
COC(=O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]12C	0.13	-0.3	1.02	0.31	0.2	0.09	0.3	-1.01	-0.62	-0.59	-0.32	-0.37	0.26	-0.53	0.65	1	1
O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1	0.18	-0.41	-0.4	-0.66	-0.33	0.04	-0.33	-0.64	-0.09	-0.24	-0.42	0.42	-0.09	0.17	-0.18	0	0
CC(=O)Oc1ccc2c(c1OC(C)=O)OC[C@]1(O)Cc3c(cc(OC(C)=O)c(OC(C)=O)c3OC(C)=O)[C@H]21	-0.43	-0.92	1.41	-0.34	-1.06	0.2	0.44	-0.23	0.27	0.96	0.18	-0.77	0.7	-0.58	-1.39	0	1
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)[C@@H](N)CC(=O)O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	-1.8	1.37	1.18	0.31	-0.09	-0.34	5.17	1.66	-0.47	2.79	2.77	0.85	3.61	-1.12	-1.12	1	1
C/C=C(/C)C(=O)O[C@@H]1CC[C@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@]42O[C@]31O	-0.88	-0.33	0.09	1.29	0.87	-1.4	-0.01	0.41	-0.06	0.31	0.29	-1.05	-0.08	0.18	0.44	0	0
CCC(=O)OCC(=O)[C@]1(OC(=O)CC)[C@H](C)C[C@H]2[C@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@@H](O)C[C@]21C	0.24	0.48	0.42	-0.34	0.59	0.03	-0.49	-1.01	0.25	0.25	0.02	-0.59	-0.38	0.37	0.44	0	1
CC(=O)O[C@@H]1C=C[C@@]2(C)[C@H]3CC[C@@]4(C)C(=CC(=O)O[C@@H]4c4ccoc4)[C@@]3(C)[C@H](OC(C)=O)C[C@H]2C1(C)C	0.99	0.54	1.36	-0.66	1.23	0.86	0.5	0.15	-0.02	0.19	0.01	-0.82	0.37	-0.27	-0.5	1	1
CC(=O)O[C@@H]1CC[C@]2(C)[C@H]3CC=C4[C@H]5CC(C)(C)CC[C@]5(C(=O)O)CC[C@@]4(C)[C@]3(C)CC[C@H]2C1(C)C	1.82	1.35	1.27	-0.34	0.16	1.3	-0.01	-0.62	-1.07	-0.38	-0.11	-0.83	0.06	-0.14	0.09	1	1
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1	0.12	0.68	-0.7	-0.01	-0.21	-0.89	0.65	-0.3	0.88	1.52	1.08	-1.03	0.32	-0.13	-2.63	1	1
C=C(C)[C@H]1Cc2c(ccc3c(=O)c4c(oc23)COc2cc(OC)c(OC)cc2-4)O1	0.41	-0.89	-0.35	-0.66	-0.88	-0.42	0.01	0.88	1.51	0.01	-0.35	-0.43	0.12	-0.17	-0.14	0	0
CC[C@@H](C)[C@H]([NH2+]C)C(=O)[O-]	-1.92	-0.59	-0.72	-0.66	0.09	0.28	-1.03	-0.63	-1.13	-1.32	-1.21	2.3	-0.69	1.73	0.08	0	0
CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1	1.29	0.84	-0.43	-0.34	0.09	0.13	0.24	-1.01	-0.25	-0.25	0.54	1.04	0.33	0.29	-0.03	1	1
CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1	0.5	1.24	-1.04	-0.34	0.33	0.51	-0.17	-0.23	2.74	0.22	0.36	2.82	-0.76	-0.34	0.56	1	1
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O	1.25	0.5	1.25	1.29	-1.53	0.92	0.6	-0.28	-1.16	0.41	0.07	-0.63	0.35	1.12	2.58	1	1
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1	-0.54	-0.88	0.02	-0.01	-1.15	-0.38	0.27	-0.23	0.38	0.06	-0.26	-0.45	0.2	0.06	-0.44	0	0
