SMILES	SLogP	ATS0d	ATSC5s	GATS2c	PNSA1	AATS2i	GATS7Z	ATSC5se	AATS5d	AATS7i	ww	ATS0Z	MAXDN	PEOE_VSA7	O-057	SIC3	ATSC1v	PEOE_VSA10	AATS5i	GATS6c	observed	predicted
C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O	-1.44	1.34	-1.14	0.07	1.07	-0.33	-0.22	-1.47	1.02	-0.8	0.37	1.02	0.63	-0.18	1.13	0.59	1.81	4.45	0.14	-0.32	0	0
C/C=C(/C)C(=O)O[C@@H]1CC[C@]2(C)[C@@H]3CC[C@H]4[C@]5(O)C[C@H](O)[C@@]6(O)[C@@H](CN7C[C@@H](C)CC[C@H]7[C@@]6(C)O)[C@]5(O)C[C@]42O[C@]31O	-0.57	2.11	0.04	-0.12	4.02	-0.28	0.02	-0.06	0.25	-0.28	1.59	0.92	0.83	1.1	-0.38	0.16	2.66	0.84	0.25	0.27	0	0
C[C@@H]1CC[C@H]2[C@](C)(CO)[C@@H](O)CC[C@@]2(C)[C@@]12CC[C@@](CO)(CCO)O2	-0.21	0.38	0.38	-0.38	-0.77	-0.13	-0.28	0.32	-0.73	0.33	-0.2	-0.08	-0.43	0.54	-0.38	-0.18	1.12	-0.84	0.18	-0.59	0	0
CC(=O)Oc1cc(-c2coc3cc(OC(C)=O)c(OC(C)=O)c(OC(C)=O)c3c2=O)cc(OC(C)=O)c1OC(C)=O	0.27	1.06	0.14	0.12	0.97	0.08	0.05	1.34	2.64	-1.19	0.15	1.01	0.19	-0.69	-0.38	-2.63	-1.73	0.46	-1.89	0.27	0	1
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@@]4(C)[C@H]3CC[C@@]21C	0.77	0.42	0.14	-0.66	-0.2	-0.97	-0.02	0.57	-0.48	-0.38	0.03	-0.19	-0.2	1.44	-0.38	0.53	1.07	-0.42	0.02	-0.34	0	1
O[C@](CCN1CCCC1)(c1ccccc1)C1CCCCC1	0.65	-0.14	0.1	0.76	-0.71	-0.09	0.13	0.15	-0.28	-0.45	-0.28	-0.41	-0.45	0.78	-0.38	-0.94	0.16	-0.84	-0.17	0.97	0	0
COc1ccc(-c2c(O)c3c(OC)c4c(cc3oc2=O)OC(C)(C)CC4)cc1	0.79	0.38	-0.47	0.3	-0.17	-0.34	0.22	-0.92	1.0	-0.83	-0.06	0.08	-0.07	0.32	0.37	-0.07	-0.31	2.54	-1.0	0.54	0	1
Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1	-0.41	-0.5	-0.52	-1.08	0.49	-0.91	0.29	-0.59	0.57	-0.88	-0.3	-0.15	3.1	0.02	-0.38	0.99	0.44	-0.84	-0.03	-0.45	0	0
COc1ccc2cc(CCC(C)=O)ccc2c1	0.41	-0.6	0.54	0.73	-0.22	-0.59	-0.36	0.43	-0.1	-0.61	-0.29	-0.6	-0.85	0.22	-0.38	0.68	-0.44	0.03	-0.52	0.12	0	0
O=C([O-])C1=CC[NH2+]CC1	-1.96	-1.25	-1.08	-1.47	-0.96	0.98	-2.28	-0.06	-2.19	2.21	-0.34	-0.98	0.26	-0.92	-0.38	0.34	-0.38	-0.84	3.25	13.35	0	0
CC[C@@]1([C@@H]2O[C@@H]([C@@H]3O[C@@](O)(CC)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1	1.37	2.28	0.25	0.14	0.37	0.23	-0.27	-0.47	-0.05	-0.22	0.5	1.2	0.18	1.31	-0.0	-0.65	0.23	-0.84	-0.22	-0.28	0	1
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(O)c3)oc2c1	-0.03	-0.15	-0.08	-0.18	-0.07	-1.16	-0.51	-0.26	1.37	-1.0	-0.23	-0.13	0.1	-0.67	2.64	0.52	0.84	0.85	-0.76	0.31	0	0
CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1	-0.0	-0.12	-0.07	0.36	-0.2	0.73	-0.47	-0.0	0.02	0.04	-0.26	-0.14	-0.34	-0.17	-0.38	0.19	-0.79	0.55	-0.28	0.85	0	0
COc1ccc(-c2coc3cc(O)ccc3c2=O)c(O)c1O	0.09	-0.22	-0.29	-0.06	-0.05	-1.16	-0.25	-0.37	0.83	-1.06	-0.24	-0.22	-0.22	-0.44	1.89	0.72	0.51	0.48	-0.62	-0.04	0	0
Nc1ccc(C(=O)NCC(=O)O)cc1	-0.95	-0.93	1.4	-0.83	-0.24	0.09	0.82	1.05	-0.26	0.56	-0.33	-0.68	0.32	-0.44	-0.0	1.26	0.26	-0.35	0.34	-1.06	0	0
COC1=C[C@]23CCCN2CCc2cc4c(cc2[C@@H]3[C@@H]1O)OCO4	-0.24	0.14	-0.04	0.79	-0.65	0.06	-0.06	-0.15	0.45	-0.17	-0.05	-0.22	-0.4	0.72	-0.38	0.61	-0.07	0.05	-0.15	0.75	0	0
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O	-0.25	-0.05	1.2	-0.6	1.14	-1.17	-0.25	0.37	0.48	-0.62	-0.23	0.05	0.59	0.21	3.02	0.47	1.08	-0.84	-0.35	0.38	0	0
Cc1ccc2cc3c(ccc4ccccc43)c3c2c1CC3	1.32	-0.07	0.14	-0.22	0.04	-2.09	0.27	0.17	0.89	-1.56	-0.1	-0.49	-1.82	1.47	-0.38	0.14	0.57	-0.84	-1.66	-0.3	0	0
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]([NH3+])C(C)C)C(=O)[O-]	-1.59	-0.11	1.26	-0.92	-0.26	1.01	0.01	-0.08	-0.29	0.14	-0.28	-0.17	0.51	-0.41	-0.38	-0.9	-0.65	-0.38	1.04	0.19	0	0
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1	0.43	0.22	0.18	1.76	0.02	0.71	-0.04	0.08	1.16	-0.91	-0.09	0.11	-1.13	-0.44	-0.38	-0.09	-1.43	1.06	-0.34	0.02	0	0
Nc1ccc(N=Nc2ccccc2)c(N)n1	0.12	-0.74	-0.06	-1.13	-0.23	0.02	0.42	-0.07	0.79	-0.74	-0.31	-0.65	-0.88	-0.44	-0.38	0.64	0.31	0.03	1.09	-1.08	0	0
COc1cc(/C=C/C(=O)O)ccc1O	-0.36	-0.93	0.19	-0.31	-0.22	-0.38	-0.64	-0.07	-0.31	0.48	-0.32	-0.68	0.27	-0.46	0.75	1.17	-0.21	-0.84	-0.27	0.3	0	0
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	0.49	0.66	0.23	1.56	0.47	1.03	-0.13	0.74	-0.01	0.07	-0.01	0.61	-0.61	0.03	-0.38	0.24	-1.77	0.53	0.2	-0.16	0	0
O=C(O)c1cc(=O)c2ccccc2o1	-0.36	-0.88	1.04	-0.26	-0.11	-1.59	1.65	0.69	0.28	0.55	-0.31	-0.69	0.47	-0.9	-0.0	1.44	-0.18	-0.42	-0.7	0.11	0	0
