feature;importance;normalized_importance;cumulative_importance
ATSC4dv;7.1;0.004976868077947567;0.2923734753960465
ATSC7v;7.0;0.004906771344455349;0.29728024674050185
ATSC2Z;6.8;0.00476657787747091;0.3020468246179728
AATSC4se;6.8;0.00476657787747091;0.3068134024954437
AATS5i;6.7;0.004696481143978691;0.3115098836394224
PEOE_VSA7;6.600000000000001;0.004626384410486473;0.31613626804990885
SIC0;6.5;0.004556287676994252;0.3206925557269031
Wap;6.299999999999999;0.004416094210009813;0.3251086499369129
Jhetv;6.2;0.004345997476517594;0.3294546474134305
MATS1c;6.1000000000000005;0.004275900743025376;0.33373054815645586
ATSC6dv;6.1;0.004275900743025375;0.3380064488994812
AATS8s;6.1;0.004275900743025375;0.3422823496425066
GATS4dv;6.0;0.004205804009533156;0.3464881536520397
PEOE_VSA8;5.9;0.004135707276040937;0.3506238609280807
AATSC2se;5.8999999999999995;0.004135707276040936;0.35475956820412163
PEOE_VSA10;5.8;0.004065610542548718;0.35882517874667036
MATS2c;5.8;0.004065610542548718;0.3628907892892191
ATSC8dv;5.7;0.003995513809056498;0.3668863030982756
PEOE_VSA9;5.699999999999999;0.003995513809056498;0.3708818169073321
JGI7;5.699999999999999;0.003995513809056498;0.37487733071638857
GATS4d;5.6;0.003925417075564278;0.37880274779195283
ATSC5dv;5.5;0.0038553203420720597;0.38265806813402486
ATSC8c;5.4;0.0037852236085798405;0.3864432917426047
AATS4p;5.4;0.0037852236085798405;0.3902285153511846
ATSC0c;5.3999999999999995;0.00378522360857984;0.39401373895976444
AATSC0d;5.3999999999999995;0.00378522360857984;0.3977989625683443
AATSC4i;5.300000000000001;0.0037151268750876217;0.4015140894434319
EEig01d;5.3;0.003715126875087621;0.40522921631851955
ATSC1p;5.3;0.003715126875087621;0.4089443431936072
AATSC3i;5.3;0.003715126875087621;0.4126594700686948
GATS6c;5.1000000000000005;0.003574933408103183;0.41623440347679797
SdssC;5.000000000000001;0.0035048366746109638;0.41973924015140895
O-057;5.000000000000001;0.0035048366746109638;0.42324407682601994
H-054;5.0;0.0035048366746109633;0.42674891350063093
AATS8i;5.0;0.0035048366746109633;0.4302537501752419
GATS6Z;4.900000000000001;0.003434739941118745;0.4336884901163607
ATSC7p;4.800000000000001;0.0033646432076265254;0.4370531333239872
GATS7se;4.800000000000001;0.0033646432076265254;0.44041777653161374
IC1;4.8;0.0033646432076265245;0.44378241973924026
GATS4se;4.8;0.0033646432076265245;0.4471470629468668
AATS0s;4.7;0.003294546474134306;0.4504416094210011
GATS1c;4.7;0.003294546474134306;0.4537361558951354
AATS0i;4.6;0.003224449740642086;0.45696060563577745
ATSC3i;4.6;0.003224449740642086;0.4601850553764195
ATSC2se;4.5;0.003154353007149867;0.4633394083835694
TI1;4.5;0.003154353007149867;0.4664937613907193
GATS7c;4.5;0.003154353007149867;0.4696481143978692
ATSC2v;4.499999999999999;0.0031543530071498666;0.4728024674050191
AATS4i;4.4;0.003084256273657648;0.47588672367867674
GATS3s;4.4;0.003084256273657648;0.4789709799523344
GATS6se;4.3;0.003014159540165428;0.4819851394924998
EState_VSA8;4.3;0.003014159540165428;0.48499929903266525
ATSC8d;4.3;0.003014159540165428;0.4880134585728307
ATSC1dv;4.3;0.003014159540165428;0.4910276181129961
ATSC4i;4.2;0.0029440628066732095;0.4939716809196693
C-025;4.2;0.0029440628066732095;0.4969157437263425
GATS1s;4.2;0.0029440628066732095;0.4998598065330157
ATSC3v;4.2;0.0029440628066732095;0.5028038693396889
AATS0d;4.1000000000000005;0.0028739660731809903;0.5056778354128699
ATSC1s;4.1;0.00287396607318099;0.508551801486051
AATSC1Z;4.1;0.00287396607318099;0.511425767559232
ATSC6d;4.1;0.00287396607318099;0.514299733632413
PEOE_VSA11;4.1;0.00287396607318099;0.517173699705594
GATS7d;4.1;0.00287396607318099;0.520047665778775
JGI9;4.0;0.0028038693396887707;0.5228515351184638
JGI4;3.9;0.0027337726061965515;0.5255853077246604
VSA_EState4;3.9;0.0027337726061965515;0.528319080330857
GATS3i;3.8999999999999995;0.002733772606196551;0.5310528529370535
D/Dr10;3.8000000000000003;0.0026636758727043323;0.5337165288097578
ATSC7c;3.8000000000000003;0.0026636758727043323;0.5363802046824622
AATSC8dv;3.8;0.002663675872704332;0.5390438805551665
