ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
10;set_3;HY-122866;IRB195-S10C1;kinasas;L03;atoms 28 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x78324946eb30>;COc1cc2nc(NC3CC3)nc(NC3CCN(C(C)C)CC3)c2cc1OC
11;set_3;HY-128588;IRB195-S10C1;kinasas;M03;atoms 38 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x78324946eba0>;CCN(CC)c1ccc2cc(C(=O)N3CCN(C(=O)C4=Cc5c(Br)cccc5S4(=O)=O)CC3)c(=O)oc2c1
12;set_3;HY-10683;IRB195-S10C1;kinasas;N03;atoms 42 bonds 47;<rdkit.Chem.rdchem.Mol object at 0x78324946ec10>;CCn1nnc2c(N3CCOCC3)nc(-c3ccc(NC(=O)Nc4ccc(C(=O)N5CCN(C)CC5)cc4)cc3)nc21
13;set_3;HY-126216;IRB195-S10C1;kinasas;O03;atoms 43 bonds 48;<rdkit.Chem.rdchem.Mol object at 0x78324946ec80>;CC(=O)N1CCC(c2cc(-c3ccc(NC(=O)c4cccn(-c5ccc(F)cc5)c4=O)cc3F)c3c(N)ncnn23)CC1
14;set_3;HY-145563;IRB195-S10C1;kinasas;P03;atoms 36 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x78324946ecf0>;CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4ccc5nn(C)c(C(C)C)c5c4)n3)nc2)CC1
15;set_3;HY-112097;IRB195-S10C1;kinasas;A04;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x78324946ed60>;CC(C)c1ccc(-c2cn3nc(N4CCC(CN5CCN(C)CC5)CC4)sc3n2)cc1
16;set_3;HY-12382;IRB195-S10C1;kinasas;B04;atoms 49 bonds 54;<rdkit.Chem.rdchem.Mol object at 0x78324946edd0>;CCc1cccc(CC)c1NC(=O)c1nn(C)c2c1CCc1cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC(F)(F)F)nc1-2
17;set_3;HY-P0118B;IRB195-S10C1;kinasas;C04;atoms 128 bonds 127;<rdkit.Chem.rdchem.Mol object at 0x78324946ee40>;CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@@H](N)[C@@H](C)O)C(=O)N[C@H](C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)[O-])[C@@H](C)CC.[NH4+].[NH4+]
18;set_3;HY-133669;IRB195-S10C1;kinasas;D04;atoms 32 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x78324946eeb0>;Cc1ccc2c(Nc3cncc(C(F)(F)F)c3)noc2c1C#Cc1cnc2cccnn12
19;set_3;HY-150041;IRB195-S10C1;kinasas;E04;atoms 48 bonds 54;<rdkit.Chem.rdchem.Mol object at 0x78324946ef20>;COc1cc2ncnc(Oc3ccc(NC(=O)c4cn5c6c(c(N7CCC(O)CC7)c(F)cc6c4=O)CCC5C)cc3F)c2cc1OC
20;set_3;HY-110171;IRB195-S10C1;kinasas;F04;atoms 27 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x78324946ef90>;O=c1oc2ccccc2cc1-c1cn2cc(Cc3ccc(F)cc3)sc2n1
21;set_3;HY-N0592A;IRB195-S10C1;kinasas;G04;atoms 25 bonds 27;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad040>;COc1ccc2cc3[n+](cc2c1OC)CCc1cc(O)c(O)cc1-3.[Cl-]
22;set_3;HY-114428;IRB195-S10C1;kinasas;H04;atoms 43 bonds 48;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad0b0>;CN1CCC(c2ccccc2CC(C)(C)Nc2nc(N3CCOCC3)nc(-n3c(S(C)(=O)=O)nc4ccccc43)n2)CC1
23;set_3;HY-102039;IRB195-S10C1;kinasas;I04;atoms 42 bonds 47;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad120>;CN(C)C(=O)c1cc2cnc(Nc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)nc2n1C1CCCC1
24;set_3;HY-15719;IRB195-S10C1;kinasas;J04;atoms 21 bonds 24;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad190>;O=c1cc(N2CCOCC2)oc2c1ccc1ccccc12
25;set_3;HY-139980;IRB195-S10C1;kinasas;K04;atoms 34 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad200>;CC(C)n1cc(-c2ccnc3[nH]c(C4CCN(CC(=O)N5CCCCC5)CC4)cc23)ccc1=O
26;set_3;HY-10186;IRB195-S10C1;kinasas;L04;atoms 42 bonds 47;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad270>;Cc1cc(-c2cc(OC(=O)c3ccccc3)ccc2Cl)cc2nnc(Nc3ccc(OCCN4CCCC4)cc3)nc12
27;set_3;HY-12201;IRB195-S10C1;kinasas;M04;atoms 36 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad2e0>;CCS(=O)(=O)c1cccc(-c2cc(C(=O)NC3CCN(C)CC3)c(C)c3[nH]c4ncc(C)cc4c23)c1
28;set_3;HY-136773A;IRB195-S10C1;kinasas;N04;atoms 43 bonds 47;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad350>;COc1cc2c(-c3cnn4cc(N5CCC(N6CCN(C)CC6)CC5)cnc34)ccnc2cc1F.O=C(O)CCC(=O)O
29;set_3;HY-13003;IRB195-S10C1;kinasas;O04;atoms 45 bonds 51;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad3c0>;CCC(=O)N1CCN(c2ccc(-n3c(=O)ccc4cnc5ccc(-c6cnc7ccccc7c6)cc5c43)cc2C(F)(F)F)CC1
30;set_3;HY-12049;IRB195-S10C1;kinasas;P04;atoms 34 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad430>;CN(C)c1ccc(-c2nc3c(N4CCN(CC(=O)Nc5nccs5)CC4)c(Cl)cnc3[nH]2)cc1
31;set_3;HY-112182;IRB195-S10C1;kinasas;A05;atoms 45 bonds 49;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad4a0>;Cc1nc(Nc2ncc(C(=O)Nc3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)s2)cc(N2CCN(CCO)CC2)n1
32;set_3;HY-16297A;IRB195-S10C1;kinasas;B05;atoms 37 bonds 41;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad510>;CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1
33;set_3;HY-P0035;IRB195-S10C1;kinasas;C05;empty mol;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad580>;
34;set_3;HY-100343;IRB195-S10C1;kinasas;D05;atoms 30 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad5f0>;Nc1ncc(C(=O)NC2CN(C(=O)C3CC3)C2)c2ccc(-c3cccc(F)c3)nc12
35;set_3;HY-115492;IRB195-S10C1;kinasas;E05;atoms 24 bonds 26;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad660>;O=C1C=C(NCCc2cc(Br)c(O)c(Br)c2)C(=O)c2ncccc21
36;set_3;HY-B0183;IRB195-S10C1;kinasas;F05;atoms 22 bonds 25;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad6d0>;O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
37;set_3;HY-107779;IRB195-S10C1;kinasas;G05;atoms 40 bonds 44;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad740>;CCCS(=O)(=O)Nc1ccc(F)c(-n2cc(-c3cncnc3)c3nc(N(C)C4CCN(CC)CC4)ccc32)c1F
38;set_3;HY-15509A;IRB195-S10C1;kinasas;H05;atoms 58 bonds 55;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad7b0>;C/C(=N\NC(=N)N)c1cc(NC(=O)CCCCCCCCC(=O)Nc2cc(/C(C)=N/NC(=N)N)cc(/C(C)=N/NC(=N)N)c2)cc(/C(C)=N/NC(=N)N)c1.Cl.Cl.Cl.Cl
39;set_3;HY-12857;IRB195-S10C1;kinasas;I05;atoms 40 bonds 44;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad820>;COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2P(C)(C)=O)n1
40;set_3;HY-100602;IRB195-S10C1;kinasas;J05;atoms 26 bonds 26;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad890>;Cl.NCCOc1ccc(Cl)cc1C(=O)Nc1ccc([N+](=O)[O-])cc1Cl
41;set_3;HY-N0590;IRB195-S10C1;kinasas;K05;atoms 31 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad900>;C=C[C@H]1CN2CC[C@]3(C(=O)Nc4ccccc43)[C@@H]2C[C@@H]1/C(=C\OC)C(=O)OC
42;set_3;HY-B0402;IRB195-S10C1;kinasas;L05;atoms 14 bonds 16;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad970>;NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3
43;set_3;HY-13329;IRB195-S10C1;kinasas;M05;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x78324d7ad9e0>;O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1cccc([N+](=O)[O-])c1
44;set_3;HY-P0175;IRB195-S10C1;kinasas;N05;atoms 252 bonds 257;<rdkit.Chem.rdchem.Mol object at 0x78324d7ada50>;CC[C@H](C)[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](N)CCCNC(=N)N)[C@@H](C)CC)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)NCC(=O)N[C@@H](Cc1ccc(OP(=O)(O)O)cc1)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CO)C(=O)O
45;set_3;HY-11002;IRB195-S10C1;kinasas;O05;atoms 26 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x78324d7adac0>;COc1cc2ncnc(-n3nc(-c4ccccn4)nc3N)c2cc1OC
46;set_3;HY-13011A;IRB195-S10C1;kinasas;P05;atoms 38 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x78324d7adb30>;CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O.Cl
47;set_3;HY-10330;IRB195-S10C1;kinasas;A06;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x78324d7adba0>;Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1
48;set_3;HY-100848;IRB195-S10C1;kinasas;B06;atoms 43 bonds 48;<rdkit.Chem.rdchem.Mol object at 0x78324d7adc10>;C=CC(=O)Nc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1Oc1ccccc1
49;set_3;HY-10330A;IRB195-S10C1;kinasas;C06;atoms 34 bonds 36;<rdkit.Chem.rdchem.Mol object at 0x78324d7adc80>;Cc1[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c(C)c1C(=O)NCCN1CCCC1.O=P(O)(O)O
50;set_3;HY-11063;IRB195-S10C1;kinasas;D06;atoms 22 bonds 22;<rdkit.Chem.rdchem.Mol object at 0x78324d7adcf0>;CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1
51;set_3;HY-W035137;IRB195-S10C1;kinasas;E06;atoms 36 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x78324d7add60>;C1=Cc2nc1cc1ccc([nH]1)c(-c1ccccc1)c1nc(cc3ccc([nH]3)c2-c2ccccc2)C=C1
52;set_3;HY-13912;IRB195-S10C1;kinasas;F06;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x78324d7addd0>;Cc1ccc2nc(NC(=O)CSc3nc4c(c(=O)n3-c3ccccc3)SCC4)sc2c1
53;set_3;HY-50847;IRB195-S10C1;kinasas;G06;atoms 30 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x78324d7ade40>;FC(F)c1nc2ccccc2n1-c1nc(N2CCOCC2)nc(N2CCOCC2)n1
54;set_3;HY-129336;IRB195-S10C1;kinasas;H06;atoms 38 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x78324d7adeb0>;CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(CO)n(C(C)C)c5c4)n3)nc2)CC1
55;set_3;HY-13418A;IRB195-S10C1;kinasas;I06;atoms 30 bonds 34;<rdkit.Chem.rdchem.Mol object at 0x78324d7adf20>;c1cc(-c2cnn3cc(-c4ccc(OCCN5CCCCC5)cc4)cnc23)ccn1
56;set_3;HY-12432A;IRB195-S10C1;kinasas;J06;empty mol;<rdkit.Chem.rdchem.Mol object at 0x78324d7adf90>;
57;set_3;HY-12035;IRB195-S10C1;kinasas;K06;atoms 29 bonds 33;<rdkit.Chem.rdchem.Mol object at 0x78324cde9040>;COc1ccc2c(OCc3nnc4ccc(-c5ccccc5)nn34)ccnc2c1
58;set_3;HY-114277A;IRB195-S10C1;kinasas;L06;atoms 42 bonds 46;<rdkit.Chem.rdchem.Mol object at 0x78324cde90b0>;C=CC(=O)N1CCN(c2nc(=O)n(-c3c(C)ccnc3C(C)C)c3nc(-c4c(O)cccc4F)c(F)cc23)[C@@H](C)C1
59;set_3;HY-111471A;IRB195-S10C1;kinasas;M06;atoms 37 bonds 41;<rdkit.Chem.rdchem.Mol object at 0x78324cde9120>;CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C3CCN(C)CC3)C4)n[nH]c2c1.Cl
60;set_3;HY-131064;IRB195-S10C1;kinasas;N06;atoms 38 bonds 42;<rdkit.Chem.rdchem.Mol object at 0x78324cde9190>;Cc1c(NC(=O)c2cccn(-c3ccc(F)cc3)c2=O)ccc(Oc2ccnc(NC(=O)C3CC3)c2)c1C
61;set_3;HY-13737;IRB195-S10C1;kinasas;O06;atoms 25 bonds 28;<rdkit.Chem.rdchem.Mol object at 0x78324cde9200>;COc1cc2c(cc1F)C(c1ccccc1Cl)=NC1=C(C)NNC1=N2
62;set_3;HY-16902;IRB195-S10C1;kinasas;P06;atoms 28 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x78324cde9270>;Cc1ccc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(N)=O)nc1C
63;set_3;HY-100016;IRB195-S10C1;kinasas;A07;atoms 34 bonds 38;<rdkit.Chem.rdchem.Mol object at 0x78324cde92e0>;CN(C)CCCOc1ccc(-c2ccc3ncc4c(c3c2)n(C2CCOCC2)c(=O)n4C)cn1
64;set_3;HY-12432;IRB195-S10C1;kinasas;B07;atoms 40 bonds 44;<rdkit.Chem.rdchem.Mol object at 0x78324cde9350>;CCc1nc(C(N)=O)c(Nc2ccc(N3CCC(N4CCN(C)CC4)CC3)c(OC)c2)nc1NC1CCOCC1
65;set_3;HY-112272A;IRB195-S10C1;kinasas;C07;atoms 37 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x78324cde93c0>;CC(C)N1CCN(c2ccc(Nc3ncc4cc5n(c4n3)C3(CCCCC3)CNC5=O)nc2)CC1.Cl.Cl
66;set_3;HY-N0498;IRB195-S10C1;kinasas;D07;atoms 27 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x78324cde9430>;COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5.[Cl-]
67;set_3;HY-129492;IRB195-S10C1;kinasas;E07;atoms 37 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x78324cde94a0>;CC(C)Oc1ccc(F)c(-c2cnc(N)c(C(=O)Nc3cnccc3N3CCC[C@@H](C(=O)O)C3)n2)c1
68;set_3;HY-15504A;IRB195-S10C1;kinasas;F07;atoms 40 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x78324cde9510>;COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1
69;set_3;HY-13595;IRB195-S10C1;kinasas;G07;atoms 19 bonds 21;<rdkit.Chem.rdchem.Mol object at 0x78324cde9580>;Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O
