ID_SET_COMPOUND;ID_SET;ID NUMBER;IRB PLATE;LIBRARY;ORIGINAL WELL;ID;ROMol;SMILES
37;set_4;HY-13314;PLATE_525;Clinical;F05;atoms 36 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x00000213774582E0>;COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1
38;set_4;HY-109178;PLATE_525;Clinical;G05;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x0000021377458350>;COc1cc(Nc2ncc(C)c(Nc3ccc4oc(=O)[nH]c4c3)n2)cc(C)c1F
39;set_4;HY-18174;PLATE_525;Clinical;H05;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x00000213774583C0>;COc1cccc(OCCCN)c1-c1cc(Nc2cnc(C#N)cn2)n[nH]1
40;set_4;HY-12090;PLATE_525;Clinical;I05;atoms 46 bonds 49;<rdkit.Chem.rdchem.Mol object at 0x0000021377458430>;COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C
41;set_4;HY-12353A;PLATE_525;Clinical;J05;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x00000213774584A0>;O=C(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2c[nH]c3ncc(F)cc23)ncc1F
42;set_4;HY-14399;PLATE_525;Clinical;K05;atoms 21 bonds 23;<rdkit.Chem.rdchem.Mol object at 0x0000021377458510>;O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1
43;set_4;HY-120801A;PLATE_525;Clinical;L05;atoms 21 bonds 23;<rdkit.Chem.rdchem.Mol object at 0x0000021377458580>;CCCc1c(-c2ccccc2)nn(-c2ccccn2)c1O
44;set_4;HY-106005;PLATE_525;Clinical;M05;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x00000213774585F0>;CS(=O)(=O)c1ccc(-c2cnc(N)c(-c3ccc(C(F)(F)F)nc3)c2)cc1
45;set_4;HY-14574;PLATE_525;Clinical;N05;atoms 36 bonds 40;<rdkit.Chem.rdchem.Mol object at 0x0000021377458660>;CC(=O)NCC(=O)N1C2CC[C@H]1c1ccc(Nc3ncc(C(F)(F)F)c(NC4CCC4)n3)cc12
46;set_4;HY-109193;PLATE_525;Clinical;O05;atoms 31 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x00000213774586D0>;C[C@@H]1CN(Cc2ncccn2)C[C@H]1c1cn2c(C3CCOCC3)ncc2c(=O)[nH]1
47;set_4;HY-108714;PLATE_525;Clinical;P05;atoms 29 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x0000021377458740>;CCc1cc(Nc2nc(-c3ccc(-n4cnc(C)c4)c(F)c3)cs2)c(C)cc1C
48;set_4;HY-120124;PLATE_525;Clinical;A06;atoms 31 bonds 32;<rdkit.Chem.rdchem.Mol object at 0x00000213774587B0>;Cl.Cl.O=C(CN1CCOCC1)Nc1ccc(OC2CCN(C3CCC3)CC2)cc1
49;set_4;HY-15404;PLATE_525;Clinical;B06;atoms 31 bonds 33;<rdkit.Chem.rdchem.Mol object at 0x0000021377458820>;COc1cc(OC)nc(O[C@H](C(=O)O)C(OC)(c2ccccc2)c2ccccc2)n1
50;set_4;HY-14933;PLATE_525;Clinical;C06;atoms 20 bonds 22;<rdkit.Chem.rdchem.Mol object at 0x0000021377458890>;C=Cc1cc(O)cc2nc(-c3ccc(O)c(F)c3)oc12
51;set_4;HY-14423;PLATE_525;Clinical;D06;atoms 29 bonds 30;<rdkit.Chem.rdchem.Mol object at 0x0000021377458900>;CC(C)(C)S(=O)(=O)N[C@H]1CC[C@H](C(=O)Nc2ccc(C(F)(F)F)cn2)CC1
52;set_4;HY-107145A;PLATE_525;Clinical;E06;atoms 41 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x0000021377458970>;Cc1c(C(=O)Nc2ccc(Oc3ccnc4cc(OCC(C)(C)O)ccc34)c(F)c2)c(=O)n(-c2ccccc2)n1C
53;set_4;HY-107367A;PLATE_525;Clinical;F06;atoms 42 bonds 45;<rdkit.Chem.rdchem.Mol object at 0x00000213774589E0>;CC#C/C(=N\OC[C@H]1COCCN1)c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1.Cl
54;set_4;HY-112284;PLATE_525;Clinical;G06;atoms 44 bonds 47;<rdkit.Chem.rdchem.Mol object at 0x0000021377458A50>;CC(C)[C@H](N)C(=O)OCC[C@H](NC(=O)[C@@H]1SCCN1S(=O)(=O)c1ccc(-c2ccccc2)cc1)c1ccc(F)cc1
55;set_4;HY-13721;PLATE_525;Clinical;H06;atoms 18 bonds 20;<rdkit.Chem.rdchem.Mol object at 0x0000021377458AC0>;Oc1ccc(C2=Cc3ccc(O)cc3OC2)cc1
56;set_4;HY-109174;PLATE_525;Clinical;I06;atoms 21 bonds 22;<rdkit.Chem.rdchem.Mol object at 0x0000021377458B30>;Cc1cc(C2CCCCC2)n(OCOP(=O)(O)O)c(=O)c1
57;set_4;HY-14825A;PLATE_525;Clinical;J06;atoms 42 bonds 44;<rdkit.Chem.rdchem.Mol object at 0x0000021377458BA0>;O=C(O)[C@@H](O)[C@H](O)C(=O)O.O=C(O[C@H]1CN2CCC1CC2)N(Cc1cc(F)c(F)c(F)c1)c1cccc(F)c1
58;set_4;HY-15727A;PLATE_525;Clinical;K06;atoms 30 bonds 31;<rdkit.Chem.rdchem.Mol object at 0x0000021377458C10>;Cl.Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl
59;set_4;HY-109086;PLATE_525;Clinical;L06;atoms 34 bonds 37;<rdkit.Chem.rdchem.Mol object at 0x0000021377458C80>;CC1(C)CC=C(c2nc(C3CC(C)(C)OC(C)(C)C3)ccc2NC(=O)c2ncc(C#N)[nH]2)CC1
60;set_4;HY-15251;PLATE_525;Clinical;M06;atoms 20 bonds 20;<rdkit.Chem.rdchem.Mol object at 0x0000021377458CF0>;CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1
61;set_4;HY-12867;PLATE_525;Clinical;N06;atoms 27 bonds 29;<rdkit.Chem.rdchem.Mol object at 0x0000021377458D60>;CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
62;set_4;HY-101126;PLATE_525;Clinical;O06;atoms 32 bonds 35;<rdkit.Chem.rdchem.Mol object at 0x0000021377458DD0>;CC(C)(O)[C@H]1CC[C@H](Nc2ccc3ncc(-c4cccc(C(F)(F)F)c4)n3n2)CC1
63;set_4;HY-114299;PLATE_525;Clinical;P06;atoms 21 bonds 21;<rdkit.Chem.rdchem.Mol object at 0x0000021377458E40>;O=C(CCCCCCCNC(=O)c1ccccc1O)O[Na]
