SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m	observed	predicted
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	0.6	2.41	2.86	-0.08	-0.23	-0.18	-1.04	-0.05	1.47	0.15	-0.2	0.78	-0.5	-0.23	-0.75	-0.37	-0.21	0.0	1.0
C[C@]12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2O	-0.93	-0.09	-0.71	-0.67	0.74	-1.22	0.01	-0.07	-0.86	0.89	-0.61	-0.46	-0.3	-0.5	-0.47	0.53	0.8	0.0	0.0
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C	0.65	0.47	0.16	0.5	0.45	0.54	0.99	-0.19	0.69	0.84	0.26	0.53	-0.13	-0.44	0.65	-0.06	-0.84	0.0	1.0
COCc1c(C(C)C)nc(C(C)C)c(/C=C/C(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1	-0.38	0.19	2.85	-0.54	-0.63	-0.66	0.47	0.33	0.54	1.81	0.22	-0.56	-0.58	0.45	-0.2	-0.7	-0.16	0.0	0.0
Cc1ccc(NC(=O)c2ccc(CN3CC[N+](C)([O-])CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	2.48	1.85	0.16	0.3	0.09	0.55	-0.43	0.28	2.09	2.67	0.41	-0.23	-0.48	-0.67	0.07	-0.33	-1.48	0.0	1.0
C=C(C)C1OC2CC[C@@]3(C)[C@@](O)(CCC4Cc5c([nH]c6cc7c(cc56)CC5C7=CC(C)(C)OC5(C)C)[C@@]43C)C2=CC1O	-0.93	-0.37	0.15	0.72	0.35	-0.23	1.55	1.35	-0.08	2.27	-0.42	-0.26	-0.7	1.56	0.26	-0.32	0.22	0.0	0.0
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	0.03	-0.92	0.16	-2.79	-0.04	-1.58	2.74	-4.16	-0.7	-0.7	0.88	-1.27	-0.54	4.16	-0.97	0.39	-3.16	0.0	0.0
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	1.19	1.3	0.15	0.3	-0.36	0.98	1.52	0.45	2.09	0.14	0.93	-0.99	-0.46	0.25	-0.35	0.55	0.08	0.0	0.0
COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12	-0.38	1.3	0.15	0.59	0.09	0.85	1.08	0.52	1.0	0.8	1.2	0.45	-0.27	0.24	0.36	0.65	-1.27	0.0	0.0
CC(C)=CCC/C(C)=C\CC/C(C)=C/CC/C=C(/C)CCC1C(C)=CCC(O)C1(C)C	-0.93	-0.92	-0.73	0.98	0.18	-0.07	-1.04	0.55	-0.55	-0.7	-0.94	2.03	-0.7	-1.43	0.74	-0.67	1.66	0.0	0.0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O	0.6	-0.09	2.85	-0.29	0.18	0.14	0.17	0.67	0.38	0.69	-0.02	0.39	-0.35	0.95	-0.44	-0.35	0.19	1.0	1.0
CC(C)(C)NC[C@H](O)COc1ccccc1C#N	0.09	0.19	0.16	0.81	0.19	0.82	-1.04	0.38	-0.08	-0.17	-0.26	-0.27	-0.08	-0.62	0.09	1.06	-0.45	1.0	1.0
