SMILES	H-052	ATS0Z	AATS3i	ATSC2Z	ATSC5s	ATSC7p	AATSC2se	MATS4c	GATS3c	GATS3s	nF	IC2	F04[C-F]	B05[C-Cl]	B09[C-S]	B10[N-I]	PEOE_VSA6	observed	predicted
CCCSc1nc(N)c2ncn([C@@H]3O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]3O)c2n1	-0.313775733147603	1.4719007907836406	0.8902657946985048	6.6891323638540054	-2.6348354305906883	0.38695159436876453	2.3221351834817088	1.4428205051601881	0.5095477801552033	1.317980764882111	-0.2906190968595482	1.7320646295024318	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.8625691372108403	0	1
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1	0.10987099804222053	-0.412533539495653	0.03023986051309944	-0.02594145002693993	-0.019790632694589663	0.08676233869792727	0.07992452653839253	0.25229465298322573	1.5303808034399706	-0.34882622041320854	-0.2906190968595482	0.4493047041014364	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1	0.10987099804222053	0.34157760252300784	0.34201992151674065	-0.26049622709416326	0.13564955961584102	0.24506814201158866	-0.6359277125174693	0.694714462567128	1.1699455349198058	0.8590848466667933	-0.2906190968595482	0.5263933752817221	-0.2873850112419584	2.749545416973504	-0.33275613232308127	-0.03949762527666822	0.5645681885810541	0	0
CSc1ccc(C(=O)c2[nH]c(=O)[nH]c2C)cc1	-0.10195236755269121	-0.31805876555148077	-1.0760501121718618	-0.5767403459732015	-0.11884881328793583	0.2950607453386543	0.5673140298095052	0.2180129973824861	0.535008550709172	0.6260603954574142	-0.2906190968595482	-0.135444289972081	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1	-0.7374224643374264	0.5322141999460698	-0.18360876753124264	0.09424224411406835	-0.04165141607901555	0.34356518428187105	0.2859022139049221	-1.8994564596416565	-1.226884677708194	0.46752824046772284	-0.2906190968595482	1.3804607195993526	-0.2873850112419584	-0.363696483726654	3.0052038200428277	-0.03949762527666822	0.008123054549597629	0	1
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](N=C(N)N)[C@H](O)[C@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O	-0.10195236755269121	0.5085955064600267	1.369783646947375	-0.4248509019729159	0.7667970035034161	-0.4754321261523104	-1.165480187815781	-0.27108904215730006	-0.1781724767550509	0.16590444857253128	-0.2906190968595482	0.8577056612721706	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
S=c1[nH]cnc2nc[nH]c12	-0.7374224643374264	-0.5626809480854983	0.32759860522061984	-0.5172901108008394	0.011924766861287918	0.2862877171909324	-0.4235940096928756	-1.3082509672608664	-1.4420579809203193	-0.6420430740954293	-0.2906190968595482	-1.8256931688651117	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.48669509835450037	0	0
CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1	-0.313775733147603	-0.27419547764882934	0.11397105248872605	-0.014585987818168914	-0.036710825671241155	0.17770880211296863	1.1361875152266137	2.4830170455320353	1.6190336183377763	-0.531534632552326	-0.2906190968595482	0.30093001748110976	-0.2873850112419584	-0.363696483726654	3.0052038200428277	-0.03949762527666822	-0.7274527032102809	0	0
O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1	0.10987099804222053	0.010915893718404871	0.14991652095968847	0.20921708557215798	0.23262274400799	0.8499418496671907	1.643080161498532	-0.029008758820424276	-0.269598911046328	-1.4207042511995287	5.040165479821308	0.2159187358541556	4.061127583106059	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.49056691700047783	1	0
N[C@H]1C[C@@H]1c1ccccc1	-0.10195236755269121	-0.775249189459886	-0.005028191899796434	-0.9671431324740841	0.04650458991872924	0.5280600981736913	-0.5343780263173746	0.8316575087986465	-0.4035071786799976	0.7345382203860887	-0.2906190968595482	-1.4933572621995872	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.33706044567555765	0	0
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1	-0.10195236755269121	-0.18478185230880914	-0.3385531539598625	0.9362600691784994	0.01380702517051054	-2.515465282069605	-0.5098166038966316	0.48503095020506326	1.3544586126383458	0.09258644781792857	-0.2906190968595482	-0.1533235907213412	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.49056691700047783	0	0
C[C@H](CCC(=O)NCCS(=O)(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C	0.10987099804222053	0.2555380762524224	-0.3953615963200705	-0.3881019217850724	0.46096341352794884	-0.27222446486698454	0.47333556844766617	0.5430762874702442	-0.8892667386216293	-1.0888324201978368	-0.2906190968595482	-0.11327385626411075	-0.2873850112419584	-0.363696483726654	3.0052038200428277	-0.03949762527666822	-0.097721125395173	0	0
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1	-0.313775733147603	-0.04475674092726808	-0.48525920646050136	0.314193580584814	0.1801607774604251	-0.19633635714690376	0.05849976114847728	0.5374432883099718	0.9220099870041863	0.6941046388676486	-0.2906190968595482	0.6172619949800137	-0.2873850112419584	-0.363696483726654	3.0052038200428277	-0.03949762527666822	0.6350613943053436	1	1
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCCC2)cc1	0.10987099804222053	-0.15441496068389662	0.6136545951166869	0.17900617627416177	-0.4679602581670359	0.7627485884384925	1.0792600104300034	0.5951927643722574	0.8918650901719701	-0.535966466886351	-0.2906190968595482	-0.22265647610764092	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.34642826454910297	0	0
CC(c1cc2ccccc2s1)N(O)C(N)=O	-0.10195236755269121	-0.3484256571763933	-0.5964204769894175	0.5359726618465537	-0.36505396123999095	-0.03717374732361117	0.5024631310546137	-1.4321624467032106	-1.15320022187696	-0.7369458122133207	-0.2906190968595482	-0.32271838598590247	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.21469112944179927	0	0
CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	0.533517729232044	0.3770056427520725	-0.6056294265855401	1.5004699966134616	-0.10584961789183167	0.536342955329165	-0.20039322467405019	-0.5508051927074586	-0.21883427881580758	-0.7007285586906216	3.7074693356510937	1.2377358451876344	6.5459919227334975	-0.363696483726654	3.0052038200428277	-0.03949762527666822	0.1785936464078202	0	1
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	1.8044579228015145	-0.26913432904467727	1.0126593817976883	-0.6862245447743477	0.28547424382335373	0.6004472719398823	-1.0300372696173608	-0.38518606081265594	1.2756897544303594	2.3321607194656013	-0.2906190968595482	0.07004594128053142	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	0.13916466081462997	0	0
CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1	0.7453410948269558	0.04803098348218684	-0.7922500311312782	1.3845282838563402	-0.590019677644423	1.749406379877081	-0.3620686033535774	0.26290893113598773	-0.12860725490072428	-0.5339877021048245	1.0420770473106657	0.9096512298641857	2.81869541329234	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-0.13627214249973374	0	0
CN(C)C(=O)Oc1ccc[n+](C)c1	-0.7374224643374264	-0.624258256102682	-0.7237095388792543	0.2670347973250244	-0.1765150705495245	0.715765609685157	0.6497876820161234	-0.8417622205027884	0.47094725026327705	-0.23041105034580672	-0.2906190968595482	-1.4457572841392745	-0.2873850112419584	-0.363696483726654	-0.33275613232308127	-0.03949762527666822	-1.0423184921178348	0	0
