SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4	observed	predicted
COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1	-0.25	-0.75	-0.13	-0.02	2.54	0.09	-0.5	0.3	-0.65	-0.25	-0.87	-0.36	0.03	-0.59	-0.21	0	0
C=Cc1ccc(O)cc1	-0.25	-0.75	-0.48	-0.64	-0.97	-0.25	-1.0	-0.37	-0.73	-0.68	-1.07	-0.36	-1.37	-0.59	0.4	0	0
CC(=O)Oc1ccc2c(=O)c(-c3ccccc3)c(C)oc2c1	-0.25	-0.75	-0.84	1.24	1.02	-0.27	-0.52	0.3	-0.36	-0.04	-1.15	-0.86	0.29	-0.59	0.06	0	1
CC1=C(O)C(=O)CC(OC2CC(C)(C)CC3C4=CCC5[C@]6(C)CCC(OC7OC(C(=O)O)C(O)C(O)C7OC7OCC(O)C(O)C7OC7OC(CO)C(O)C(O)C7O)[C@@](C)(CO)C6CC[C@]5(C)[C@@]4(C)CC[C@]23C)O1	-0.25	2.09	3.09	0.04	0.67	0.73	1.23	2.32	3.22	1.01	4.7	1.03	0.42	-0.59	-1.5	0	0
CC(C)CC(O)CC(C)CCC(=O)c1ccoc1	-0.25	0.22	-0.48	0.17	0.89	-0.75	-0.83	-1.05	-0.48	-0.03	-0.22	-0.48	0.29	-0.59	0.71	0	0
CCNCc1cc(=O)oc2cc(OC)ccc12	-0.25	-0.75	-0.48	1.16	0.49	-0.39	-0.62	-0.37	-0.68	-0.19	-0.85	-0.88	-0.37	-0.59	0.37	0	1
CC(O)C(NC(=O)CN)C(=O)O	-0.25	-0.75	0.95	-0.15	0.01	-0.19	-0.79	-1.05	-0.35	-0.47	-0.75	0.62	0.83	1.68	-0.28	0	0
CC1=C(O)C(=O)CO1	-0.25	-0.75	-0.48	1.25	-2.47	1.31	-0.62	-1.05	-0.68	-4.78	-0.7	1.6	2.21	-0.59	-0.04	0	0
N#Cc1cccc2sc(C(=O)NC(=N)N)cc12	-0.25	-0.75	0.59	-0.77	1.29	-1.04	-0.62	-0.37	-0.63	-0.43	-0.59	-0.39	-0.13	1.68	-0.68	1	0
CC(CCC1O[C@@]1(C)CO)C1CC[C@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)C1CC3O	-0.25	1.72	-0.13	0.52	-0.26	1.65	1.23	1.65	0.26	0.6	1.46	2.33	1.16	-0.59	0.61	0	0
CC(CCC(=O)O)C1CCC2C3CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CC[C@@]4(C)C3CC[C@@]12C	-0.25	1.57	0.95	-0.12	0.85	0.81	1.04	1.65	1.01	0.49	1.94	0.78	0.3	-0.59	-0.24	0	0
C[C@@]12C(=O)C=CC=C1C(O)CC1C2CC[C@@]2(O)C(=O)O[C@@]3(C)C4C[C@]5(C)C(CO[C@@]16O[C@]23C5C6=O)C(=O)O4	-0.25	-0.07	-0.13	1.06	-0.35	0.38	1.31	0.97	0.12	0.95	2.18	1.55	1.07	-0.59	-0.53	0	1
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F	-0.25	-0.75	-0.84	0.16	-0.17	-1.02	1.02	0.3	0.48	0.43	0.58	-0.28	-0.12	1.68	-0.87	1	1
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCNCC1	-0.25	-0.75	-0.13	0.3	-0.83	-0.9	-0.66	-0.37	-0.7	0.5	-0.53	-1.08	-0.83	-0.59	0.47	0	0
C/C(O)=C1/CC(=O)C2=C1CCCN2	-0.25	-0.6	-0.13	0.71	-0.28	0.53	-0.54	-0.37	-0.68	-0.5	-0.74	-0.1	1.24	-0.59	0.62	0	0
CC(Cc1ccccc1)N(C)Cc1ccccc1	-0.25	-0.75	-0.84	-0.28	0.21	0.25	-0.88	0.3	-0.26	0.2	-0.83	-1.18	-1.05	-0.59	0.69	1	1
COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)c[nH]c2c1	-0.25	-0.75	-0.48	1.22	-0.18	0.91	-0.58	0.3	-0.15	0.04	-0.65	-0.14	-0.12	-0.59	0.23	1	1
CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)NC(COC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O)C(O)/C=C/CCCCCCCCCCCCC	-0.25	4.34	2.37	-0.62	0.81	-0.69	-0.73	-1.05	2.44	0.12	1.93	-0.9	-0.94	1.68	-1.02	0	0
CNCc1cc(=O)oc2cc(OC)ccc12	-0.25	-0.75	-0.48	1.09	0.47	-0.06	-0.62	-0.37	-0.62	-0.3	-1.14	-0.79	-0.28	-0.59	0.31	0	1
Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2	-0.25	-0.75	-0.84	0.55	-1.64	-0.48	-0.56	-0.37	0.01	0.65	1.57	-0.45	-0.01	-0.59	-0.21	1	1
CCCCCCCCCCCCC(O)C1CCC(C(O)CCCC(O)C(O)CCCCCC2CC(CC(C)=O)C(=O)O2)O1	1.34	1.57	0.59	-0.39	-0.25	-0.63	-0.85	-1.05	0.82	0.17	1.54	-0.63	-0.47	-0.59	0.26	0	0
CC(=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C(=O)[C@@]1(C)CC(O)CC1(C)C)/C=C/[C@]12O[C@@]1(C)CC(O)CC2(C)C	6.11	1.27	-0.13	0.48	0.51	1.62	1.31	0.3	0.67	0.15	0.61	1.51	1.43	-0.59	-0.11	0	0
CC1C(=O)CC2CC1C2(C)C	-0.25	0.22	-0.84	0.44	-0.26	1.08	1.04	0.97	-0.71	-0.7	-0.76	1.42	3.52	-0.59	1.0	0	0
CCCCCCOc1ccc2ccc(=O)oc2c1	-0.25	-0.07	-0.84	1.03	0.45	-1.35	-0.73	-0.37	-0.43	-0.3	-0.82	-1.18	-1.4	-0.59	0.48	1	1
CCC(/C=C/C(C)C1CCC2C3=CCC4CC(O)CC[C@]4(C)C3CC[C@@]21C)C(C)C	-0.25	2.17	-0.48	-0.16	-0.0	1.27	1.04	1.65	0.02	0.35	0.87	1.11	0.38	-0.59	0.9	0	0
