SMILES	ATSC6dv	X3sol	VSA_EState3	X2sol	PEOE_VSA8	H-050	GATS1c	SLogP	observed	predicted
Cl[Si](Cl)(Cl)c1ccccc1	0.19	0.98	-0.37	2.56	-0.82	-0.53	2.0	0.16	2.675915754895261	2.66364799547904
CC(C)C[Si](Cl)(Cl)Cl	0.1	-0.46	-0.55	2.37	-0.82	-0.53	2.94	0.64	2.6195628664208273	2.635064798478765
CC(C)(N)CO	0.1	-0.99	1.24	-0.55	0.05	3.61	0.67	-1.63	2.6421181336945816	2.645004279438346
Nc1ccc(Cl)cc1N	0.4	0.19	-0.41	0.09	-0.03	4.99	1.26	-0.5	2.7010928505611806	2.718235148820827
C/C=C/CCCCCCCC	0.1	-0.33	-0.55	-0.29	-0.82	-0.53	0.02	1.28	2.6697351641167866	2.650421637296904
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	0.04	-1.05	-0.55	-1.12	-0.82	-0.53	0.93	1.49	2.5181848042184027	2.526769566632662
CC(C)C(=NO)C(C)C	1.65	-0.35	1.97	-0.25	-0.82	0.85	-0.52	-0.1	2.657199318524401	2.6644525735461366
CC(C)(C)Cc1ccccc1	-0.49	-0.09	-0.55	0.55	-0.82	-0.53	-0.67	0.62	2.661954588653016	2.6723004789692943
c1ccc(-c2ccncc2)nc1	0.24	0.67	-0.55	0.33	2.96	-0.53	-1.07	-0.09	2.743627337570885	2.7454448831228486
OCCC(F)(F)F	0.1	-1.31	1.11	-1.45	-0.82	0.85	1.18	-0.86	2.5713011255662694	2.557811315951123
CCCCCCCCCCCCCCCCCBr	0.08	0.87	-0.29	1.1	0.02	-0.53	0.02	3.14	2.793895105460181	2.786904833757757
c1cncc(C2CCCN2)c1	-0.38	0.53	0.2	0.16	2.07	0.85	-0.27	-0.5	2.734919783872693	2.740259205409752
CCOC(=O)C1CCC1	0.49	-0.05	-0.55	-0.3	-0.82	-0.53	0.54	-0.59	2.635634517336094	2.6374861487199768
CC(C)(C)I	0.1	-1.6	-0.55	0.54	-0.28	-0.53	1.4	-0.04	2.571999816397063	2.570452797452697
CCOC(=O)C(=O)OCC	-2.97	-0.19	-0.55	-0.26	-0.82	-0.53	0.78	-1.38	2.6616707360403598	2.674329070550351
N#CCCCC#N	0.42	-0.9	2.88	-0.95	1.19	-0.53	-2.01	-0.69	2.7475283292345005	2.7484894524514383
CCCCCCO[N+](=O)[O-]	-0.72	-0.52	1.37	-0.23	-0.82	-0.53	1.71	-0.33	2.6475296664449806	2.6392926364524607
