SMILES	ATSC6dv	X3sol	VSA_EState3	X2sol	PEOE_VSA8	H-050	GATS1c	SLogP	observed	predicted
CCOCc1ccccc1	-0.5	-0.06	-0.55	-0.21	0.22	-0.53	-0.85	-0.04	2.661954588653016	2.658875845952825
C=CC/C=C/C	0.12	-1.05	-0.55	-1.12	-0.82	-0.53	-0.35	-0.1	2.5291093917613616	2.5371333914668246
CCCC(C)(C)CC	0.33	-0.52	-0.55	-0.39	-0.82	-0.53	1.2	0.59	2.5855171277271247	2.5871258327928777
c1cc(-c2ccncc2)ccn1	0.3	0.67	-0.55	0.33	3.06	-0.53	-1.39	-0.09	2.762040529978979	2.7530849861536426
O=C(/C=C/c1ccccc1)OCc1ccccc1	-0.88	1.6	-0.55	1.49	0.13	-0.53	0.33	0.73	2.794592599357641	2.775951790923622
CCCCCCCCF	0.1	-0.76	-0.55	-0.79	-0.82	-0.53	-1.16	0.65	2.618623286646383	2.6089514370968354
CCCCn1cccc1	-0.34	-0.2	-0.55	-0.38	2.14	-0.53	-0.09	-0.0	2.64704048585496	2.6534727109987366
CC(Cl)C(Cl)Cl	0.1	-0.17	-0.58	-0.05	-0.82	-0.53	-0.34	0.08	2.6076158432431322	2.615007371097834
CCc1ccc(Br)cc1	0.18	0.29	-0.55	0.12	-0.12	-0.53	-0.84	0.46	2.6786549281630445	2.677112887521693
c1ccc(C2CC2)cc1	0.3	0.02	-0.55	-0.17	-0.82	-0.53	-1.42	0.17	2.6500645611776816	2.656463423675397
CCC1CCCC1C	0.4	-0.13	-0.55	-0.48	-0.82	-0.53	0.44	0.34	2.599610188318619	2.600327836859164
O=CN1CCOCC1	0.1	-0.28	-0.55	-0.55	1.23	-0.53	-0.19	-1.78	2.7093971770530683	2.677147155063347
CCCCC[Si](Cl)(Cl)Cl	0.16	-0.13	-0.55	2.31	-0.82	-0.53	2.87	0.98	2.6485063777121614	2.6652602757173702
Cc1ccc(Cl)c(N)c1	0.8	0.29	-0.41	0.07	-0.82	2.23	1.07	-0.04	2.7008334670285428	2.6969612228912667
CCC(CC)C(C)(C)CC	0.71	0.12	-0.55	-0.11	-0.82	-0.53	1.22	0.99	2.639536290826109	2.635602557571017
NC(=O)C(F)(F)F	0.1	-1.6	-0.55	-1.11	-0.82	2.23	1.79	-1.43	2.639137718370094	2.6191227139818616
N#CCCC[Si](Cl)(Cl)Cl	-0.05	-0.13	1.2	2.31	0.19	-0.53	1.92	0.41	2.708123336243727	2.705595187978912
CC(C)CN(CCO)CC(C)C	-0.06	-0.28	1.36	0.38	2.25	0.85	0.08	-0.44	2.6876627068858356	2.6832844626468817
Cn1c(=S)sc2ccccc21	0.64	1.51	-0.55	0.87	0.29	-0.53	1.05	0.43	2.7840107110782126	2.759479138115084
CCCCCCCCCCCCBr	0.08	0.16	-0.29	0.27	0.02	-0.53	-0.09	1.9	2.7396909879372124	2.7230971145001273
Oc1ccccc1Br	0.22	0.35	1.37	-0.05	-0.82	0.85	-0.16	-0.09	2.669920938681443	2.6835407514906433
c1ccncc1	0.1	-0.74	-0.55	-0.93	1.12	-0.53	-1.36	-0.76	2.5892233094905532	2.587095363153114
C#CCOC	0.3	-1.19	-0.55	-1.28	0.3	-0.53	-0.62	-1.28	2.5265331155907425	2.5164987008323414
CC(C)CC(N)=O	0.58	-1.06	-0.55	-0.5	0.19	2.23	1.55	-1.12	2.698231075449119	2.6869567798983245
O=[N+]([O-])c1cccc(Br)c1	-0.57	0.38	1.64	0.47	1.78	-0.53	-1.86	0.04	2.7235788004625765	2.718808418074961
C=C(CC)CCC	0.31	-0.75	-0.55	-0.84	-0.82	-0.53	0.21	0.29	2.5648435325438337	2.564213994647823
CCCCOC(C)=O	-0.43	-0.8	-0.55	-0.56	0.27	-0.53	0.76	-0.59	2.6012449248105205	2.600443640771623
CC1=CCC(C(=O)O)C1(C)C	-0.56	0.66	1.36	0.49	-0.82	0.85	0.59	-0.14	2.7115119771118548	2.723937776903625
O=C(c1ccccc1)c1ccc(Br)cc1	-0.81	1.71	-0.55	1.4	1.62	-0.53	-0.94	0.88	2.794592599357641	2.7920476770498874
Fc1cc(F)c(F)c(F)c1	0.1	-0.74	-0.55	-0.93	1.08	-0.53	-1.27	-0.03	2.5533367823768884	2.5648293677760314
CCCCC(CC)COCCO	-0.03	-0.02	1.29	-0.09	0.22	0.85	-0.25	-0.05	2.7008334670285428	2.717046215934074
CCCCCCCCCCCCC1CCCCC1	0.1	1.09	-0.55	1.11	-0.82	-0.53	0.3	2.9	2.781144779820685	2.7922438762388695
Cc1ncccn1	0.43	-0.51	-0.55	-0.63	1.12	-0.53	-0.16	-0.95	2.6140002945951797	2.620155814086364
Cc1cccc(N)c1C	0.86	0.19	-0.55	-0.16	0.07	2.23	1.09	-0.26	2.6942980134134284	2.696210803248265
Cc1ccc2ccc3ccccc3c2c1	-1.01	1.69	0.61	1.19	-0.82	-0.53	-1.44	1.27	2.794592599357641	2.7934807677383873
O=C(Cl)C(F)(F)C(F)(F)C(F)(F)F	0.1	-1.02	-1.2	-0.67	-0.82	-0.53	0.74	0.19	2.493667131228017	2.521689032427205
COCC(C)Cl	0.34	-1.02	-0.51	-0.67	0.3	-0.53	-0.87	-0.65	2.57071802332789	2.5686253714954854
CC=C1CCCCC1	0.3	-0.28	-0.55	-0.55	-0.82	-0.53	-0.72	0.38	2.611882555512116	2.614116543497375
C=CCNCCC	0.05	-0.9	0.14	-0.95	0.21	0.85	0.73	-0.71	2.5856299021972218	2.5875625258855925
CC1CC(=O)OC1=O	0.1	-0.15	-0.55	-0.26	-0.82	-0.53	0.92	-1.39	2.7093971770530683	2.688005087221709
CCCCCCC(c1ccccc1)c1ccccc1	-0.61	1.78	-0.55	1.51	0.11	-0.53	-0.96	2.21	2.782938201934434	2.791097957393753
COc1ccc(CO)cc1	0.32	0.19	1.32	-0.18	-0.82	0.85	-0.41	-0.7	2.72611567011036	2.7181471682507525
O=[N+]([O-])c1cccc2ccccc12	-0.99	0.97	2.09	0.68	0.13	-0.53	-1.85	0.29	2.7612886999947945	2.7646935812292925
Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O	-2.84	1.3	1.64	1.99	-0.82	0.85	0.28	1.27	2.7341194621094815	2.7426769038487366
CF	0.1	-1.6	-0.55	-1.92	-0.82	-0.53	-2.26	-1.08	2.289477466344602	2.3817588801472858
CC1(O)CCCCC1	0.31	-0.33	1.48	-0.17	-0.82	0.85	0.03	-0.37	2.631595948357801	2.6426297710667495
C=CCOC=O	-0.18	-1.05	-0.55	-1.12	-0.82	-0.53	0.34	-1.23	2.5523639817866846	2.5513359104321967
FC(F)(F)c1ccccc1Cl	-1.08	0.1	-0.6	-0.23	-0.82	-0.53	1.67	0.68	2.628746437140921	2.630383322822097
Cc1cccc(C(=O)Cl)c1	-0.3	0.21	-0.63	0.3	0.05	-0.53	-0.27	0.05	2.6925384871257463	2.691302082712428
CCCCCCCCCCCCCCCCBr	0.08	0.73	-0.29	0.94	0.02	-0.53	0.01	2.89	2.784724248545718	2.7906765165258047
FC(F)(Cl)C(Cl)Cl	0.1	-0.54	-1.3	-0.45	-0.82	-0.53	1.42	0.21	2.537882031742017	2.532568920442933
C[Si](C)(Cl)C(Cl)Cl	0.1	1.01	-0.55	1.41	-0.82	-0.53	0.99	0.31	2.625466793609239	2.6481179197804257
CCC(C)OC(=O)Cl	-0.45	-0.63	-0.55	-0.22	1.0	-0.53	1.49	-0.08	2.60113613360707	2.6218071740589055
CC(C)CCCCCCO	0.11	-0.52	1.28	-0.23	0.22	0.85	-0.03	0.19	2.6804714924842656	2.679671280137281
CC(C)C1=CC(=O)C(C)CC1	-1.04	0.45	-0.55	0.32	0.11	-0.53	-0.67	0.18	2.7064190488337676	2.7030413616509854
COC(=O)c1ccc(C(=O)OC)cc1	2.48	1.1	-0.55	0.63	-0.82	-0.53	0.57	-0.65	2.7490789672538862	2.7516945380575093
c1c[nH]nn1	0.1	-0.88	1.45	-1.09	0.15	0.85	-0.88	-1.57	2.6786549281630445	2.6536438184926356
CCCCOC(=O)CC#N	-1.11	-0.4	1.19	-0.33	-0.82	-0.53	0.29	-0.66	2.702559771525159	2.6734756236262753
CCc1cccc(C)n1	0.74	-0.1	-0.55	-0.26	0.96	-0.53	-0.37	-0.21	2.637139350726339	2.6381828988818947
C=CCCC(C)(C)C	-0.08	-0.86	-0.55	-0.2	-0.82	-0.53	0.39	0.45	2.576514112051963	2.5933064050563166
CCOc1ccc2ccccc2c1	-0.39	0.89	-0.01	0.55	-0.82	-0.53	-0.55	0.6	2.744410344150793	2.7320276430747454
CC1CCCCCC1=O	0.52	0.0	-0.55	-0.24	1.11	-0.53	-1.02	-0.08	2.6610076909010316	2.6602716746562045
CCC(c1ccccc1)c1ccccc1	-0.14	1.25	-0.55	0.83	0.11	-0.53	-1.22	1.23	2.744097310904046	2.747935775533911
Cn1ccc2ccccc21	0.75	0.52	-0.26	0.08	2.12	-0.53	-0.23	-0.07	2.7076978909884035	2.694992696898585
CCCCCCCCCCCCCCCCCCCCCCCCCC	0.08	1.81	-0.55	2.19	-0.82	-0.53	0.48	5.12	2.8359124171113863	2.8466248838015034
Nc1ccc(F)c(Cl)c1	-0.6	-0.19	-0.53	-0.15	0.07	2.23	0.59	-0.14	2.6995342205013944	2.70209400331935
Clc1ccc(-c2ccccc2)cc1	0.03	1.07	-0.38	0.81	-0.03	-0.53	-1.25	1.09	2.7528547947307107	2.742725449595301
Cc1ccc([N+](=O)[O-])cc1Cl	-0.64	0.68	1.75	0.49	1.08	-0.53	-1.8	0.17	2.7268494135432264	2.727082372022446
OC1CCC1	0.1	-0.8	1.28	-0.96	-0.82	0.85	-0.32	-1.11	2.5989545668854097	2.61456480690562
CC(=O)C1(O)CCCCC1	0.35	0.34	1.52	0.13	-0.82	0.85	-0.25	-0.64	2.600591768429376	2.6612312437602097
CCCCCCCCC=O	0.1	-0.48	-0.55	-0.46	0.19	-0.53	-1.32	0.41	2.666658354789331	2.6475181711601046
CC(C)(O)CCC(C)(C)O	-1.68	-0.67	3.45	0.71	-0.82	2.23	0.24	-0.62	2.6876627068858356	2.6782765948418303
SCCCCCCCCS	0.08	-0.27	-0.55	-0.22	-0.82	2.23	-0.32	0.57	2.734519807346076	2.711248794166526
CCC(CC)[N+](=O)[O-]	0.64	-0.46	1.6	-0.6	1.96	-0.53	-1.89	-0.53	2.648993910859345	2.6519385446929165
C1CCC2NC2C1	0.1	-0.24	0.19	-0.49	1.07	0.85	0.53	-0.88	2.6264943452110474	2.6532464229076527
CCC(CC)c1ccccc1	0.02	0.33	-0.55	-0.06	-0.82	-0.53	-0.63	0.82	2.66337107549875	2.667160222676528
Cc1ccccc1NCc1ccccc1	0.55	1.24	0.19	0.94	1.1	0.85	0.33	0.83	2.76015850899809	2.7663780896181187
Ic1ccccc1I	0.1	1.76	-0.55	0.64	0.3	-0.53	-1.08	0.38	2.7483043403083025	2.739944883814774
C=C(C)C1CCC=C(C)C1	0.08	0.08	-0.55	0.08	-0.82	-0.53	-0.75	0.64	2.652391404017054	2.6806629378994984
C=Cc1ccccc1	0.29	-0.28	-0.55	-0.55	-0.82	-0.53	-1.02	0.03	2.621332101120809	2.6108752925989145
Cc1coc(C)c1	0.72	-0.48	-0.55	-0.5	-0.82	-0.53	-0.46	-0.25	2.5648435325438337	2.5811342160888016
CCCNCCO	0.05	-0.9	1.88	-0.95	0.21	2.23	0.25	-1.46	2.6591076791998134	2.6529052275826013
C=C(C)CC(C)(C)C	0.75	-1.01	-0.55	0.03	-0.82	-0.53	0.33	0.45	2.5732778374640577	2.573864628843995
C=CC(C)(CCC=C(C)C)OC(=O)C(C)C	-1.04	0.9	-0.55	1.3	-0.82	-0.53	1.08	1.0	2.7008334670285428	2.715784763187063
c1ccc(C2CCCC2)cc1	-0.04	0.53	-0.55	0.16	-0.82	-0.53	-1.15	0.67	2.692097489441729	2.691607235642898
CC(F)=C(Cl)Cl	0.1	-0.89	-0.55	-0.55	-0.82	-0.53	-0.58	0.21	2.5454926727523057	2.558210953909225
O=[N+]([O-])c1ccccc1O	-0.32	0.14	3.53	0.03	0.13	0.85	-0.77	-0.63	2.6894420578616383	2.703276161993716
ClCCOCOCCCl	0.05	-0.42	-0.55	-0.39	1.02	-0.53	-0.33	-0.53	2.69121414838279	2.650863539087716
CP(=O)(Cl)Cl	0.1	-1.6	-0.55	1.33	0.23	-0.53	0.88	-0.0	2.6396358768118477	2.619752173271591
COC(=O)c1cccc(OC)c1	-0.71	0.61	-0.55	0.23	-0.82	-0.53	0.11	-0.51	2.7169627421024516	2.714043037302062
CCCC1CCCC(C)C1	0.13	-0.03	-0.55	-0.08	-0.82	-0.53	0.39	0.84	2.6411269328035094	2.652726610328535
COC(=O)c1cc(C)ccc1O	-3.15	0.63	1.45	0.4	-0.82	0.85	0.22	-0.51	2.714036218347168	2.719537458850371
N#CCc1ccc(N)cc1	-0.15	0.02	1.25	-0.08	0.07	2.23	0.47	-0.6	2.7672672093674726	2.7558996263694424
CN1C2CCCC1CC(=O)C2	-0.17	0.72	-0.55	0.37	3.08	-0.53	-0.88	-0.69	2.715292858349809	2.7311619643245506
O=CN1CCCCC1	-0.19	-0.28	-0.55	-0.55	1.23	-0.53	0.19	-1.05	2.6951751105143433	2.6732480944831583
CCCCCCC(C)=O	0.03	-0.66	-0.55	-0.4	0.19	-0.53	-0.91	0.16	2.648993910859345	2.647159463106286
CC/C=C/CC	0.23	-1.05	-0.55	-1.12	-0.82	-0.53	-0.01	0.05	2.531457627575259	2.5252696385706632
O=C(O)C1=CCCc2ccccc21	-0.58	0.97	1.38	0.68	-0.82	0.85	0.4	-0.12	2.76279106067973	2.7473069986206644
Cc1cc(C)c(C)c(C)c1	1.37	0.32	-0.55	0.14	-0.82	-0.53	-1.19	0.4	2.6731591954541862	2.6707679700470712
Cc1ccccc1NCCO	0.57	0.25	1.97	0.03	1.1	2.23	0.23	-0.56	2.747139803102036	2.738935274170046
CCN(CC)c1ccccc1C	0.49	0.6	-0.55	0.19	2.12	-0.53	0.32	0.35	2.6831821710974526	2.6852623164396268
CCC(C)OC(C)=O	0.28	-0.7	-0.55	-0.45	0.27	-0.53	0.91	-0.6	2.5856299021972218	2.5943686212545964
CCCCCCCCOC(=O)CCC	-0.11	0.17	-0.55	0.33	0.19	-0.53	0.77	0.89	2.7137004993377722	2.7019544120051444
CC1C=CCC1	0.1	-0.65	-0.55	-0.8	-0.82	-0.53	-0.54	-0.2	2.5289809402721364	2.5512739863534897
CC1(C)COC1	0.1	-0.62	-0.55	-0.5	0.03	-0.53	-0.77	-0.79	2.5486964485323464	2.577311571904388
C#CC(C)C	0.1	-1.13	-0.55	-1.07	0.11	-0.53	-0.81	-0.64	2.4763243174202274	2.5146222470016326
C#CC(=O)OC	0.66	-0.8	-0.55	-1.02	0.11	-0.53	1.04	-1.58	2.576514112051963	2.5790657343927657
CC(=O)Oc1ccc(C)cc1C	-0.34	0.34	-0.55	0.56	0.27	-0.53	0.79	-0.04	2.698231075449119	2.699393660086565
Cc1cc(C)c(Br)c(C)c1Br	1.89	2.06	-0.55	0.94	0.58	-0.53	-0.24	1.17	2.746750929077215	2.7402029203624223
COC(=O)CC(O)(CC(=O)OC)C(=O)OC	0.76	1.17	1.57	1.08	-0.82	0.85	0.52	-2.07	2.746750929077215	2.7513492503151964
CCc1ccc(C)cc1	-0.05	-0.04	-0.55	-0.26	-0.82	-0.53	-1.09	0.17	2.638638987858345	2.6578811047745172
C/C=C/C(C)C(=O)O	-0.35	-0.52	1.24	-0.51	-0.82	0.85	0.84	-0.64	2.67407999402218	2.678059362004372
CCOC(=O)CN	0.66	-0.75	-0.55	-0.84	-0.82	2.23	1.01	-1.76	2.625466793609239	2.64425559454149
CC(F)(F)CCl	0.1	-1.17	-0.55	-1.33	0.27	-0.53	0.6	-0.26	2.516072408592942	2.5104987437308433
CCCC(=O)OCC(O)CO	-0.29	-0.09	3.14	-0.05	0.19	2.23	0.41	-1.65	2.7428429167274433	2.7335802907908633
C[Si](C)(C)[Si](C)(C)C	0.1	1.3	-0.55	1.77	1.56	-0.53	4.24	0.29	2.587318014514068	2.596780390588901
CCC(Cl)Cl	0.1	-0.89	-0.55	-0.55	-0.82	-0.53	0.39	-0.06	2.5578078557646045	2.5401958555441637
Cc1c(C)c(Br)c(Br)c(Br)c1Br	0.46	4.23	-0.55	1.75	1.98	-0.53	-0.52	1.94	2.811340369861851	2.805667105611081
CC1CCCC1	0.1	-0.65	-0.55	-0.8	-0.82	-0.53	0.22	-0.06	2.5377561492826133	2.5528388302090113
CCCC(N)CCC	0.27	-0.7	-0.55	-0.66	0.13	2.23	1.4	-0.24	2.615581849445365	2.6125066565290957
CC1CC(C)NC(C)C1	0.9	-0.21	0.21	-0.03	1.07	0.85	0.81	-0.32	2.621332101120809	2.630454796954902
CC(=O)C#N	0.1	-1.13	1.08	-1.07	0.27	-0.53	-0.89	-1.39	2.5628279662199915	2.591306352702833
C=C/C=C/C=C	0.14	-1.05	-0.55	-1.12	-0.82	-0.53	-0.46	-0.24	2.5454926727523057	2.5414836801594762
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I	0.12	-0.46	-0.55	-0.44	2.72	-0.53	0.73	2.19	2.613471827163333	2.623319987063437
Fc1ccc(N=C=S)cc1	0.54	-0.13	-0.07	-0.26	-0.82	-0.53	-0.29	0.17	2.6999677346938125	2.652679257397766
C1OC1C1CO1	0.1	-0.62	-0.55	-0.67	-0.82	-0.53	-0.95	-1.58	2.619041128633543	2.624012655104238
CCCC[N+](=O)[O-]	-1.36	-0.95	1.52	-0.73	0.96	-0.53	-2.34	-0.78	2.629562492778617	2.6401875505883012
Cc1cc(Cl)ccc1OCC(=O)O	0.65	0.69	1.39	0.91	-0.03	0.85	0.34	-0.11	2.7481027107819944	2.7454143173164898
CC(C)(C)C=O	0.1	-0.99	-0.55	-0.55	0.03	-0.53	-1.28	-0.67	2.5448738432348015	2.5584359645143473
C[Si](Cl)(Cl)c1ccccc1	0.22	0.81	-0.31	1.93	-0.82	-0.53	1.54	0.1	2.6809244488059925	2.6701716036509313
CC(=O)C(F)(F)F	0.1	-1.6	-0.55	-1.11	0.27	-0.53	1.18	-0.73	2.4700427875572135	2.450634089486124
COc1cccc(OC)n1	-0.99	0.15	-0.55	-0.18	1.08	-0.53	0.31	-0.75	2.6552825351772134	2.66809983341696
CCCc1ccc(OC)cc1	-0.34	0.26	-0.55	-0.01	-0.82	-0.53	-0.45	0.23	2.6854282170733255	2.6763763974431813
CCOC(=O)CF	-0.1	-1.1	-0.55	-0.9	-0.82	-0.53	0.31	-1.12	2.5945582800022815	2.571122993528026
O=Cc1ccccc1Cl	-0.02	0.23	-0.44	-0.14	0.05	-0.53	-1.65	-0.09	2.6857865089215553	2.6903935449502745
CC(C)C(=O)C(=O)O	0.78	-0.39	1.18	-0.35	0.11	0.85	0.55	-1.26	2.64704048585496	2.657600366048318
FC1(F)C(F)(F)C(F)(F)C1(F)F	0.1	-1.02	-0.55	-1.26	-0.82	-0.53	-0.08	0.16	2.426917713880816	2.4727018702002037
C=CC(=O)OCCOCC	-0.09	-0.31	-0.55	-0.34	1.17	-0.53	0.52	-0.97	2.650453235088312	2.663907032572285
CCCC(O)C(C)C	0.35	-0.52	1.42	-0.51	-0.82	0.85	0.18	-0.31	2.6171576656949442	2.608777571611949
FC(F)(F)C(Cl)(Cl)Cl	0.1	-1.6	-0.55	0.72	-0.82	-0.53	1.97	0.4	2.504130905935453	2.539459282546417
CCc1ccc2c(c1)CCCC2	-0.29	0.82	-0.55	0.37	-0.82	-0.53	-1.08	0.53	2.7136165290200505	2.713516354112835
CC1CCCC(C)C1C	0.49	0.19	-0.55	-0.16	-0.82	-0.53	0.55	0.5	2.6220930808545067	2.628220896952769
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br	0.12	-0.13	-0.55	-0.06	-0.82	-0.53	0.62	3.37	2.6731591954541862	2.6572481383212785
CCCc1cccc(O)c1	-0.26	-0.03	1.4	-0.08	-0.82	0.85	-0.02	0.03	2.6999677346938125	2.6981939630569
CCCC(C)=O	0.39	-1.1	-0.55	-0.9	0.19	-0.53	-1.03	-0.58	2.5744364202024044	2.559785063300518
CC(=O)Oc1ccccc1	0.06	-0.15	-0.55	0.02	0.27	-0.53	0.67	-0.43	2.671311720661767	2.671176407486921
Cc1ccc(Cl)c(O)c1Cl	0.73	1.07	1.55	0.4	-0.82	0.85	-0.08	0.45	2.7076978909884035	2.696866135573485
COc1cccc(N)c1	0.22	-0.1	-0.55	-0.26	1.02	2.23	0.22	-0.64	2.7194555901325703	2.714592091223654
CCc1ccc(C)o1	0.7	-0.23	-0.55	-0.42	0.19	-0.53	-0.13	-0.09	2.5928981308786256	2.624035390047169
CC1(C)C2CC3C(C2)C31C	0.1	1.46	-0.55	0.6	-0.82	-0.53	0.27	0.25	2.62905263772839	2.6554429018187977
CCOC(=O)C1CC1	0.77	-0.42	-0.55	-0.47	-0.82	-0.53	0.51	-0.84	2.609754439128856	2.604153930856117
CCC(C)CCBr	0.17	-0.58	-0.3	-0.61	0.02	-0.53	-0.28	0.33	2.624436805027557	2.619616784945783
Clc1nc2ccccc2o1	0.39	0.53	-0.5	0.32	-0.82	-0.53	0.75	0.12	2.6763734852094534	2.6796096828882363
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F	0.7	0.24	-0.55	-0.17	-0.82	-0.53	-0.28	1.64	2.5923433345820435	2.6244052039697117
CCN(CC)CCN(CC)CC	-0.78	0.29	-0.55	-0.07	1.23	-0.53	0.19	-0.39	2.667593025293008	2.688281813702665
C#CCCCCCCCCCCCCCCCCCC	0.11	0.95	-0.55	1.2	0.19	-0.53	-0.36	3.15	2.7875667325987648	2.766904385506642
CC(C)C(O)C(C)C	0.75	-0.39	1.44	-0.35	-0.82	0.85	0.23	-0.4	2.614739070319703	2.6214619577688576
Cc1ccc(C)n1C	0.49	0.05	-0.55	-0.33	2.07	-0.53	0.13	-0.41	2.6475296664449806	2.647191598389827
CSc1ccccc1	0.22	0.0	-0.55	-0.32	-0.05	-0.53	-1.37	0.07	2.6685256885568625	2.6521051353986467
O=[N+]([O-])Cc1ccccc1	-0.73	-0.15	1.61	0.02	0.82	-0.53	-2.34	-0.52	2.698231075449119	2.7018200794757607
Cc1cc(Cl)c(Cl)cc1Cl	0.25	1.11	-0.18	0.65	-0.03	-0.53	-0.64	1.05	2.702559771525159	2.709120406329912
FC(F)(F)c1ccc(Cl)nc1	-0.82	-0.11	-0.53	-0.15	0.15	-0.53	1.48	0.29	2.629562492778617	2.6271676586820716
CC(=O)OCCCCl	-0.07	-0.7	-0.55	-0.45	1.19	-0.53	0.57	-0.7	2.640630482724411	2.643646974385759
c1ccc(COc2ccccc2)cc1	-0.2	0.94	-0.55	0.7	-0.82	-0.53	-0.5	0.62	2.7479165080965102	2.7321924043222356
Cc1ccc(C)c2ncccc12	0.72	0.93	-0.27	0.49	1.0	-0.53	-0.7	0.36	2.7317096095455122	2.7249207557188475
CCCCCCCCCO	0.11	-0.48	1.28	-0.46	0.22	0.85	-0.05	0.28	2.687038207728654	2.6831522227479883
COCCN	0.29	-1.19	-0.55	-1.28	1.32	2.23	0.17	-1.71	2.5660248048127206	2.55075465555588
CCCCCCOC(C)=O	-0.16	-0.52	-0.55	-0.23	0.27	-0.53	0.75	-0.1	2.6480182966516828	2.6286680759878878
O=C(Cl)C(Cl)Cl	0.1	-0.17	-0.7	-0.05	-0.82	-0.53	-0.16	-0.46	2.5810959241060507	2.6058706766372364
C[SiH](C)c1ccccc1	0.14	0.25	-0.21	0.19	-0.82	-0.53	0.11	-0.58	2.633114816128496	2.677840701101513
S=C=Nc1ccc(Cl)cc1	0.14	0.27	0.09	0.22	-0.03	-0.53	0.03	0.5	2.7182109547318696	2.7048933469002736
O=C(Cl)C(Cl)(Cl)Cl	0.1	0.26	-0.76	1.01	-0.82	-0.53	0.49	-0.11	2.5922322902240102	2.62492080262299
c1ccc(Cc2ccccc2)cc1	-0.14	0.76	-0.55	0.54	-0.82	-0.53	-1.62	0.62	2.730903344611624	2.720058258056192
N#CC(Cl)Cl	0.1	-0.89	1.1	-0.55	-0.82	-0.53	-0.51	-0.62	2.5861933356985416	2.589630049680329
Cc1ccco1	0.1	-0.65	-0.55	-0.8	-0.82	-0.53	-0.57	-0.44	2.5291093917613616	2.555369912217189
N#C/C=C/C#N	0.1	-1.05	2.78	-1.12	1.08	-0.53	-1.76	-1.07	2.661954588653016	2.675506703188105
CC(=O)c1ccc(C)cc1	-0.23	0.12	-0.55	0.08	0.05	-0.53	-1.08	-0.06	2.698231075449119	2.684094970583849
c1ccc(O[Si](Oc2ccccc2)(Oc2ccccc2)Oc2ccccc2)cc1	-5.29	4.83	-0.55	4.4	-0.82	-0.53	2.93	2.18	2.8389434923204773	2.82425427684893
CC(=O)c1cccc(C)c1	-0.32	0.08	-0.55	0.08	0.05	-0.53	-1.09	-0.06	2.692979037459632	2.682948046377014
CCC(=O)OCCOC(=O)CC	1.44	0.14	-0.55	0.1	1.19	-0.53	0.81	-0.88	2.68497993618928	2.696576622722596
FC(F)=C(Cl)C(F)(F)F	0.1	-1.6	-1.05	-0.84	-0.82	-0.53	1.3	0.38	2.4470804718310024	2.4519860249544787
N#Cc1ccccc1N	0.19	0.01	1.26	-0.31	0.07	2.23	0.56	-0.73	2.7292863103246043	2.7260541836583925
CCC[Si](Cl)(Cl)Cl	0.1	-0.42	-0.55	1.98	-0.82	-0.53	3.0	0.48	2.598407458622196	2.5988322163706314
C=CCOc1ccccc1	-0.09	-0.06	-0.55	-0.21	-0.82	-0.53	-0.26	-0.02	2.667312835294964	2.656302612216516
COCCl	0.1	-1.17	-0.55	-1.33	0.3	-0.53	-0.44	-0.92	2.521987527782068	2.518464421918049
ClCC(Cl)C(Cl)Cl	0.1	0.4	-0.62	0.08	0.1	-0.53	-1.14	0.22	2.6557625247065135	2.67210049414863
Cc1nc2ccccc2o1	0.76	0.39	-0.55	0.13	0.27	-0.53	0.35	-0.1	2.675457541641209	2.6907751737375256
CCCN(CCC)N=O	-0.48	-0.47	0.41	-0.58	1.23	-0.53	0.77	-0.32	2.6804714924842656	2.6682617651793894
ClC(Cl)C(Cl)(Cl)Cl	0.1	0.63	-0.55	1.29	-0.82	-0.53	1.17	0.55	2.6364377439793962	2.6217174903403127
CCCCC(=O)CC	-0.29	-0.6	-0.55	-0.67	1.19	-0.53	-0.85	-0.08	2.6234043678792496	2.6118012327974354
CCCCCCCCCCCC#N	0.1	-0.05	1.25	0.04	0.19	-0.53	-0.79	1.35	2.7404811172953423	2.738370445947356
CC/C=C/CCCC	-0.03	-0.76	-0.55	-0.79	-0.82	-0.53	0.06	0.54	2.597969275225808	2.5964357401748503
Cc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl	0.31	2.95	-0.25	1.28	-0.82	-0.53	-1.1	1.88	2.7590253691608635	2.746038333711988
Cc1ccc(C(C)(C)C)cc1	-0.47	0.26	-0.55	0.57	-0.82	-0.53	-0.45	0.63	2.6657216683873965	2.684573591925935
COCCOC(C)=O	-0.55	-0.8	-0.55	-0.56	1.38	-0.53	0.29	-1.32	2.619249898968967	2.6198946854047866
COC(=O)c1ccccc1	0.06	0.18	-0.55	-0.15	-0.82	-0.53	0.4	-0.52	2.67407999402218	2.675358875450558
CN(C)CN(C)C	0.77	-1.06	-0.55	-0.5	0.23	-0.53	0.17	-1.41	2.551632948680588	2.5777873317847426
