SMILES;Name;Cluster;Center
C#CC(O)C=CCCCCCCC#CC(O)C#CC=CCCC=CCCCCC=CCCCCCCCCCCCCCCCCC#CC(=O)O;CNP0282938;502;No
CCCC#CC#CC=CCOC(=O)CC(C)C;CNP0262054;502;No
CC(=O)OCCCCCCCCC=CCC#CC=CC=CCO;CNP0364453;502;No
C#CC=CCCCC(O)C=CC#CC#CCCCC#CC#CC(O)CO;CNP0127894;502;No
C=CCCCCCC=CCC#CC#CC(C=C)OC(C)=O;CNP0200651;502;No
CC#CC#CC#CC=CC(CCCCOC(C)=O)OC(C)=O;CNP0329649;502;No
CCCCC=CC#CC#CCCCCCCCCC1CC(COC)OC1=O;CNP0258697;502;No
CCCC#CC#CC(CCCCCCC=CC#CC#CCCC(=O)O)OC;CNP0018350;502;No
C=CC(=O)C=CC#CC=CC=CCCCC;CNP0198713;502;No
C=CCCCCCC(O)C(O)CC#CC#CC(O)CC;CNP0242614;502;No
CC#CC#CC=CC(O)CCCCCC(C)=O;CNP0372375;502;No
C=C=CC#CC#CC=CC=CCC(=O)O;CNP0255728;502;No
C#CC=CC#CC#CCCCCC(Br)=CCCCC(=O)O;CNP0280172;502;No
C=C[C@H](O)C#CC#C[C@@H](O)C=CCCCCCCCCOC(C)=O;NPC66460;502;No
CC=CC#CC#CC(O)C(O)C=CCCC=O;CNP0380047;502;No
C#CCCCCCCCCCC=C1C(=O)OC(=C)C1OC;CNP0230799;502;No
CC(=O)NC(CCCC#CC=CCl)CCCC=CC=C(Cl)Cl;CNP0364215;502;No
C#CC#CCCCC=CC#CCO;CNP0334111;502;No
C#CC=CCCCC#CC#CC#CCCCCCCC#CCO;CNP0278079;502;No
CC=CC#CC#CC=CC=CCCCC;CNP0247426;502;No
C#C[C@@H](O)/C=C/CCCCCCC#C[C@H](O)C#C/C=C/CCC=CCCCCC=CCCCCCCCCCCCCCCC=CC#CC(=O)O;NPC594;502;No
C#CC(O)C=CC(O)CC=CCC(O)C#CC(O)C#CC(O)CCCC=CCCCC(O)C(=O)CCCCCCCCCCCC(O)CC(O)C#CC(=O)O;CNP0131969;502;No
C=CCCCCCC=CCC#CC#CC(=O)C=C;CNP0267587;502;No
C=CCCCCC=CC=CC#CCCC(=O)CC;CNP0300460;502;No
C=CC(O)CCC=CC;CNP0288913;502;No
CCC(O)CCCC=CC#CC#CC=CC=CCl;CNP0329553;502;No
C=CC(C=CC#CC=CC=CC(O)CCC)OC(C)=O;CNP0385665;502;No
C#CC(O)C=CCCCC=CCCCCCCCCC=CCCCCCCCCC=CCCCC=CC(O)C#C;CNP0433864;502;No
CCCC#CC#C/C=C/C(=O)OC;NPC250954;502;No
C#CC=CCCCCC=CC#CC#CCCCC#CC#C[C@@H](O)CO;NPC157096;502;No
C=CCCCCCC#CC#CCOCC(=O)O;CNP0403404;502;No
C#CC(O)/C=C/CCCCCC/C=C/C(O)C#C;NPC471280;502;Yes
C#CC(O)C=CCCCCCCCCC(C)CCCCCCCCCCCCC=CC#CC(=O)O;CNP0142810;502;No
CC=CC#CC#CCCC(O)C(O)CCCO;CNP0155514;502;No
C#CC=CCCCC#CCCCC#CCCCC#CC#CCCCCCC=CC(O)C#C;CNP0428751;502;No
O=C(O)CNC(=O)C#CC#CC#CC=CCO;CNP0319732;502;No
CCC(O)CCC=CC#Cc1cccs1;CNP0156682;502;No
C#CC=CCCCCCCCCCCCCCCC=CCCCCC=CCCCCC#CC(=O)C#CCCCCCCC=CC(O)C#C;CNP0296355;502;No
CC#CC#CC#CC#CC=CC(O)COC(C)(C)C;CNP0166655;502;No
CC=CC#CC#CC#CC=CC(O)CCl;CNP0111728;502;No
CC(=O)OCCCCCCCCCC=CC#CCC=CC=CO;CNP0079737;502;No
C#CC=CC(O)CCCCCCCCCC=CCC#CCCCCCCC=CC(O)C#C;CNP0079399;502;No
CC(C)CCCCC=CCCCCCCCCCCC#CC#CCO;CNP0434784;502;No
C#CC=CCCCCCCCCCCCCC/C=C/C(O)CCCCC=CCCCCC#C[C@H](O)C#CCCCCCC/C=C/[C@H](O)C#C;NPC473735;502;No
O=CNC(c1ccccc1)C(O)c1ccccc1;CNP0097464;659;No
CC(=O)NCCc1ccccc1;CNP0298057;659;No
