SMILES	SLogP	EEig02d	VSA_EState2	ATSC8dv	FPSA4	VSA_EState9	ATSC8c	ATSC8se	F08(O-O)	H-051	observed	predicted
O=C(O)c1cn(-c2ccc(C(F)(F)F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O	0.7	1.14	1.03	-1.9	0.07	-0.18	0.65	-3.48	-0.28	-0.63	0.25	2.2747242023754395
NCCCCc1ccncc1	-0.47	-1.21	-0.75	0.12	-0.41	-0.18	0.35	0.22	-0.28	-0.63	0.86	1.4096338737008791
CC(C)(C)NC(=O)O	-0.66	-0.08	-0.27	0.19	0.74	-0.18	-0.01	0.12	-0.28	-0.63	0.48	0.9587327374767725
CN1C(=O)NC(=O)C(=O)C1=O	-2.38	0.01	2.37	0.19	1.31	0.41	-0.01	0.12	-0.28	-0.63	-1.01	-0.8464678504999734
O=C(NCCN1CCN2CCC3Nc4ccccc4C3=C2C1)c1ccccc1	0.32	0.51	0.32	1.14	-0.13	-0.18	0.91	0.56	-0.28	-0.63	1.52	2.4872851202726327
O=C(O)c1c(O)cccc1O	-0.82	-0.1	-0.24	0.19	2.18	-0.18	-0.01	0.12	-0.28	-0.63	2.2	0.7786183072399204
Nc1cccc2cccc(N)c12	-0.07	-0.92	-1.07	0.19	0.26	-0.18	-0.01	0.12	-0.28	-0.63	1.78	1.697155055528232
CON(C)C(=O)Nc1ccc(Br)cc1	0.22	0.1	0.22	0.51	-0.22	1.38	0.25	1.11	-0.28	-0.63	2.38	2.473349550287825
Brc1ccc(Br)c(N=C2NCCN2)c1	0.17	0.05	-0.71	0.7	-0.51	-0.18	0.09	0.05	-0.28	-0.63	2.71	2.5286865182790113
CNc1ncnc2[nH]cnc12	-1.07	-1.29	0.13	0.19	2.75	0.77	-0.01	0.12	-0.28	-0.63	0.43	-0.7914483428398992
CCN1C(=O)CN=C(c2ccccc2)c2cc(N)ccc21	0.22	0.04	0.43	0.12	-0.13	-0.18	-0.54	-0.34	-0.28	0.51	1.81	2.3047938978203333
Cc1ccc(SCCNc2ccccc2C(N)=O)cc1	0.73	0.11	-0.06	1.33	-0.32	-0.18	-0.04	0.27	-0.28	-0.63	3.15	3.409007346007327
CCCCCC[n+]1cc(C)cc(C)c1	0.65	-0.8	-1.07	-0.16	0.64	-0.18	-0.06	0.1	-0.28	-0.63	-1.19	0.23884342529807864
COc1ccc(-c2ccoc2)cc1CNC1CCCNC1c1ccccc1	1.49	-0.19	-1.07	-0.41	-0.13	0.73	-0.61	-0.17	-0.28	-0.63	4.2	4.333967380916506
CC(C)(O)C1CCC2(C)CCCC(=O)C2C1	0.5	0.78	-0.1	1.17	-0.99	-0.18	0.15	0.41	-0.28	1.08	1.92	2.883343795036768
CCC/C(=N\OCC)C1=C(O)CC2(C=CCCC2)OC1=O	0.8	1.03	0.33	-0.57	0.45	-0.18	0.12	-0.85	-0.28	0.51	3.2	3.4373608483054237
CC(=O)NC(CC(N)=O)C(=O)NC(C(N)=O)C(C)C	-2.55	0.31	2.55	0.93	1.41	-0.18	6.09	3.8	1.55	3.36	-1.85	-2.2348014703492014
O=C(Nc1ccc(Cl)c(Cl)c1)C1CCCC1	1.24	0.19	-0.12	0.16	-1.09	-0.18	0.1	-0.12	-0.28	-0.06	4.47	4.245911379024956
Cn1cc[n+](CCNS(=O)(=O)c2ccccc2)c1/C=N/O	-1.25	-0.71	-1.05	0.38	1.7	-1.08	-1.29	0.14	-0.28	-0.06	-1.92	-1.7333669410142352
CCOP(=S)(OCC)Oc1cnc2ccccc2n1	0.73	0.38	-0.38	-1.01	0.35	-0.18	-0.09	-0.42	-0.28	-0.63	4.44	3.539123623504629
C[n+]1nc(Nc2ccccc2)sc1-c1ccc([N+](=O)[O-])cc1	0.72	0.02	-0.24	0.67	0.55	0.79	-0.99	1.03	-0.28	-0.63	1.665	2.540558565484415
CC(=O)OCc1ccc([N+](=O)[O-])cc1	-0.29	0.01	0.57	1.08	0.26	-0.18	-0.7	0.68	-0.28	1.08	1.73	1.3258745758618016
CC(C)OP(C)(=O)OC(C)C	0.33	-0.69	-1.07	1.08	-0.41	-1.66	0.12	0.91	-0.28	-0.63	1.03	1.8530314947500777
CCCCCCC(C)O	0.13	-1.14	-1.07	0.08	-0.89	-0.18	-0.17	-0.09	-0.28	-0.63	2.9	2.6001464951298905
OC(c1ccccc1)c1ccc(Cl)cc1	0.8	-0.37	-1.07	0.36	-1.18	-0.18	0.06	0.04	-0.28	-0.63	3.61	3.7947729744316088
Nc1nc(-c2ccnc(NCCO)c2)n[nH]1	-1.4	-0.55	-0.42	-0.5	1.6	-0.18	-0.45	-0.02	-0.28	-0.63	0.24	-0.08111884880262638
Cc1cc(=O)[nH]nc1/C=C/c1ccc(-n2cnc3c2CCCC3)cc1	0.74	0.21	0.2	1.22	-0.61	-0.18	0.52	0.59	-0.28	2.22	3.1	3.0744561292090085
CCCCc1ccc(O)cc1	0.38	-0.87	-1.07	-0.01	-0.51	-0.18	0.11	0.04	-0.28	-0.63	3.65	2.923781460876826
c1ccc2c(c1)Oc1ccccc1O2	0.91	-0.13	-1.07	0.8	-0.03	-0.18	0.04	0.33	-0.28	-0.63	4.3	3.5087487351762525
Clc1ccc2c(c1)oc1c(Cl)cccc12	1.71	-0.04	-1.07	0.48	-1.28	-0.18	-0.05	-0.12	-0.28	-0.63	5.44	5.22704205961065
S=C(SSSSC(=S)N1CCCCC1)N1CCCCC1	1.91	4.15	-0.69	0.28	-1.38	3.46	0.01	-0.19	-0.28	-0.63	2.8	3.6940859211566046
CNC(=O)Oc1cccc(Cl)c1	-0.04	-0.18	-0.2	0.68	0.07	0.61	0.0	-0.02	-0.28	-0.63	2.03	2.177847043248708
NC(=O)Nc1ccccc1Cl	-0.18	-0.18	-0.23	0.38	0.07	-0.18	0.1	0.23	-0.28	-0.63	1.27	1.7923254703756295
Cc1cc(=O)cc(C)o1	-0.53	-0.27	-0.21	0.19	-0.03	-0.18	-0.01	0.12	-0.28	2.79	0.1	0.9483667702422973
N#CCC(=O)O	-1.32	0.13	-0.31	0.19	1.41	-0.18	-0.01	0.12	-0.28	1.65	-0.76	-0.4779761192356432
O=[N+]([O-])OCCCCCO[N+](=O)[O-]	-0.96	2.37	1.13	-0.23	-0.99	-0.18	0.94	0.1	3.37	-0.63	2.64	2.1440331359554503
CC(=O)NNC(=O)Nc1ccc(Br)cc1	-0.31	0.1	0.67	-0.19	0.07	-0.18	0.25	-0.01	-0.28	1.08	1.38	1.476792396370188
ICCCc1ccccc1	0.58	-1.08	-1.07	0.28	-1.76	-0.18	-0.02	0.12	-0.28	-0.63	3.9	3.868454498311312
CC(=O)NNC(=O)c1ccccn1	-1.4	0.7	0.98	0.13	0.83	-0.18	0.01	0.06	-0.28	1.08	-0.57	-0.30401070244253364
O=C1NC(=O)C2(CCCCCCC2)C(=O)N1	-0.64	0.9	1.73	-0.35	0.26	-0.18	0.11	-0.4	-0.28	-0.63	1.79	1.6860385006625476
CCCCOc1cccc(OC(=O)NC)c1	0.29	-0.09	-0.18	-1.08	0.64	0.62	-0.43	-0.66	-0.28	-0.63	2.96	2.930740430022253
COc1cnc(OC)cn1	-1.01	-0.76	-0.45	0.5	3.14	1.44	0.16	0.23	-0.28	-0.63	1.14	-0.5545493433476332
N#CSO	-0.89	-3.27	-1.07	0.19	2.18	-0.18	-0.01	0.12	-0.28	-0.63	0.32	-0.33372170857961303
CCCCCCCOC(N)=O	-0.04	-1.13	-0.26	-0.3	0.45	-0.18	-0.15	-0.44	-0.28	-0.63	2.36	2.226466211545236
O=C(O)CCCCCCCc1ccccc1	0.95	-0.43	-0.24	-0.2	-0.51	-0.18	-0.14	-0.11	-0.28	0.51	4.09	3.589791607485218
COc1ccc(S(=O)(=O)c2ccc(N)cc2)c(OC)c1	-0.0	1.51	-1.05	-0.32	0.74	-0.57	1.09	-0.12	-0.28	-0.63	1.64	1.8972674244886272
COc1cc(C(O)CO)ccc1O	-1.05	-0.58	-1.07	0.55	1.89	0.57	-0.67	-0.19	-0.28	-0.63	-0.58	-0.32925100184425643
CCCCn1cccc(O)c1=O	-0.47	-0.96	-0.17	0.12	0.45	-0.18	-0.21	-0.12	-0.28	-0.63	1.18	1.2918820034620704
NC(=O)OCCCc1ccccc1	-0.25	-0.43	-0.25	-0.25	0.26	-0.18	-0.19	-0.42	-0.28	-0.63	1.96	1.8885494810380723
CC1=CC(=O)C2CC1C2(C)C	0.04	0.51	-0.15	0.19	-1.38	-0.18	-0.01	0.12	-0.28	0.51	2.23	2.017351830867196
Cc1cccc(C)c1NC(=O)CCN	-0.33	0.05	-0.16	0.44	-0.13	-0.18	-0.54	-0.08	-0.28	0.51	0.62	1.393039087711619
Cn1cc[n+](CCC#N)c1/C=N/O	-1.29	-1.43	-1.07	0.08	3.52	0.79	0.51	0.31	-0.28	1.08	-3.3	-2.538016369039928
Cc1ccccc1C1=NCC(=O)Nc2ccc(Cl)cc21	0.81	0.28	0.24	0.32	-0.89	-0.18	-0.14	-0.88	-0.28	0.51	3.12	3.144414867457519
Clc1ccc(Cl)c(-c2cc(Cl)c(Cl)c(Cl)c2Cl)c1	3.19	0.3	-1.07	0.33	-2.43	-0.18	-0.01	-0.15	-0.28	-0.63	7.19	7.258263082393242
C=C1C(=O)OC2C1C(OC(=O)/C(C)=C\C)CC(=C)C1C(O)C3OC3(C)C21O	-0.82	1.09	0.92	-0.79	0.55	-0.18	0.69	0.92	1.55	-0.63	1.69	1.07851080257943
O=C(O)CSC1=NS(=O)(=O)c2cc(Br)cc(Br)c2N1	0.23	3.34	-0.22	-0.2	-1.18	-2.2	0.33	0.34	-0.28	0.51	1.16	2.0094650395520604
C1CC2CC1C1OC21	-0.58	-0.87	-1.07	0.19	-0.7	-0.18	-0.01	0.12	-0.28	-0.63	1.58	1.3332827342136095
CNC(=S)N/N=C(/c1cccc([N+](=O)[O-])c1)c1ccccn1	-0.18	0.41	0.12	-0.37	-0.03	0.7	-1.1	-0.73	-0.28	-0.63	2.14	1.7463387045245151
N#Cc1ccco1	-0.6	-0.97	-1.07	0.19	0.45	-0.18	-0.01	0.12	-0.28	-0.63	0.96	0.7706924420961521
c1ccc(N2CCN(CCn3nc4ccccc4n3)CC2)cc1	0.08	-0.47	-0.52	-0.02	-0.51	-0.18	-0.49	0.12	-0.28	-0.63	3.34	2.5281944249921646
CCCCc1ccc(NC(=O)OC)cc1	0.67	-0.32	-0.19	-0.47	0.07	0.53	0.09	-0.23	-0.28	-0.63	3.69	3.582658947751594
O=C1CCC(=O)N1c1cccc(Br)c1	-0.01	0.24	0.87	0.63	-0.89	-0.18	0.04	0.31	-0.28	1.65	1.09	1.60199855769241
CCOC(=O)OCC	-0.58	-1.74	-0.25	0.67	1.41	-0.18	0.02	0.54	-0.28	-0.63	1.21	1.2328787502707272
COC(=O)c1ccccc1OC(C)=O	-0.45	-0.35	0.7	0.68	1.03	0.49	-0.1	0.0	-0.28	1.08	1.46	1.201312528735492
Nc1ccc(C(=O)Oc2ccc(Br)cc2)c(O)c1	0.52	0.14	-0.12	0.21	0.35	-0.18	0.0	0.26	-0.28	-0.63	3.46	2.938399354251686
CCCOc1ccccc1	0.22	-1.27	-1.07	0.38	-0.51	-0.18	0.01	0.2	-0.28	-0.63	3.18	2.5614552906584653
c1nc(N2CCCCC2)c2nc[nH]c2n1	-0.48	-0.98	0.39	0.41	1.22	-0.18	-0.02	0.1	-0.28	-0.63	2.11	1.3358746402867185
COc1ccnc(C#N)n1	-1.09	-0.82	-0.47	0.19	1.6	0.6	-0.01	0.12	-0.28	-0.63	0.86	0.3150060824935447
Cc1ccc(S(=O)(=O)NC(=O)NN2CCCC2)cc1	-0.7	0.01	-0.13	-2.08	-0.03	-2.19	0.09	-1.07	-0.28	-0.63	0.65	1.1718015780623603
Clc1cccc2c1CCNCC2	-0.06	-0.78	-1.07	0.19	-1.38	-0.18	-0.01	0.12	-0.28	-0.63	2.4	2.5448772148132686
S=C=NC(c1ccccc1)c1cccc2ccccc12	1.8	0.4	-0.71	0.36	-1.57	-0.18	-0.08	0.06	-0.28	-0.63	6.44	5.105038945582646
O=CNc1nccs1	-0.87	-0.2	0.02	0.19	1.6	-0.18	-0.01	0.12	-0.28	-0.63	0.54	0.7320171568954399
C=CCOc1ccccc1Cc1cnc(N)nc1N	-0.2	-0.22	-0.43	-0.12	0.74	-0.18	1.06	0.22	-0.28	-0.63	2.31	1.715694685143232
NC(Cc1ccc(O)c(O)c1)C(=O)OCc1cccc(C(F)(F)F)c1	0.38	0.43	-0.11	2.02	0.45	-0.18	0.6	4.25	1.55	-0.06	2.29	2.7678613790879503
CN(C)Cc1ccccc1	-0.23	-1.62	-0.89	0.39	-0.99	2.01	0.07	0.16	-0.28	-0.63	1.98	1.8499458751951388
c1ccc2ocnc2c1	-0.18	-1.32	-0.75	0.19	0.35	-0.18	-0.01	0.12	-0.28	-0.63	1.59	1.6715053676248939
O=C(O)c1cccc(O)c1O	-0.82	0.04	-0.24	0.19	1.99	-0.18	-0.01	0.12	-0.28	-0.63	1.2	0.7828519010196987
C=CCOC1=NS(=O)(=O)c2ccccc21	-0.48	-0.41	-1.05	-0.07	-0.32	-2.06	-0.24	-0.15	-0.28	-0.63	1.4	1.3011101820333175
CCC(C(=O)OCCc1ccccc1)C(CO)Cc1cncn1C	0.16	-0.09	0.26	-1.28	0.07	0.83	-0.82	-1.11	-0.28	1.08	2.31	2.32648548018687
CCOC(=O)/C(=C/c1cccc(OC)c1OC)C(C)=O	0.07	0.38	0.81	-3.05	1.12	1.41	-1.81	-2.13	-0.28	1.08	2.21	2.255699518574192
O=C1Oc2ccccc2CN1CCO[N+](=O)[O-]	-0.56	1.71	1.11	0.97	-0.22	-0.18	-0.14	-0.39	-0.28	-0.63	1.82	1.8819362738559566
CN(O)/N=N/c1ccc(C(N)=O)cc1	-0.63	-0.36	-0.21	0.8	0.26	0.52	0.53	0.84	-0.28	-0.63	-0.22	1.1805126303061593
CCN1C(=O)C(=O)c2cc(OC)c(OC)cc2C1=O	-0.76	0.84	1.89	-3.03	1.22	1.32	-1.17	-2.6	-0.28	-0.63	1.31	1.2405058196024463
O=[N+]([O-])c1cn[nH]c1	-1.11	-0.96	-0.32	0.19	0.93	-0.18	-0.01	0.12	-0.28	-0.63	0.59	0.1316170367427882
O=C1CN=C(c2ccccc2Cl)c2cc(Cl)ccc2N1	1.03	0.59	0.23	0.46	-0.99	-0.18	-0.08	-0.36	-0.28	0.51	3.15	3.3262377309728923
Cn1cc[n+](COC2CC=CCC2)c1/C=N/O	-0.57	-1.03	-1.07	-0.28	2.47	0.82	0.1	-0.14	-0.28	-0.06	-1.42	-1.406078749722831
Cc1ccc(F)cc1N=C1NCCN1	-0.5	-0.26	-0.72	0.61	0.26	-0.18	0.03	-0.14	-0.28	-0.63	1.41	1.3905729895429528
O=[N+]([O-])c1ccsc1	-0.29	1.21	-0.31	0.19	-0.7	-0.18	-0.01	0.12	-0.28	-0.63	1.55	1.756190538554048
CN(C)C(=O)Nc1ccccc1	-0.21	-0.68	-0.05	0.68	0.35	1.62	0.09	0.39	-0.28	-0.63	0.98	1.689544717976962
OCCCCc1ccccn1	-0.45	-1.15	-0.73	0.18	-0.32	-0.18	-0.1	0.0	-0.28	0.51	0.86	1.0586844134256728
CCCCOC(=O)NCC(C)c1ncc([N+](=O)[O-])[nH]1	-0.11	0.01	1.17	0.87	0.93	-0.18	-2.27	0.52	-0.28	-0.06	1.22	1.6469539354334524
Clc1cc2c(oc3c(Cl)c(Cl)ccc32)c(Cl)c1Cl	2.93	0.39	-1.07	0.44	-1.95	-0.18	0.03	0.49	-0.28	-0.63	6.47	6.515358033286042
CNC(=O)n1cc(F)c(=O)[nH]c1=O	-2.01	0.25	1.66	-0.41	1.7	0.49	-0.21	-0.65	-0.28	-0.63	-0.2	-0.38296609768077927
O=[N+]([O-])c1nccnc1NCC(O)CO	-1.84	-0.48	0.3	-0.7	1.7	-0.18	0.01	-0.28	1.55	-0.63	-0.49	-0.5885612306657307
Clc1ccc(Oc2c(Cl)ccc(Cl)c2Cl)c(Cl)c1	2.86	0.23	-1.07	0.53	-1.95	-0.18	-0.03	0.52	-0.28	-0.63	6.06	6.513504199501989
CC(=O)Nc1ccc(C=O)cc1	-0.41	-0.1	0.61	0.17	-0.03	-0.18	0.34	0.68	0.63	1.08	1.25	1.180965762649057
c1ccc(-c2ncncn2)cc1	-0.36	-0.74	-0.12	0.29	-0.03	-0.18	-0.02	0.1	-0.28	-0.63	1.93	1.6814138687157965
CCOc1ccccc1OC(=O)NC	-0.2	0.03	-0.19	0.32	1.12	0.61	0.06	-0.07	-0.28	-0.63	1.24	1.869863974885459
CCCCCCCC#N	0.46	-1.33	-1.07	-0.05	-1.38	-0.18	0.06	0.1	-0.28	0.51	2.75	3.269236879930588
Cc1cccc2[nH]ccc12	0.22	-0.97	-0.81	0.19	-0.7	-0.18	-0.01	0.12	-0.28	-0.63	2.54	2.51109772371204
Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)cc(Cl)c1O2	2.92	0.4	-1.07	0.67	-1.28	-0.18	0.04	0.38	-0.28	-0.63	6.2	6.504763898934848
Oc1ccc(Cl)cc1Cl	0.36	-0.7	-1.07	0.19	-1.18	-0.18	-0.01	0.12	-0.28	-0.63	3.06	3.003777001896402
CN1CCCCC1	-0.63	-1.94	-0.87	0.19	-0.99	0.98	-0.01	0.12	-0.28	-0.63	1.3	0.9966058333435209
Clc1ccc(-c2ccccc2)cc1Cl	1.57	-0.04	-1.07	0.29	-1.86	-0.18	-0.03	-0.21	-0.28	-0.63	5.29	4.870364753969456
CCC(C)C(N)C(=O)NC(CO)C(=O)NC(CC(C)C)C(=O)O	-1.65	0.32	1.77	-0.88	0.93	-0.18	-0.4	-0.69	1.55	1.08	-2.28	-0.9851239293061885
CC(=O)Nc1cc(C)c(C)c(C)c1	0.28	0.56	-0.2	0.65	-0.7	-0.18	-0.06	0.02	-0.28	1.08	2.5	2.3466554525212726
CCC(CC)C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]	0.45	1.14	0.59	-0.96	-0.61	-2.64	-1.41	-0.57	-0.28	-0.06	3.57	3.396890123162992
COC(=O)/C(C)=C/C1C(C(=O)OCc2cccc(Cc3ccccc3)c2)C1(C)C	1.6	1.0	0.89	-0.49	-0.41	0.53	-0.55	-0.23	-0.28	-0.06	6.41	4.857906309865072
O=[N+]([O-])OCCCO[N+](=O)[O-]	-1.44	2.37	1.08	1.24	-0.8	-0.18	0.24	1.48	3.37	-0.63	1.68	1.4932342455826209
CC(=O)Nc1cccc([N+](=O)[O-])c1	-0.35	0.01	0.58	-0.73	0.16	-0.18	-0.25	-0.92	-0.28	1.08	1.47	1.4623449891484803
c1ccc(-c2cc3ccccc3cn2)nc1	0.73	0.08	-0.37	0.06	-0.8	-0.18	-0.11	0.1	-0.28	-0.63	3.05	3.4351147034132525
Nc1c(Cl)cc([N+](=O)[O-])cc1Cl	0.22	-0.09	-0.29	0.19	-0.7	-0.18	-0.01	0.12	-0.28	-0.63	2.8	2.586593971880136
CC1NCCN1CCO	-1.79	-1.83	-0.89	0.19	0.45	-0.18	-0.01	0.12	-0.28	-0.63	-1.93	-0.9076942326998438
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccc(Br)cc1	1.18	0.7	0.96	0.46	-1.09	-0.18	-0.12	0.41	-0.28	-0.63	3.66	3.540827416745456
O=S(=O)(Nc1ccccc1)C(F)F	-0.29	-0.53	-1.07	-0.17	-0.32	-2.57	-0.1	-0.49	-0.28	-0.63	1.95	1.592787390811972
CC(=O)NC(CCCN)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(N)=O	-1.33	0.33	2.89	0.05	0.55	-0.18	1.42	0.9	1.55	2.79	0.54	-0.2780539938913599
CCOC(=O)CCC(C)n1nnc2ccccc21	0.13	0.15	-0.16	0.66	-0.41	-0.18	0.23	-0.06	-0.28	0.51	2.64	2.3533417965426326
NC(=O)CF	-1.66	-3.19	-0.33	0.19	1.6	-0.18	-0.01	0.12	-0.28	0.51	-1.05	-1.1624098464530062
CC(C)NC(C)C	-0.45	-1.69	-1.07	0.19	-1.18	-0.18	-0.01	0.12	-0.28	-0.63	1.4	1.5804343717541738
COc1cc(CC(C)N)cc(OC)c1OC	-0.32	-0.5	-1.07	0.28	1.41	2.35	-1.14	-0.45	-0.28	-0.63	1.21	0.49713821904559824
CCCCCCCOC(=O)C(C(=O)OCCCCCCC)=C1SCCS1	2.22	1.27	0.93	-1.82	-0.03	-0.18	0.0	-1.72	-0.28	-0.63	7.6	5.9388733149345345
Cc1cc(-c2ccc(N)c(C)c2)ccc1N	0.63	0.05	-1.07	0.04	-0.41	-0.18	-0.02	0.16	-0.28	-0.63	2.34	3.213275580550751
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1Cl	-0.14	-0.19	-0.43	-0.79	1.31	1.45	-3.14	0.25	-0.28	-0.63	1.87	1.8120609488912547
CCOC(=O)OCn1ncc2c(=O)[nH]cnc21	-1.16	0.6	1.24	-0.84	1.99	-0.18	2.3	1.24	1.55	-0.63	0.21	0.4306836101951306
CC(C(=O)O)c1ccc(-c2nccs2)c(N)c1	0.28	0.36	0.14	0.18	0.74	-0.18	2.16	0.9	-0.28	-0.06	2.45	2.3789850179832635
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(N)=O	-1.03	0.31	1.78	0.84	0.55	-0.18	2.46	2.04	1.55	2.22	0.32	-0.2656792768601152
CC(N)CCc1ccccc1	-0.1	-0.93	-1.07	0.23	-0.99	-0.18	-0.02	0.12	-0.28	-0.63	2.12	2.1728958485807928
O=C(O)C(CO)c1ccccc1	-0.79	-0.43	-0.22	0.37	0.74	-0.18	0.16	0.2	-0.28	-0.06	0.77	0.46261908591316653
COc1ccc(C(=O)CCCC(=O)O)cc1	0.01	0.25	0.69	-0.9	0.35	0.64	-0.56	-1.35	-0.28	1.65	1.63	1.986750551660766
O=Cc1ccc(OCC(=O)O)cc1	-0.72	0.24	0.57	0.37	0.74	-0.18	-0.89	-0.22	-0.28	0.51	0.79	0.279841387380858
c1ccc(-c2cnc(-c3ccccc3)o2)cc1	1.17	0.1	-0.72	-0.0	-0.41	-0.18	-0.03	0.19	-0.28	-0.63	4.67	3.9077613173594665
CC(CO)NCc1ccccc1	-0.6	-0.52	-1.07	0.26	-0.32	-0.18	-0.06	0.08	-0.28	-0.63	1.28	1.1358019081294308
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1	0.05	-0.14	-0.12	0.11	0.83	-0.18	0.2	0.21	-0.28	-0.63	3.15	2.269747018618138
C#CCCOC(=O)Nc1ccc(OCC)c(OCC)c1	0.58	0.17	-0.14	0.05	0.83	-0.18	-0.48	-0.19	-0.28	-0.63	2.54	2.6121996765189373
Cn1cc[n+](COCC2CCCc3ccccc32)c1/C=N/O	0.06	-0.74	-1.07	0.25	1.6	0.82	-0.52	-0.22	-0.28	-0.06	0.07	-0.08514226144157377
CN(C)c1ccc(/N=N/c2ccccc2)cc1	1.27	-0.21	-0.9	-0.48	-0.7	1.94	-0.08	-0.13	-0.28	-0.63	4.58	4.245103732817035
CCCCNC(=S)NCCCC	-0.04	-1.21	-1.07	0.19	-0.41	-0.18	0.11	0.18	-0.28	-0.63	2.75	2.2243844835103825
Clc1ccc(Oc2cccc(Cl)c2)cc1	1.65	-0.12	-1.07	0.45	-1.57	-0.18	-0.11	-0.31	-0.28	-0.63	5.13	4.879922256181291
CNC(=O)O/N=C1\SCOC1(C)C	-0.6	1.05	0.16	0.67	0.55	0.6	0.04	0.29	-0.28	-0.63	0.82	1.0746528562592241
CS(=O)c1scc(-c2ccccc2)c1[N+](=O)[O-]	0.58	1.83	-0.21	0.11	-0.8	-0.89	-0.24	-0.25	-0.28	-0.63	3.2	2.8112879513274804
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)CC12	0.1	1.04	0.85	0.48	-0.7	-0.18	-0.06	0.08	-0.28	-0.06	1.17	2.121014716638037
C=CCOc1cc(NC(C)=O)c(F)cc1Cl	0.54	-0.39	-0.2	-0.19	0.26	-0.18	-0.23	-0.97	-0.28	1.08	2.76	2.826753118623916
COC(=O)/C(=C\c1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1	0.29	1.2	0.64	1.67	-0.13	-1.82	-1.38	1.51	-0.28	-0.63	2.9	2.146789128755001
CN(C)C(=O)OCc1ccc(Oc2ccccc2)cc1	0.96	-0.07	-0.05	1.59	0.35	1.56	1.9	1.82	0.63	-0.63	3.55	3.7098380254914045
Cc1ncc([N+](=O)[O-])n1C(C)O	-0.93	-0.17	0.02	0.19	1.41	-0.18	-0.01	0.12	-0.28	1.08	-0.02	0.0051043925984585
O=C(CN1CCCCC1)Nc1ccccc1[N+](=O)[O-]	-0.06	0.01	0.89	-0.7	-0.22	-0.18	0.15	0.05	-0.28	0.51	2.75	2.1463318098137516
CCN(CC)CCC(=O)Nc1c(C)cc(N)cc1C	0.27	0.2	0.08	-1.22	-0.32	-0.18	-0.81	-0.38	-0.28	0.51	0.93	2.5453067054113947
O=[N+]([O-])c1nccn1CC(O)CN1CCCCC1	-0.92	-0.58	0.22	-0.82	0.74	-0.18	0.28	-0.35	-0.28	-0.63	1.0	0.7056673420630577
Cc1cccc(NC(=O)CN2CCCCC2)c1	0.18	0.01	0.07	-0.48	-0.61	-0.18	-0.11	0.06	-0.28	0.51	2.97	2.431320618876499
OCCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O	-2.16	0.28	-0.05	-1.59	2.18	-0.18	-0.82	-0.43	-0.28	-0.63	-0.62	-0.8520431847110915
CS(=O)c1cccs1	-0.39	0.7	-1.07	0.19	-1.09	-0.59	-0.01	0.12	-0.28	-0.63	0.91	1.4439602518854844
C=COCCn1cnc2c(=N)n(C)c(=O)[nH]c21	-1.49	-0.07	0.41	0.5	2.08	0.62	-0.61	0.13	-0.28	-0.63	-0.24	-0.09830757271599802
C=CC(=O)OCCCC	-0.37	-1.3	-0.23	0.43	0.16	-0.18	-0.03	0.28	-0.28	-0.06	2.36	1.2999672254058539
Cc1ccccc1C(=O)C(C)CN1CCCCC1	0.73	0.02	0.13	-0.68	-1.09	-0.18	-0.2	-0.12	-0.28	-0.06	3.69	3.677681499302625
CC(=O)OCOc1ccccc1C(N)=O	-0.89	0.29	0.66	-0.19	1.51	-0.18	1.42	0.98	0.63	1.08	0.52	-0.20748718538058558
CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O	0.72	0.37	1.01	0.87	-1.47	-0.18	-0.27	-2.02	-0.28	-0.63	3.08	3.4620379644723434
CCNNC(N)=O	-1.82	-2.06	-0.28	0.19	1.79	-0.18	-0.01	0.12	-0.28	-0.63	-1.62	-1.1105149949213744
CCN(CC)Cc1ccc(C(=O)Nc2ccccc2C)cc1	1.22	-0.07	0.11	-0.01	-0.8	-0.18	-0.07	0.39	-0.28	-0.63	3.31	3.9618513038198575
CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C5(C=CC(=O)OC5)CCC43O)C2)C(O)C(O)C1O	0.21	1.25	-0.12	0.53	-0.03	-0.18	0.78	-0.19	0.63	-0.06	2.1	1.9726097169870425
CNC12CCC(CN)CC1Cc1ccccc12	-0.05	-0.16	-1.07	0.31	-0.8	0.94	-0.1	0.04	-0.28	-0.63	1.84	2.22664579695637
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1cccc(F)c1	0.8	0.7	0.94	-0.55	-0.61	-0.18	0.0	-0.19	-0.28	-0.63	2.78	3.4801411589140923
