SMILES	SLogP	EEig02d	VSA_EState2	ATSC8dv	FPSA4	VSA_EState9	ATSC8c	ATSC8se	F08(O-O)	H-051	observed	predicted
CCCNC1=NC(=O)/C(=C\c2ccc([N+](=O)[O-])o2)S1	0.02	0.06	1.0	0.54	0.35	-0.18	0.72	1.17	1.55	-0.06	1.24	1.7860199905775973
CCCC(C(N)=O)n1nnc2ccccc21	-0.53	-0.45	-0.15	0.55	-0.32	-0.18	-0.12	0.31	-0.28	-0.06	1.38	1.060127742110034
CCC(=O)NC1=NC(NC(=O)CC)N=N1	-1.22	0.04	1.01	0.28	0.83	-0.18	0.21	0.65	0.63	1.65	0.07	-0.11934449575751456
CNc1ccc([N+](=O)[O-])cc1	-0.3	-0.55	-0.28	-1.08	0.07	0.75	-0.39	-1.01	-0.28	-0.63	2.04	1.8365839347450958
Cn1c(=O)[nH]c(=O)c2c1[nH]c(=O)n2C	-2.39	-0.01	2.01	0.19	2.18	1.36	-0.01	0.12	-0.28	-0.63	-1.33	-1.0588430211259547
CCC(C)N(CC(O)COc1ccccc1)CC(O)COc1ccccc1	0.52	-0.26	-0.9	-0.92	0.07	-0.18	-0.45	-0.32	0.63	-0.63	3.46	3.278846197232467
CCn1cc[n+](COC(C)C(C)(C)[N+](=O)[O-])c1/C=N/O	-0.68	-0.22	-0.21	0.11	1.89	-0.18	-0.47	0.23	-0.28	-0.06	-1.54	-0.4205997392950079
CCCc1nc(NC)nc(N2CCOCC2)n1	-0.88	-1.02	0.17	1.87	1.12	0.78	0.16	0.75	-0.28	0.51	2.15	1.0889370293692278
NS(=O)(=O)c1cccc(OC(=O)CNC(=O)c2ccccc2)c1	-0.9	0.69	0.81	-1.35	0.16	-2.23	0.79	-1.58	-0.28	0.51	0.84	0.5047009926384035
c1cncc(CCN2CCCCC2)c1	-0.01	-1.0	-0.53	-0.37	-0.89	-0.18	-0.03	-0.02	-0.28	-0.63	1.66	2.338793404218303
CCOC(=O)/C(=C/C=C/c1ccccc1)NC=O	-0.14	-0.09	0.69	-0.43	0.26	-0.18	0.06	-0.84	-0.28	-0.63	2.91	2.1108597352849823
O=C1c2ccc(O)cc2OCN1CCO[N+](=O)[O-]	-1.07	2.01	1.13	0.32	0.74	-0.18	-0.81	-1.16	-0.28	-0.63	1.63	0.9983013211689795
COCCn1cnc2c(=N)n(C)c(=O)[nH]c21	-1.81	-0.07	0.4	0.33	2.27	1.48	0.23	0.48	-0.28	-0.63	-0.96	-0.6592249406137948
Cc1ccc(C(=O)CCN2CCCCC2)cc1	0.58	-0.04	0.09	-0.48	-1.09	-0.18	-0.04	-0.04	-0.28	0.51	3.55	3.2960770355629267
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OCc1ccccc1	0.44	-0.19	-0.42	-1.34	1.31	1.5	-1.7	0.28	-0.28	-0.63	2.46	2.7525083078444683
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	0.99	-0.07	-0.29	0.15	-0.51	0.96	-0.01	-0.18	-0.28	-0.63	3.23	3.744158864031945
