SMILES	AATSC0c	AATS1s	IC2	D/Dr5	AATS3s	AATS4s	SdssC	AATS0s	X2A	SIC0	AATSC1Z	nR_3_True_True_False_None	SMR_VSA7	MATS1c	VSA_EState5	nR_3_True_False_None_False	observed	predicted
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21	-0.89	-0.69	-0.19	-0.57	-0.76	-0.89	0.9	-1.12	-0.09	-0.04	0.17	1.25	0.89	1.49	0.58	0.39	0.8750612634	0.6666426435746792
Cc1ccc(O)c(C(CCN(C(C)C)C(C)C)c2ccccc2)c1	-1.01	-0.85	-0.14	-0.57	-0.88	-1.01	0.25	-1.04	0.2	-1.24	-0.04	-0.73	1.15	0.47	0.44	0.39	0.903089987	0.485334194086128
NC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3c[nH]nn3)CSC12)c1ccc(O)cc1	1.02	1.02	1.73	1.28	0.48	0.34	-1.02	0.76	-0.47	0.71	-0.08	1.25	0.44	-0.5	-0.64	-0.4	1.2227164711	1.2885326584004986
CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1	-0.64	-0.57	0.35	-0.57	-0.72	-0.56	0.19	-0.76	-0.29	-0.83	0.02	-0.73	1.17	0.24	0.08	0.39	0.5224442335	0.21724687694946723
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC	0.35	0.23	-0.71	-0.57	0.02	-0.31	0.25	-0.8	-0.62	-0.45	0.13	-0.73	0.7	1.22	1.58	0.39	1.0	0.6238224974835808
CCC1(c2ccccc2)C(=O)NC(=O)N(C)C1=O	-0.09	0.57	-0.14	-0.57	0.61	2.2	-1.02	0.65	-0.76	0.37	-0.02	-0.73	-0.01	-1.23	-0.42	-0.4	1.0	1.0025983418493565
O=NN(CCCl)C(=O)NCCCl	-0.21	1.06	-1.2	-0.57	0.34	2.3	-0.18	0.68	1.18	2.41	-0.07	-0.73	-1.23	-1.94	0.36	-1.19	-1.0793549986	-0.12327124377923127
NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1	0.37	-0.04	0.26	0.68	0.19	0.62	-0.66	0.65	-0.03	0.35	0.75	-0.73	0.47	-0.36	-0.26	0.39	-0.6989700043000001	-0.1518393260485246
NCCCC(N)CC(=O)NC1CNC(=O)C(C2CC(O)NC(N)=N2)NC(=O)C(C=NC(N)=O)NC(=O)C(CO)NC(=O)C(CO)NC1=O	1.23	1.0	1.78	-0.57	0.45	0.9	-5.58	0.97	0.33	-0.35	-0.28	-0.73	-1.42	-1.07	-3.32	-1.19	1.8241258339	1.4720478775608083
O=C(O)C1=C(CSc2nnnn2CS(=O)(=O)O)CSC2C(NC(=O)C(O)c3ccccc3)C(=O)N12	0.82	0.73	1.71	1.56	0.91	0.75	-1.69	1.52	-0.23	0.87	0.45	1.25	0.44	-0.61	-1.64	-0.4	1.2227164711	1.4343642744965204
