SMILES	ATS0d	SLogP	GATS2c	AATS7i	AATS2i	EState_VSA3	PEOE_VSA6	AATS4i	ATSC8se	AATS5i	PNSA3	AATS1i	AATSC1Z	RBF	GATS1i	PNSA1	SMR_VSA7	MAXDN	AATSC3s	AATS3i
CSCC[C@H](NC(=O)[C@H](Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)[C@@H](N)CC(=O)O)C(=O)NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(N)=O	444.0	-1.3294000000000055	0.7969912457682946	164.1787424772154	154.44276837970943	33.34613301391883	60.6636706846161	163.95365921386673	3.889812635816326	163.58530731994435	-137.01062255214907	149.78770667076472	0.9179720279720285	0.49382716049382713	1.3118047710950327	660.4191088673033	101.74996993670503	6.7466767949957696	-0.30947531153646085	161.5880573008764
CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@H]3O[C@H](C)C[C@H](N(C)C)[C@@H]3O)[C@@H](C)C[C@]3(CO3)C(=O)[C@H](C)[C@@H](O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O	317.0	1.908500000000004	1.2107206575766702	161.31192513384116	158.30920114512017	6.4208216229260096	27.694948798762496	163.02434536256516	2.3053131214544385	162.01372820737902	-45.00036820458094	147.483885201979	0.41348281169213835	0.11764705882352941	1.6547921171732094	229.60950311854825	0.0	2.4048917470821958	0.03846267110649005	159.3837509186056
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	211.0	2.4028	0.8937080882882321	161.20956930542548	155.5821766692034	31.742793449561418	44.179309741689295	166.33447036078408	1.7798372228571413	161.21607544387712	-43.90099149276518	147.25181379083267	1.724773242630385	0.35135135135135137	1.423914196357696	251.0741119153784	60.160755107851486	6.10357877277956	-0.015116243771171016	159.3879490496364
O=c1c(O)c(-c2ccccc2)oc2ccccc12	106.0	3.1656000000000013	1.050911544606599	155.98077901605777	141.95664160989577	16.532695847804035	42.46456947923127	154.54613703116044	0.26995085714285677	153.35477014798465	-29.25824940017213	140.17900724040834	0.040816326530611784	0.05	0.8410794851945111	198.22219752417286	64.82063119212685	2.073423091458806	0.477320197204565	150.62394596127206
COc1cc(O)c(C(C)=O)c(OC)c1	78.0	1.6119999999999999	1.142179797041501	173.19722438893854	157.66260605734146	11.49902366656781	0.0	153.445624332944	-0.02291226035502919	163.45342898889126	-28.93546804985078	146.3056584903096	0.07692307692307693	0.21428571428571427	1.3303954510081293	85.0662808789707	17.696185628620217	1.9148119803476944	-0.6446684402856138	151.6581245048035
CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	222.0	4.205800000000003	1.5345597515006928	162.06493410939976	157.68970385381357	35.36723845411806	29.268246848926644	157.39454942625417	-1.1261833828124974	161.55653074669664	-33.98972808276003	146.89709049079707	0.47799862132352944	0.2	1.5649193595339912	276.2957036773584	76.79429481640162	2.081420936520409	-0.10868703569808508	159.79220167072168
CC(C)[C@@]12O[C@@H]1[C@@H]1O[C@@]13[C@@]1(C)CCC4=C(COC4=O)C1C[C@@H]1O[C@@]13C2=O	204.0	1.3113	1.051030899374709	159.8850495913202	150.0893240437863	13.027703587438928	20.771211599071872	157.3547266810504	1.390113534722222	161.77685884060486	-51.49440751417209	142.43713273729261	0.7656249999999993	0.03125	1.1955983656059586	198.17460460786015	11.146209060138535	2.081626629818594	0.13729421710580825	151.58668755466502
O=C(O)CF	19.0	0.040500000000000036	0.7930698506411885		180.6455098036249	0.0	0.0	202.25275224963266	0.0		-38.85209250535236	160.1566199831357	-1.2857142857142858	0.25	1.1780595939011758	128.85837622630282	0.0	3.0787037037037037	-0.6571180555555551	194.19663178420626
Nc1ccccc1C(=O)C[C@H]([NH3+])C(=O)[O-]	82.0	-1.7979999999999992	0.4841008713956152	172.50695010524845	152.88341374322545	11.250837766380558	12.13273413692322	165.51727150319326	-0.9898846035665292	164.73615998661685	-54.6218751850779	152.4205068380296	-0.5692729766803846	0.26666666666666666	0.9874361005261604	164.92374779512787	29.828919765543436	3.001988378684807	-0.3201390342005534	160.10668156139138
CC[C@@H](C)n1ncn(-c2ccc(N3CCN(c4ccc(OC[C@H]5CO[C@](Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O	306.0	5.5773000000000055	1.421179778432779	162.75232471016216	158.3579262958233	28.822482048205487	36.191984048617265	158.78606721906056	-0.007076069229751902	162.07019895305297	-41.96108729333394	148.5184753347656	0.575377494789868	0.2	1.504762383662383	378.0812410029088	111.80499667882631	2.1588442704577733	0.017489306854921942	160.63484938329788
