SMILES	ATS0d	SLogP	GATS2c	AATS7i	AATS2i	EState_VSA3	PEOE_VSA6	AATS4i	ATSC8se	AATS5i	PNSA3	AATS1i	AATSC1Z	RBF	GATS1i	PNSA1	SMR_VSA7	MAXDN	AATSC3s	AATS3i	observed	predicted
O=c1c(-c2ccccc2)coc2cc(O)cc(O)c12	-0.7898652642049355	-0.036351816646777106	-0.5856355044499343	-1.2616545999250137	-2.001582096838352	-0.30277363705029037	0.17802317373617574	-1.0111983975522967	0.130956937216352	-0.7316511976806571	0.02338545808505867	-1.0327224169859368	-0.6301746991142563	-0.910225190882425	-1.9107291061659846	-0.5604746994027017	0.7351450592331518	-0.43964341594776807	-0.9928033861779739	-1.0835556481378872	0	0
C#CCCCCCCCCCCC[C@H](O)C[C@H](O)CO	-0.8109593773027065	0.01830367062612881	-0.36202324922968954	0.20414897240150945	0.3388968727888441	-1.066131163908208	1.1359091362755165	1.1527925607642735	-0.004089796379474851	0.6756801589727559	0.22904367396630826	0.20093754140067882	-0.8598597932645048	4.3581813017531115	0.5891728601623817	-0.4872563024398014	-1.2369791764817053	-0.3339913466718384	0.5873268934520981	1.5952603279776387	0	0
O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	-0.030477192685180222	-1.2053783001680283	-0.2599734586894002	-0.7804117748019477	-0.48663565169574285	-0.6256328040512416	-0.6507327571868238	0.3802680096992444	-0.9602453145165978	0.14433771167077225	-1.7909607954544875	0.3562059493077552	-1.0187928072422647	0.3472258794259578	-0.8527141210032388	0.5275768965268479	0.3529059260406072	0.5351348048420337	0.06667928009373887	0.5618829106535561	0	0
COC(=O)C[C@H]1[C@@]2(C)C[C@]34O[C@]5(C)O[C@@]6([C@H](OC)[C@@]3(OC)[C@H]2OC(C)=O)[C@H]2/C(=C(/OC)C(C)C)C(=O)O[C@@H](c3ccoc3)[C@]2(C)[C@@H](OC(=O)C(C)C)[C@@H](OC)[C@]6(O5)[C@]14C	2.4164399266562535	0.6115648331054525	0.9320178511592846	-0.6531674996583726	0.45630916860691084	-0.6844524004792492	1.0038293096241477	-0.6442829864346323	1.2316904667656767	-1.1101957093406754	-0.19656997438170737	-0.19816733413987764	0.5428161804954487	0.3472258794259578	0.9441100591189011	0.015345648433069847	-0.04976454143101704	0.6585447163181407	-0.1539557699524292	-0.6905748200312168	1	1
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1	0.6656285395412622	0.4576470697818643	0.03130850830296561	-0.303171360367151	0.397131616864885	0.6225307784531319	1.3220742504819807	0.11767749631092009	0.033031151714799	-0.3214643019109621	0.10553466158812572	0.583607907616566	0.18954806156415707	0.5943039844690083	-0.30481794064269224	1.2342118076997857	1.889059621854839	0.16773546220971564	-0.1066571546800345	0.08245819535923019	1	1
CC[C@@H](C(=O)[C@H](C)[C@@H](O)[C@H](C)CCc1ccc(C)c(O)c1C(=O)O)[C@@H]1O[C@@](CC)([C@@H]2CC[C@](O)(CC)[C@H](C)O2)C[C@@H]1C	0.9187578967145139	1.0936589404690844	-0.4916358455041715	-0.1488608041036383	0.04210052581511657	2.3402165220915085	1.2410381177500087	0.0770791316960639	-0.11401824380532105	0.08401213376420859	-0.2604308185278317	-0.14631405291561625	-0.2669848337859003	0.9842241189900728	0.27679049226550223	0.5363906127385969	-0.2727435622130935	0.3377174781395897	0.4319789632430685	0.31874830100121465	1	1
C=C1[C@H]([C@@]2(C)[C@@H](OC(C)=O)CC(=O)O[C@](C)(COC(C)=O)[C@@H]2CC(=O)OC)[C@@H](OC=O)[C@H](OC(=O)[C@H](OC(C)=O)[C@H](C)CC)[C@]2(C)[C@H](c3ccoc3)CC(=O)[C@]12O	1.7836165337231242	0.041770918814983356	0.43681833337708065	-0.6190615383798289	0.29819841311164336	-0.24395404062228285	0.35753734687798655	-0.6923982083890637	4.030275188509415	-0.4368081199887164	-1.1819209809061053	-0.16772178523550677	0.11157586418452556	1.1463691254245745	0.8048789155828382	0.9642410629495477	-0.02234026976281003	1.2788867554906298	-0.6118705303064137	-0.22342824636643294	1	1
Cc1cc(-c2ccccc2)nnc1NCCN1CCOCC1	-0.5789241332272258	-0.2931147000719228	2.406887616688405	0.10826431534590153	1.1207552387900217	-1.066131163908208	0.17802317373617574	0.8572107218414329	0.059119015287066756	1.1369409908130128	1.006718009948726	0.7287120014184785	0.3735942888496707	0.3182714139912253	0.6286074304305889	-0.5026305518856834	0.16678853457153256	-1.5283264231943792	0.38850286691455754	1.151473396167151	0	0
CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O	0.13827571209698764	0.8569630264838729	0.1300525807011594	-0.21650875288297314	0.24698202206095057	0.1875711784922755	0.5323614884074535	0.08403909164904326	1.9428875656477662	-0.5194584166310415	0.47183464304986994	-0.057539238979628815	-0.041859846799124766	1.1281691757227428	0.3824274860940206	-0.014452680848847611	0.7419650374403758	0.20799830598451075	0.17119155055480098	0.6293957328359534	1	1
CC(=O)O[C@@H]1CC2C(C)(C)C(O)CC[C@]2(C)[C@@H]2CC[C@]3(C)[C@@H](c4ccoc4)OC(=O)[C@H]4O[C@]43[C@]21C	0.7289108788345752	0.6122494529877858	0.15073177806205104	-0.49114138505985083	-0.32719411557208045	-0.6256328040512416	0.3732390179785371	-0.3558145936899128	-0.4444047653834731	-0.43538799730795763	-0.2870868724210217	-0.5179213329770206	0.3565677563291215	-0.7009257693113586	0.10567422546721815	-0.05174128946785815	-0.4288695670831078	-0.3926148217375541	0.3084796171269516	-0.7862784982195921	1	1
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O	-0.7054888118138516	-1.123033742098549	-0.8933419305119372	5.570956155560097	2.6839457712334114	-0.2337689209185319	-1.2032367111354902	1.3699279915651685	-0.9194903635133188	3.5352493338495488	-0.41823505639970265	1.9681324282002357	3.1353687735058533	-0.5462261968457879	-0.730324360357113	0.9412177814218994	-0.6449783451512429	3.806715832489871	-1.7215029982586383	0.5597800553705876	0	0
CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1	0.04335220315701822	0.19166463860797014	2.8014080258094154	-0.9945786487147659	0.8102948601465725	-0.7302781269740107	0.43782689607064845	-0.19689549695068229	-0.5363581755213769	-0.7643978608103073	0.7762217235668402	-0.41109401742518953	2.7891402371742418	-0.11604556752976218	0.7142687148437951	0.2112162332792117	0.7591122946314498	2.7368756066706026	1.0286042738819703	-0.5804589388063982	0	0
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1	0.09608748590144567	-0.32415840829192666	0.35526053107123357	-0.32809927305239966	-0.8841622161141288	-1.066131163908208	-0.6507327571868238	-0.6213951297282474	-1.1011272946539672	-1.4563495802520448	-1.3534147061762263	-0.4468649565324228	-0.5721185643702515	0.3785280042202632	-0.9205403532291404	1.0329766103258629	1.455970318440608	0.5247708378134904	-0.17100497608716517	-0.006030513555889108	0	0
