SMILES	nR_9_True_True_False_None	H-048	nR_3_True_False_None_False	nR_9_True_True_None_True	nR_3_True_True_False_None	H-053	AATS5se	C-009	C-002	nR_10_True_True_None_None	nR_5_False_False_False_False	NssCH2	FNSA4	nR_5_False_False_None_None	SdssC	nR_11_True_True_False_None	AATSC0dv	SRW05	nR_5_False_False_True_True	F05[O-O]	SLogP	nR_4_False_False_False_True	AATSC0c	AATS1s	SssCH2
CNCCCN1c2ccccc2CCc2ccccc21	1	0	2	1	1	2	7.187282451612902	0	3	1	0	5	-0.008975144583827394	0	0.0	1	2.673469387755102	0.0	0	0	3.5328000000000026	0	0.007518823927446865	2.558080808080808	5.541962238599143
CC(C)=CCOc1ccc(C=CC(=O)c2ccc(OCC=C(C)C)cc2OCC(=O)O)cc1	0	0	2	0	0	0	7.618099830985916	0	0	0	0	3	-0.0202056933534668	0	0.8572741319923283	0	4.090702947845805	0.0	0	0	5.736100000000006	0	0.024789133683778577	3.2964409722222223	0.3062962921371013
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12	0	0	1	1	1	0	7.418008027027025	0	2	1	0	4	-0.011238594029075092	0	0.0	0	3.3177083333333335	0.0	0	0	3.1732000000000014	0	0.015051439126871902	2.799019607843137	4.335080941518531
CCC(CCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C)C(C)C	1	0	4	0	1	0	7.021309079691516	0	11	1	1	11	-0.0038550888608739568	1	1.6188064085488192	1	1.7400000000000002	2.3978952727983707	0	0	8.02480000000001	0	0.0038445009875290904	1.99330655957162	14.58336327250748
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1	1	0	1	1	1	2	8.538982181818183	0	2	0	0	2	-0.033275544293859614	1	-1.9223952296968156	0	4.649227110582641	2.3978952727983707	0	2	0.08779999999999993	0	0.027130682425342022	3.8109318996415773	0.30550311791383167
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I	0	0	1	0	0	3	8.219865212121212	0	0	0	0	0	-0.04615299952254077	0	-1.2035361300075584	0	4.778745026017751	0.0	0	0	3.157000000000001	0	0.035492635877009966	3.962727272727273	0.0
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1	0	0	2	1	0	2	7.508496638297872	0	4	1	0	6	-0.012281404537013688	0	0.0	0	3.320270930933497	0.0	0	0	4.297500000000004	0	0.008322354764204098	2.7097431793933855	5.811423211835473
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl	1	0	1	1	1	3	7.656272928571429	0	1	1	0	2	-0.0157718327165612	2	0.9365277777777778	1	3.637050716459765	3.044522437723423	2	0	4.2040200000000025	0	0.008818905125121665	2.8946602428987256	1.4942757936507938
CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C	0	0	1	0	0	0	7.394163074829932	0	2	0	0	4	-0.008640722512345935	0	0.11129629629629623	0	2.763888888888889	0.0	0	0	3.7524400000000018	0	0.008868926211779047	2.5596064814814814	3.7850356670445953
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1	1	1	2	1	1	0	7.441290723926381	0	2	1	0	4	-0.009402594686287428	1	1.2731301440329228	1	3.4126023495906024	2.3978952727983707	1	1	1.9351	0	0.014712411706168122	2.7628968253968256	2.409339290876538
CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)CCC12	1	0	4	0	1	0	7.077206547008546	0	8	1	1	8	-0.006100464054805977	1	1.5459708049886625	1	2.3537101114955785	2.3978952727983707	0	0	3.671000000000003	0	0.009130431976409295	2.215534979423868	8.940003805534559
CC1CCC2N(C1)CC1C(C(O)C(O)C3(O)C1CC14OC5(O)C(O)CCC1(C)C5C(O)C(O)C34)C2(C)O	1	0	4	1	1	1	7.740174316784869	0	5	1	1	7	-0.01313559143276755	2	0.0	1	3.597500000000001	3.044522437723423	0	6	-1.8432999999999953	0	0.024176630763522132	2.788840439276486	3.857675372446505
CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12	2	0	2	2	2	1	7.9185269415807555	0	4	2	0	6	-0.015308588167369125	3	0.042595591755234974	2	3.901199522667994	3.4339872044851463	1	4	3.192800000000001	0	0.017827469920987847	2.754178804272437	3.4306437960256613
C[N+](C)(C)C[C@H](O)CC(=O)[O-]	0	0	0	0	0	0	8.01307174468085	0	1	0	0	2	-0.020863152387834018	0	-1.2028240740740739	0	4.3136094674556205	0.0	0	0	-1.8064999999999984	0	0.040070768085136814	3.208333333333334	0.14236111111111094
CCC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC(=O)CC)CCC12	1	0	4	0	1	4	7.295910511627907	0	8	1	1	8	-0.00927248236061395	1	-0.23811401264413457	1	3.482222222222221	2.3978952727983707	0	0	5.179900000000005	0	0.013558809052555859	2.5504850088183426	7.520018340083258
CC(O)C1C(=O)N2C(C(=O)O)=C(SCCN=CN)CC12	0	0	0	0	1	2	8.058744159090908	0	1	0	0	3	-0.022471360239718737	1	-0.682826383639875	0	4.31020209398588	2.3978952727983707	0	2	-0.38569999999999904	1	0.03484366970592157	3.4991877842755037	1.5871678162005542
COC12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5	1	0	6	1	1	1	7.385167476923076	0	7	1	0	9	-0.008306433443628752	1	0.0	1	3.223822222222222	3.9318256327243257	0	1	4.413800000000004	0	0.015614851350897092	2.4156378600823047	10.109466929091298
CN(C)C=Nc1c(I)cc(I)c(CCC(=O)O)c1I	0	0	1	0	0	2	7.666377692307693	0	2	0	0	2	-0.026628126440999548	0	-0.7745437032837821	0	4.121001157407408	0.0	0	0	3.7390000000000025	0	0.022810483048528948	3.213090277777778	0.6772963372385992
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1	0	1	1	0	1	0	8.222547490196078	1	0	0	0	1	-0.03437595700076537	0	-1.537851589080845	0	4.380700428319476	0.0	0	3	0.15050000000000108	1	0.038212128507285406	3.719767115600449	0.4786370768080723
Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O	0	2	0	0	0	0	8.062122888888888	1	1	0	0	2	-0.02713156041100857	1	0.0	0	5.109375	2.3978952727983707	0	0	-0.19628000000000012	0	0.027811309977770586	4.0218855218855225	-0.04370055429579223
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO	0	0	1	0	0	0	7.111811555555556	0	3	0	0	4	-0.00763857374406636	0	5.357981768311856	0	2.323721645520954	0.0	0	0	5.510300000000006	0	0.005837431776989216	2.537309368191721	3.9168972308478636
CC1C=C2CC(=O)CCC2(C)C2CCC3(C)C(CCC3(C)O)C12	1	0	4	0	1	0	7.071283176895306	0	7	1	1	7	-0.0066003084250547215	1	1.8747061996094738	1	2.609586776859503	2.3978952727983707	0	0	4.515300000000005	0	0.006735966374373528	2.238864942528736	7.012705157680356
CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C	1	0	4	0	1	3	7.626954778523488	0	4	1	1	5	-0.01579014761974917	1	-0.7114129212354762	1	4.352757544224766	2.3978952727983707	0	2	2.466500000000001	0	0.01929688168389581	2.988888888888889	0.7408684400132357
CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12	0	0	2	1	0	0	7.441566808823529	0	0	1	0	5	-0.012718021538661627	0	0.0	0	3.3499930584478688	0.0	0	0	3.660700000000002	0	0.014124854462039961	2.823408375695957	3.682468180135028
CC1=C2CC(=O)C=CC2(C)C2C(O)CC3(C)C(CCC3(O)C(=O)CO)C2C1	1	0	4	0	1	0	7.437653972027969	0	5	1	1	6	-0.012973394797233653	1	1.922130151602781	1	3.581409664512157	2.3978952727983707	0	1	1.9477	0	0.01607958480442348	2.8084490740740744	1.9291769796761682
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1	0	0	2	0	0	0	8.6213023	0	0	0	0	1	-0.03807668726488691	0	-1.2768344251280765	0	5.670452496845141	0.0	0	2	2.8795800000000007	0	0.024400108382045562	4.023849607182941	-1.0973483953766694
OC1COC(O)C(O)C1O	0	1	0	0	0	0	7.9260600000000005	1	0	0	0	1	-0.039051562712170335	0	0.0	0	4.8	0.0	0	1	-2.5823000000000005	0	0.04963963484806698	4.079166666666667	-0.15337962962962948
N[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)[C@@H](N)C[C@H]2N)O[C@H](CO)[C@H]1O	0	2	1	0	0	2	8.119350457399102	2	1	0	0	3	-0.024163977970664073	0	0.0	0	4.149128334383533	0.0	0	7	-7.291400000000006	0	0.038430103985517564	3.507042253521127	-1.1031262449676678
NC1C(O)OC(CO)C(O)C1O	0	1	0	0	0	0	8.090123481481482	1	0	0	0	1	-0.032928920418945885	0	0.0	0	4.3744000000000005	0.0	0	3	-3.2549999999999994	0	0.045068219800682235	3.937777777777777	-0.4702314814814812
Cc1cc(=O)n(-c2ccccc2)n1C	0	0	1	0	0	0	7.617902285714287	0	0	0	0	0	-0.013604300167397743	1	0.0	0	3.899408284023669	2.3978952727983707	1	0	1.4844199999999999	0	0.012687388169748933	3.1975308641975313	0.0
CN(C)CCOC(C)(c1ccccc1)c1ccc(Cl)cc1	0	0	2	0	0	0	7.383890967213114	0	0	0	0	2	-0.012235711179632259	0	0.0	0	2.9964946016865968	0.0	0	0	4.181700000000004	0	0.007907772922707444	2.6769196595585485	1.5526131249825037
NC(Cc1ccccc1)C(=O)O	0	0	1	0	0	0	7.489855243243245	0	1	0	0	1	-0.02502411558440875	0	-0.9593953136810278	0	3.621928166351607	0.0	0	0	0.641	0	0.02915905506642576	3.6835748792270535	0.38509259259259254
O=C(OCC(COC(=O)c1cccnc1)(COC(=O)c1cccnc1)COC(=O)c1cccnc1)c1cccnc1	0	0	0	0	0	0	8.144351870967741	0	0	0	0	4	-0.02515991115472694	0	-2.9509899500050993	0	4.58698224852071	0.0	0	0	2.9808000000000012	0	0.0318229696042131	3.827614379084967	-1.8266402116402098
CCN(CC)CCSC(=O)C(c1ccccc1)c1ccccc1	0	0	2	0	0	1	7.377740549618322	0	0	0	0	4	-0.009894450808340336	0	0.23107048374905514	0	2.7885802469135803	0.0	0	0	4.420100000000004	0	0.0068962046660240904	2.6184177374653563	3.8695294329087617
C[C@@H](Cc1ccccc1)N(C)Cc1ccccc1	0	0	2	0	0	0	7.1255019215686275	0	1	0	0	2	-0.009359986739448796	0	0.0	0	2.478632478632478	0.0	0	0	3.7496000000000027	0	0.004804183808107065	2.6	2.110132747543462
C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]2(O)CCC(=O)O	1	0	4	0	1	2	7.17846856060606	0	8	1	1	8	-0.011973538030282633	1	0.6053332936792717	1	3.320153061224489	2.3978952727983707	0	2	3.8902000000000028	0	0.015200321775627653	2.6531308851224105	5.612958232560956
COc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@H]4[C@@H](C2)N(C)CC[C@@]341	1	0	3	1	1	0	7.464198786516853	0	4	1	0	5	-0.009332575705885164	1	0.0	1	3.617777777777779	2.3978952727983707	0	0	1.7251	0	0.020237376700099823	2.5751133786848075	5.226191184807256
COCc1c(-c2ccc(F)cc2)c(=CCC(O)CC(O)CC(=O)O)c(C(C)C)nc1=C(C)C	0	0	1	0	0	2	7.610855294117646	0	3	0	0	4	-0.014394760421287449	0	-0.09236971516754089	0	4.041434617955002	0.0	0	0	3.1052000000000017	0	0.018677527253471694	3.217728758169935	0.03288286417299813
CN1CCC23CCCCC2C1Cc1ccc(O)cc13	1	0	3	1	1	0	7.151519071428571	0	6	1	0	7	-0.006900228460271369	0	0.0	1	2.6984126984126986	0.0	0	0	3.080400000000002	0	0.011932905508211118	2.360493827160494	9.144257842025699
COCC1=C(C(=O)OC(C)OC(=O)OC(C)C)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1	0	3	0	0	1	3	8.720162253521128	2	0	0	0	2	-0.024365547187977628	1	-2.829146953398796	0	5.190538194444445	2.3978952727983707	1	5	0.8270000000000015	1	0.03740738804726561	3.5743546576879917	0.38575153149283836
CC(C)(O)C(C)(O)c1ccc(Cl)cc1	0	0	1	0	0	0	7.214662951219512	0	0	0	0	0	-0.019222224284902705	0	0.0	0	3.2213561163224256	0.0	0	0	2.3184000000000005	0	0.015545549878190637	3.024895345537108	0.0
C#CC1(O)CCC2C3CCC4=Cc5oncc5CC4(C)C3CCC21C	1	1	4	1	1	0	7.138874008163264	0	7	1	1	7	-0.00987116051249299	2	1.5479736971949276	1	3.173076923076923	3.044522437723423	1	0	4.221000000000004	0	0.008816305618084488	2.6008184523809526	7.445560883303939
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O	0	1	0	0	1	0	8.728873263157896	1	1	0	0	1	-0.036673158580104365	1	-1.6660416666666658	0	5.497698882314268	2.3978952727983707	0	8	-0.794999999999999	1	0.035452421847687245	3.127029035208048	-0.08775462962962965
Nc1nc(=O)c2ncn(COCCO)c2[nH]1	0	2	0	1	0	0	8.126671377777779	0	0	0	0	3	-0.0331595083787891	1	0.0	0	4.8257887517146765	2.3978952727983707	1	0	-1.3318000000000003	0	0.0420450529071493	4.028769841269841	0.3271512818090201
CC(C)N=C(N)/N=C(\N)Nc1ccc(Cl)cc1	0	0	1	0	0	0	7.929998931034483	0	0	0	0	0	-0.02206163520834651	0	0.34091294336664757	0	3.271729642100013	0.0	0	0	1.7897000000000003	0	0.022312995548915263	3.3154383339568527	0.0
