SMILES	Mor12u	C-005	C-019	ATSC6p	AATSC8Z	MATS1c	MATS1se	BELpe-1	R1s	Vu	TDB04v	Mor09m	Mor13m	JGI1	B02[O-O]	B09[C-C]	observed	predicted
O=C1NC(Cc2ccc(O)cc2)C(=O)NC1Cc1ccc(O)cc1	0.31	-0.53	1.08	-0.3	-0.2	-0.61	-0.52	-0.32	1.08	0.3	-0.11	-0.37	-0.6	0.02	-1.0	0.76	0.0	0.0
CC(O)CO	0.78	-0.53	-0.74	-0.04	1.89	-0.28	-1.18	2.23	0.07	-0.14	-1.33	1.04	0.99	1.87	-1.0	-1.32	0.0	0.0
CN1CCN(C(=O)NC(Cc2ccccc2)C(=O)NC(/C=C/S(=O)(=O)c2ccccc2)CCc2ccccc2)CC1	-1.71	0.65	0.17	-0.7	-0.24	-0.52	0.93	-0.32	-0.22	0.15	-1.13	-0.9	-0.98	-0.46	1.0	0.76	0.0	0.0
CC(C)=C1C[C@@]2(C)C(C)CCCC2CC1=O	-0.3	-0.53	-0.74	-0.44	0.48	0.97	0.57	0.02	-1.27	-0.38	0.49	0.9	0.38	0.83	-1.0	-1.32	0.0	0.0
CCCCCCCCCCCC/C=C/CCC(O)C(O)CCC(O)C1CCC(CCCCCC(O)CC2=CC(C)OC2=O)O1	-1.66	-0.53	0.17	-0.01	-0.12	-0.07	0.14	0.36	-0.7	-0.41	-1.7	-1.5	-0.58	-0.94	1.0	0.76	0.0	0.0
NC(CNC(=O)C(=O)O)C(=O)O	0.43	-0.53	1.98	-0.26	-1.16	-1.24	-2.27	2.06	1.9	0.43	0.53	0.56	1.0	1.14	1.0	-1.32	0.0	0.0
O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34	1.52	-0.53	-0.74	-0.54	-0.98	2.67	3.31	-1.51	1.2	3.75	3.07	-0.29	0.05	-1.19	1.0	-1.32	1.0	1.0
O=C(O)C1OC(Oc2c(-c3ccc(O)cc3)oc3cc(O)cc(O)c3c2=O)C(O)C(O)C1O	1.54	-0.53	0.17	0.07	-0.3	0.02	-1.41	-0.66	2.81	-0.15	-0.04	-1.42	-0.74	-0.09	1.0	0.76	0.0	0.0
C=CCl	1.06	-0.53	-0.74	-0.04	-0.68	0.52	0.51	1.21	-2.46	-1.1	-2.41	1.5	1.46	0.27	-1.0	-1.32	0.0	0.0
CCOc1ccc2ccc(=O)oc2c1	1.03	-0.53	0.17	0.11	-1.0	-0.2	0.29	-0.66	-0.58	-1.08	1.01	-0.09	0.78	-0.37	1.0	-1.32	1.0	1.0
O=C1CC(c2ccc(O)cc2)Oc2cc(O)ccc21	0.66	-0.53	-0.74	-0.02	0.11	0.19	-0.38	-0.32	0.84	0.39	1.04	0.22	0.15	-0.19	-1.0	0.76	0.0	1.0
CCSC(C)CCO	0.4	-0.53	-0.74	0.44	1.39	0.29	-0.1	1.55	-0.92	-0.14	-0.0	1.49	1.36	-0.19	-1.0	-1.32	0.0	0.0
Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C	0.9	-0.53	1.08	-0.84	-0.56	-0.09	0.36	-0.66	0.56	-0.87	-0.32	-1.4	-0.28	-0.45	1.0	0.76	1.0	0.0
