SMILES	SLogP	nR_3_True_False_True_False	ESpm03d	N-068	ATSC1dv	GATS2dv	AATS0dv	GATS2d	AATS0p	MATS5Z	AATSC5c	nArCOO	ARR	X0vA	AATS5i	ATSC7c	AATSC7i	BELv0	GATS6i	AATSC6v
CON=C(C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=CCS[C@H]12)c1csc(N)n1	-0.5557999999999992	0	3.970986012232532	1	48.01477377654663	0.712396997151133	11.128654970760234	1.0220525220372185	1.7926759937641308	0.10512658227848105	-0.0010619563498294475	0	0.18518518518518517	0.5786078165509256	163.45030467765247	-0.29012634178406704	0.06243650794435479	24.44	0.7388325965413679	-1.099265026833184
Nc1cnn(-c2ccccc2)c(=O)c1Cl	1.4681	1	2.918851229218033	0	20.481504819248986	0.7537537170624102	9.287171229200215	1.2151579290133512	1.7596307495126964	-0.13568955919702186	-0.006012985565661239	0	0.75	0.5652013856545894	161.28925246551358	-0.024375632643878237	-0.4446988543013125	22.46	1.0098133865071421	-12.367781410410581
NCC(O)c1ccc(O)c(O)c1	0.08989999999999998	1	2.9396274221692185	0	2.7826086956521716	0.8349834983498353	7.478260869565218	1.5790260196905763	1.3191979979712605	0.09987579042457088	0.0046147481591120275	0	0.5	0.5362915761362126	169.1734808422326	-0.14852165094913342	0.3672789264896885	20.89	0.8522655098979426	-4.422489405939452
Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1	2.840420000000001	2	2.981268170943169	0	38.375	1.1232789998417472	6.4	1.3234494687422782	1.503303729803275	0.1781454979129398	-0.0007531789110600424	0	0.5217391304347826	0.5753220611226917	160.35739847163777	0.3466493815862881	-0.24337227412394072	20.89	1.0835942701341554	-3.855145981175708
CC(=O)Nc1ccc(/C=N/NC(N)=S)cc1	0.8120999999999998	1	2.929165029281878	0	24.047619047619044	1.0648491514770586	7.587301587301588	1.4369409660107335	1.6827699592210001	-0.11906349268598768	-0.0014125584884220384	0	0.375	0.5965192732808229	161.26808780170057	0.05424406277553021	-0.04497324165212646	24.44	0.8163641126729064	2.9648305871284517
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1	4.073100000000001	1	4.676943721177181	0	37.9285048010974	0.4331462028624991	13.586831275720165	1.0980184005661715	1.7075223714547003	0.10966575278539352	0.00827031160758237	0	0.2608695652173913	0.5384713361006994	171.248553765458	-0.009125797932105177	0.6951169491920144	22.46	1.4880603054944779	-8.68223064718674
COC(=O)c1ccccc1C(=O)OC	1.2597999999999998	1	3.6314621832439857	0	40.5	0.8313253012048193	10.25	1.0063411540900447	1.45449771035375	-0.24635364635364637	0.013325053274265959	0	0.42857142857142855	0.5673138741867112	159.8024928823038	-0.24359716953121183	0.42739562314897744	20.9	1.345878441376746	-20.325096642023595
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nn[nH]n3)c2)nc1OCCO	3.2099000000000015	1	4.890349128221754	0	82.68607709750569	0.7393395848579666	9.977777777777778	1.0384516770027081	1.578058177584614	0.08713444492787004	-0.004844368499350683	0	0.6170212765957447	0.5606688746783614	162.6924000427182	-0.04223203224235411	-0.06141421638534509	24.44	1.067212310598945	2.2526787174179472
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl	4.2432000000000025	1	4.333492687678026	0	22.950574565338115	0.8560325982600475	13.035584604212055	1.2958183990442056	1.6519247633335004	-0.09130965150272362	-0.00035057213790380725	0	0.4583333333333333	0.5645738805981082	170.11758705562207	0.12304131794409502	-0.6078778845355802	22.46	1.0102284220667013	6.966761707811942
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12	6.075200000000007	3	4.507160365430647	1	50.94123443518768	0.9309425440254487	7.122040072859745	1.1300066755674232	1.676828925097098	0.09604635261265397	-0.0006321596370527532	0	0.5789473684210527	0.5789259608297327	155.29408900264679	-0.10697714965909458	-0.19294339319824944	24.44	0.9379867578415262	2.4714532981136386
