SMILES	SLogP	PEOE_VSA6	EState_VSA2	O-056	ATSC6v	ATSC8d	ATSC5s	PEOE_VSA10	GATS2c	ATS0dv	ATS0Z	X3A	ATSC5se	GATS5Z	ATSC8v
Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@H](CCC(=O)O)C(=O)O)cc3)cnc2n1	0.24409999999999987	0.0	35.818474017138264	2	-290.1930750199251	-0.9940828402366868	-0.19270833333333215	6.041840829147961	0.6754783150857844	534.0	1416.0	0.1890937098463534	-0.11760699999999738	1.0277188243616953	84.6482862895243
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(=O)c2c(O)c(O)cc([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)c2c1)c1cc(O)c(O)c(O)c1	3.194900000000003	0.0	63.47972076024042	11	-174.27820271364433	2.56	23.877777777777762	40.60103738745173	0.7503621023167416	916.0	2348.0	0.16985866894173954	1.7592739999999985	0.9850506847837808	-592.5956446999675
C=C1C/C=C(/C)CC[C@@H]2[C@@H]1CC2(C)C	4.335100000000003	37.64863924995216	0.0	0	-965.8243971620975	5.925925925925926	4.406153549382717	0.0	1.0206349044624732	98.0	526.0	0.1758130108985932	0.03454923456790063	0.8493836671802775	1021.4114128261022
C=C1C[C@@H]2O[C@]2(C)CC[C@@H]2[C@@H]1CC2(C)C	3.5463000000000022	25.999514613049012	5.601050810983688	0	-935.2574780464572	7.910883856829805	2.8157819982144288	0.0	0.9779768733229162	134.0	590.0	0.16178867565344293	-0.009068666179694186	0.8688151350719726	1052.8747468341871
CN(C)CCN(Cc1ccccc1)c1ccccn1	2.649800000000001	36.39820241076966	0.0	0	-728.1692632121587	-4.972500000000002	1.5936979166666672	5.817862777835028	1.892098331419876	202.0	744.0	0.1997286883986952	-0.12341568750000115	0.9376392250358222	-1198.7591269104767
COc1cc(C)c(C(=O)Oc2cc(C)c(O)c(C(=O)O)c2C)c(O)c1C=O	2.761560000000001	0.0	39.31628112505279	3	-298.7252330669817	-15.404444444444444	-108.83135802469135	34.12495031652961	0.7613956246524615	478.0	1214.0	0.1758333541871374	-4.942170753580248	1.3786065913856707	-903.0029188177615
COC(=O)[C@@H](O)[C@H]1C(C)(C)[C@@H](OC(C)=O)[C@@H]2CC3=C4CC(=O)O[C@@H](c5ccoc5)[C@@]4(C)CC[C@H]3[C@]1(C)C2=O	3.6974000000000027	33.26805332883176	24.09127790340419	1	993.3771671261484	-2.984660336011679	10.73714973419367	17.991177721861543	0.9853877982050057	576.0	1656.0	0.15551178916919173	0.21842913951789367	0.9797586817153637	1443.0672768006386
CC(C)COC[C@@H](CN(Cc1ccccc1)c1ccccc1)N1CCCC1	4.830200000000005	62.37841094707412	0.0	0	881.3420823026775	-12.628594463853805	-1.182545014780974	0.0	1.8953121149057914	260.0	1060.0	0.19346020063547387	-0.35922917280301797	1.0416279584162798	-779.5601189407976
O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21	-0.13919999999999944	0.0	46.966593562381625	4	-439.87575340247645	-18.240000000000002	63.595061728395045	11.49902366656781	0.899616846634802	464.0	1400.0	0.17285480111707538	2.4682463999999955	0.90454329947665	-1529.771428735894
CC(C)C1=CC2=CC[C@H]3[C@@](C)(CCC[C@]3(C)C(=O)O)[C@@H]2CC1	5.206200000000004	44.91717796573491	11.332896515558172	1	829.7804141255222	-0.75	-1.7005670611439867	0.0	0.48813497852046944	214.0	878.0	0.16631334612006213	-0.06106157396449187	1.0118188426868275	-422.54997592313595
CC[C@H](c1ccc(O)cc1)[C@H](CC)c1ccc(O)cc1	4.785200000000004	38.112942673227685	0.0	2	-602.4110461879143	1.0158730158730136	2.2517636684303404	11.49902366656781	0.4914040637755791	214.0	798.0	0.18957714168117426	0.2536737142857145	0.9593787748058671	104.41820622945774
