SMILES	C-001	F04[C-N]	F05[N-O]	B05[N-S]	F05[N-S]	B05[N-F]	F05[N-F]	B05[N-Cl]	B05[N-Br]	B05[O-O]
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c(-c2cccc(Br)c2)noc1C	5	5	0	0	0	0	0	0	1	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc(OCCCCCN2CCCC2)cc1	4	2	0	0	0	0	0	0	0	0
O=C(NC1CCc2ccccc2C1)N1CCC(c2nc(-c3ccccn3)no2)CC1	0	16	1	0	0	0	0	0	0	0
COc1cccc(C2NC(=S)Nc3nc4c(c(N)c32)CCCC4)c1	0	11	1	0	0	0	0	0	0	0
CCNC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](C(F)F)O[C@@H]2S1	1	3	1	0	0	0	0	0	0	0
O=C(CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1)N(c1ccccc1)c1ccccc1	0	12	0	0	0	0	0	0	0	0
Oc1cccc2c1[nH]c1c(C3=C[C@@]4(O)CC/C=C\CCCCN5CC[C@@H]3[C@]3(CC6/C=C\CCCCN6[C@H]34)C5)nccc12	0	17	2	0	0	0	0	0	0	0
CCOC(=O)[C@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1c2cccc1[N+](=O)[O-]	4	5	0	0	0	0	0	0	0	0
Cc1cc2ncc(-c3ccc4cc(CCN5CCC[C@H]5C)ccc4n3)c(C)n2n1	3	10	0	0	0	0	0	0	0	0
CN(C)Cc1cn(Cc2ccccc2)c2ccc(Cl)cc12	0	5	0	0	0	0	0	1	0	0
CC(C)N1C(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2OC(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21	5	13	4	0	0	0	0	0	0	1
COc1ccc(NC(=O)N2N=C(c3ccc(Br)cc3)CC2c2ccc(F)cc2)cc1	0	15	1	0	0	0	0	0	0	0
Cc1noc(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)n1	1	11	1	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc(OCCCN2CCCCC2)cc1	4	1	0	0	0	0	0	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc(OCCCN2CCCC2)c(OC)c1	4	1	0	0	0	0	0	0	0	0
Cc1ccc2nc(N3CCC(NC4CCOCC4)CC3)c(-c3nc(C)no3)cc2c1	2	8	0	0	0	0	0	0	0	0
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1	2	3	1	0	0	0	0	0	0	0
C#CCn1cc(CN(C)C)c2cc(C)ccc21	1	3	0	0	0	0	0	0	0	0
CCNC1=N[C@@H]2[C@@H](F)[C@H](O)[C@@H](CO)O[C@@H]2S1	1	3	0	0	0	1	1	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCCCCOC(=O)C2=C(C)NC(C)=C(C(=O)OCC)C2c2cccc([N+](=O)[O-])c2)C1c1cccc([N+](=O)[O-])c1	6	6	0	0	0	0	0	0	0	1
COC(=O)C1=C(C)N=C(C)/C(=C(/O)OC)C1c1c(C)noc1C	4	3	0	0	0	0	0	0	0	0
COc1cnc2ccc(=O)n(C[C@H](N)C3CCC(NCc4ccc5c(n4)NC(=O)CO5)CC3)c2c1	0	17	2	0	0	0	0	0	0	0
CCCCn1cc(CN2CCCCC2)c2cc(C)ccc21	2	4	0	0	0	0	0	0	0	0
C[C@]1(C(=O)O)CCC[C@@](C)(c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3)c3c(N)nccn23)C1	2	20	0	0	0	1	6	0	0	0
O=C(NC1CC1c1ccccc1)N1CCC(c2nc(-c3cnccn3)no2)CC1	0	14	2	0	0	0	0	0	0	0
CSC1=NC2/C(=C(/O)OCCCCCSc3ccc([N+](=O)[O-])cc32)C(C)=N1	1	6	0	1	1	0	0	0	0	0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1c(-c2ccc(Br)cc2)noc1C	5	5	0	0	0	0	0	0	0	0
CSC1=NC(c2ccccc2SC)C2=C(O)OCC2=N1	0	4	0	0	0	0	0	0	0	0
CCCCCc1onc(-c2ccccc2)c1C1C(C(=O)OCC)=C(C)N=C(C)/C1=C(/O)OCC	5	6	0	0	0	0	0	0	0	0
CCOC(=O)C1CN(C(c2ccccc2)c2ccccc2)CCN1C(=O)CC(c1ccccc1)c1ccccc1	1	9	1	0	0	0	0	0	0	1
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1ccc([N+](=O)[O-])cc1	4	2	0	0	0	0	0	0	0	0
C=CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC=C)C1c1ccc(OC)cc1	2	1	0	0	0	0	0	0	0	0
CCOC(=O)[C@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1ccccc12	4	2	0	0	0	0	0	0	0	0
CC(C)N1C(=O)[C@H](NC(=O)[C@@H](Cc2cccc(F)c2C(F)(F)F)NC(=O)OC(C)(C)C)CCc2ccccc21	5	13	3	0	0	0	0	0	0	1
Clc1ccc2c(c1)c(CN1CCCCC1)cn2Cc1ccccc1	0	5	0	0	0	0	0	1	0	0
c1cc(C/N=C2\C3C4CC5C6C4C2C6C2(OCCO2)C53)ccc1C/N=C1/C2C3CC4C5C3C1C5C1(OCCO1)C42	0	12	4	0	0	0	0	0	0	0
COc1ccc(C2(CCO)CC(c3cccnc3)=NN2C(=O)Nc2ccc(Br)cc2)cc1	0	17	1	0	0	0	0	0	1	0
CCOC(=O)[C@H]1[C@H]2/C(=C(\O)OCC)C(C)=N[C@]1(C)Sc1ccc([N+](=O)[O-])cc12	4	4	0	1	1	0	0	0	0	0
CCc1ccc2nc(N3CCC(N[C@H]4CCCC[C@@H]4O)CC3)c(-c3nc(C)no3)cc2c1	2	9	0	0	0	0	0	0	0	0
NC(=O)CN[C@H](COCc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccccc1	0	4	0	0	0	0	0	0	0	0
O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2nc(-c3ccc(C(F)(F)F)cc3)cs2)cc1	0	12	0	0	0	0	0	0	0	0
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1	0	1	0	1	1	0	0	0	0	0
Brc1ccc2c(c1)c(CN1CCCCC1)cn2CCCCN1CCCCC1	0	5	0	0	0	0	0	0	1	0
COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]2CC[C@H]1c1ccccc12	0	7	0	0	0	0	0	0	0	0
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1	0	13	0	0	0	0	0	1	0	0
Cc1nnc2n1-c1ccc(-c3cncc([C@@](C)(O)C(F)(F)F)c3)cc1CC2	2	10	0	0	0	1	3	0	0	0
CCOC(=O)C1=C(C)N[C@]2(C)Sc3c(cccc3[N+](=O)[O-])[C@H]1[C@@H]2C(=O)OCC	4	5	0	0	0	0	0	0	0	0
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1cccc(C(F)(F)F)c1	4	1	0	0	0	0	0	0	0	0
O=C(Nc1ccc(C[C@@H]2CC[C@H]([C@H](O)c3ccccc3)N2)cc1)[C@@H]1CCc2nccc(=O)n21	0	10	2	0	0	0	0	0	0	1
Cc1ccc2c(c1)c(CN(C)C)cn2CCCCN1CCCCC1	1	5	0	0	0	0	0	0	0	0
O=C(NC1CCc2ccccc2CC1)N1CCC(c2nc(-c3ccccn3)no2)CC1	0	16	1	0	0	0	0	0	0	0
O=C(Nc1ccc(F)cc1)N1N=C(c2ccccc2)CC1c1ccc(F)cc1	0	15	0	0	0	1	1	0	0	0
Cc1c([C@@H]2CN3CCN(C(=O)Cc4ccc(-n5cnnn5)cn4)C[C@H]3CO2)ccc(F)c1C#N	1	15	1	0	0	0	0	0	0	0
O=C(CN(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	0	12	1	0	0	0	0	0	0	0
O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccc(Cl)c(Cl)c2)CC1	0	8	1	0	0	0	0	1	0	0
CSC1=NC(c2cccc([N+](=O)[O-])c2)C2=C(COC2=O)N1	0	6	0	0	0	0	0	0	0	0
COc1cc(-n2cnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1OCC1(O)CC(F)(F)C1	0	6	1	0	0	0	0	0	0	0
CCNC1=N[C@@H]2[C@@H](O)[C@H](O)[C@@H](COC)O[C@@H]2S1	1	3	1	0	0	0	0	0	0	1
COCCOc1ccc(C2(CCO)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1	0	17	1	0	0	1	1	0	0	0
Cn1cc(C2CCN(C(=O)NC3CC3c3ccccc3)CC2)nn1	0	13	0	0	0	0	0	0	0	0
