SMILES	C-017	H-046	H-050	AATSC1dv	MATS4s	GATS3d	BELd0	nR_3_True_False_None_False	H6m	R7p	RDF030m	JGI2	JGI3	B02[N-O]	PNSA4
CN(C)CCCN1c2ccccc2Sc2ccccc21	0	0	0	0.9235978835978835	0.0755098402121198	1.0969235364396654	3.23	2	0.017	0.345	4.243	0.0666666666666667	0.042338709677419345	0	-5.582633613256994
CSCCC(NC(=O)C(C)N)C(=O)O	0	0	4	1.2096381438910173	-0.24381532772171827	1.1507936507936507	3.13	0	0.007	0.234	3.281	0.11111111111111116	0.046875	1	-11.724819555212884
CCc1cc2c(s1)-n1c(C)nnc1CN=C2c1ccccc1Cl	0	3	0	1.61610701979596	-0.17819739113630476	1.0715923406399601	3.27	1	0.136	0.446	11.231	0.07602339181286552	0.05224867724867725	0	-8.417421462837837
O=C([O-])C1Cc2c([nH]c3ccccc23)C(C(O)C(O)C(O)C(O)CO)N1	0	0	7	0.045389455012426014	-0.07619934554331075	1.154119778173575	3.28	1	0.132	0.375	13.119	0.09756097560975614	0.05193236714975845	0	-22.098680919523012
CCCCC/C=C\CC(O)/C=C/C=C/C=C\C(O)CCCC(=O)N(C)C	0	13	2	0.5041165809214962	-0.10526270372125994	1.099662162162163	3.12	0	0.168	0.293	6.833	0.07142857142857144	0.032407407407407406	1	-5.419673276542781
COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314	0	2	0	1.4346340172376097	-0.043698712605272215	1.3427545334492863	4.03	3	0.042	0.302	6.649	0.10052910052910058	0.05228758169934641	0	-5.387612183642609
CCCCCC/C=C/C=C\CCCCCCCC(=O)O	0	25	1	0.39215686274509803	-0.0243937437221983	0.904772058509958	3.04	0	0.184	0.223	7.191	0.023391812865497085	0.014705882352941176	0	-5.165349916443958
C=C1CC[C@]2(CO)C(O)C[C@]3(C)C(CCC4[C@@]5(C)CCC(O)C(C)(C)C5CC[C@]43C)C2C1C	0	37	3	0.8018563660541626	-0.01527852148620792	1.7981449789514448	4.12	5	0.199	0.59	17.767	0.15277777777777785	0.07352941176470588	0	-3.8959112528387916
CC(C)=CCC[C@]1(C)C(CC=C(C)C)C[C@@]23CC(C(C)(C)OO)OC2=C(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C3=O	3	38	1	1.7005847953216375	0.14567551023618985	1.3903629429179905	4.12	2	0.388	0.626	18.691	0.1274509803921569	0.06799095607235142	0	-7.728015628869072
CCC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O	0	8	5	0.923201730665224	-0.12305202750950142	1.191422064777328	3.16	1	0.161	0.289	4.161	0.10317460317460321	0.04741379310344827	1	-12.12188718437908
CN(C)CCCN1c2ccccc2CCc2ccccc21	0	4	0	1.0301864985552929	-0.08587992257872407	1.2636147038801906	3.23	2	0.023	0.39	3.336	0.07168458781362011	0.039285714285714285	0	-4.214150702830543
CCCCCCOC	0	9	0	0.17119565217391305	-0.00837988826815637	1.10239651416122	2.18	0	0.001	0.122	2.242	0.037037037037037056	0.025	0	-1.2868725864633674
