SMILES	SMR_VSA6	C-024	BELi0	RASA	VSA_EState5	GATS2c	SLogP_VSA3	MATS1dv	H-047	SaasC	AATS5dv	Mor08u	HATS2u	ATSC2dv	GATS2s	GATS7se	Mor19m
COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)[C@]1(O)C=COC1O2	7.109797541277533	1	13.65	0.6219480756286979	0.5090387744604024	1.0387024420040898	16.75873538770975	0.264631122132672	5	1.729805130385489	7.157303370786517	0.847	0.358	38.97839506172839	0.6500816871173678	1.0255340897897893	-0.568
CCCCCCCCCCCC(=O)O	0.0	0	13.64	0.7913538751112037	-0.6593094491520717	0.47427676011518954	4.794537184071822	0.2093662043473839	0	0.0	0.6419753086419753	2.733	0.315	6.193905817174508	0.3021604915546261	0.9298941798941804	0.648
CN1CCC(=C2c3ccccc3CCc3cccnc32)CC1	20.13718479450234	6	14.55	0.9809310793202433	0.0	1.6843212069775688	12.841643245852019	0.36035170902979924	13	5.521816893424037	2.5338345864661656	0.392	0.301	6.471074380165296	0.9303179076885776	0.7893473687408384	0.229
CC(=O)OC1CC2[C@]3(C)CCC(OC(=O)CC(=O)O)C(C)(C)C3CC[C@]2(C)[C@@]2(C)CCC([C@]3(C)CCC(C(C)(C)O)O3)C12	0.0	0	13.65	0.7688192734617129	-1.0548248972968857	0.7489235765307783	28.59420041361561	0.4049609966889275	3	0.0	1.4022346368715084	1.525	0.163	36.88888888888893	0.4012550339426422	0.8431876121723345	1.38
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)[C@H](C(=O)O)[C@@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12	0.0	0	13.64	0.7218747789133603	-1.205306557119326	0.48143909740745133	9.589074368143644	0.36621330158992077	3	0.0	1.231237322515213	4.943	0.158	55.478737997256516	0.3501647229772895	1.282027654152953	1.561
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	7.04767198267719	10	14.55	0.8697545334798529	-0.2767656664093323	0.918598520188499	35.524681754149384	0.2595698067095632	21	4.494728293226254	3.5601503759398496	4.421	0.176	15.647415428756492	0.5939911743763081	1.260656953565616	0.572
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)O)n1Cc1ccc(C(=O)O)cc1	0.0	6	14.56	0.7280154927472322	-2.4985103214434994	0.6294563573199006	17.760115212910407	0.2354209869046664	10	2.172684331923427	4.230769230769231	1.943	0.251	42.61240664532846	0.370216339710632	0.9476724953063641	-0.268
CCCCCCCCCCCC/C=C/CCC(O)C(O)CCC(O)C1CCC(CCCCCC(O)CC2=CC(C)OC2=O)O1	0.0	0	13.64	0.8325802980892488	-0.3101789938207744	0.9068504606070953	14.268263091671919	0.21103511392661878	10	0.0	1.3745928338762214	8.079	0.157	24.832066115702503	0.7232049975412637	1.068999540492811	1.352
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	19.634269217737724	12	17.43	0.7867124545058831	-0.4017541986747395	0.9354560452174353	0.0	0.24357737037244773	19	1.5911332565007061	2.3743589743589744	2.344	0.222	12.458805744520017	0.4743069368473398	0.8228083883125002	0.027
C[C@]12CCC3c4ccc(O)cc4CCC3C1CC(=O)C2O	0.0	3	13.64	0.6907678450092253	1.7010075349584284	0.5997715092078497	11.21535880699783	0.23966273474428304	4	2.9759054941421024	1.4666666666666666	1.0	0.26	-0.0324499729583565	0.537769744360465	1.262467118268274	0.491
COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C	20.32356147030337	5	14.56	0.8781062533793774	1.058982951205174	1.1686205628155468	21.665571033932125	0.2210313551670359	14	2.8925314654481333	3.373333333333333	1.924	0.29	2.9502672174379754	0.7919343020019385	0.9747628107143262	-0.355
COCc1c(C(C)C)nc(C(C)C)c(/C=C/C(O)CC(O)CC(=O)O)c1-c1ccc(F)cc1	7.109797541277533	4	17.42	0.7003842499245686	-1.2772515489009064	0.7784685861771597	16.13828210238479	0.3036215930174824	13	4.711056587312	3.295698924731183	0.646	0.2	43.35286255290712	0.5998764567722182	0.6600105452160248	-0.058
Cc1ccc(NC(=O)c2ccc(CN3CC[N+](C)([O-])CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	43.86027481434016	10	14.56	0.8569003247848704	0.27742537337111384	1.170234878499352	6.544756405912575	0.2956801844568018	23	6.3061046799726395	3.7017543859649122	0.874	0.203	-7.482041587901703	0.6612679124108716	0.8441922050036056	-0.928
C=C(C)C1OC2CC[C@@]3(C)[C@@](O)(CCC4Cc5c([nH]c6cc7c(cc56)CC5C7=CC(C)(C)OC5(C)C)[C@@]43C)C2=CC1O	0.0	2	14.55	0.9096106714919792	0.8379096212262693	0.9180550782795144	27.730359622848898	0.4679241251332449	9	5.573793578630566	1.8878048780487804	0.655	0.18	93.76391869713414	0.7042725817039243	0.8460088705757762	0.565
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	12.340549441675103	0	14.56	0.3713239749321561	0.008619149405173276	0.4821539741809344	40.45269736410794	-0.41696135228482856	5	0.008619149405173276	4.7317073170731705	-0.343	0.212	211.89151873767253	0.42437006733619603	1.1944069380928417	-1.826
CN(C)C[C@@H]1CCn2cc(c3ccccc32)C2=C(C(=O)NC2=O)c2cn(c3ccccc23)CCO1	27.246982335779872	8	14.55	0.8148402750240246	-0.690026530291231	1.3115876897481324	27.415450133768843	0.3241844536720653	23	1.565370921516755	4.843601895734597	1.516	0.222	34.48778029730408	0.5660594964638135	1.2718297617844618	0.178
COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12	7.109797541277533	8	14.55	0.8999451135871466	0.29492711112070946	1.2690516373395864	22.687489836625936	0.33504321551542404	16	2.819368722141471	5.429752066115703	1.62	0.262	34.02194787379974	0.726552157255796	1.3212229781531295	-0.566
CC(C)=CCC/C(C)=C\CC/C(C)=C/CC/C=C(/C)CCC1C(C)=CCC(O)C1(C)C	0.0	0	13.62	0.955001090420546	0.4863609716922217	0.9700668217016638	0.0	0.3401355184368108	6	0.0	0.7518518518518519	5.747	0.188	-42.10364273738758	0.8132120139234928	0.6747305464442103	0.832
