feature;importance;normalized_importance;cumulative_importance
ATSC7Z;65.3;0.0031623807448302585;0.3183931425250618
ATSC7dv;65.2;0.0031575378952975936;0.3215506804203594
IC2;64.7;0.0031333236476342686;0.32468400406799364
ATSC1d;64.6;0.0031284807981016034;0.32781248486609527
GATS6s;64.50000000000001;0.0031236379485689394;0.3309361228146642
GATS1dv;64.4;0.0031187950990362737;0.3340549179137005
GATS7Z;64.39999999999999;0.0031187950990362733;0.3371737130127368
IC3;63.9;0.0030945808513729483;0.3402682938641097
GATS3dv;63.9;0.0030945808513729483;0.34336287471548266
GATS2dv;63.5;0.0030752094532422885;0.34643808416872496
AATSC7d;63.400000000000006;0.0030703666037096237;0.3495084507724346
AATS3s;63.3;0.003065523754176958;0.35257397452661154
SLogP_VSA2;63.0;0.003050995205578963;0.3556249697321905
AATSC6c;62.5;0.003026780957915638;0.35865175069010613
GATS5dv;62.4;0.003021938108382973;0.3616736887984891
ATSC4Z;61.599999999999994;0.0029831953121216524;0.36465688411061076
ATSC8Z;61.400000000000006;0.002973509613056323;0.36763039372366707
ATS0dv;61.30000000000001;0.0029686667635236584;0.3705990604871907
AATSC2dv;61.199999999999996;0.0029638239139909927;0.3735628844011817
MATS3s;61.099999999999994;0.0029589810644583274;0.37652186546564004
GATS2c;60.9;0.0029492953653929978;0.37947116083103305
MATS4Z;60.9;0.0029492953653929978;0.38242045619642606
AATS0s;60.9;0.0029492953653929978;0.3853697515618191
ATSC7s;60.60000000000001;0.0029347668167950033;0.38830451837861407
ATSC1v;60.50000000000001;0.002929923967262338;0.3912344423458764
JGI2;60.3;0.0029202382681970075;0.3941546806140734
ATSC4s;59.4;0.0028766526224030223;0.3970313332364764
MATS6s;59.39999999999999;0.002876652622403022;0.3999079858588794
D/Dr9;59.1;0.0028621240738050274;0.4027701099326844
AATSC1dv;59.1;0.0028621240738050274;0.40563223400648946
H-047;58.99999999999999;0.002857281224272362;0.4084895152307618
GATS4i;58.7;0.0028427526756743676;0.4113322679064362
ATSC1se;58.699999999999996;0.002842752675674367;0.41417502058211053
SIC3;58.60000000000001;0.002837909826141703;0.4170129304082522
GATS1c;58.5;0.002833066976609037;0.4198459973848612
EState_VSA7;58.49999999999999;0.002833066976609037;0.42267906436147024
ATSC5se;58.3;0.002823381277543707;0.42550244563901396
ATSC3s;58.3;0.002823381277543707;0.4283258269165577
EState_VSA4;57.6;0.0027894813308150523;0.43111530824737276
ATSC3v;57.300000000000004;0.0027749527822170574;0.43389026102958983
SIC2;57.199999999999996;0.0027701099326843917;0.4366603709622742
ATSC6s;57.1;0.002765267083151727;0.43942563804542595
