SMILES	VSA_EState5	SdssC	SMR_VSA6	nDouble	EState_VSA5	AATS7se	ATSC4s	AATS5dv	GATS7se	AATS1s	AATS6se	GATS3c	GATS5i	GATS8se	GATS4dv	EState_VSA4	ATSC2c	JGI7	SaasC	SLogP_VSA1	observed	predicted
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@H]2C1	0.19	0.39	0.2	0.19	0.35	-0.06	-0.95	-0.14	1.31	-0.86	-0.43	-0.22	-0.15	0.91	0.62	0.9	-0.35	-0.28	0.3	-1.05	0	0
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1	-0.19	0.08	-0.22	-0.44	1.41	1.03	-2.49	1.23	-0.45	1.41	2.44	-0.97	-0.39	-0.71	-0.61	-1.19	0.69	-0.09	-2.53	-0.09	1	1
Cc1c(C)c2c(c(C)c1O)CC[C@](C)(COc1ccc(C[C@@H]3SC(=O)NC3=O)cc1)O2	0.87	-0.41	-0.64	0.19	-1.02	-0.32	-0.25	-0.3	-0.41	-0.03	-0.28	0.47	-0.18	-0.34	0.79	2.26	0.85	0.56	2.42	1.44	0	0
CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C	0.9	1.95	-1.07	1.46	-0.48	-0.18	-1.48	-0.77	0.13	-0.99	-0.63	-1.0	-0.14	0.32	0.18	0.77	-0.29	1.41	-1.0	-1.05	1	1
CCC(C)(C)NC[C@H](O)COc1ccccc1C(=O)CCc1ccccc1	0.26	0.13	-0.22	-0.44	-1.02	-0.03	0.32	-0.38	1.4	-0.38	0.03	0.89	-0.26	0.79	-0.62	-0.54	-0.79	-0.5	0.14	0.64	0	0
Cc1nc2c([nH]1)c(=O)n(C)c(=O)n2Cc1ccco1	0.6	0.08	-1.07	0.19	0.37	0.86	-0.07	1.26	0.66	1.09	0.91	1.07	0.29	-0.41	0.85	-0.94	1.14	0.17	-0.38	0.84	1	1
COc1cc(N[C@@H](C)CCCN)c2ncccc2c1	0.4	0.08	0.16	-1.08	-1.02	-0.41	0.23	-0.39	0.62	-0.22	-0.34	0.28	0.35	-0.56	-0.48	1.06	-0.47	-0.25	-0.06	1.61	0	0
CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O	-0.46	-1.5	-0.76	0.83	0.06	2.88	-2.68	3.41	-1.25	2.51	2.15	0.52	-0.3	0.07	-0.1	-0.86	1.83	1.86	-2.56	0.67	1	1
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O	-1.65	-0.53	2.06	-0.44	-0.46	0.15	-1.28	-0.4	-0.12	-0.6	0.26	0.59	1.1	0.1	0.6	-1.19	-2.28	0.64	-1.0	-0.15	1	1
c1ccc2cc(COC3CCNCC3)ccc2c1	-0.06	0.08	-0.22	-1.08	0.25	-0.67	0.15	-0.51	-0.29	-0.83	-0.77	0.56	-0.39	-0.69	0.11	0.57	-0.47	-0.33	-0.36	-0.15	1	0
CC(C)/N=C(N)\N=C(/N)Nc1ccc(Cl)cc1	0.13	0.41	-0.73	0.19	-1.02	0.44	0.98	-0.23	0.47	0.47	-0.37	2.2	-0.03	-0.62	0.01	-0.88	2.96	-0.01	-0.27	1.77	1	1
CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC1	-1.37	-1.27	1.41	0.19	1.71	1.24	1.39	1.06	0.36	0.99	0.92	-0.13	-0.56	0.89	-1.44	-0.16	-0.25	0.14	-1.35	0.69	1	1
CN(C(=O)c1c(O)n(C)c2ccccc2c1=O)c1ccccc1	-0.53	-0.44	-0.3	0.19	-0.28	0.32	2.22	0.44	0.62	0.9	0.99	1.69	0.89	-0.43	0.27	-1.19	0.48	0.04	-0.96	0.69	1	1
O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1	-0.03	0.13	0.2	-0.44	0.26	-0.61	0.06	-0.48	-0.72	-0.53	-0.51	0.08	-0.61	-0.25	-0.08	1.21	-0.08	-0.72	0.08	-0.15	0	0
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl	-1.06	0.56	1.1	1.46	-0.46	0.69	-0.37	0.94	0.62	0.33	1.0	0.35	0.78	0.24	0.29	-1.19	-0.24	0.1	-0.48	0.81	1	1
C[C@]12CC[C@H]3[C@H]([C@@H]1[C@@H]1C[C@@H]1[C@@]21CCC(=O)O1)[C@H]1C[C@H]1C1=CC(=O)CC[C@@]13C	2.99	1.97	-1.07	0.83	1.42	-0.63	-0.51	-0.74	-0.06	-1.38	-0.86	-0.28	0.62	0.71	-0.22	1.45	0.49	0.64	-1.0	-1.05	1	1
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1	0.4	0.02	2.01	0.83	-1.02	-0.27	-0.24	0.04	-1.07	-0.5	-0.1	0.5	0.75	-0.78	0.22	0.36	0.31	0.17	0.45	1.46	0	0
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O	-0.59	-1.48	-0.27	1.46	0.49	1.92	-2.15	1.49	0.16	0.48	1.11	-0.1	-0.67	-0.06	1.36	-0.35	0.59	0.04	-0.82	-0.15	1	1
S=P(N1CC1)(N1CC1)N1CC1	-0.06	0.08	1.48	-0.44	2.04	-0.15	0.01	-1.32	0.45	-2.16	-2.13	0.17	2.29	-0.2	4.8	-1.19	0.41	-2.22	-1.0	-1.05	1	0
CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1	-1.78	0.08	-0.21	0.19	-1.02	1.16	-0.28	0.27	0.07	-0.7	1.29	2.05	0.55	0.17	-0.72	-1.19	1.62	-0.32	-1.0	-0.18	1	1
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314	1.07	0.08	0.27	-0.44	-0.15	-0.19	0.02	-0.43	0.69	-0.58	-0.12	-1.29	0.2	-0.27	-0.2	0.48	-1.72	1.18	1.22	0.55	0	0
COc1ccccc1OC[C@@H](O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1	0.64	0.09	2.72	-0.44	-1.02	-0.16	0.22	-0.43	-0.04	-0.23	0.16	-0.5	0.43	-0.16	-0.21	1.13	-1.94	-0.46	1.2	1.44	1	0
Cc1ccc(C)c(OCCCC(C)(C)C(=O)O)c1	0.02	-0.64	-0.64	-0.44	-0.59	-0.94	-1.82	-0.8	-1.59	-0.16	-0.21	-0.18	-0.09	-1.15	1.44	-0.23	0.31	1.37	0.61	-0.25	1	1
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23	-0.89	-1.18	1.84	0.19	-0.54	1.05	2.53	0.75	0.32	0.53	1.34	-0.32	1.04	0.32	-1.31	-0.16	-1.58	0.43	-1.12	1.48	1	1
Cc1cncc(CN2CCC(=C3c4ccc(Cl)cc4CCc4cccnc43)CC2)c1	-0.06	2.86	-0.22	-0.44	2.46	-0.76	0.09	-0.19	-0.79	-0.72	-0.62	-0.66	0.75	0.74	0.5	1.53	-0.59	0.36	3.34	-1.05	1	0
CCC1(c2ccccc2)C(=O)NCNC1=O	-0.29	-0.34	-0.64	0.19	-1.02	-1.06	0.68	-0.43	-1.16	0.32	-0.64	0.88	0.18	-1.96	1.9	-0.89	0.58	-2.22	-0.62	0.74	1	1
