SMILES	VSA_EState5	SdssC	SMR_VSA6	nDouble	EState_VSA5	AATS7se	ATSC4s	AATS5dv	GATS7se	AATS1s	AATS6se	GATS3c	GATS5i	GATS8se	GATS4dv	EState_VSA4	ATSC2c	JGI7	SaasC	SLogP_VSA1	observed	predicted
Cn1cc([S@H](C)=O)c(=O)c2ccc(F)cc21	-0.27	0.08	-0.67	0.19	1.37	-0.61	0.38	-0.08	-1.19	0.31	1.09	0.48	0.44	0.26	0.08	-1.19	-0.73	4.03	-1.06	-0.13	1	1
FC(F)OC(F)(F)[C@@H](F)Cl	-0.06	0.08	-1.07	-1.08	-1.02	0.01	1.31	3.7	0.58	5.32	0.56	-0.54	-1.57	-0.8	-1.01	-1.19	0.1	-2.22	-1.0	-1.05	1	1
CNC[C@H](O)c1ccc(O)c(O)c1	-0.27	0.08	-0.19	-1.08	-0.07	0.23	-0.63	-0.39	0.12	1.26	0.45	-1.88	-0.04	0.9	-0.07	-1.19	-0.65	0.91	-0.91	-0.15	1	1
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1	-0.25	-0.71	-1.07	0.19	-1.02	-0.16	1.45	0.67	0.66	0.8	0.31	0.24	0.6	-0.51	-0.68	-0.59	1.43	0.54	-0.25	0.74	0	1
CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2	-0.07	0.05	-0.62	-0.44	0.48	0.04	0.51	-0.5	1.23	-0.71	0.06	0.38	-0.25	0.58	-0.7	0.09	-0.57	-0.71	-0.72	-0.15	1	1
C[C@@](Cc1ccccc1)(NC(=O)CN)c1ccccc1	-0.14	-0.06	-0.65	-0.44	-0.59	-0.55	0.03	-0.21	0.3	-0.02	-0.62	-0.1	0.59	0.23	0.16	-0.54	0.13	-0.67	0.14	0.81	1	1
CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21	-0.47	0.05	0.13	0.83	1.73	1.45	-1.84	1.18	0.25	1.55	1.1	-0.75	0.11	1.8	0.29	-1.19	-0.53	0.41	-0.81	-0.22	1	1
CC[C@]1(C)CC(=O)NC1=O	-0.2	-0.18	-1.07	0.19	-1.02	-1.32	0.48	-1.25	-1.33	0.17	1.17	0.48	-3.32	-2.0	0.15	-0.84	0.95	-2.22	-1.0	-0.15	1	1
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC	0.4	-0.08	1.13	-0.44	-0.52	0.23	1.33	-0.54	0.24	-0.38	0.41	0.64	0.8	0.14	-0.79	0.1	-0.91	-0.11	0.1	1.44	0	0
CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)C(C)=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@H]1C	-4.37	-1.61	-0.27	2.73	3.13	0.3	-1.99	0.29	-0.14	0.58	0.64	-0.03	1.14	0.03	-0.09	-0.86	0.4	0.25	-2.0	0.64	1	1
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	0.86	0.98	-1.07	-0.44	-1.02	0.05	0.09	0.64	0.42	0.2	-0.29	0.81	1.17	1.51	0.76	0.65	-0.14	-0.42	1.78	-1.05	1	1
CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	-0.06	0.08	1.1	1.46	-0.21	0.91	-1.09	-0.47	0.65	-1.36	1.57	-0.86	1.41	0.9	-0.62	-1.19	-0.03	0.07	-0.8	0.71	1	1
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	-1.0	-1.14	0.95	0.19	-0.06	1.27	1.57	0.74	1.17	0.45	1.02	-0.07	1.33	-0.03	-0.94	0.21	-0.3	-0.04	-1.16	1.58	1	1
O=c1[nH]c(=O)n([C@@H]2CCCO2)cc1F	-0.58	0.08	-0.64	0.19	-1.02	1.95	0.48	1.03	2.25	1.4	1.78	0.11	1.05	4.02	-0.58	-0.26	1.33	1.02	-1.5	0.84	1	1
O=C(NC[C@H]1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F	-0.85	-0.65	0.64	-0.44	-1.02	2.77	1.6	1.15	0.48	1.08	2.05	-1.01	-0.47	-0.91	-2.37	1.19	-1.32	0.79	-1.53	2.33	0	1
Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1	0.31	0.08	-0.39	0.19	1.34	1.59	-0.08	1.5	2.38	0.46	1.13	0.28	-0.76	-0.79	-0.03	-1.19	0.89	0.75	-0.34	0.71	1	1
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C	1.72	2.21	-1.07	0.83	1.42	-0.78	0.02	-0.96	0.08	-1.37	-1.17	-0.73	0.09	0.51	-0.57	1.15	-0.02	1.11	-1.0	-1.05	0	1
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21	-1.02	-1.17	1.41	0.19	-0.06	1.08	1.92	0.35	0.87	0.51	1.02	-0.05	0.94	0.23	-1.38	-0.48	-0.51	-0.18	-1.19	0.69	1	1
C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21	-4.84	-6.35	-0.16	2.1	0.93	0.92	4.42	0.7	0.46	1.36	1.11	-0.72	0.38	-0.24	-0.77	-1.19	-0.46	0.88	-1.01	-0.08	1	1
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	-0.18	0.63	-0.64	1.46	-1.02	-0.22	-0.38	-0.65	-0.35	-0.34	-0.31	-1.61	0.17	0.74	-0.37	0.15	-0.75	0.92	-1.0	-1.05	1	1
CCN(CC)C(=O)N[C@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1	-0.06	1.4	0.66	0.19	1.13	-0.29	-0.04	-0.38	0.76	-0.63	-0.72	0.55	-0.45	0.62	0.57	0.22	0.82	0.52	0.37	-0.15	0	0
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O	0.22	-0.9	-1.07	-0.44	-1.02	0.61	-1.32	0.62	-0.41	1.17	0.64	-0.89	0.28	-0.39	0.58	-0.5	0.21	0.5	1.45	0.71	1	1
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O	1.33	1.81	-1.07	0.19	1.42	-0.73	-0.59	-0.97	0.22	-1.37	-1.07	-1.36	-0.22	1.59	-0.42	0.83	-0.06	0.6	-1.0	-1.05	0	1
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	-0.46	-0.64	-0.64	0.19	0.87	1.76	-1.07	0.45	0.15	1.59	1.66	-1.42	0.36	0.96	-0.08	-1.19	-0.83	0.5	-0.92	-0.15	1	1
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC	0.06	-0.12	1.46	-0.44	0.01	0.38	0.57	-0.58	1.18	-0.13	-0.04	0.41	0.26	0.54	-0.76	-0.13	-0.24	-0.1	-0.21	1.61	0	0
COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2	1.23	0.35	0.7	-0.44	0.42	-0.48	-0.05	-0.42	-0.01	-0.59	-0.52	-1.45	-0.23	-0.37	-0.37	1.16	-1.55	-0.33	1.37	0.55	0	0
CN(C)/N=N\c1[nH]cnc1C(N)=O	-0.25	-0.52	-0.16	0.19	-0.14	0.09	0.66	0.54	-0.33	2.01	0.6	-0.56	0.66	2.34	-0.37	-1.19	0.13	-2.22	-0.82	-0.08	1	1
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc(Cl)c1Cl	-1.04	0.74	-0.18	1.46	-0.46	0.67	-0.19	0.76	0.21	0.3	1.08	1.17	0.81	0.45	0.52	-1.19	0.27	0.12	-0.42	-0.15	1	1
CN1CCCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1	-0.06	0.08	1.09	-1.08	0.86	-0.82	0.28	-0.43	-0.76	-0.98	-0.9	0.33	-0.43	1.02	-0.25	0.14	-0.67	0.33	0.77	-1.05	1	0
Cc1ccc(/C(=C/CN2CCCC2)c2ccccn2)cc1	-0.06	1.28	0.2	-0.44	2.3	-0.55	0.26	-0.09	0.88	-0.74	-0.66	0.19	-0.08	0.29	-0.78	-0.53	-0.36	-1.07	0.83	-1.05	1	0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	-1.52	0.08	-1.07	-0.44	-0.55	1.59	0.82	1.78	-0.44	3.06	1.85	-0.82	-0.12	0.66	-0.19	0.12	-0.9	0.25	-2.32	-0.13	1	1
CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@@H]2O5	0.92	0.08	0.24	-1.08	1.36	-0.47	-0.65	-0.51	0.22	-1.09	-0.42	-0.64	0.08	-0.6	0.13	1.22	-1.28	1.34	0.84	-0.25	0	0
CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1	-1.05	-1.69	0.67	0.83	0.4	0.24	-1.64	0.13	-0.32	-0.09	0.33	-0.74	0.58	0.31	0.29	-0.15	0.51	-0.29	-0.61	-0.15	1	1
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C	0.13	0.05	-0.64	-0.44	-1.02	0.17	-0.6	-0.34	0.73	-0.26	-0.14	-0.95	-0.43	0.56	0.76	-0.19	-0.08	-0.06	-0.41	-1.05	1	1
CN1CCCN=C1/C=C\c1cccs1	0.54	1.15	0.24	0.19	-0.14	-0.23	-0.03	-0.58	1.13	-0.87	-0.79	0.61	0.6	-1.15	0.8	-0.17	0.04	-0.55	-0.35	-1.05	0	0
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)NCC[C@]314	1.06	0.08	-0.19	-0.44	-0.15	-0.11	-0.01	-0.36	0.7	-0.5	-0.01	-1.35	0.6	-0.76	0.18	0.48	-1.6	0.75	1.19	1.44	0	0
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12	-1.57	-2.1	-1.07	0.83	2.24	1.43	-0.82	1.22	0.36	1.1	1.49	-0.47	0.05	0.16	-0.09	-1.19	0.37	0.43	-1.34	-0.15	1	1
CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O	-0.55	-1.37	-0.27	1.46	0.96	0.88	-1.31	1.44	-0.07	0.64	0.85	-0.24	-0.45	-0.09	1.06	-0.96	0.43	0.33	-0.85	-0.15	1	1
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1	0.3	0.08	-1.07	0.19	-0.07	-0.26	-0.39	0.51	-1.16	0.12	-0.12	-0.26	-0.28	-0.99	0.49	0.02	0.16	1.21	1.07	-0.18	0	0
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)C3=CC[C@]2(C)[C@H]1C(=O)CN1CCN(c2cc(N3CCCC3)nc(N3CCCC3)n2)CC1	2.72	3.33	3.72	2.1	1.85	-0.42	0.09	-0.5	-0.03	-1.14	-0.42	0.49	0.67	-0.82	-0.08	3.97	0.34	-0.4	0.54	1.42	1	1
CC(C)Cc1ccc([C@@H](C)C(=O)O)cc1	-0.36	-0.66	-1.07	-0.44	-0.59	-0.92	0.05	-0.63	-1.38	-0.15	-0.82	-1.25	0.82	1.26	-0.21	-0.54	0.44	1.09	0.09	-1.05	1	1
CC[C@@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2CC(=O)[C@H](CS[C@@H]3CN4CCC3CC4)CN2C(=O)[C@H](Cc2ccc(N(C)C)cc2)N(C)C(=O)[C@@H]2CCCN2C1=O	-3.2	-5.37	3.12	4.01	2.64	0.49	-2.11	0.53	0.4	-0.12	0.43	-0.42	0.07	0.35	0.12	1.17	-1.89	-0.13	-0.49	2.46	1	1
COc1ccc2cc([C@H](C)C(=O)O)ccc2c1	-0.32	-0.69	-0.61	-0.44	-1.02	-0.12	-0.64	-0.16	-0.26	0.71	-0.1	-0.94	-0.15	1.15	0.03	0.0	0.24	1.3	-0.18	-0.25	1	1
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1	-0.03	-0.57	1.48	0.19	-0.48	0.32	-0.33	0.43	0.5	-0.03	0.42	0.06	0.17	-0.27	-1.01	-0.01	-0.86	-0.14	0.76	0.57	0	1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)[C@H]1c1cccc([N+](=O)[O-])c1	-1.12	0.21	0.7	2.1	1.82	0.06	0.7	0.25	0.09	0.13	-0.08	0.88	0.78	-0.52	-0.31	-0.49	-0.15	1.01	0.4	-0.15	1	1
CC(C)NC[C@H](O)COc1ccc(COCCOC(C)C)cc1	0.35	0.08	0.64	-1.08	-1.02	-0.26	0.16	-0.56	0.15	-0.56	0.12	0.95	0.28	-0.29	-1.16	-0.58	-1.18	0.45	-0.07	0.64	0	0
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2	0.47	0.08	0.2	-0.44	-0.07	-0.22	0.18	-0.29	-0.37	-0.31	-0.46	0.55	-1.35	0.54	0.38	3.82	0.22	-0.03	0.7	-0.11	0	0
O[C@@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@@H]2C=C[C@H]1C2	0.85	0.08	0.2	-0.44	2.0	-0.77	0.26	-0.57	0.08	-1.3	-0.8	0.37	0.14	-0.91	-0.18	0.16	-0.32	-1.22	-0.43	-1.05	1	0
C[C@@H]1CC[C@H]2[C@@H](C)[C@@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4	-1.04	-1.47	-1.07	0.19	-1.02	0.0	-0.9	-0.26	-0.83	-0.16	0.33	-0.39	-0.07	-0.48	0.59	-0.15	1.58	0.38	-1.0	-1.05	1	1
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1	0.05	-0.58	-0.27	0.19	-0.46	0.46	-0.57	1.31	0.06	1.2	0.45	0.81	0.27	0.1	0.41	-0.89	2.39	0.0	-0.28	-0.15	1	1
Cc1cccc(C)c1NC(=O)CC12CCCN1CCC2	0.04	0.25	0.12	-0.44	2.0	-0.79	0.44	-0.59	-1.32	-0.98	0.15	1.54	-0.37	-0.65	-0.82	-0.28	0.39	-0.24	0.67	-0.15	1	0
Cc1ccccc1	-0.06	0.08	-1.07	-1.08	-0.59	0.61	0.14	-1.32	0.83	-0.42	-2.13	0.74	-1.7	-1.87	-0.63	-1.19	-0.13	-2.22	-0.33	-1.05	1	1
CCN(CC)CCCN(c1ccccc1)C1Cc2ccccc2C1	-0.06	0.08	0.95	-1.08	2.3	-0.76	0.03	-0.69	0.93	-1.13	-1.13	3.5	0.16	-0.54	-0.37	-0.13	-0.39	-1.08	1.26	-0.22	0	0
O=C1Nc2ccc(Cl)cc2[C@@](C#CC2CC2)(C(F)(F)F)O1	2.43	-1.06	-0.73	-0.44	-0.07	2.19	-0.69	3.27	1.43	1.28	3.65	-0.42	1.59	-0.9	-1.46	-0.17	0.84	-0.46	-1.1	-0.15	1	1
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O	-0.64	-0.33	1.15	-0.44	0.97	1.13	-1.17	0.86	-0.07	0.43	1.05	-1.26	-0.04	-0.06	-0.05	-0.93	-2.9	0.34	1.04	2.14	1	1
OC(O)C(Cl)(Cl)Cl	-0.06	0.08	-1.07	-1.08	-1.02	0.86	0.47	0.16	0.87	1.67	1.31	-1.19	-1.63	-0.82	-4.53	-1.19	-0.2	-2.22	-1.0	-1.05	1	1
COC1=CC(=O)C[C@@H](C)[C@]12Oc1c(Cl)c(OC)cc(OC)c1C2=O	0.0	-0.19	0.31	0.83	1.59	0.63	1.06	0.31	-0.09	0.65	1.57	0.96	0.57	0.2	-0.09	-1.19	-2.33	0.51	-0.38	1.34	1	1
CC(C)N(CC[C@@](C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	-0.25	-0.26	-0.65	-0.44	-1.02	-0.29	0.95	-0.32	0.71	-0.38	-0.83	1.51	0.41	1.97	-0.51	-0.54	0.21	-0.42	-0.18	-0.08	1	1
CN(C)CCOc1ccc(/C(=C(\CCCl)c2ccccc2)c2ccccc2)cc1	0.73	2.47	1.08	-0.44	1.15	-0.57	0.27	-0.04	-0.01	-0.55	-0.68	0.09	-0.06	0.8	-0.14	-0.18	-0.84	-0.28	1.27	-0.25	1	0
Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1	0.1	0.08	-0.39	0.19	1.36	0.57	0.05	0.77	1.03	0.16	1.28	0.38	-0.39	-1.82	-0.18	-1.19	1.07	-0.26	-0.52	0.71	1	1
C[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	-1.2	-0.03	-0.64	1.46	-0.07	0.02	-2.81	-0.51	-0.25	-0.16	-0.12	-1.51	0.41	0.08	0.56	-1.19	-1.18	1.04	-1.0	-1.05	1	1
Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1	-0.06	0.08	-0.39	0.19	1.76	1.75	-0.8	1.4	3.03	0.11	1.26	0.52	-0.95	-1.44	0.9	-1.19	1.25	0.75	-0.19	0.71	1	1
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12	1.03	0.08	0.24	-0.44	-0.52	-0.26	0.07	-0.24	0.03	-0.42	-0.36	-0.94	-0.32	0.5	-0.75	1.06	-0.71	-0.34	-0.11	-0.25	1	0
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1	-0.06	-0.58	-0.65	0.83	-0.07	1.41	2.32	-0.02	3.07	-0.66	1.32	1.34	-0.5	-0.22	-0.77	-0.2	1.87	0.61	-0.47	0.64	1	1
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1	0.04	0.25	1.41	-0.44	-0.64	-0.65	0.15	-0.39	0.09	-0.84	-0.58	1.28	0.1	-0.52	0.69	1.22	-0.36	0.09	0.23	-0.22	1	0
CN(C)CCN(Cc1ccccc1)c1ccccn1	0.5	0.08	1.01	-1.08	-0.59	-0.66	0.17	-0.29	0.32	-0.49	-0.7	0.2	-0.93	-0.73	-0.56	0.18	-0.44	-0.47	0.19	-0.22	1	0
CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C	0.03	0.24	0.12	-0.44	-0.52	-0.56	0.01	-0.62	0.49	-0.94	-0.47	0.36	0.47	-1.56	0.91	1.46	-0.13	-0.72	0.66	-0.15	0	0
CC(C)=CCN1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C	0.51	1.43	-0.22	-0.44	0.78	-0.9	0.06	-0.86	0.13	-0.99	-0.78	-0.7	-0.56	-1.36	-0.64	-0.14	-0.0	1.58	0.64	-1.05	0	0
Nc1ccccc1	-0.06	0.08	-0.7	-1.08	-1.02	0.01	0.14	-1.32	0.45	0.59	-2.13	-0.36	-2.83	-0.73	-0.42	-0.88	0.11	-2.22	-0.58	-0.08	1	1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2	0.85	0.08	0.27	-0.44	-0.15	-0.19	0.3	-0.39	0.03	-0.48	-0.23	-0.85	0.5	0.25	-0.05	0.48	-1.39	1.89	1.17	0.55	0	0
O=C(O)COCCN1CCN([C@H](c2ccccc2)c2ccc(Cl)cc2)CC1	-0.55	-0.81	1.91	-0.44	-0.15	-0.64	0.61	-0.35	-1.32	-0.26	-0.41	-1.52	-0.16	0.76	-1.24	0.85	-0.94	0.44	0.66	-1.05	1	1
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O	-0.53	-0.19	-0.42	0.19	-0.24	-0.13	1.18	0.54	0.97	-0.02	0.37	0.78	-0.26	-1.41	0.5	-0.5	-0.24	-0.84	-0.27	0.64	1	1
CN[C@@]1(c2ccccc2Cl)CCCCC1=O	0.08	0.33	-0.62	-0.44	-1.02	-1.15	-0.22	-0.77	-1.08	-0.69	-0.7	-0.3	0.2	-1.95	1.84	0.15	-0.53	-2.22	-0.19	-0.15	0	0
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1	0.55	1.16	1.43	-0.44	0.18	-0.48	0.03	-0.13	-0.21	-0.74	-0.3	1.03	-1.03	-1.11	0.15	1.15	-0.34	0.03	1.99	-0.15	0	0
COc1ccc(C(C)C)cc1CN[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1	1.32	0.08	0.24	-1.08	2.74	-0.6	0.16	-0.31	0.86	-0.93	-0.74	-0.3	0.33	-0.06	-0.01	-0.53	-0.93	-0.64	2.28	0.64	0	0
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C	0.01	0.08	-0.39	0.19	0.87	1.25	-0.58	0.87	1.89	0.26	1.62	0.66	-0.86	-1.58	0.82	-1.19	1.16	0.44	0.04	0.71	1	1
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@@H]1C[C@H]3O	1.22	-0.58	-1.07	-0.44	0.98	-0.7	-0.15	-0.91	-0.32	-1.15	-0.76	-1.81	0.4	0.95	-0.98	0.54	0.7	0.57	-1.0	-1.05	1	1
FC(F)O[C@@H](Cl)C(F)(F)F	-0.06	0.08	-1.07	-1.08	-1.02	0.96	-2.87	12.23	-0.5	5.26	0.72	-2.42	-3.12	0.15	0.98	-1.19	-0.22	-2.22	-1.0	-1.05	1	1
CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	-0.17	0.21	1.81	-0.44	-1.02	0.49	-0.43	0.14	0.32	-0.25	0.03	0.81	-0.11	0.48	-0.08	0.84	-0.98	-0.29	0.83	0.57	1	1
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C(=O)c3coc(n3)CC(=O)C[C@H](O)C=C(C)C=CCNC(=O)C=C[C@@H](C)[C@@H](C(C)C)OC(=O)[C@@H]12	-1.8	-1.51	1.43	4.64	-0.07	0.68	-0.71	0.13	0.4	-0.35	0.51	0.44	0.72	-0.02	-0.2	-0.59	-0.02	0.47	-1.12	-0.15	1	1
O=C1c2ccccc2C(=O)c2ccccc21	-0.13	-0.04	-1.07	0.19	-1.02	-1.15	-0.42	0.81	-2.13	0.95	-0.22	-0.49	-0.02	-1.91	1.05	-1.19	-0.41	-2.22	0.03	-1.05	1	1
CN1CCN(CC/C=C2\c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1	-0.06	1.19	2.43	0.83	0.13	-0.29	-1.05	-0.21	-0.37	-1.16	-0.57	-0.34	-0.31	0.53	0.29	1.79	-0.66	0.32	1.48	-1.05	1	1
c1ccc(C2(N3CCCCC3)CCCCC2)cc1	-0.06	0.08	-0.22	-1.08	4.0	-1.39	0.15	-0.9	-1.41	-1.62	-1.4	1.73	0.38	-1.43	1.22	-1.19	-0.23	-0.93	-0.2	-1.05	1	0
CC(=O)C[C@@H](c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O	-0.71	-0.1	-1.07	0.83	1.41	0.93	-0.28	1.02	0.75	1.52	1.15	-0.3	-0.03	-0.64	-0.29	-1.19	0.13	0.67	-0.94	-0.1	1	1
CN1C(=O)CC[C@H]1c1cccnc1	0.07	0.31	-0.62	-0.44	-1.02	-0.67	-0.68	-0.42	-0.03	-0.03	-0.19	-0.08	0.38	0.98	0.62	-0.54	-0.02	2.19	-0.42	-1.05	1	1
CCOCc1nc2c(N)nc3ccccc3c2n1CC(C)(C)O	0.56	0.08	-0.27	-1.08	-1.02	-0.12	0.57	0.33	0.3	0.09	0.47	0.21	1.49	0.56	-0.66	0.01	-0.32	0.26	-0.42	-0.08	1	1
ClC1=C(Cl)[C@]2(Cl)[C@@H]3[C@@H]4C[C@H]([C@@H]3[C@@]1(Cl)C2(Cl)Cl)[C@H]1O[C@@H]41	0.36	0.7	-1.07	-0.44	-1.02	3.06	0.1	-0.26	4.17	-1.94	4.46	-1.23	0.85	-0.84	-0.42	-0.84	-0.47	-2.22	-1.0	-1.05	1	1
CCOC(=O)n1ccn(C)c1=S	-0.06	-0.33	-0.64	0.19	-0.66	-0.62	-0.24	-0.74	-1.47	0.47	0.69	1.74	-0.98	-1.94	1.5	-1.19	1.32	-2.22	-1.0	-1.05	1	1
NNc1nnc(NN)c2ccccc12	6.24	0.08	-0.37	-1.08	-1.02	-0.27	0.16	-0.09	0.05	1.89	0.01	-2.39	1.62	-0.01	1.55	-0.61	-1.11	-2.22	-0.47	2.74	1	1
Nc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1	0.14	0.08	-0.39	0.19	0.77	0.71	-0.29	1.07	1.56	0.16	0.66	0.51	-0.07	-0.05	0.19	-0.88	0.95	-0.36	-0.1	0.71	1	1
Cn1ccnc1S	-0.06	0.08	-1.07	-1.08	-1.02	0.61	0.07	-1.32	0.83	0.01	0.17	-0.26	-4.81	-0.84	-1.06	-0.91	0.18	-2.22	-0.62	-1.05	1	1
C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO	-0.15	0.89	-0.64	1.46	-1.02	-0.28	-0.59	-0.6	-0.6	-0.46	-0.23	-1.46	0.09	0.46	-0.27	-0.2	-0.77	0.92	-1.0	-1.05	1	1
O=[S@H](Cc1ccccn1)c1nc2ccccc2[nH]1	0.17	0.08	-1.07	-0.44	-1.02	0.01	0.11	0.45	0.52	-0.14	0.6	0.46	-0.03	-0.89	0.4	-0.29	-0.02	-0.53	-0.31	-1.05	1	1
CC(C)c1cccc(C(C)C)c1O	0.62	0.08	-1.07	-1.08	-1.02	-1.41	0.31	-1.19	-1.98	-0.58	-1.53	-1.43	0.26	-2.03	2.15	-0.59	-0.03	-2.22	0.31	-1.05	0	0
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	0.58	0.13	1.72	-0.44	-0.23	-0.18	0.43	-0.35	0.03	-0.65	-0.27	0.35	-0.41	-0.07	-0.67	2.41	-0.05	-0.25	1.5	0.67	1	0
CC(C)c1nc(COC(N)=O)n(Cc2ccncc2)c1Sc1cc(Cl)cc(Cl)c1	0.35	-0.73	-1.07	-0.44	-0.1	0.2	-0.21	0.72	-0.17	0.13	0.35	-0.66	-0.16	0.03	-0.12	-0.05	1.5	0.3	1.79	-0.08	1	1
O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1	-0.06	0.08	-0.65	-1.08	-0.55	3.41	-0.59	1.68	0.11	1.14	2.12	-1.52	0.33	0.73	-1.53	-0.17	-0.59	-0.2	-2.48	-0.15	1	1
