SMILES	SLogP	SLogP_VSA2	ATSC3c	ATSC2c	ATSC4c	SdssC	ATSC1dv	Jhetv	ATSC1p	SLogP_VSA3	observed	predicted
C1CCOOC1	-0.6067244071825276	-0.1531417496075254	-0.3306893993200953	-0.49122077140686227	0.11609410295423475	0.08126025185024129	0.11197517218514959	-1.460929971243102	-0.49694097383621033	0.8950014846016995	-3.45	-3.186231545266324
Nc1ccc(O)c([N+](=O)[O-])c1	-0.4907378018341958	-0.33695205431809966	-1.2726032745083813	-0.590351142423046	1.211852427627141	0.08126025185024129	-0.46375641543334045	0.545206440635633	1.4258479151479369	-0.7868699715380856	-2.55	-2.692210737812916
CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	0.07166936300982422	1.4814546792521108	2.5078901601212285	-1.9887034705221511	-1.6603015955917244	0.47450163321466254	1.6339444158240655	-1.3493152832229063	0.6256279763499886	2.074480791561248	-4.07	-4.2436231884057944
Oc1ccc(F)cc1	-0.0027967454822955687	-0.6211783366940742	-0.22029968092140248	0.4993404072974444	-0.7887717076021358	0.08126025185024129	-0.6784734469587991	0.6221748176774146	0.5041050539407773	-0.7868699715380856	-1.72	-1.9039637336093858
CC1=CC(=O)CC(C)(C)C1	0.5918038480835707	-0.582110946480227	-0.4813771297766888	0.022264866546480692	0.8683676393854604	2.7744333914150974	0.4429984901937845	0.6546737159955776	0.034652836040368167	0.038058741764695245	-2.36	-2.1721009161573273
c1ccc2ccccc2c1	0.9814345975675919	-0.915981830297266	-0.08053046285427136	-0.1291130272478083	-0.013581127226174923	0.08126025185024129	-0.4892130177525728	0.902226319037832	0.2658909952546283	-0.7868699715380856	-1.16	-1.1700675614621834
Oc1ccccc1O	-0.3288680387280929	-0.3263748430908824	1.9097729914209527	-0.42174993636470093	-1.9074727036343377	0.08126025185024129	-0.8322552759050552	0.8577277755654381	0.9418297933725488	-0.7868699715380856	-2.51	-2.583946169772254
Oc1ccc2ccccc2c1	0.7599919476677922	-0.6211783366940742	-0.35588099225204867	0.2734183057304094	0.09909395178341508	0.08126025185024129	-0.5522421085403738	0.641127771787118	0.8297842016099134	-0.7868699715380856	-1.59	-1.5413848003445836
C=COC(C)=O	-0.633351682340316	-0.5713695493467774	-0.715329211943805	0.87555007309428	0.2837928185249064	-0.5052897263985459	0.22900909937180952	-0.10366276062064984	-1.1036580956076458	0.8530642598262584	-2.73	-2.7693657585168463
CCCCCCCCCCO	1.1917449403392764	-0.23975829634920393	-0.00399169572095993	-0.26685183238346943	0.08866986043401733	0.08126025185024129	-0.8995811402858388	0.4541591086901459	-0.21629485028516773	-0.7868699715380856	-1.1	-1.142038368915599
CCOC(=O)c1cccnc1	-0.20814268102117134	0.09777915010662569	-0.3164747617058942	-0.048943719006287974	0.9882932637757934	-0.48777583972407473	0.5417628244193119	-0.12023050312020155	-0.9133040763931827	0.028135546523477755	-2.22	-2.2769069075851682
O=c1ccc2ccccc2o1	0.19404952312768176	-0.915981830297266	-0.018157170640042634	0.749203978306163	-0.31635015222853835	0.08126025185024129	-0.13993978807373342	0.595365620357418	-0.1838645561819294	-0.7868699715380856	-2.04	-1.9465149778415891
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	-3.8514910618623905	3.025224663789849	3.0799839699286435	-2.1587011677175516	-1.4488584880762263	0.08126025185024129	-1.8345151487993347	2.293922329277012	0.9882946260455459	-0.7868699715380856	-4.96	-4.807391304347821
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O	-0.26327768862190254	0.11425019724125392	-3.817760655551086	3.840261096398497	2.5472223510199825	-2.872271784570134	2.0111616069239884	0.45090233871808244	-0.33563336778903974	0.862987455067476	-2.64	-2.609103594955763
CC(O)C(C)O	-1.3441645361287322	0.3783978827982295	0.6546595405623817	-0.20212685000795882	-0.9385698886846003	0.08126025185024129	-0.5757461207719295	0.4950366760530556	-0.05402139481482695	-0.7868699715380856	-3.91	-3.689441304347831
CCC[N+](=O)[O-]	-0.6483201223301461	-0.2539220606880201	-0.6325988050744378	-0.10877540217097854	0.15561922197288167	0.08126025185024129	0.2779716941346539	-0.4075676030627393	-0.3648081462557338	-0.7868699715380856	-2.65	-2.748652482903569
ClCc1ccccc1	0.6697299979803749	-0.915981830297266	-0.12190611838162031	-0.18613712421948722	0.0893372004420424	0.08126025185024129	-0.5670989656546411	0.8413155542663954	0.03465283604037314	0.2248196848044856	-1.86	-1.6774912782656417
O=[N+]([O-])c1ccc(O)cc1	-0.176475780339169	-0.33695205431809966	-0.1721862108133336	0.18844686535628807	-1.0100322087248481	0.08126025185024129	-0.5704755240897018	0.19225884607824908	0.923234936510678	-0.7868699715380856	-2.17	-2.282242701863351
Oc1ccc(O)cc1	-0.3288680387280929	-0.3263748430908824	-0.47417327388558156	0.7658605971580261	-1.00635573076829	0.08126025185024129	-0.8778388147783753	0.7017710077627687	0.9418297933725488	-0.7868699715380856	-2.95	-2.8132363071710853
CCCCCO	-0.27538783353829765	-0.23975829634920393	-0.005970117730520689	-0.20020279759887333	0.09508715121156053	0.08126025185024129	-0.893837270220687	-0.35092500555802053	-0.2744286156524869	-0.7868699715380856	-2.22	-2.2927623188405795
CCCCCCCCO	0.6048918307882468	-0.23975829634920393	-0.003997567773977385	-0.2399050881396972	0.08858716531262878	0.08126025185024129	-0.8980267038345587	0.2396559638020361	-0.23168790218491347	-0.7868699715380856	-1.13	-1.401671177368868
CCOC=O	-1.019748045293871	-0.16091583160159278	-0.10248985450695534	-0.04290781994474645	0.14974611882731625	0.08126025185024129	-0.23504095373594702	-1.1008351857166854	-1.2553209884260184	0.8530642598262584	-3.01	-3.000061451109276
C=C(C)C(=O)OC	-0.6013839084926887	-0.1609158316015927	0.9333556941193979	0.10227554422169752	-0.967980013443999	0.23409369688689796	0.4615357960022686	1.2266552980378826	-1.1150079092180307	0.8530642598262584	-2.35	-2.5315072463768127
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	2.1279870134720187	-0.27656605574358556	-0.1937993084534516	0.8977234724452279	-1.0264559555097819	-1.5057200171553085	-0.2426467162068514	-0.6001408925727222	0.9495907654455147	1.1427993906313951	-1.74	-1.7621611111111122
O=[N+]([O-])c1cccc(O)c1	-0.17647578033916883	-0.33695205431809966	-0.9656514738665647	0.05556945107509623	-0.10625009966854408	0.08126025185024129	-0.5704755240897017	0.27805780467183266	0.923234936510678	-0.7868699715380856	-2.25	-2.2575849896480324
CCN	-1.180940843777318	-0.5381483430639946	-0.1438444670724494	0.0008439400620433479	0.18006252938831757	0.08126025185024129	-0.8877369546480107	-1.8904227232081023	-0.31236286858098045	-0.7868699715380856	-3.09	-3.0408030368182515
Nc1ccc(Cl)c(N)c1	-0.02303046587055837	-0.915981830297266	-0.2799477535908481	0.501094538857555	0.805196866495989	0.08126025185024129	-0.5357813861694527	1.1449983083918212	1.4267796340925087	-0.7868699715380856	-2.68	-2.490150362318843
CCCO	-0.8622409430893266	-0.23975829634920393	0.0498028350921834	-0.16550332855831626	-0.03922853249289077	0.08126025185024129	-0.8877876030245366	-1.2062038287946193	-0.33966669289782836	-0.7868699715380856	-2.91	-2.919923756195498
CC(Cl)CCl	0.2388044065143599	-0.2661018648461126	-0.07838678522565494	-0.0757498504493066	0.06595930307356233	0.08126025185024129	-0.8233062665461741	0.3905169336979431	-0.20559881579586392	-0.7868699715380856	-2.0	-1.9242727324839357
CC(C)Nc1ccccc1	0.731032905476413	-0.567182020464309	-0.5415553347997466	0.26075901422680997	0.20207398979138252	0.08126025185024129	0.07403607771915614	-0.28152824170791746	-0.08496581059869027	-0.7868699715380856	-1.75	-1.7437503278122841
