SMILES	H-050	AATS0d	AATS0i	AATSC0c	AATSC0i	AATSC1c	GATS1v	GATS1se	ESpm02u	EEig04u	SIC3	ZMIC1	B01(C-N)	nAr_NH	nCOO	observed	predicted
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1	0.77	-0.22	0.48	0.16	-0.13	0.05	0.76	0.37	0.85	1.01	-0.3	-0.02	1.06	-0.16	-0.32	2.676830733600716	2.650578431936529
CCCCOC(=O)c1ccccc1	-0.75	-0.58	-0.24	-0.23	-0.26	0.05	0.33	-0.5	-0.18	0.01	0.49	-0.4	-0.94	-0.16	-0.32	2.399240941692456	2.4169890473798414
CCNc1nc(Cl)nc(N(CC)CC)n1	0.01	-0.41	0.76	-0.17	-0.14	-0.53	0.66	0.15	0.17	0.28	-0.61	-0.16	1.06	-0.16	-0.32	2.5730457495590535	2.571976858840021
CCCCCCCCCCCCCCCCCCCCCC	-0.75	-1.58	0.22	-1.28	-0.39	1.02	1.84	2.34	0.25	0.54	-3.44	2.43	-0.94	-0.16	-0.32	2.5018121170750933	2.505076555889405
OCCOCCO	0.77	-1.58	0.72	0.94	-0.6	-0.34	1.68	0.85	-1.77	-1.47	-1.1	-0.77	-0.94	-0.16	-0.32	2.4195427247002796	2.4192856929792153
CCCCC/C=C/C=C/C(=O)O	0.01	-1.21	0.04	-0.1	-0.33	-0.34	0.81	-0.18	-0.64	-0.11	0.68	-0.63	-0.94	-0.16	2.52	2.5087316694431436	2.4998096856175107
CC(N)Cc1c[nH]c2ccccc12	1.54	-0.06	-0.06	-0.49	-0.07	0.44	-0.31	1.67	0.17	0.41	0.75	-0.68	1.06	5.43	-0.32	2.57071802332789	2.579704056845725
CC1c2ccccc2-c2ccccc21	-0.75	0.64	-0.97	-1.15	-0.22	1.02	-0.7	-0.02	0.45	0.36	-0.32	0.1	-0.94	-0.16	-0.32	2.5046747087698833	2.513593255966492
NC(=O)COC(=O)c1ccccc1	0.77	0.06	-0.13	1.0	-0.14	-1.21	-0.44	-0.23	-0.09	0.03	0.72	-0.39	1.06	-0.16	-0.32	2.595661530898903	2.600273056863086
O=C(OC(=O)C(c1ccccc1)c1ccccc1)C(c1ccccc1)c1ccccc1	-0.75	0.55	-0.91	-0.49	-0.22	0.44	-0.62	-0.79	1.47	1.1	-1.34	2.86	-0.94	-0.16	-0.32	2.5695494648887034	2.5768881333016003
Cc1cc(O)ccc1/N=N/c1ccccc1	0.01	0.3	-0.38	-0.23	-0.02	0.24	-0.56	-0.09	0.39	0.42	0.74	0.2	1.06	-0.16	-0.32	2.582233863920993	2.5885360654936567
CC1CCCS1	-0.75	-1.06	-0.18	-1.15	-0.09	1.02	0.43	0.2	-1.3	-1.83	0.16	-1.16	-0.94	-0.16	-0.32	2.2366631987034093	2.242567738951413
CC(=O)OC(C)CC(C)C	-0.75	-1.19	0.31	-0.3	-0.42	0.05	1.69	-0.41	-0.64	-1.29	-0.33	-0.92	-0.94	-0.16	-0.32	2.320457868916649	2.315154704133937
OCCC1CCCCC1	0.01	-1.19	0.24	-0.76	-0.39	0.63	1.25	0.55	-0.78	-0.11	-0.57	-0.55	-0.94	-0.16	-0.32	2.4033779317228596	2.4201562320369967
CCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1	-0.75	0.73	0.23	0.94	-0.12	0.24	-0.19	-1.37	0.45	0.45	0.57	-0.21	1.06	-0.16	-0.32	2.5648435325438337	2.562874539535823
CCCCC(=O)c1ccccc1	-0.75	-0.65	-0.33	-0.95	-0.25	0.83	0.26	-1.07	-0.29	-0.11	0.45	-0.45	-0.94	-0.16	-0.32	2.4211924683057493	2.4257351862131067
COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2Cl)n1	0.77	0.92	0.22	0.68	0.13	-1.6	-0.36	-0.36	1.04	1.05	0.82	0.08	1.06	-0.16	-0.32	2.652391404017054	2.6619084940704525
CCOC(=O)CCCCCCCC(=O)OCC	-0.75	-1.14	0.26	-0.04	-0.4	-0.14	1.45	-0.4	0.0	0.23	-0.94	0.05	-0.94	-0.16	-0.32	2.405943680512197	2.414662838448856
Clc1ncccn1	-0.75	0.42	0.14	-0.23	0.17	-0.14	-0.86	-0.35	-1.11	-1.44	1.35	-0.92	1.06	-0.16	-0.32	2.531670475296586	2.526152604220851
Nc1cccc(Br)c1	0.77	-0.01	-0.49	-0.23	-0.08	-0.05	-1.38	0.61	-0.78	-1.38	1.08	-0.46	1.06	-0.16	-0.32	2.464861980766034	2.4689232935620002
CCN(CC)C(=O)n1cnc(S(=O)(=O)c2c(C)cc(C)cc2C)n1	-0.75	0.24	0.15	-0.36	-0.02	0.15	0.36	-1.08	1.17	1.06	-0.32	0.07	1.06	-0.16	-0.32	2.588999590499436	2.5815735431012317
C=CCn1c(=O)n(CC=C)c(=O)n(CC=C)c1=O	-0.75	-0.01	0.23	0.22	-0.1	-1.31	0.48	-0.53	0.52	0.17	-1.39	0.33	1.06	-0.16	-0.32	2.4678300051789757	2.484632237864585
CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC	-0.75	-1.13	0.38	-0.23	-0.4	0.05	1.82	0.56	0.69	0.68	-1.26	1.54	-0.94	-0.16	-0.32	2.3078168266624304	2.3194812344437374
O=C(Nc1ccc(O)cc1)c1ccccc1O	1.54	0.55	-0.46	1.07	-0.11	-1.11	-0.92	0.3	0.52	0.66	1.03	0.27	1.06	-0.16	-0.32	2.6552825351772134	2.654948713735142
CC(=O)Oc1ccccc1C(=O)OCC(=O)N1CCOCC1	-0.75	0.21	-0.04	0.74	-0.22	-0.63	0.25	-0.25	0.85	0.78	0.36	0.01	1.06	-0.16	-0.32	2.5689640044577606	2.5595042888133235
Cc1ccc(N)cc1Br	0.77	-0.09	-0.37	-0.43	-0.12	0.15	-1.02	0.54	-0.51	-0.85	0.66	-0.61	1.06	-0.16	-0.32	2.4758890071780653	2.4910882424027077
OCC(F)(F)F	0.01	-0.01	4.55	2.11	3.98	-2.18	0.94	0.29	-1.3	-2.0	-0.33	-0.86	-0.94	-0.16	-0.32	2.361066449753942	2.363510413259191
O=[N+]([O-])C([N+](=O)[O-])[N+](=O)[O-]	-0.75	1.27	2.22	4.85	-0.86	4.03	0.84	-0.75	-0.51	-1.05	-1.31	-0.04	1.06	-0.16	-0.32	2.459618623917375	2.456773313219227
Clc1cc(Cl)c(-c2c(Cl)cc(Cl)c(Cl)c2Cl)cc1Cl	-0.75	2.36	-1.51	-1.08	-0.66	0.92	-1.91	-0.72	0.85	0.92	0.57	3.27	-0.94	-0.16	-0.32	2.551632948680588	2.5558676878437794
BrC1Cc2ccccc2C1Br	-0.75	0.66	-1.06	-1.15	-0.34	1.02	-1.26	-1.25	0.0	0.23	0.65	0.51	-0.94	-0.16	-0.32	2.4845133742926118	2.495525203233064
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1	-0.75	1.49	0.16	0.61	-0.03	1.41	-1.21	-1.75	0.09	0.12	0.91	-0.06	1.06	-0.16	-0.32	2.5134173828585062	2.5446322693577317
CC(=O)OCCOCn1cnc2cnc(N)nc21	0.77	0.36	0.64	1.0	-0.04	-1.21	0.22	0.39	0.58	0.8	0.76	-0.49	1.06	-0.16	-0.32	2.610819800835439	2.6314730545226968
C=C(C)c1ccc(C)cc1	-0.75	-0.52	-0.5	-1.15	-0.23	1.02	0.08	0.71	-0.4	-0.11	0.09	-0.63	-0.94	-0.16	-0.32	2.4033779317228596	2.386910966585325
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I	-0.75	3.21	7.18	3.16	7.73	-0.24	-0.99	1.91	0.52	0.22	-0.08	0.98	-0.94	-0.16	-0.32	2.3120715213029315	2.3081821701559417
Cc1cc(C(C#N)c2ccc(Cl)cc2)c(Cl)cc1NC(=O)c1cc(I)cc(I)c1O	0.77	1.21	-1.04	-0.17	-0.02	0.05	-1.54	-0.41	1.5	1.26	1.21	1.97	1.06	-0.16	-0.32	2.6910372643636857	2.6907495670145387
CC(C(=O)O)C(C)C(=O)O	0.77	-0.57	0.36	1.85	-0.43	-2.57	0.59	0.11	-0.51	-0.76	-1.07	-0.59	-0.94	-0.16	5.36	2.6166330286633936	2.617451548796553
C/C(Cl)=C\C(=O)O	0.01	-0.59	0.04	1.4	-0.42	-2.28	-0.51	0.01	-1.3	-2.0	0.56	-1.06	-0.94	-0.16	2.52	2.523941465459712	2.5223985078283917
CCCCCCCCCCO	0.01	-1.67	0.34	-0.82	-0.43	0.73	1.84	0.73	-0.93	-0.27	-1.28	-0.13	-0.94	-0.16	-0.32	2.4472355770047596	2.433475126080784
c1ncc2nc[nH]c2n1	0.01	1.18	0.66	0.61	0.42	-0.63	-0.73	0.89	-0.4	-0.11	1.35	-0.87	1.06	5.43	-0.32	2.6898857588421032	2.6912926136206625
NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O	1.54	1.19	-0.46	-0.23	0.2	-0.05	-0.84	-1.13	1.36	1.31	0.86	1.05	1.06	-0.16	-0.32	2.7029902775892602	2.70329729942265
C[Si]1(C)N[Si](C)(C)N[Si](C)(C)N[Si](C)(C)N1	2.3	-0.52	0.21	-0.36	1.51	-0.53	1.1	6.61	0.75	1.37	-3.31	1.25	-0.94	-0.16	-0.32	2.5689640044577606	2.5694634578948814
Ic1ccc2c(c1)Oc1ccccc1O2	-0.75	1.46	-1.33	0.29	-0.16	-0.05	-1.4	0.04	0.52	0.64	0.09	0.86	-0.94	-0.16	-0.32	2.5660248048127206	2.5789300121159675
CC(C)(C)N(NC(=O)c1ccccc1)C(=O)c1ccccc1C(F)(F)F	0.01	0.56	0.54	-0.17	1.28	0.05	-0.13	-0.98	1.29	1.39	-0.19	1.06	1.06	-0.16	-0.32	2.648993910859345	2.6637658835994817
CCC(C)N	0.77	-1.85	0.79	-0.76	-0.44	0.44	2.11	2.4	-2.08	-2.45	-0.15	-1.33	1.06	-0.16	-0.32	2.2282720021239992	2.237822418465967
CC(=O)Nc1ccc(/N=N/c2cc(C)ccc2O)cc1	0.77	0.32	-0.14	0.03	-0.01	-0.14	-0.43	-0.19	0.75	0.92	0.97	0.19	1.06	-0.16	-0.32	2.670385027721014	2.666882997111811
CCc1ccc(O)cc1O	0.77	-0.29	-0.2	1.07	-0.27	-1.02	-0.25	0.66	-0.4	-0.43	0.63	-0.73	-0.94	-0.16	-0.32	2.570134137138968	2.5761023161912897
C[C@H]1CCC[C@@H](O)C1	0.01	-1.03	0.25	-0.69	-0.4	0.54	1.19	0.53	-0.78	-1.38	0.43	-0.9	-0.94	-0.16	-0.32	2.4275672477194505	2.4327007315922833
COCCOC	-0.75	-1.76	0.64	0.03	-0.56	0.73	2.55	0.35	-2.08	-2.0	-1.92	-1.05	-0.94	-0.16	-0.32	2.332741350418574	2.332773183913927
CC(=O)Oc1cccc2ccccc12	-0.75	0.46	-0.75	-0.23	-0.21	0.05	-0.52	-0.56	0.25	0.48	0.48	-0.08	-0.94	-0.16	-0.32	2.5019488596712804	2.5224952214139336
O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1	-0.75	1.12	-0.4	0.94	-0.02	-0.53	-0.45	-0.23	2.52	1.58	-1.47	4.82	1.06	-0.16	-0.32	2.722428241979694	2.7255199326677295
O=C(O)CCCCCl	0.01	-1.16	0.3	0.61	-0.48	-1.11	0.38	-0.26	-1.3	-1.4	0.53	-0.96	-0.94	-0.16	2.52	2.464116794444044	2.4694480973911865
OC1C2CCC(C2)C1O	0.77	-0.07	0.17	-0.04	-0.37	0.05	0.29	0.46	-0.18	-0.43	-0.49	-0.68	-0.94	-0.16	-0.32	2.616107757092463	2.586717341749475
CCCCCCC(=O)Cl	-0.75	-1.35	0.18	-0.89	-0.42	0.73	0.88	-1.09	-1.11	-0.93	-0.0	-0.72	-0.94	-0.16	-0.32	2.277265309456845	2.2994634848389417
O=C(c1ccc(O)cc1)c1ccc(O)cc1	0.77	0.64	-0.75	0.87	-0.21	-0.73	-0.97	0.08	0.45	0.7	-0.04	0.32	-0.94	-0.16	-0.32	2.6840819838753727	2.6553047889607604
CC(CC1CCCCC1)CC1CCCCC1	-0.75	-0.98	0.09	-1.28	-0.34	1.02	1.24	1.78	0.32	0.33	-1.54	0.88	-0.94	-0.16	-0.32	2.4373541278481747	2.432156542582446
c1ccc(CN(Cc2ccccc2)c2ccccc2)cc1	-0.75	0.1	-0.69	-0.95	-0.14	0.92	-0.38	0.49	0.8	0.65	-0.56	1.44	1.06	-0.16	-0.32	2.5342165443323297	2.534284978106512
C1=CCNCC1	0.01	-1.13	0.34	-0.69	-0.22	0.73	0.7	1.38	-1.52	-2.0	0.63	-1.27	1.06	-0.16	-0.32	2.3524719512989516	2.351828122943989
CSc1nc(NC(C)C)nc(NC(C)C)n1	0.77	-0.49	0.58	-0.23	0.01	-0.53	0.62	0.71	0.32	0.68	-1.17	-0.06	1.06	-0.16	-0.32	2.5934522193461094	2.5916696656241927
CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]	0.77	0.24	0.46	0.09	-0.09	0.63	0.29	-1.61	1.0	1.15	-0.12	0.18	1.06	-0.16	-0.32	2.6171576656949442	2.6207212297113465
COC(=O)C1CC(=O)N(C)C1	-0.75	-0.2	0.37	0.61	-0.29	-0.53	0.89	-0.44	-0.18	0.13	0.37	-0.89	1.06	-0.16	-0.32	2.459618623917375	2.4825049271157367
CF	-0.75	-2.82	3.16	-0.3	2.38	0.83	3.47	-0.96	-5.45	-1.05	-1.56	-1.66	-0.94	-0.16	-0.32	2.118430077122089	2.115976317642756
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C	-0.75	-0.88	-0.1	-0.36	1.12	-0.34	1.27	4.33	0.25	-1.21	-2.77	0.36	-0.94	-0.16	-0.32	2.285894712480839	2.2862514235086415
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC	-0.75	-1.51	0.2	-1.28	-0.38	1.02	1.78	2.28	1.04	0.72	-3.98	5.49	-0.94	-0.16	-0.32	2.543633532576258	2.544545426123957
CC(N)c1ccccc1	0.77	-0.64	-0.08	-0.76	-0.14	0.54	-0.05	1.89	-0.64	-0.11	0.41	-0.71	1.06	-0.16	-0.32	2.4845133742926118	2.4309573699184286
O=c1oc(=O)c2ccccc2c2ccccc12	-0.75	1.4	-1.08	0.16	-0.23	-0.43	-0.98	-0.76	0.69	0.51	-0.85	0.62	-0.94	-0.16	-0.32	2.690329006973969	2.6675939093554435
C=Cc1ccc(N)cc1	0.77	-0.4	-0.31	-0.43	-0.08	0.24	-0.5	1.9	-0.64	-0.52	0.97	-0.7	1.06	-0.16	-0.32	2.4722443526734725	2.472630644498163
OC1C2COC(O2)C(O)C1O	1.54	0.46	0.44	1.59	-0.46	-0.92	0.1	0.8	0.09	-0.36	0.52	-0.28	-0.94	-0.16	-0.32	2.6591076791998134	2.656416535981913
CCC(C)C(NC(=O)c1cn(CC)c2nc(C)ccc2c1=O)C(=O)OC	0.01	0.05	0.1	0.03	-0.16	-0.05	0.37	-0.46	1.21	1.09	0.67	-0.03	1.06	-0.16	-0.32	2.6182050422592695	2.6301089441604146
COP(=O)(OC)C(O)C(Cl)(Cl)Cl	0.01	0.28	0.32	1.0	-0.46	-1.02	-0.19	0.92	0.0	-0.47	-0.64	0.3	-0.94	-0.16	-0.32	2.5442541306840103	2.5591825343902874
CCC1(C2=CC3CCC(C2)C3)C(=O)NC(=O)NC1=O	0.77	0.49	0.06	-0.1	-0.16	-0.43	-0.02	-0.72	0.95	0.72	0.51	-0.09	1.06	-0.16	-0.32	2.686770290087891	2.6607911499873618
OCCn1ccnc1	0.01	-0.53	0.6	0.42	-0.14	0.05	0.49	0.71	-0.93	-0.47	0.91	-1.2	1.06	-0.16	-0.32	2.4943633392673084	2.488156654217141
FC(F)(F)/N=C1\S/C(=N/c2ccccc2)N(c2ccccc2)\C1=N\C(F)(F)F	-0.75	1.62	1.39	0.35	3.4	-1.02	-0.61	-0.75	1.43	1.34	0.17	1.91	1.06	-0.16	-0.32	2.5923433345820435	2.588929775940345
CCCCS(=O)(=O)CCCC	-0.75	-1.22	0.23	-0.95	-0.28	0.83	1.5	-1.58	-0.51	-0.72	-1.14	-0.43	-0.94	-0.16	-0.32	2.502631927572243	2.4933402554981305
CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C	-0.75	-0.87	0.03	-0.56	-0.32	0.44	1.02	-0.43	1.21	1.06	-1.21	1.91	-0.94	-0.16	-0.32	2.357076839842412	2.4151626457511806
CC(=O)N(c1ccccc1)c1ccccc1	-0.75	0.19	-0.57	-0.69	-0.11	0.54	-0.34	-0.72	0.39	0.32	-0.47	0.43	1.06	-0.16	-0.32	2.575361066155206	2.5771647928635777
Oc1ccc2cc(O)ccc2c1	0.77	0.7	-0.75	1.07	-0.21	-0.92	-1.1	0.56	0.09	0.48	1.02	-0.13	-0.94	-0.16	-0.32	2.692979037459632	2.664889517299466
CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1	-0.75	0.29	-0.45	-0.82	-0.14	0.83	-0.28	-0.65	1.47	1.21	0.35	1.4	1.06	-0.16	-0.32	2.577664104732127	2.582727601477965
CCCCN(CCCC)C(C(N)=O)c1ccc(OC)cc1	0.77	-0.72	0.2	-0.36	-0.25	0.24	0.82	0.05	0.64	0.69	-0.05	0.02	1.06	-0.16	-0.32	2.609754439128856	2.596453109451665
COc1ccc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)cc1OC	0.01	0.11	-0.1	0.09	-0.16	0.15	0.16	-0.34	1.21	1.31	-0.15	0.84	1.06	-0.16	-0.32	2.6800180632491917	2.67529149258765
COC(=O)CS(=O)(=O)c1ccccc1	-0.75	0.23	-0.36	0.29	-0.11	0.05	-0.01	-0.97	0.17	0.07	0.48	-0.21	-0.94	-0.16	-0.32	2.488762172066694	2.4990655947880627
OC1CCCCC1O	0.77	-0.85	0.36	0.03	-0.43	-0.05	0.86	0.61	-0.78	-1.05	-0.95	-0.67	-0.94	-0.16	-0.32	2.5733358400660675	2.5665717076281345
CCOCCOCCOCC	-0.75	-1.51	0.49	-0.23	-0.49	0.73	2.16	0.3	-0.93	-0.27	-1.75	-0.12	-0.94	-0.16	-0.32	2.3582204731086795	2.3580918700637548
CCOc1ccc(C(=O)OCCN(CC)CC)cc1	-0.75	-0.64	0.1	-0.04	-0.27	0.15	0.86	-0.11	0.45	0.45	0.15	0.04	1.06	-0.16	-0.32	2.6494808973220154	2.5601967928435556
Oc1c(Cl)cc(Cl)c2ccccc12	0.01	1.25	-1.07	0.09	-0.34	-0.05	-1.53	-0.33	0.25	0.3	0.82	0.16	-0.94	-0.16	-0.32	2.5805258341293302	2.584583765355873
OCc1ccc(Cl)c(Cl)c1	0.01	0.35	-0.6	-0.3	-0.35	0.34	-1.23	-0.2	-0.4	-0.5	0.91	-0.3	-0.94	-0.16	-0.32	2.490169250834894	2.5401817411074057
O=c1nc(-c2ccccc2)oc2ccccc12	-0.75	1.13	-0.87	-0.04	-0.1	-0.05	-0.85	-0.51	0.64	0.68	0.44	0.34	1.06	-0.16	-0.32	2.598407458622196	2.604689407872018
Cc1cccc(C(C)(C)C)c1O	0.01	-0.41	-0.16	-0.43	-0.28	0.24	0.4	0.53	0.09	0.28	-0.66	-0.58	-0.94	-0.16	-0.32	2.483087820798942	2.4890239870709943
CCN(CC)CCC1C(=O)NC(=O)CC1c1ccccc1	0.01	-0.29	0.04	-0.56	-0.19	0.44	0.43	-0.59	0.8	0.94	0.25	0.16	1.06	-0.16	-0.32	2.60113613360707	2.593912781853028
O=C1CCC(=O)N1Br	-0.75	0.7	0.03	0.42	-0.14	-0.82	-0.62	-0.94	-0.64	-1.05	-0.63	-0.35	1.06	-0.16	-0.32	2.650453235088312	2.5936763928130047
CC12COC(=O)CC1CCC1C2CCC2(C)C1CCC2(C)O	0.01	0.21	-0.01	-0.56	-0.31	0.34	0.55	-0.24	1.36	1.12	0.05	0.4	-0.94	-0.16	-0.32	2.70727202854802	2.6857964120288456
CC(C)Cc1ccc(CC(=O)O)cc1	0.01	-0.47	-0.2	-0.17	-0.27	-0.05	0.24	-0.27	0.09	0.59	0.12	-0.47	-0.94	-0.16	2.52	2.555275870769318	2.55374619751077
Cc1ccc(NCc2ccccc2)cc1	0.01	-0.15	-0.49	-0.82	-0.12	0.73	-0.3	1.08	0.25	0.36	0.6	0.24	1.06	-0.16	-0.32	2.466348528450199	2.5156922959790053
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1	-0.75	0.1	0.05	-0.36	-0.1	0.34	0.18	-0.32	1.57	1.3	0.54	1.38	1.06	-0.16	-0.32	2.552242228356702	2.555818970941789
CCOC(=O)c1sc(N)nc1C(F)(F)F	0.77	0.95	1.69	1.66	2.66	-1.79	-0.51	-0.28	0.39	0.32	0.37	-0.37	1.06	-0.16	-0.32	2.6624272644527265	2.6555818719924096
O=Cc1ccc[nH]1	0.01	-0.12	-0.08	0.35	-0.03	0.15	-0.55	-0.47	-1.11	-0.79	1.35	-1.15	1.06	5.43	-0.32	2.5046747087698833	2.521410763915769
Cc1cnc2ccccc2n1	-0.75	0.51	-0.34	-0.69	0.08	0.73	-0.49	-0.23	-0.09	0.27	0.23	-0.56	1.06	-0.16	-0.32	2.656720915213298	2.5794378627915084
CCc1cccc(C)c1N	0.77	-0.62	-0.04	-0.62	-0.17	0.44	0.14	1.88	-0.4	-0.41	0.43	-0.86	1.06	-0.16	-0.32	2.380482590974981	2.4186811282239113
O=CCCl	-0.75	-1.61	0.21	0.03	-0.54	0.73	-0.22	-0.83	-2.98	-1.05	0.63	-1.22	-0.94	-0.16	-0.32	2.409679570060356	2.4053992669020947
O=[N+]([O-])c1cccc([N+](=O)[O-])c1Cl	-0.75	1.49	0.16	0.74	-0.03	1.51	-1.21	-1.75	0.09	0.28	0.91	-0.06	1.06	-0.16	-0.32	2.5576876191963103	2.551566309063679
Oc1cccc(I)c1	0.01	0.21	-1.09	0.55	-0.04	-0.63	-1.61	0.56	-0.78	-1.38	1.35	-0.13	-0.94	-0.16	-0.32	2.5923433345820435	2.5758426050499144
F/C(Cl)=C(\Cl)C(F)(F)F	-0.75	2.02	4.83	1.46	6.3	-1.02	-1.01	1.74	-0.51	-2.0	0.17	0.12	-0.94	-0.16	-0.32	2.1340176456759834	2.2042922174093453
COc1cc(/C=C/CO)ccc1O	0.77	-0.29	-0.19	1.0	-0.27	-0.63	-0.14	0.61	-0.09	0.28	0.94	-0.58	-0.94	-0.16	-0.32	2.540517169592572	2.5415553351243156
CCCCCCCCC(=O)OCCCC	-0.75	-1.41	0.26	-0.62	-0.4	0.44	1.68	-0.38	-0.29	0.26	-0.57	0.1	-0.94	-0.16	-0.32	2.371344983082098	2.3727444152943495
CC(C)C(C)(C)C	-0.75	-1.41	0.33	-1.28	-0.43	1.02	2.19	2.66	-0.93	-2.0	-2.11	-0.87	-0.94	-0.16	-0.32	2.3947142795333423	2.299831193526505
O=C(Nc1ccc2nn(C3CCCC3)nc2c1)c1ccc(Cl)cc1	0.01	0.82	-0.21	-0.62	0.01	0.54	-0.63	-0.92	1.21	1.16	0.7	0.56	1.06	-0.16	-0.32	2.6562419843289615	2.6595079474028513
N#CN=C(N)N	2.3	-0.85	1.91	1.98	-0.15	-4.12	-1.06	2.57	-1.77	-2.0	-0.78	-1.16	1.06	-0.16	-0.32	2.68497993618928	2.6845452233627936
CN1C(=O)C(=O)c2ccccc21	-0.75	1.03	-0.47	0.16	-0.06	0.15	-0.56	-0.9	0.17	0.23	0.75	-0.55	1.06	-0.16	-0.32	2.607079544728571	2.5790157722329967
CC(=O)Nc1cccc(Cl)c1	0.01	0.07	-0.27	-0.3	-0.15	-0.05	-0.64	-0.66	-0.29	0.06	0.93	-0.61	1.06	-0.16	-0.32	2.547959210587186	2.546745795417325
CCN(CC)c1ccc(/N=N/c2ccccc2)cc1	-0.75	-0.19	-0.12	-0.89	-0.04	0.92	0.09	-0.44	0.58	0.45	-0.08	0.61	1.06	-0.16	-0.32	2.5689640044577606	2.5620499210247742
O=[N+]([O-])c1cc(S(=O)(=O)c2ccc(F)c([N+](=O)[O-])c2)ccc1F	-0.75	1.88	0.43	0.48	1.57	0.92	-0.77	-1.4	1.13	0.87	-0.06	0.85	1.06	-0.16	-0.32	2.6689912701643848	2.66863129540489
COc1c(OC)c(OC(C)=O)c2c(OC)cccc2c1OC(C)=O	-0.75	0.4	-0.22	1.27	-0.26	-0.63	0.16	0.0	1.09	0.99	-0.55	0.68	-0.94	-0.16	-0.32	2.5348507361534134	2.5533450981807007
FC(F)(F)CCl	-0.75	0.35	4.67	0.94	4.78	-1.21	-0.03	0.06	-1.3	-2.0	-0.64	-0.66	-0.94	-0.16	-0.32	2.224403557764839	2.21684003375445
CCC(C)(O)C(=O)O	0.77	-0.79	0.48	1.27	-0.48	-1.79	0.99	0.33	-0.78	-2.0	0.26	-1.08	-0.94	-0.16	2.52	2.540517169592572	2.5392045519068516
O=Cc1ccc2c(c1)OCO2	-0.75	0.9	-0.58	1.27	-0.21	-0.63	-0.54	-0.17	-0.09	0.01	1.14	-0.62	-0.94	-0.16	-0.32	2.491571785500985	2.4880811589841505
c1ccc(CSc2ccccc2)cc1	-0.75	-0.01	-1.04	-1.08	-0.12	1.02	-0.69	-0.23	0.09	0.28	0.21	0.32	-0.94	-0.16	-0.32	2.5005794923633378	2.4952409788466148
c1ccc(-c2ncoc2-c2ccccc2)cc1	-0.75	0.75	-0.86	-0.43	-0.11	0.44	-0.75	-0.07	0.58	0.39	0.0	0.47	1.06	-0.16	-0.32	2.5012647157334826	2.5370129623068474
Nc1cc(Cl)c(Cl)cc1Cl	0.77	1.0	-0.52	-0.17	-0.24	-0.05	-1.99	-0.29	-0.29	-0.47	0.82	0.26	1.06	-0.16	-0.32	2.567790710533536	2.585590830930832
Cc1c(C)n(C)c2ccccc12	-0.75	0.11	-0.32	-0.89	-0.12	0.92	-0.01	0.61	0.17	0.23	0.36	-0.62	1.06	-0.16	-0.32	2.464116794444044	2.4690627264055065
NNc1cccc2ccccc12	1.54	0.25	-0.27	-0.49	0.03	0.73	-0.93	0.78	0.0	0.15	0.57	-0.19	1.06	-0.16	-0.32	2.591231611251554	2.5932357913461987
CN1CCCC1c1cccnc1	-0.75	-0.22	0.08	-0.82	-0.1	0.92	0.37	0.28	0.0	0.02	0.72	-0.85	1.06	-0.16	-0.32	2.2881373948820665	2.4793942909907742
O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	0.01	0.49	0.03	-0.62	0.6	0.34	-0.22	-0.83	1.72	1.31	0.23	1.74	1.06	5.43	-0.32	2.6894420578616383	2.6839446780119376
CCN(CC)C(=O)c1cccc(C)c1	-0.75	-0.55	-0.05	-0.69	-0.2	0.54	0.56	-0.63	0.09	0.11	-0.14	-0.46	1.06	-0.16	-0.32	2.3582204731086795	2.4834979379766637
CNCCCC12CCC(c3ccccc31)c1ccccc12	0.01	0.28	-0.45	-1.02	-0.16	0.92	-0.22	0.92	1.09	0.66	-0.15	0.75	1.06	-0.16	-0.32	2.5636590384728697	2.5672083707295403
Cc1ccccc1N	0.77	-0.5	-0.12	-0.43	-0.1	0.15	-0.29	1.92	-0.78	-1.05	0.46	-0.91	1.06	-0.16	-0.32	2.409679570060356	2.416457714847965
