SMILES	H-050	AATS0d	AATS0i	AATSC0c	AATSC0i	AATSC1c	GATS1v	GATS1se	ESpm02u	EEig04u	SIC3	ZMIC1	B01(C-N)	nAr_NH	nCOO	observed	predicted
CC(Cc1ccccc1)NC(C#N)c1ccccc1	0.01	-0.12	-0.39	-0.89	-0.07	0.83	-0.25	0.17	0.58	0.61	0.17	0.55	1.06	-0.16	-0.32	2.555275870769318	2.5529516834892396
CCOP(=O)(N=C1SCCS1)OCC	-0.75	-0.31	-0.06	-0.1	0.12	-0.82	0.33	0.7	0.09	0.11	-0.63	-0.12	1.06	-0.16	-0.32	2.497137064051958	2.484760583508148
CCOc1cc(C=O)ccc1O	0.01	-0.13	-0.24	1.0	-0.26	-0.53	-0.11	0.01	-0.18	-0.11	0.86	-0.73	-0.94	-0.16	-0.32	2.5448738432348015	2.535135104277382
Cc1ccccc1C(=O)Nc1cccc(OC(C)C)c1	0.01	-0.01	-0.33	-0.3	-0.17	0.24	-0.08	-0.24	0.75	0.79	0.42	0.27	1.06	-0.16	-0.32	2.5630655777602662	2.5646545625889776
c1ccc2c(c1)NCCN2	0.77	-0.01	0.05	-0.1	-0.01	0.15	-0.34	1.39	-0.29	0.13	-0.62	-0.56	1.06	-0.16	-0.32	2.57071802332789	2.576265536431326
Ic1ccccc1I	-0.75	0.46	-1.96	-1.15	-0.07	0.92	-1.85	-0.7	-0.78	-1.05	-0.63	1.54	-0.94	-0.16	-0.32	2.4773383476918927	2.5109256433342777
Cc1cc(C)cc(C(=O)N(NC(=O)c2ccccc2)C(C)(C)C)c1	0.01	0.05	-0.19	-0.62	-0.14	0.44	0.07	-0.82	1.13	1.12	-0.12	0.73	1.06	-0.16	-0.32	2.6809244488059925	2.680669692185759
ClC/C=C\CCl	-0.75	-1.41	-0.1	-1.02	-0.48	0.92	-0.38	-1.06	-2.08	-2.0	-1.29	-0.57	-0.94	-0.16	-0.32	2.3524719512989516	2.374860086614549
CCC(Br)(CC)C(=O)NC(N)=O	1.54	-0.57	0.5	0.29	-0.28	-1.31	0.07	-0.27	-0.18	-0.47	-0.45	-0.42	1.06	-0.16	-0.32	2.5923433345820435	2.603082609531505
COc1cccc(Cl)c1Cl	-0.75	0.35	-0.6	0.03	-0.35	0.44	-0.89	-0.43	-0.4	-0.41	0.82	-0.28	-0.94	-0.16	-0.32	2.4845133742926118	2.4984658342601995
O=C(Nc1ccccc1)n1cc(F)c(=O)[nH]c1=O	0.77	1.08	0.4	0.94	0.87	-1.7	-0.69	-0.45	0.64	0.71	0.96	0.13	1.06	5.43	-0.32	2.695612995691491	2.6939878927599366
Oc1cccc(Br)c1	0.01	0.21	-0.87	0.55	-0.29	-0.63	-1.38	0.29	-0.78	-1.38	1.35	-0.42	-0.94	-0.16	-0.32	2.485934263771752	2.4943543571982416
C/C=C1\C(OC2OC(CO)C(O)C(O)C2O)OC=C(C(=O)OC)C1CC(=O)OCCc1ccc(O)c(O)c1	3.82	0.28	0.05	1.46	-0.32	-1.11	0.03	0.5	1.8	1.4	0.85	0.93	-0.94	-0.16	-0.32	2.5576876191963103	2.6057995100613445
CC(C)CNC(=O)N1CCNC1=O	0.77	-0.46	0.7	0.29	-0.25	-1.31	0.94	-0.23	0.0	0.03	-0.1	-0.43	1.06	-0.16	-0.32	2.5666142382391173	2.57550219287993
O=Cc1ccc([N+](=O)[O-])cc1	-0.75	0.61	-0.24	0.09	-0.06	0.83	-0.65	-1.75	-0.29	-0.11	1.35	-0.63	1.06	-0.16	-0.32	2.579954994822772	2.5457421757248704
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1	-0.75	-0.29	-0.22	0.48	1.48	-1.7	1.29	4.03	0.75	1.37	-3.65	1.34	-0.94	-0.16	-0.32	2.463370327292407	2.4595116509664314
CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC	-0.75	-1.31	0.2	-0.82	-0.38	0.63	1.59	-0.31	1.36	0.8	-2.77	5.1	-0.94	-0.16	-0.32	2.54672769272835	2.5433156206714203
CC1CC=CCC1	-0.75	-1.11	-0.03	-1.21	-0.31	1.02	0.92	1.49	-1.11	-1.44	0.23	-1.13	-0.94	-0.16	-0.32	2.1976939750839235	2.191124259923311
CC(=O)ON	0.77	-1.27	1.17	1.2	-0.54	-0.92	0.8	-0.24	-2.08	-2.45	-0.09	-1.34	-0.94	-0.16	-0.32	2.5878792635995502	2.572658205083751
CCCc1ccc(C)cc1	-0.75	-0.82	-0.29	-1.21	-0.25	1.02	0.44	1.04	-0.51	-0.11	0.22	-0.7	-0.94	-0.16	-0.32	2.321287665169863	2.3205691797928396
CN1C(=O)C=CC1=O	-0.75	0.43	0.08	0.48	-0.09	-1.02	-0.01	-0.74	-0.64	-1.05	0.06	-0.86	1.06	-0.16	-0.32	2.5660248048127206	2.5637379120779387
CC(C)(C)C(=O)CC#N	-0.75	-0.78	0.2	-0.76	-0.22	0.83	0.91	-1.09	-0.64	-1.61	-1.54	-0.95	1.06	-0.16	-0.32	2.536747773889752	2.5229053412757003
Nc1ccc([N+](=O)[O-])cc1	0.77	0.35	0.26	0.42	0.01	0.15	-0.86	-1.47	-0.4	-0.11	0.68	-0.63	1.06	-0.16	-0.32	2.622369470494735	2.6016528259763585
CNC(=O)Oc1ccc(C)c(C)c1	0.01	-0.27	-0.02	0.09	-0.19	-0.92	0.25	-0.16	0.0	0.28	0.06	-0.63	1.06	-0.16	-0.32	2.5473438881806207	2.559226188845433
CCC(=O)OC1(C(=O)CCl)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C	0.01	0.57	0.01	-0.3	0.05	0.24	0.07	-0.76	1.85	1.4	0.77	0.53	-0.94	-0.16	-0.32	2.6715430852625737	2.6767928537836387
O=C(C(=O)c1ccccc1)c1ccccc1	-0.75	0.54	-0.96	-0.49	-0.22	0.73	-0.74	-1.22	0.39	0.36	-0.71	0.58	-0.94	-0.16	-0.32	2.565788807262067	2.559366994283987
c1nnn[nH]1	0.01	0.2	2.65	0.03	-0.34	0.15	-0.69	-0.67	-1.77	-2.58	1.35	-1.32	1.06	5.43	-0.32	2.6336199272367296	2.627316783599938
Cc1c(CN2CCOC(c3ccccc3)C2C)c(=O)n(-c2ccccc2)n1C	-0.75	0.3	-0.16	-0.62	-0.11	0.73	0.06	-0.33	1.43	1.22	0.51	0.84	1.06	-0.16	-0.32	2.62598087331167	2.6173502930063504
CCCCc1c(C)nc(NCC)nc1O	0.77	-0.62	0.44	-0.04	-0.19	-0.53	0.78	0.62	0.17	0.41	0.43	-0.65	1.06	-0.16	-0.32	2.6366383187350237	2.6086722172662364
ClCC[NH+](Cc1ccccc1)Cc1ccccc1	0.01	-0.31	-0.36	-0.69	-0.19	0.73	-0.19	-0.02	0.45	0.33	-0.32	0.67	1.06	-0.16	-0.32	2.667593025293008	2.5893983743172773
O=c1c(-c2ccccc2)c1-c1ccccc1	-0.75	0.97	-1.18	-0.82	-0.25	0.83	-0.96	-1.25	0.58	0.33	-0.36	0.64	-0.94	-0.16	-0.32	2.5934522193461094	2.590899668359769
I/C=C\I	-0.75	-1.41	-2.23	-1.15	0.2	1.02	-1.86	-0.69	-2.98	-1.05	-1.39	1.41	-0.94	-0.16	-0.32	2.41355121317555	2.4210112578376104
O=[N+]([O-])c1cccc(SSc2cccc([N+](=O)[O-])c2)c1	-0.75	1.1	-0.7	-0.23	0.22	1.02	-1.17	-2.07	0.75	1.01	0.82	1.03	1.06	-0.16	-0.32	2.552850654460561	2.559652630973824
C=CCOc1nc(OCC=C)nc(OCC=C)n1	-0.75	-0.26	0.23	0.94	-0.1	-1.5	0.51	0.37	0.32	0.33	-1.39	0.33	1.06	-0.16	-0.32	2.4773383476918927	2.5040583486175287
O=C1Cc2ccccc2O1	-0.75	0.87	-0.75	0.29	-0.21	-0.34	-0.69	-0.56	-0.18	0.23	0.91	-0.75	-0.94	-0.16	-0.32	2.5094041602586916	2.519167758509592
CCCC(O)/C=C/C=C/C=C/C#CC#CCCCO	0.77	-1.0	-0.28	-0.56	-0.25	0.54	0.23	0.67	0.09	0.43	0.81	-0.16	-0.94	-0.16	-0.32	2.5147469246343817	2.5283527594002746
CCCCCCCCCCCCCCCCCC(=O)OC	-0.75	-1.41	0.23	-0.82	-0.39	0.63	1.68	-0.3	0.25	0.55	-2.24	1.49	-0.94	-0.16	-0.32	2.494502447046173	2.4859085463227895
S=C=Nc1ccc(N=C=S)cc1	-0.75	0.7	-1.36	-0.89	0.46	0.63	-1.32	0.0	-0.29	-0.11	-0.42	0.12	1.06	-0.16	-0.32	2.6076158432431322	2.5976061206971828
COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1	0.77	1.08	0.02	0.55	0.65	-1.11	-0.71	-0.42	1.09	1.16	1.08	0.31	1.06	5.43	-0.32	2.7268494135432264	2.7239164101690214
CC/C=C(\C)C(=O)O	0.01	-1.1	0.17	0.48	-0.37	-1.21	0.82	-0.13	-1.11	-1.61	0.26	-1.2	-0.94	-0.16	2.52	2.4735599546008133	2.461593628332105
OC(c1ccccc1)(c1ccccc1)C(O)(c1ccccc1)c1ccccc1	0.77	0.61	-0.86	-0.62	-0.22	0.54	-0.75	0.4	1.43	1.1	-1.49	2.71	-0.94	-0.16	-0.32	2.6581545470672103	2.660814790769817
CC(C)N(C(=O)COC(=O)c1ccccc1)C(C)C	-0.75	-0.39	0.0	-0.17	-0.24	-0.05	0.62	-0.52	0.58	0.59	-0.71	0.15	1.06	-0.16	-0.32	2.5782379611606316	2.541290696066193
COc1cc(Cl)c(Cl)c(Cl)c1OC	-0.75	0.63	-0.44	0.68	-0.39	0.15	-0.84	-0.09	0.09	-0.03	-0.09	0.45	-0.94	-0.16	-0.32	2.530391821401041	2.5320481831475594
COc1c2ccoc2cc2oc(=O)ccc12	-0.75	1.4	-0.75	1.2	-0.21	-0.63	-0.68	-0.07	0.64	0.8	1.04	-0.15	-0.94	-0.16	-0.32	2.663842212973794	2.6451767241746733
CCCCCCCCCCCCCCC1CCCCC1	-0.75	-1.36	0.17	-1.28	-0.37	1.02	1.59	2.11	0.32	0.48	-2.64	1.95	-0.94	-0.16	-0.32	2.4729757345942285	2.466227765562566
Cc1cccc(C(=O)O)c1C	0.01	-0.07	-0.35	0.29	-0.24	-0.73	-0.22	-0.26	-0.18	0.15	0.16	-0.71	-0.94	-0.16	2.52	2.622369470494735	2.604481912395888
CC12CCC(C(=O)OC1=O)C2(C)C	-0.75	0.46	-0.03	-0.1	-0.3	-0.34	0.42	-0.76	0.52	0.34	-0.1	-0.51	-0.94	-0.16	-0.32	2.6938587997009296	2.587793673030201
CCCC(C)=C(C)C	-0.75	-1.53	0.17	-1.21	-0.37	1.02	1.68	2.19	-1.11	-1.61	-1.18	-1.01	-0.94	-0.16	-0.32	2.1987945001755986	2.198882084842726
Cc1cc(N)ccc1O	1.54	-0.24	0.0	0.81	-0.14	-0.92	-0.5	1.04	-0.51	-0.85	0.71	-0.99	1.06	-0.16	-0.32	2.6528745977494785	2.6288562859984523
CNC(=O)Oc1cc(C)cc(C(C)C)c1	0.01	-0.4	0.02	-0.17	-0.22	-0.53	0.47	-0.18	0.25	0.66	0.15	-0.56	1.06	-0.16	-0.32	2.5564834191127086	2.550171363314902
O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1	-0.75	1.0	1.95	0.55	-0.56	-0.14	0.89	-1.67	0.32	0.28	-1.67	0.46	1.06	-0.16	-0.32	2.6800180632491917	2.6751506347116245
O=[N+]([O-])c1ccc(/C=N/NP(=O)(N2CC2)N2CC2)cc1	0.01	0.82	0.39	-0.1	0.1	0.15	-0.02	-0.7	0.95	1.19	0.45	0.03	1.06	-0.16	-0.32	2.625466793609239	2.632772000663269
CC1CCC(C)(C(=O)O)C1(C)C	0.01	-0.38	0.17	-0.23	-0.37	-0.14	0.99	-0.27	0.25	0.2	-0.15	-0.62	-0.94	-0.16	2.52	2.578811060322581	2.583744506395147
C#CC(C)(C)N	0.77	-1.13	0.34	-0.56	-0.22	0.15	0.65	2.31	-1.3	-2.0	-1.01	-1.27	1.06	-0.16	-0.32	2.464116794444044	2.4559620409027874
COc1c(OC)c(OC(C)=O)c2cc(C#N)ccc2c1OC(C)=O	-0.75	0.64	-0.33	1.07	-0.16	-0.63	-0.15	-0.08	1.09	1.04	-0.27	0.33	1.06	-0.16	-0.32	2.5995009867887746	2.5982213583559273
O=Nc1ccccc1	-0.75	-0.01	-0.34	-1.02	-0.0	0.92	-0.59	-2.02	-0.93	-0.65	0.65	-0.76	1.06	-0.16	-0.32	2.533581425058706	2.5234055790689585
CCOc1cccc2ccccc12	-0.75	0.05	-0.64	-0.49	-0.22	0.63	-0.29	-0.01	0.09	0.17	0.4	-0.13	-0.94	-0.16	-0.32	2.445059047392219	2.462868951831477
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F	0.01	0.96	0.34	-0.23	1.25	0.44	-0.58	-0.67	1.04	1.11	1.03	0.49	1.06	-0.16	-0.32	2.605466664135372	2.610295873055718
C=Cc1cc(C)ccc1C	-0.75	-0.52	-0.5	-1.15	-0.23	1.02	0.08	0.71	-0.4	-0.54	-0.06	-0.63	-0.94	-0.16	-0.32	2.376850585847609	2.3723660888941285
COC(=O)/C=C(\C)OP(=O)(OC)OC	-0.75	-0.42	0.32	1.33	-0.32	-2.38	1.34	0.74	0.0	-0.47	-0.25	-0.47	-0.94	-0.16	-0.32	2.463332970234029	2.458201204174706
COc1ccc(C=O)cc1OC	-0.75	-0.13	-0.24	0.81	-0.26	0.05	0.17	-0.16	-0.18	-0.31	-0.06	-0.53	-0.94	-0.16	-0.32	2.499893186149237	2.512105346746104
c1ccc(N=C(Nc2ccccc2)Nc2ccccc2)cc1	0.77	0.28	-0.49	-0.56	0.01	0.15	-0.63	0.87	0.85	0.84	-0.42	1.47	1.06	-0.16	-0.32	2.6228872274491244	2.6266222711370983
O=C1c2ccccc2-c2ccc(Cl)cc21	-0.75	1.59	-1.33	-0.82	-0.32	0.73	-1.31	-1.29	0.58	0.8	0.57	0.33	-0.94	-0.16	-0.32	2.600591768429376	2.6007069701384995
O=C(c1ccccc1)C(Cl)Cl	-0.75	0.41	-0.78	-0.56	-0.34	0.73	-1.04	-1.09	-0.29	-0.11	0.66	-0.06	-0.94	-0.16	-0.32	2.4678300051789757	2.502636244816416
CCCP(=O)(O)O	0.77	-0.97	0.54	0.68	-0.35	-1.7	1.12	1.19	-1.11	-2.0	-0.06	-0.97	-0.94	-0.16	-0.32	2.5402668918263007	2.51274715558007
