SMILES;H-050;AATS0d;AATS0i;AATSC0c;AATSC0i;AATSC1c;GATS1v;GATS1se;ESpm02u;EEig04u;SIC3;ZMIC1;B01[C-N];nAr_NH;nCOO
O=C(Nc1ccc(F)cc1F)c1cccnc1Oc1cccc(C(F)(F)F)c1;1.0;4.0256410256410255;173.18819062568562;0.026628402232747705;4.223606770012942;-0.015811445955915597;0.8251930833611144;0.6173177629674212;4.465908118654584;2.4552820228773222;0.976932655772523;56.381432452688685;1.0;0.0;0.0
O=C(O)/C=C/c1cccc(C(F)(F)F)c1;1.0;3.590909090909091;174.7241625543065;0.03560330895365206;4.188342417626328;-0.025752947405666207;0.8524215187353249;0.6494523910049911;3.7612001156935624;1.569948608396335;0.951533901945023;40.365223301372914;0.0;0.0;1.0
Nc1ccc2ccccc2c1S(=O)(=O)O;3.0;3.7083333333333335;158.63025652232673;0.0235121255847211;1.6113472634048165;-0.01496933708256178;0.7608867248494955;0.6149534384264401;3.8918202981106265;1.6426200590711482;0.9091232116726952;38.36817083645834;1.0;0.0;0.0
CN(C)c1ccc(C(O)(c2ccccc2)c2ccc(N(C)C)cc2)cc1;1.0;3.1153846153846154;160.23193373313413;0.011655504257380322;1.4561019230755992;-0.0035362238776195905;1.00554617217415;1.01209208885612;4.394449154672439;2.226224454512906;0.7097420270948008;68.80838775204126;1.0;0.0;0.0
O=[N+]([O-])c1ccc(Cc2ccncc2)cc1;0.0;3.3846153846153846;160.1573650210573;0.012939765311078554;1.5792084588843773;-0.0008147647243728991;0.8721836268220522;0.26155041425264586;3.8066624897703196;1.4537529902083868;0.9836349189574337;35.50797222351176;1.0;0.0;0.0
CC1(C)C=Cc2c(ccc3c2OC2c4ccc(O)cc4OCC32)O1;1.0;3.857142857142857;157.29071432015434;0.029411403608589234;1.36782032433218;-0.011585891671071954;0.8652715091601695;0.877839702602617;4.48863636973214;2.517473778588588;0.9138555066284283;47.46115013767266;0.0;0.0;0.0
CC#CC;0.0;1.6;161.6683336505494;0.0030956382243166646;1.3120590452277587;0.0012712519640218278;1.2500000000000002;1.25;1.6094379124341003;0.0;0.4126972515042214;13.79833099445768;0.0;0.0;0.0
N/N=C1\c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1;2.0;3.6;156.4037916384774;0.012806112856766309;1.5046514552900794;-0.0021215346969190845;0.7836847468760819;0.5465443268538287;4.442651256490317;2.278413609496446;0.8138657017418408;66.44351868828342;1.0;0.0;0.0
CCN(C)C;0.0;1.6875;172.0319787147962;0.007112257994205329;1.1447078839449012;0.00019294571006367556;1.8367882448405526;1.183641923451729;2.1972245773362196;-1.481194304092016;0.6208646483360875;13.33804838405544;1.0;0.0;0.0
COC(=O)C1(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)CC1;0.0;3.7666666666666666;162.003655802728;0.027169641192536457;1.5181830912747547;-0.00847706749423382;0.9638772327880923;0.4302639554149346;4.143134726391533;1.815496345212433;0.8997675668893826;35.477352289765;1.0;0.0;0.0
